科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"47,630,120.31","108,327,250.33","204,797,036.49","49,010,420.44","127,879,819.07","195,970,402.19","294,772,721.81","52,180,095.09","105,517,720.34","160,742,817.56","229,368,363.40","78,018,192.96","260,656,324.40","425,201,378.67","587,709,082.21","104,191,461.07","257,162,044.62","378,675,429.43","478,086,568.66","115,329,720.66","228,555,753.73","343,519,895.77","529,094,478.07","119,514,736.71","271,864,919.28","497,849,719.72","1,064,231,728.63","225,976,781.76","334,656,029.93","435,525,791.93","545,792,802.94","141,985,481.76","229,941,721.85","402,576,013.97","727,990,395.80","325,345,280.87","640,677,474.81","971,791,162.00","1,141,559,378.99","326,381,193.55","828,738,993.24","1,200,855,675.06"
二、营业利润,"16,310,201.87","38,534,683.39","71,053,144.56","15,780,903.57","37,996,134.00","55,887,980.16","76,476,451.09","11,725,861.22","21,571,754.10","26,777,092.42","36,706,679.96","17,328,899.56","45,322,321.81","81,484,375.70","110,468,903.58","22,956,329.96","5,809,600.94","-44,429,777.97","-150,045,556.25","-4,947,930.04","508,911.89","237,879.48","-22,945,440.24","1,639,687.30","3,021,385.26","3,559,901.02","6,316,630.67","1,887,373.54","1,657,076.25","508,692.06","-28,701,122.41","3,985,463.12","6,543,877.35","21,856,182.09","15,434,108.17","24,530,780.16","52,192,900.51","74,679,739.10","107,044,727.82","29,267,980.69","92,690,755.54","127,137,525.05"
减:营业成本,"27,937,695.47","62,538,080.46","118,580,394.22","27,557,227.59","77,799,438.18","121,750,022.72","189,269,720.16","34,571,779.51","72,859,254.35","114,906,449.25","151,877,645.23","44,987,844.43","177,651,843.94","292,047,466.81","385,352,889.32","60,518,337.92","204,746,680.81","318,642,642.55","441,126,281.70","99,359,030.33","178,527,517.39","276,671,744.79","455,433,426.15","90,844,832.19","214,541,915.58","412,945,826.21","901,148,010.90","195,669,994.32","270,495,706.53","350,256,807.18","389,125,830.43","94,595,964.67","153,597,906.67","278,774,030.65","525,086,625.05","240,565,274.96","477,100,750.01","738,022,112.73","836,908,259.99","235,630,325.17","642,265,327.64","937,453,179.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"115,820.49","343,119.30","737,791.78","47,757.67","172,438.33","346,240.78","589,115.17","209,425.27","287,982.11","393,197.92","480,107.00","220,723.98","630,201.68","1,098,919.44","1,474,295.22","537,911.14","1,246,743.87","1,646,303.79","1,707,721.20","805,796.96","1,703,598.53","2,186,279.03","2,232,415.60","1,030,740.03","1,765,693.90","2,307,145.89","6,315,791.83","829,468.82","490,793.00","993,432.32","3,009,815.49","1,076,438.36","2,728,212.84","3,567,420.32","3,824,484.97","403,437.44","1,486,257.00","-299,543.07","7,574,745.30","1,859,284.35","4,903,903.59","8,055,915.37"
营业外收入,"473,884.21","1,175,983.36","3,276,081.37","2,231,259.37","4,267,983.21","4,947,582.72","10,561,299.77","911,675.05","1,875,788.02","4,379,408.35","3,905,132.21","1,077,267.56","1,478,068.17","2,956,206.04","7,136,889.09","695,707.88","5,839,997.90","6,792,523.65","11,139,076.83","11,905,296.35","12,353,852.53","12,987,163.75","28,384,561.13","2,194,858.78","3,790,969.80","6,310,922.68","10,710,451.34","2,772,317.64","9,731,807.24","12,804,614.11","25,500,470.02","3,101,761.42","6,438,255.07","11,162,840.50","21,214,081.95","3,502,021.93","8,672,731.32","13,400,256.56","22,527,670.89","7,163,569.33","50,121.40","753,999.81"
销售费用,"749,505.05","1,632,122.41","4,343,416.60","1,080,973.12","2,252,715.53","3,715,546.93","7,233,018.64","2,907,959.86","4,787,059.90","6,207,549.66","8,482,683.14","2,980,726.84","5,767,292.57","12,241,423.19","18,542,332.31","6,245,659.79","13,659,337.34","23,951,589.29","33,209,017.47","5,194,168.19","13,516,630.64","20,597,990.17","28,534,567.68","8,562,988.42","16,372,459.73","27,043,001.27","44,517,934.63","10,316,509.19","18,441,174.69","26,749,249.68","44,834,252.46","9,376,879.73","11,948,113.74","17,071,557.14","41,109,880.00","22,679,323.57","24,903,455.52","34,301,335.39","42,807,004.04","17,411,088.81","16,053,744.22","28,198,271.11"
减:营业外支出,"1,935.00","2,430.00","2,430.00",,"53,948.72","59,223.66","222,603.88",982.60,"63,392.61","78,020.88","1,191,977.27",,"93,147.72","124,501.45","327,566.85","20,782.47","20,782.47","162,004.56","148,367.85","5,404.12","14,560.51","19,583.29","33,928.26","45,197.09","48,101.25","54,101.25","356,673.83","1,326.42","67,268.59","72,116.89","184,735.19","9,515.50","10,602.70","503,929.95","2,595,830.83","61,734.59","136,832.34","138,596.74","1,917,545.00",,150.01,"184,600.30"
管理费用,"2,405,970.54","5,071,851.54","6,627,403.22","3,179,237.36","8,366,711.41","14,377,123.31","20,243,418.39","5,003,967.51","10,200,762.01","16,345,002.58","28,465,893.68","7,717,548.38","17,677,416.30","26,890,401.34","50,969,212.16","13,869,729.34","27,909,648.86","42,250,464.17","60,721,181.49","12,106,262.71","23,885,547.10","32,763,526.71","43,831,825.48","9,955,223.89","21,830,514.38","32,179,678.27","65,288,923.12","10,335,871.89","27,648,808.34","38,867,537.30","70,118,470.97","14,189,593.61","26,497,721.28","40,689,303.72","83,632,389.99","23,659,021.92","39,724,072.30","64,306,761.44","85,764,079.65","21,014,970.46","38,475,489.94","57,061,294.51"
其中:非流动资产处置净损失,,,,,,,,,,,"129,807.72",,,,"207,919.13",,,,,,,,,,,,,,,,"78,199.65",,,,"111,793.06",,,,"10,442.66",,,
