科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"724,857,201.89","953,147,884.15","1,625,843,217.58","1,105,844,756.86","1,586,829,234.66","1,982,520,382.91","455,160,284.40","944,547,134.45","1,306,245,918.68","1,617,089,061.06","431,317,922.68","949,917,674.08","1,424,421,862.19","1,949,227,137.40","516,775,474.60","1,076,876,261.35","1,543,866,021.05","1,995,301,364.78","458,561,180.56","1,020,909,540.97","1,327,138,088.42","1,637,867,155.06","327,698,651.67","725,967,044.94","1,233,970,020.41","1,727,536,375.78","504,227,118.02","1,087,293,339.75","1,658,693,384.20","2,221,283,308.82"
二、营业利润,"84,193,624.60","163,291,340.73","277,616,307.33","195,607,877.69","280,280,505.57","364,850,044.54","107,377,888.79","223,260,927.68","301,357,296.17","367,382,101.28","96,039,665.78","213,605,845.90","316,717,273.53","440,864,602.85","115,679,958.32","241,225,724.91","344,228,760.87","400,465,548.14","79,204,212.18","177,249,324.64","210,074,901.42","221,368,944.68","22,526,838.75","55,347,379.44","89,701,852.14","111,616,006.79","25,037,699.39","45,926,574.08","85,250,159.61","131,747,024.21"
减:营业成本,"597,728,047.99","728,245,283.23","1,246,179,196.32","836,458,993.10","1,199,825,532.63","1,485,238,514.82","327,247,520.42","676,634,251.89","943,170,009.73","1,168,531,348.57","307,068,911.69","678,739,649.10","1,017,914,025.00","1,381,282,749.13","366,051,684.64","769,109,661.20","1,100,138,122.39","1,442,810,400.62","337,692,447.90","752,934,145.72","984,599,599.09","1,231,241,135.04","251,824,923.90","568,540,810.60","935,567,772.33","1,297,908,193.89","369,853,044.20","806,676,597.14","1,236,654,549.34","1,630,430,772.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,609,120.39","2,924,492.41","2,747,638.45","3,601,190.53","5,078,830.30","6,015,585.30","1,645,294.04","4,202,368.29","6,172,395.59","7,547,105.50","1,792,331.74","4,647,413.07","6,671,546.39","9,159,829.13","2,805,084.62","6,520,889.25","8,953,850.63","11,958,739.90","2,637,494.49","7,329,844.78","8,889,369.01","11,271,133.92","1,901,981.58","3,937,794.41","5,984,838.16","13,350,711.48","4,046,628.65","8,481,318.63","12,482,455.38","18,606,884.28"
营业外收入,"681,180.01","3,082,285.53","3,238,676.42","268,622.27","293,849.94","4,714,194.72","161,737.57","1,571,640.82","5,945,481.82","8,161,502.79","488,433.87","1,006,043.10","1,432,100.38","5,449,941.07","1,244,848.06","1,873,783.79","5,319,813.52","18,437,965.82","382,031.10","999,021.10","3,927,207.95","6,386,872.34","423,975.35","4,553,378.88","9,529,463.24","21,035,393.84","461,454.91","939,053.47","1,036,808.94","434,281.01"
销售费用,"14,635,027.89","21,706,221.07","40,343,486.77","24,902,375.61","37,217,114.50","48,886,388.44","10,418,640.47","22,148,156.23","31,782,783.60","40,394,799.31","12,231,890.71","25,552,058.96","39,836,123.27","60,939,692.20","16,418,675.30","33,488,389.97","48,746,527.48","69,729,652.60","16,980,872.56","36,589,008.23","53,381,409.37","72,408,988.84","16,163,049.45","34,551,994.07","69,964,993.60","85,757,795.42","26,191,949.87","56,295,993.25","76,613,099.81","105,794,576.98"
减:营业外支出,"1,014,844.79","1,136,939.04","3,350,548.50","1,353,639.40","1,867,584.40","2,310,623.47","535,289.68","1,044,237.44","1,448,784.96","1,940,565.91","459,183.65","1,036,296.63","1,160,096.52","2,189,457.16","599,266.26","1,211,101.61","1,826,891.60","2,428,053.70","440,362.31","996,822.03","1,474,647.35","3,037,594.70","363,433.15","802,967.83","1,649,524.96","2,676,337.06","46,912.87","387,232.92","412,049.19","1,141,577.62"
管理费用,"23,016,312.06","31,600,118.82","54,135,592.11","34,831,006.70","54,519,371.59","83,460,358.59","20,673,428.94","44,916,779.27","63,927,554.05","89,210,719.07","23,181,648.22","50,377,910.32","81,078,219.42","107,452,066.92","30,113,738.91","58,482,636.62","90,212,212.36","124,865,477.70","33,305,375.99","61,484,613.93","98,270,853.01","139,139,228.84","39,262,849.46","75,316,350.56","138,709,056.55","223,603,640.34","71,705,940.95","152,968,478.15","220,632,287.96","300,185,175.90"
其中:非流动资产处置净损失,"29,113.41","60,575.72","1,280,332.04","53,277.75","53,277.87","43,610.91",,,,"7,282.54",,,,"4,484.79",,,,"62,060.71",,"23,411.80","29,097.52","1,206,732.01",,"46,361.28","46,361.75","329,860.27","35,013.90","347,347.64","363,452.05",
