科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"6,507,028.65","33,540,426.79","25,051,679.27","24,675,036.87","495,584,609.79","407,320,363.62","410,438,677.69","396,856,989.56","315,028,420.72","252,134,565.87","191,801,267.99","155,601,216.04","102,451,283.52","97,591,683.11","83,095,657.50","115,409,393.67","147,753,469.26","74,012,101.54","64,711,259.48","77,081,574.15","66,464,639.59","46,027,596.09","174,013,875.15","71,006,485.15","90,189,838.77","1,306,141,401.90","316,235,581.63","205,828,120.80","279,174,144.77","220,258,145.91","163,352,431.39","406,368,486.40","463,172,732.21","1,841,262,049.92"
短期借款,"155,860,000.00","165,000,000.00","260,040,000.00","128,060,000.00","66,830,000.00","44,000,000.00","136,000,000.00","207,000,000.00","183,000,000.00","177,000,000.00","169,000,000.00","175,000,000.00","155,000,000.00","155,000,000.00","203,000,000.00","303,000,000.00","368,220,000.00","377,400,000.00","313,900,000.00","348,900,000.00","349,223,650.00","379,178,500.00","506,989,076.00","457,586,688.00","435,714,550.00","463,793,600.00","135,000,000.00","199,000,000.00","275,953,262.00","259,000,000.00","472,000,000.00","971,901,944.44","1,502,693,108.51","1,562,932,563.27"
交易性金融资产,,,,,,,,,,"128,034.80","168,600.80","2,344.80","28,220.60","194,925.60",,,"58,950.00",,,,"1,142,700.00","763,460.00","421,410.00","20,640.00",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,"32,100.00",,,,"189,600.00",,,,,"29,790.00",,,,,,,,,
应收票据,"10,519,578.52","3,089,692.73","7,795,000.00","10,764,951.75","22,633,128.44","29,166,446.96","31,342,080.00","46,882,690.55","58,227,206.18","52,367,656.10","71,246,119.24","48,018,988.70","47,973,779.89","39,371,080.35","37,797,651.94","45,672,572.16","42,087,562.36","60,049,075.99","84,210,524.82","79,482,534.12","61,058,102.48","53,592,814.67","44,746,711.82","41,061,523.38","45,312,765.11","65,257,910.67","96,466,246.72","78,072,130.99","80,299,479.31","104,357,567.76","116,537,122.57","144,464,442.17","210,477,218.85","294,713,557.69"
应付票据,"5,000,000.00","91,249,620.00","40,177,748.00","53,290,000.00","33,660,000.00","24,050,000.00","9,000,000.00","11,690,000.00","27,240,000.00","35,028,550.00","44,118,550.00","34,850,000.00","25,480,000.00","23,570,000.00","25,240,000.00","40,490,000.00","39,450,000.00","49,380,000.00","69,510,000.00","67,030,000.00","68,280,000.00","56,280,000.00","28,130,000.00","21,140,000.00","51,390,000.00","55,991,725.47","37,825,145.47","41,911,693.52","47,232,081.11","47,610,541.29","91,919,325.29","140,026,376.72","286,458,165.30","394,307,137.34"
应收账款,"125,749,144.65","99,795,084.38","136,429,528.96","174,576,651.06","163,870,606.84","134,316,889.77","194,651,531.24","162,462,235.19","178,474,351.24","179,840,814.91","199,847,217.61","205,014,936.04","169,138,778.12","178,393,168.95","206,149,860.64","224,371,658.62","217,105,407.27","214,001,664.07","260,893,104.26","287,065,290.69","290,115,854.86","308,425,863.67","350,701,207.64","371,313,322.48","336,922,986.80","351,664,299.11","357,361,162.74","393,707,825.75","398,811,645.33","413,771,474.66","469,590,379.82","497,469,979.17","608,364,355.02","595,966,041.79"
应付账款,"154,893,406.96","77,440,545.92","103,039,231.31","115,909,734.71","134,749,690.78","127,175,873.42","147,108,779.02","136,997,104.99","140,990,556.23","136,515,246.54","138,228,929.40","137,247,794.51","128,199,932.47","125,680,719.28","127,684,764.67","149,314,520.54","156,214,107.43","163,601,329.75","167,617,998.16","182,422,952.95","179,719,256.12","167,866,893.73","216,652,355.75","181,280,944.54","150,534,058.85","142,151,900.95","158,853,296.72","179,602,458.89","188,346,440.24","232,643,933.23","267,841,569.72","317,172,427.08","424,792,491.11","452,313,646.49"
预付款项,"21,034,908.26","35,383,597.45","22,754,982.22","34,204,259.91","46,303,932.45","51,362,436.82","97,095,196.34","68,445,894.06","125,759,744.53","86,391,423.66","71,953,206.09","88,018,301.92","99,497,643.52","11,333,126.45","14,039,760.29","33,840,198.65","51,099,870.13","28,654,786.21","37,142,365.05","40,306,904.48","48,547,172.95","51,375,017.74","44,649,060.21","25,614,298.18","27,712,636.16","33,212,317.95","33,017,382.26","28,244,491.47","46,561,315.94","53,155,455.17","56,716,439.94","66,984,258.39","129,056,903.69","112,242,061.65"
预收款项,"14,651,665.40","7,560,697.91","3,940,388.40","4,214,298.28","5,080,116.88","15,504,150.32","19,984,625.37","11,137,056.12","21,721,995.86","18,896,919.82","16,985,223.32","12,109,656.67","12,210,287.74","11,393,693.39","11,003,832.90","11,798,134.55","21,485,575.47","17,538,391.54","20,346,124.20","18,077,848.32","19,990,731.79","20,169,084.07","19,535,578.25","20,102,779.18","17,987,113.99","15,254,289.90","18,789,046.90","19,658,275.78","20,225,276.73","20,434,305.33","17,849,343.82","16,026,277.00","16,661,325.57","31,220,823.41"
