科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"27,540,481.88","55,173,125.45","76,993,590.87","58,225,818.74","49,382,538.55","571,563,707.19","550,634,549.29","461,984,060.96","445,484,752.07","459,223,601.84","442,996,958.94","418,376,011.27","241,438,048.44","289,853,968.36","258,797,752.79","232,755,733.02","204,024,281.55","226,835,226.63","137,076,238.19","705,592,215.85","500,546,115.10","593,433,144.95","550,531,217.01","547,989,266.41","425,473,240.67","619,120,894.56","454,655,821.43","409,429,515.84","563,729,643.03","806,531,006.98","925,666,726.04","484,371,168.72","91,650,496.73","307,182,081.48","193,261,184.22","167,113,272.15","153,544,080.71","158,523,746.58","90,790,839.52"
短期借款,"45,800,000.00","45,800,000.00","33,900,000.00","28,900,000.00","38,900,000.00","33,900,000.00","33,900,000.00",,,,,,,,,,,,"13,777,070.00","139,370,859.00","164,801,644.00","192,644,089.00","193,860,409.63","200,773,230.00","92,000,000.00","207,000,000.00","197,000,000.00","287,000,000.00","422,000,000.00","325,000,000.00","360,000,000.00","240,000,000.00","62,499,000.00","202,100,000.00","401,100,000.00","400,800,000.00","400,800,000.00","305,268,850.00","337,370,017.48"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"1,063,397.23",,,"5,082,989.30","50,000.00",,"2,251,181.50","21,456,905.65","13,413,743.40","9,795,348.40","2,652,164.00","11,920,400.57","1,498,247.75","11,266,211.60","9,034,199.60","18,955,488.08","5,187,871.10","7,814,814.60","2,339,798.00","29,461,076.96","11,965,964.10","15,159,180.44","2,601,413.00","12,578,503.66","3,673,057.85","7,540,540.97","12,390,240.77","8,237,666.94","3,556,207.48","39,826,399.00","38,719,119.63","125,071,232.91","96,962,645.67","64,148,290.22","9,444,990.66","15,288,431.63","14,468,595.81"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,750,000.00","76,350,000.00","46,010,000.00",,"25,271,283.48",
应收账款,"21,817,712.77","35,109,264.67","36,815,483.85","61,955,903.85","103,822,867.84","54,420,250.94","84,808,035.77","96,283,430.01","114,890,033.61","78,355,562.36","116,099,253.18","122,890,445.55","149,657,847.32","106,680,707.48","159,838,271.13","175,545,978.98","217,563,491.94","150,163,870.23","262,833,087.73","283,337,386.43","418,601,466.64","278,886,089.22","365,321,956.00","385,433,535.63","444,480,767.09","659,045,302.90","712,034,410.11","710,272,602.16","935,909,126.86","1,126,592,145.02","1,179,723,974.97","1,262,004,312.74","1,334,244,110.44","1,556,135,183.85","1,617,885,523.45","1,663,928,357.76","2,056,336,234.36","1,712,912,216.90","1,807,070,666.58"
应付账款,"15,981,398.93","9,008,749.97","12,999,096.06","23,106,803.94","31,815,467.40","26,489,871.02","30,327,677.05","15,681,825.35","19,290,686.30","12,489,469.53","12,981,070.95","21,722,895.80","14,373,021.10","16,854,744.44","18,058,986.99","31,267,642.31","38,448,044.29","34,999,588.76","34,429,937.97","35,655,331.61","60,905,858.15","60,056,668.92","48,686,001.12","55,241,250.27","55,364,310.94","552,495,313.53","543,668,763.27","814,187,782.12","962,351,094.87","1,105,685,389.99","1,092,458,773.61","1,457,945,161.95","1,688,699,002.03","1,725,469,042.68","1,399,837,255.91","2,075,197,853.62",,"2,139,959,742.19",
预付款项,"17,643,228.24","12,376,065.02","13,387,576.35","12,692,182.23","25,024,480.75","17,869,041.70","22,864,308.12","46,020,822.75","63,001,752.52","69,069,230.69","64,820,452.75","89,004,567.07","75,160,122.48","85,566,817.89","74,882,932.90","92,213,463.74","100,997,899.04","61,398,935.96","72,745,690.00","56,543,954.40","67,835,379.06","51,416,045.36","41,939,952.87","39,136,666.05","37,598,745.54","39,684,525.23","63,237,171.82","54,234,727.55","43,961,293.60","31,853,654.73","39,760,412.52","56,506,190.44","34,291,803.67","32,252,566.16","39,665,873.95","38,978,811.75","31,652,395.53","43,511,346.75","38,313,376.00"
预收款项,"6,364,320.66","6,888,431.90","6,458,111.75","9,515,662.03","17,904,749.17","20,260,645.71","15,940,403.50","18,542,410.44","28,866,624.09","19,382,714.19","22,103,969.99","24,484,973.98","28,102,770.12","33,184,113.53","24,791,506.88","27,200,103.99","25,883,794.94","20,550,797.88","19,610,368.33","21,210,679.06","27,853,117.87","21,206,790.59","20,520,453.72","24,099,468.31","32,949,463.35","29,898,674.00","34,750,198.14","30,275,058.78","31,823,938.78","48,879,807.26","44,575,459.74","34,847,766.89","40,218,251.63","36,427,337.02","39,547,935.40","33,328,092.79","43,043,148.49","70,193,073.71","67,771,090.80"
其他应收款,"5,283,469.05","20,457.32","7,434,931.30","7,928,295.27","7,909,015.96","7,863,738.21","7,861,421.21","7,907,082.46","7,719,363.96","1,643,382.00","1,720,817.95","1,852,769.50","1,173,988.50","846,686.88","2,249,779.72","2,159,956.04","4,806,139.57","7,668,935.56","27,186,593.28","20,786,088.74","29,790,188.64","35,928,317.03","24,002,271.21","23,021,658.17","26,178,313.70","73,134,530.52","103,070,836.55","88,131,223.54","76,067,019.36","110,526,743.22","133,483,431.46","158,526,195.40","157,679,811.59","154,193,923.50","161,275,129.28","191,212,738.15","200,205,588.56","189,645,890.86","163,453,395.39"
应付职工薪酬,"803,094.83","1,078,504.24","3,826,001.94","1,922,083.95","1,724,820.44","2,257,985.77","2,118,468.97","2,538,604.67","2,690,669.95","6,755,919.85","2,947,774.53","3,709,896.82","3,901,349.71","7,914,708.68","3,787,380.66","5,353,322.55","5,998,432.00","8,917,407.19","4,974,273.62","5,281,086.43","5,871,142.74","10,318,435.10","6,368,029.47","6,742,353.15","7,264,505.54","20,318,222.23","8,825,610.96","11,202,569.98","12,398,892.09","13,977,093.51","9,869,566.28","12,198,367.93","13,093,225.79","16,750,385.29","13,506,498.51","19,056,521.16","22,425,550.53","34,345,581.27","28,574,824.04"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,586,939.95","5,431,937.71","2,471,704.11","1,615,056.29","5,262,734.20","2,788,987.70","5,541,912.83","5,977,319.11","6,935,183.15","9,385,059.35","8,977,025.98","7,603,173.27","9,053,069.04","12,566,605.50","13,900,263.22","11,522,846.94","11,784,959.34","13,597,295.67","22,005,204.76","16,158,439.76","18,574,646.15","15,601,018.74","19,130,974.79","16,332,524.44","18,358,979.60","79,849,101.70","58,889,717.45","67,352,251.93","68,580,801.44","67,651,123.03","49,898,895.45","59,648,286.60","44,449,171.00","113,761,153.28","86,682,868.24","88,795,436.35","83,419,410.07","93,745,237.01","97,705,503.75"
应收利息,,,,,,,,,,"5,940,074.89","8,830,142.34","9,164,680.55","1,244,682.22","3,272,514.24","4,170,701.27","4,304,171.86","2,896,438.65","1,975,509.13","1,037,524.67","1,736,713.51","3,307,282.42","2,967,194.94","4,466,139.24","1,219,003.07","2,230,719.33","3,884,389.87","4,344,636.83","5,512,570.80","2,441,804.73","227,452.59","228,430.95","179,863.25","130,993.90",,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,"353,757.01",,,,"390,327.22","289,389.71","250,531.53","66,800.97","11,342,369.44","25,915,773.40","40,833,953.60","55,438,356.17","11,002,426.02","26,002,426.02","40,849,315.07",,"11,267,209.52",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,387,390.44",,"15,257,426.24",
