科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"103,809,747.70","143,265,563.63","185,624,994.58","112,778,246.40","252,083,942.23","64,586,342.03","141,514,580.46","224,863,985.25","317,273,827.29","78,177,599.05","175,486,005.70","273,367,965.04","343,630,223.37","76,811,003.88","194,920,605.68","303,098,893.09","536,970,837.99","146,975,155.07","299,425,961.30","448,037,832.78","681,675,798.36","125,234,919.83","257,064,663.53","384,658,818.47","533,391,826.12","113,214,868.77","256,025,953.10","388,971,958.10","575,978,026.74","171,566,362.27","342,967,578.77"
二、营业利润,"34,557,505.72","47,799,212.93","61,898,735.56","39,482,570.40","83,154,065.60","20,890,424.65","54,254,601.98","82,522,371.77","111,048,974.67","28,806,635.34","74,167,340.40","111,814,908.09","125,265,491.46","14,476,570.52","51,016,215.89","78,083,278.20","161,743,551.84","21,847,037.33","72,330,465.45","113,126,231.17","198,506,929.76","24,995,591.00","49,956,005.93","65,509,317.37","95,630,704.88","21,148,774.07","58,075,283.20","84,925,333.75","117,147,119.29","28,664,881.78","59,106,104.67"
减:营业成本,"41,935,960.34","57,189,937.94","65,400,401.31","40,705,543.68","96,698,211.58","25,523,734.07","50,413,034.04","82,576,117.84","119,615,934.48","28,281,874.67","65,851,836.77","99,406,006.83","126,606,324.69","27,333,366.94","77,277,926.67","117,198,832.00","204,956,623.24","73,712,495.41","138,019,076.34","190,070,443.57","287,883,366.07","53,925,000.94","113,556,085.19","170,236,369.88","239,091,937.44","51,314,096.68","116,506,876.93","176,710,319.81","258,333,359.46","94,862,687.71","176,558,553.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"530,542.55","2,168,391.34","1,015,147.17","2,465,393.06","758,888.71","2,057,731.49","3,087,591.93","3,997,936.51","670,187.55","1,610,989.02","2,822,541.24","3,827,170.92","748,708.88","2,508,182.78","3,166,576.22","5,235,286.88","1,542,605.10","3,097,815.99","5,722,987.05","7,837,981.10","1,275,935.60","2,556,963.43","3,618,525.01","8,140,500.84","2,762,868.02","5,184,875.52","7,395,954.78","10,484,728.15","3,022,786.46","5,512,604.53"
营业外收入,"648,977.00","1,753,775.36","888,127.94","29,000.00","358,929.14","225,132.70","3,885,399.41","5,448,931.26","3,781,701.01","89,508.67","821,371.38","2,157,340.73","3,009,598.61","118,564.95","2,158,944.71","2,301,766.15","6,290,931.09","206,620.95","7,409,456.05","9,156,771.70","10,847,873.08","112,015.65","3,031,694.50","7,353,565.24","12,480,906.07","2,116,496.60","491,975.70","2,225,324.58","2,099,055.09","15,073.67","1,208,158.51"
销售费用,"10,756,967.84","13,122,878.19","24,237,994.08","12,091,271.83","27,332,317.69","7,254,089.49","14,332,831.45","23,335,779.80","34,874,095.53","8,779,226.66","17,865,528.40","29,017,804.46","37,886,233.46","7,786,357.36","14,981,973.18","23,476,091.11","41,311,524.19","14,498,336.15","18,147,145.06","29,261,407.92","43,497,955.28","13,327,400.42","26,830,089.99","44,069,120.44","60,047,411.05","18,017,272.27","34,370,584.08","50,006,081.08","72,850,924.01","19,397,256.52","42,296,201.27"
减:营业外支出,"116,770.80","73,703.00","10,056.83","21,742.00","22,050.02","8,311.02","8,312.98","8,312.98","8,312.98","5,200.00","5,200.00","16,570.76","16,570.76",,"23,001.99","227,394.57","239,169.24",143.98,"66,451.99","134,655.33","282,293.35","11,699.15","35,512.98","62,215.58","331,881.79","49,880.70","4,894.77","21,634.31","129,147.93",800.00,"8,828.49"
管理费用,"16,344,774.94","23,342,782.07","29,435,288.85","16,433,028.96","36,077,632.79","10,240,258.88","19,881,222.67","31,045,556.99","44,997,618.24","12,329,570.60","23,317,695.43","37,131,594.65","54,645,657.64","21,400,455.96","40,973,405.43","66,277,825.35","103,266,957.12","31,053,516.04","57,396,439.60","88,970,148.10","120,128,087.14","25,955,326.12","50,093,166.35","76,431,150.01","108,108,783.19","20,032,706.74","42,798,181.56","67,117,587.10","105,467,379.14","26,023,318.98","53,864,672.11"
其中:非流动资产处置净损失,,"71,603.00","8,564.28",,,"8,220.79","8,220.79","8,220.79","8,220.79",,,"11,370.76","11,370.76",,"22,901.55","17,191.07","43,542.05",,"66,027.45",,"134,887.51",,"35,396.22",,,,,,,,
