科目,2010年度,2011年度,2012年度,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"103,305,972.21","133,138,931.36","141,727,812.32","112,281,339.34","183,479,073.08","26,204,058.95","61,021,688.67","114,854,224.56","196,808,613.12","24,952,090.39","55,726,353.04","117,434,901.13","206,705,907.50","29,857,887.98","66,878,576.82","128,310,830.16","223,146,116.08","28,603,402.50","69,385,204.13","135,545,156.81","240,414,958.76","48,053,837.30","99,506,800.29","168,953,016.00","276,686,517.68","51,107,677.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"5,716,984.93","11,507,567.52","9,891,881.15","5,460,551.12","14,199,344.27","1,739,075.03","4,442,850.91","7,084,682.04","15,200,183.28","2,823,321.46","4,035,290.95","7,273,986.98","14,716,208.02","2,209,625.78","4,923,089.17","8,756,856.81","14,963,994.42","2,159,787.75","5,016,720.25","8,865,482.24","16,635,144.62","3,823,723.86","5,828,635.03","11,215,088.20","19,114,553.22","3,423,851.78"
支付其他与投资活动有关的现金,,,,,,,"855,483.00","855,483.00","25,855,483.00",,,,"100,000,000.00",,,,"100,900,000.00",,,,"60,000,000.00",,,,"20,000,000.00",
收到其他与经营活动有关的现金,"1,881,326.00","4,865,027.52","5,316,178.94","4,809,827.25","8,335,717.41","3,606,613.66","5,096,898.71","7,959,812.93","12,038,485.61","4,041,876.23","4,999,037.90","7,072,713.85","9,455,098.61","1,611,302.38","2,627,136.37","5,179,445.06","7,688,441.05","1,143,913.51","1,952,083.22","10,065,005.27","13,176,332.23","1,515,905.32","4,551,339.65","6,497,997.34","18,829,331.16","5,434,274.37"
投资活动现金流出小计,"11,153,703.12","37,474,716.25","2,381,476.30","1,785,465.50","9,027,681.10","11,924,303.19","30,467,808.37","82,363,330.14","139,680,849.75","47,169,465.11","65,883,349.30","104,250,458.66","253,281,631.20","2,795,579.52","23,809,720.62","46,044,099.17","205,028,717.73","3,183,720.56","41,255,034.15","106,582,914.47","229,709,050.80","41,269,564.24","141,306,880.76","253,229,397.09","292,329,177.33","104,978,273.22"
经营活动现金流入小计,"110,904,283.14","149,511,526.40","156,935,872.41","122,551,717.71","206,014,134.76","31,549,747.64","70,561,438.29","129,898,719.53","224,047,282.01","31,817,288.08","64,760,681.89","131,781,601.96","230,877,214.13","33,678,816.14","74,428,802.36","142,247,132.03","245,798,551.55","31,907,103.76","76,354,007.60","154,475,644.32","270,226,435.61","53,393,466.48","109,886,774.97","186,666,101.54","314,630,402.06","59,965,803.67"
投资活动产生的现金流量净额,"-3,575,954.76","-37,474,716.25","956,146.70","-1,785,465.50","-8,972,681.10","-11,924,303.19","-30,467,808.37","-82,363,330.14","-124,359,973.21","-47,169,465.11","-65,883,349.30","-83,572,321.68","-186,643,020.22","-2,745,579.52","21,978,424.93","-255,953.62","-38,930,572.18","-3,183,720.56","34,833,294.61","45,405,414.29","-37,321,817.93","-759,427.26","21,517,489.09","-8,758,780.66","-27,755,560.90","-43,834,952.67"
购买商品、接受劳务支付的现金,"50,616,951.50","69,323,911.77","49,522,361.53","43,488,744.34","62,220,865.33","17,658,117.02","37,621,201.16","57,466,566.07","75,964,816.80","13,969,298.06","30,705,041.71","54,078,158.23","71,857,226.29","15,471,980.02","36,768,599.30","61,002,920.74","86,008,073.42","19,536,858.04","40,561,813.31","49,167,253.13","70,084,491.62","18,144,043.13","43,862,371.44","75,064,959.95","97,812,305.19","25,815,029.73"
吸收投资收到的现金,"9,560,000.00",,,,,"217,566,400.00","217,566,400.00","217,566,400.00","217,566,400.00",,,,,,,,,,,,,,"25,646,851.00","25,646,851.00","25,646,851.00",
支付给职工以及为职工支付的现金,"14,457,535.49","23,254,263.27","24,279,466.90","21,258,927.06","28,501,678.10","11,832,657.35","18,436,536.61","24,992,383.36","32,106,127.77","13,239,784.27","20,203,374.55","28,258,429.69","37,026,565.76","14,957,777.04","22,715,546.38","30,312,959.99","39,564,410.71","16,644,833.41","23,534,432.67","31,807,653.50","40,447,045.31","18,637,810.52","27,986,902.12","38,003,133.95","47,870,763.17","16,437,636.70"
取得借款收到的现金,"6,000,000.00","40,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"15,520,890.88","22,991,262.73","26,777,814.94","20,917,689.27","33,232,890.49","5,879,371.90","9,911,320.94","20,359,883.28","31,928,346.89","7,607,204.35","15,256,808.19","24,311,872.12","37,285,145.18","8,452,695.35","14,591,829.94","21,447,682.81","35,735,085.01","6,867,680.01","13,901,047.38","21,828,564.52","41,057,899.25","10,310,343.23","19,901,184.27","29,747,137.27","45,567,521.05","12,119,756.10"
