科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"52,776,757.27","70,208,313.32","139,430,306.23","145,137,776.35","205,626,206.69","46,320,979.22","92,591,826.57","135,055,159.50","182,073,938.56","35,395,460.88","79,625,536.49","132,342,343.66","196,880,556.83","39,220,999.13","92,705,804.66","143,233,248.44","208,974,959.79","42,333,694.92","84,136,719.63","132,587,806.51","184,406,409.51","46,894,282.70","98,222,319.11","161,887,980.89","223,251,247.27","104,484,311.79","246,667,893.63","365,560,099.87","557,612,755.18","101,448,099.34","212,778,420.45"
二、营业利润,"9,665,613.31","20,681,778.87","53,923,922.53","59,922,217.38","86,579,619.66","19,453,767.88","38,438,169.28","54,803,049.53","71,234,953.76","9,952,574.02","40,677,631.44","61,024,598.01","86,027,013.13","10,537,727.58","43,179,633.39","58,153,304.75","83,823,168.21","6,956,930.32","26,748,801.32","36,599,824.19","50,219,741.70","11,869,176.12","39,724,513.37","59,227,673.79","87,332,800.98","21,797,906.13","74,832,919.64","107,268,093.62","163,264,247.10","20,977,409.22","-19,116,382.92"
减:营业成本,"24,158,632.23","31,316,714.52","48,133,299.35","46,435,401.71","65,212,475.07","14,869,735.52","28,701,965.44","41,385,275.71","57,282,733.23","11,261,103.82","24,352,600.20","41,732,263.80","63,330,672.24","12,883,897.94","29,998,222.23","45,060,569.62","70,788,906.84","15,546,383.12","27,126,501.02","43,471,708.21","66,258,050.68","14,916,524.38","32,127,090.02","53,871,920.13","78,134,870.72","39,031,505.22","97,674,670.59","141,015,076.95","222,903,493.12","39,319,541.02","78,811,941.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"614,620.10","812,361.48","1,583,608.07","1,775,782.72","2,666,962.43","719,871.05","1,469,325.68","1,996,924.93","2,835,210.89","537,321.47","1,124,967.93","1,755,884.44","2,663,969.33","520,164.39","1,198,696.45","1,781,110.32","2,852,556.59","518,127.90","1,016,027.58","1,693,463.24","2,594,720.12","696,283.12","1,391,396.14","2,293,721.02","4,487,484.99","1,085,012.81","3,731,076.26","5,161,597.47","8,767,230.60","1,368,853.19","3,429,261.15"
营业外收入,"3,259,638.75","8,832,383.03","8,767,207.69","11,874,257.55","24,944,066.79","2,779,737.96","5,588,429.25","7,463,009.30","14,536,114.93","2,482,852.55","4,887,242.23","8,111,697.25","13,954,941.21","3,199,397.29","5,056,934.55","8,363,072.87","17,352,614.16","3,575,616.16","5,198,848.28","7,850,699.86","13,463,308.16","3,373,100.23","5,540,811.68","8,560,648.06","11,692,672.06","7,581,709.36","4,838,421.24","10,566,347.34","1,184,920.65","151,693.99","329,569.67"
销售费用,"2,804,030.81","4,976,933.08","10,218,034.18","10,777,471.58","14,931,263.37","2,912,058.46","7,044,806.03","10,338,110.39","15,524,495.65","4,367,170.16","9,481,893.65","14,244,294.99","19,836,060.21","4,995,705.34","10,451,729.03","16,194,973.70","25,786,119.70","6,548,479.35","12,439,038.74","17,973,584.14","29,206,564.21","5,225,105.51","11,035,875.91","15,877,220.28","24,105,610.71","15,209,701.12","31,615,595.07","47,585,438.27","67,704,713.12","13,963,802.12","32,247,022.53"
减:营业外支出,"26,870.50","173,971.46","111,292.04","170,913.67","136,664.16","49,741.65","99,307.39","210,820.13","164,676.16","39,638.67","91,429.76","152,259.59","152,889.38","42,848.61","104,340.03","164,124.44","267,805.19","74,069.45","142,848.10","198,635.88","259,194.51","102,338.47","93,969.32","1,375.09","154,069.64","30,433.41","341,773.04","499,553.23","229,098.15","24,096.43","97,506.18"
管理费用,"14,930,531.25","18,691,363.33","27,920,043.29","26,986,863.17","37,552,143.87","9,260,336.43","19,640,283.24","30,376,834.60","41,835,290.87","12,244,517.62","23,977,663.79","37,407,342.85","54,324,769.70","15,326,692.07","32,564,122.17","49,237,744.80","57,657,429.87","18,722,296.17","38,863,050.41","57,355,795.80","63,886,732.24","19,230,173.54","36,949,014.42","57,120,723.13","63,616,702.28","31,888,209.91","61,436,027.61","96,910,072.94","127,674,523.78","36,286,306.53","70,884,241.50"
其中:非流动资产处置净损失,,"4,597.09",,,,,,,,,,,,,"1,152.82","1,152.82","1,159.34",,,,,,,,,,"76,317.01","76,317.01",,,
