科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,388,130,630.80","1,566,666,571.61","1,812,119,066.36","1,274,210,255.07","2,097,901,805.03","344,996,215.90","932,065,926.48","1,591,085,669.94","2,626,826,006.74","405,535,404.84","964,628,880.47","1,831,510,177.15","2,928,938,746.71","459,705,625.25"
取得子公司及其他营业单位支付的现金净额,"11,999,997.91",,,,,,,,"8,776,047.28",,,"14,957,064.08","14,859,630.32",
收到的税费返还,,"19,827,651.79",,,,,,"1,630,976.88",,,"135,517.26","2,574,209.46",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,592,008.96","8,471,876.50","6,723,022.37","9,779,154.63","13,745,395.74","1,938,208.88","10,924,108.16","13,565,724.43","26,831,811.84","8,351,215.06","22,350,280.13","39,371,277.87","37,005,067.79","6,391,366.85"
投资活动现金流出小计,"80,742,266.36","76,139,453.93","97,301,096.29","65,561,645.73","98,323,265.96","17,585,639.69","260,536,646.31","305,543,426.33","366,314,239.05","34,674,320.55","399,913,922.13","466,506,308.74","249,673,301.42","399,065,687.04"
经营活动现金流入小计,"1,397,722,639.76","1,594,966,099.90","1,818,842,088.73","1,283,989,409.70","2,111,647,200.77","346,934,424.78","942,990,034.64","1,606,282,371.25","2,653,657,818.58","413,886,619.90","987,114,677.86","1,873,455,664.48","2,965,943,814.50","466,096,992.10"
投资活动产生的现金流量净额,"-80,434,145.76","-75,751,813.03","-96,197,062.21","-64,745,236.73","-96,802,246.96","-17,342,549.83","-260,014,764.66","-304,943,402.57","-362,633,151.99","187,061,114.96","-177,383,206.08","-142,583,941.80","-216,476,433.11","-4,798,876.68"
购买商品、接受劳务支付的现金,"725,065,071.37","747,229,474.88","964,121,082.99","631,791,450.15","907,962,602.52","169,115,326.76","445,578,048.02","796,443,660.52","1,188,828,247.84","272,847,659.95","558,874,731.07","1,254,952,346.53","1,572,671,414.80","364,757,064.26"
吸收投资收到的现金,"9,800,000.00",,,,,"898,179,217.54","885,235,281.27","885,235,281.27","897,628,499.27","2,013,199.95","12,489,199.95","13,813,199.95","21,613,199.95","500,000.00"
支付给职工以及为职工支付的现金,"243,534,202.07","327,178,432.75","412,250,205.65","427,324,106.88","565,229,708.76","172,556,406.22","325,621,022.22","483,525,642.09","649,705,858.89","213,138,248.77","404,090,694.74","602,662,084.05","808,618,156.90","255,066,713.46"
取得借款收到的现金,"25,000,000.00","50,458,324.62","189,734,734.74","153,000,000.00","189,463,308.65",,,,,,,"70,000,000.00","70,000,000.00",
