科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30
货币资金,"6,003,514.73","7,252,564.26","11,244,743.87","13,011,029.99","10,257,806.93","12,542,774.14","6,951,389.89","9,462,372.95","5,730,067.35","3,863,121.05","3,069,955.40","6,086,745.30","5,615,386.00","3,412,387.20","1,947,023.40","34,598,760.13","12,489,786.98","61,389,689.20","2,782,903.37","71,478,322.97","2,597,981.58","70,887,924.45","2,199,095.80","82,778,103.75","1,230,727.73","1,883,596.91","234,222,626.62","461,788,422.54","524,403,633.59","518,276,392.10","568,518,589.14","776,027,830.48","560,785,568.83","825,372,264.54","687,085,940.77","718,495,420.68","664,482,759.96","288,023,887.28","150,321,819.30","2,895,112.72","3,328,027.92","1,305,995.70","1,472,407.17","1,638,658.37","1,178,354.39","1,105,427.16","241,822.29"
短期借款,"618,950,509.18","617,144,699.02","582,737,692.02","279,785,189.90","279,785,189.90","279,785,189.90","279,785,189.90","279,785,189.90","279,785,189.90","267,547,889.90","267,547,889.90","209,353,700.06","209,353,700.06","209,353,700.06","209,353,700.06","194,353,700.06","183,353,700.06","183,353,700.06","183,353,700.06","163,741,018.56","163,741,018.56","163,741,018.56","163,741,018.56","163,741,018.56","163,741,018.56","163,741,018.56","628,558,901.89","697,949,646.25","652,281,942.24","576,908,483.00","446,937,000.00","675,139,975.57","616,166,175.57","1,212,388,345.57","1,303,751,531.95","903,691,139.68","997,416,913.05","615,862,978.98","868,459,138.68","1,030,349,590.60","1,030,349,590.60","1,177,301,528.83","1,171,530,504.55","1,168,383,286.55","1,162,218,564.26","1,170,153,977.76","1,235,891,311.92"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,262,856.11","51,327,783.59",,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,113,300,000.00","1,325,270,000.00","10,665,200.00","1,409,150,000.00","1,030,700,000.00","1,363,931,170.00","1,305,200.00","1,099,000,000.00","2,822,657.05","780,000.00",,,"300,000.00","1,919,901.33",,"28,454.05",,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,"451,336,682.24","884,751,569.95","1,217,087,585.49","1,287,484,031.26","1,552,487,027.32","1,576,551,144.51","1,666,095,638.11","2,003,899,438.00","1,917,138,990.84","2,309,778,718.04","2,161,927,510.00","1,486,201,780.00","641,080,800.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00",
应收账款,"10,544,897.36","17,033,478.60","15,193,698.44","15,214,367.44","13,120,701.21","12,801,790.63","11,420,478.36","10,743,625.94","9,422,022.96","10,722,486.10","9,257,038.81","7,182,694.30","8,542,621.16","8,109,045.69","7,118,555.93","28,827,169.25","20,159,067.97","12,487,082.80","10,996,544.53","3,542,537.62","3,294,015.19","3,617,211.94","3,660,206.26","1,459,155.64","1,799,479.29","1,523,464.33","195,423,392.31","250,693,664.74","335,102,567.67","360,785,859.57","379,670,367.01","288,145,351.44","541,078,832.58","943,417,655.22","887,666,077.55","240,985,029.90","253,130,948.12","258,245,947.12","257,463,677.85","234,832,243.00","236,967,382.46","236,170,717.66","231,770,024.23","477,231.85","477,231.85","477,231.85","477,231.85"
应付账款,"19,618,980.43","18,822,263.51","17,104,322.50","16,819,701.71","16,186,993.71","16,120,331.72","16,823,974.72","21,715,244.10","21,723,669.25","21,680,132.10","20,925,976.02","21,304,465.10","20,588,287.20","19,844,509.80","18,869,190.30","17,855,241.02","18,487,868.87","18,345,901.87","18,577,624.39","16,942,930.59","16,788,843.02","16,764,684.02","16,764,684.02","17,618,351.69","17,613,851.69","15,278,652.37","563,408,701.43","287,464,775.61","322,698,452.12","486,712,203.97","431,645,860.39","246,728,843.06","339,170,366.19","523,746,066.88","576,310,245.32","193,280,750.83","268,264,487.91","192,278,657.09","196,430,774.22","216,119,113.07","235,838,570.04","196,925,282.14","195,975,296.89","203,432,775.24","203,476,848.88","204,119,544.85",
预付款项,"8,198,967.87","10,109,699.45","8,571,611.97","879,408.00","938,716.00","1,264,570.00","880,408.00","1,056,315.00","1,354,675.00","1,267,765.00","1,462,165.00","415,212.50","629,328.80","908,861.76","1,027,641.72","1,261,556.62","1,166,987.94","513,306.00","1,194,155.13","14,938.00","14,938.00","14,938.00","14,938.00","14,938.00","14,938.00","14,938.00","424,273,142.32","246,780,760.68","1,404,176,496.09","379,265,293.84","1,268,421,664.69","292,502,133.09","1,504,907,784.29","1,029,736,931.66","1,180,609,018.84","930,534,721.35","948,854,198.11","980,347,298.19","987,811,442.70","880,461,981.57","897,452,381.21","877,925,148.18","875,727,984.24","14,563,303.89","14,490,506.93","14,557,762.85","14,617,007.55"
预收款项,"520,171.85","2,560,229.60","2,784,840.54","2,400,123.94","1,628,926.23","1,565,819.40","1,410,601.54","1,623,469.81","1,411,665.33","1,452,114.52","1,494,745.85","2,329,833.64","1,302,989.50","1,384,225.58","1,425,295.63","1,469,709.48","1,565,474.14","3,258,045.45","3,597,630.78","3,179,264.08","3,044,947.19","3,042,584.87","3,501,729.43","2,712,543.25","2,883,661.32","3,423,790.83","51,105,605.64","156,758,346.70","379,124,144.62","287,303,229.32","564,818,302.07","97,624,149.00","529,150,924.43","736,713,072.38","307,593,239.67","323,008,935.51","327,043,298.83","326,135,221.33","331,747,526.46","325,985,196.45","325,010,882.99","328,062,295.70","325,888,754.66","327,730,808.24","328,631,144.73","328,631,144.73","328,631,144.73"
