科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"71,884,086.46","110,103,530.21","744,140,672.45","737,842,564.16","567,189,079.51","2,976,581,535.26","2,841,832,096.83","2,735,943,415.47","2,567,695,440.89","2,362,177,547.36","2,174,738,094.39","2,080,078,566.94","1,948,808,557.38","1,843,625,334.14","1,596,241,999.88","1,470,795,989.86","1,450,882,601.87","1,139,009,939.77","810,172,554.09","873,935,559.13","435,699,206.58","506,897,463.76","541,002,020.36","550,230,650.58","613,815,258.34","647,104,866.68","844,291,851.55","749,751,233.35","532,769,779.27","398,971,284.92","385,194,502.52","575,775,951.05","596,297,764.30","501,611,887.84","381,025,204.13"
短期借款,,,,,,,,,,,,,,,,,"97,392,600.00",,,,,,,,,,,,,,,,,,
交易性金融资产,"649,055.00","1,502,420.00",,,,,,,,,,,,,,,,,"44,533,433.44",,"1,146,285.70","1,146,285.70","937,222.03","937,222.03","1,560,350.00","1,560,350.00","1,148,409.00","1,148,409.00","384,851.00","384,851.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"13,975,257.75","15,437,333.25","7,448,789.15","2,015,471.71","20,339,695.07","19,453,283.03","27,202,551.38","36,027,491.53","34,560,725.60","37,390,600.39","34,390,005.32","33,417,405.37","31,994,352.94","37,161,498.21","37,357,559.95","45,660,898.84","66,183,350.87","52,643,414.35","189,324,992.67","85,812,198.06","74,958,871.66","52,340,801.74","141,606,329.73","117,822,981.73","117,181,116.09","54,166,904.76","94,547,423.54","64,617,568.17","72,045,239.60","79,477,365.29","68,818,960.14","66,161,976.84","66,366,397.37","63,769,526.21","79,962,636.28"
应付账款,"2,084,330.00","217,684.03","1,250,354.54","3,953,503.34","19,534,782.15","16,369,613.78","15,340,536.36","14,591,984.79","14,803,661.79","15,540,407.51","14,609,495.85","13,804,491.72","28,672,817.78","27,527,927.05","24,183,095.13","28,150,880.81","31,016,981.46","19,532,353.55","48,279,172.06","25,638,976.37","36,220,776.95","37,417,931.37","36,912,718.63","38,476,760.21","75,361,950.69","98,067,306.59","45,066,350.02","120,238,165.54","275,230,785.34","169,088,590.49","162,320,011.92","153,572,670.45","148,327,147.85","144,409,132.62","149,987,913.96"
预付款项,"782,197.15","4,440,539.21","16,546,809.81","151,126,832.43","188,410,400.19","24,191,661.68","48,639,773.96","24,097,537.72","27,809,330.00","56,732,970.73","69,310,618.44","46,259,524.96","20,544,422.39","21,188,151.25","87,263,742.06","134,978,708.08","19,015,410.60","85,221,938.94","15,845,336.31","16,315,178.96","8,141,615.91","20,729,021.04","23,671,543.83","26,301,586.86","11,865,478.64","19,447,810.09","16,687,243.31","24,587,144.02","7,499,036.45","17,394,086.82","12,278,224.53","12,095,875.41","5,225,730.01","13,462,084.35","10,468,002.96"
预收款项,"56,393,394.25","49,760,660.15","137,353,268.94","176,711,584.57","150,367,834.73","142,193,583.63","129,660,633.16","118,971,641.28","115,654,183.15","101,996,734.20","96,416,190.22","94,708,569.49","118,036,968.29","127,822,215.82","179,412,995.52","239,116,604.43","366,788,792.00","217,600,246.62","235,110,130.86","128,197,376.44","105,910,933.23","80,771,263.15","77,183,263.54","81,150,071.51","107,683,627.84","99,375,097.20","99,110,344.56","102,783,131.86","116,821,379.28","138,980,267.96","118,236,959.87","118,350,724.02","123,862,057.90","123,535,059.33","120,493,614.31"
其他应收款,"11,735,553.29","13,176,781.32","5,587,823.68","7,402,472.93","10,286,320.90","7,859,101.05","8,410,197.13","9,749,887.74","27,856,802.49","29,622,870.93","28,917,176.91","27,091,805.71","27,250,781.74","30,414,864.85","31,333,484.93","31,926,738.17","177,458,896.69","95,591,733.69","297,067,566.96","339,525,487.12","424,342,558.91","639,815,829.24","378,407,444.80","380,086,145.05","64,575,961.45","78,332,567.09","26,090,332.94","30,535,280.03","22,666,996.39","22,593,178.59","26,195,964.10","97,351,176.49","15,889,183.83","14,345,160.79","14,960,960.04"
应付职工薪酬,"163,620.53","640,476.79","453,692.94","4,526,657.30",,,,,,,,,"8,397,591.80","1,327,860.21","1,174,736.60","1,542,701.84","34,431,969.46","326,438.44","415,288.06","428,579.91","31,191,900.42","171,364.12",,,"828,376.99","103,802.54",102.40,"7,281.50","34,620,807.06",,"2,721,277.74","1,509,989.36","41,381,573.32","975,270.48","1,921,777.38"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-522,987.66","-1,969,306.30","-10,963,276.38","4,052,394.60","392,270.84","-3,950,606.86","-1,315,712.48","111,189.95","-460,522.06","-1,178,741.07","-1,243,521.85","1,355,719.49","1,649,758.72","2,426,365.63","7,080,796.01","4,807,608.32","17,046,599.35","5,385,935.45","14,805,551.52","14,975,562.34","16,442,065.56","9,799,060.67","19,558,609.08","24,848,518.18","29,422,735.65","19,738,224.37","16,902,343.37","39,309,957.20","16,493,383.98","8,078,032.70","12,298,828.00","10,785,176.85","5,562,717.48","6,873,831.21","10,179,364.53"
应收利息,,,,,,,"20,724,436.72","9,970,589.04","23,554,979.97","11,790,944.50","25,050,560.58","27,013,407.88","38,989,716.12","14,746,037.11","23,028,132.11","18,014,914.27","27,164,670.29","5,998,772.68","5,657,014.81","1,611,506.88","3,073,424.69","4,612,082.22","104,690.44","192,000.00","233,246.58","1,075,315.07","2,791,263.70","1,740,671.23",,,,,"1,839,451.01","3,265,031.96","526,164.38"
应付利息,,,,,,,,,,,,,,,,,"70,523.11",,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,,"5,033.50",,,,,,,,,,,"423,982.28","275,887.95","330,491.62","383,462.42","533,182.35","831,049.79","1,017,420.10","949,583.88","283,062.84","176,961.96","314,361.31","225,166.02","253,253.54","199,412.08","529,782.06","356,913.53","279,660.06","220,466.19","370,507.13","286,225.52","294,887.37","170,166.62","418,193.35"
其他应付款,"933,407.16","1,278,167.86","2,691,876.75","2,995,272.94","7,716,058.78","3,566,730.74","9,754,415.15","3,366,053.02","27,738,861.69","12,118,558.14","8,031,701.19","11,316,496.47","12,191,581.82","11,367,022.69","13,931,030.86","8,907,766.39","37,780,874.73","120,324,268.15","248,146,825.76","236,616,706.62","46,513,355.89","96,189,811.89","43,267,034.23","45,725,232.01","67,934,341.30","95,421,118.50","67,104,727.08","53,429,484.71","62,865,595.02","129,078,242.32","126,671,940.20","121,823,745.33","100,808,914.41","15,703,042.55","15,948,809.84"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,"1,318,600.00","988,950.00",,,"988,950.00","988,950.00","988,950.00","988,950.00","1,411,813.68","461,477.83","453,137.99","465,361.32","444,278.82","325,784.84","224,179.40","48,669.97",,,,,,,,,,,
其他流动资产,,,,,,,,,"50,000,000.00","153,000,000.00","137,000,000.00","160,000,000.00","149,000,000.00","165,000,000.00","271,000,000.00","326,700,000.00","454,000,000.00","663,000,000.00","800,853,052.31","978,500,000.00","1,133,419,158.09","808,120,338.90","903,930,752.10","824,984,748.83","1,116,180,840.26","1,040,032,420.62","785,664,531.15","486,695,644.98","151,570,918.06","145,658,225.04","130,235,520.49","118,778,692.61","214,109,731.01","173,011,765.18","306,264,872.96"
其他流动负债,,"972,247.78","11,329,636.50","4,688,941.26",,,,,,,"988,950.00","988,950.00",,,,,,,,,,,,,,,,,"50,000.00","50,000.00",,,,,
流动资产合计,"99,026,149.65","144,665,637.49","773,724,095.09","898,387,341.23","786,225,495.67","3,028,085,581.02","2,946,809,056.02","2,815,788,921.50","2,731,477,278.95","2,650,714,933.91","2,469,406,455.64","2,373,860,710.86","2,217,011,812.85","2,112,411,773.51","2,046,555,410.55","2,028,460,711.64","2,195,238,112.67","2,042,296,849.22","2,164,471,370.69","2,296,649,514.03","2,081,064,184.38","2,033,838,784.56","1,989,974,364.60","1,900,780,501.10","1,925,665,504.90","1,841,919,646.39","1,771,750,837.25","1,359,432,864.31","787,216,480.83","664,699,457.85","623,093,678.91","870,449,897.92","900,023,144.90","769,635,622.95","793,626,034.10"
流动负债合计,"59,051,764.28","50,899,930.31","142,115,553.29","196,928,354.01","178,010,946.50","158,179,321.29","153,439,872.19","137,040,869.04","159,054,784.57","129,465,908.78","118,802,815.41","122,174,227.17","169,937,668.41","171,460,341.40","226,771,604.12","283,514,511.79","585,940,153.79","363,630,720.04","547,210,106.25","406,322,563.00","236,723,310.87","224,675,216.04","177,145,804.88","190,249,251.88","281,231,032.47","312,705,549.20","228,183,867.43","315,768,020.81","506,081,950.68","445,275,133.47","422,249,017.73","406,042,306.01","419,942,410.96","291,496,336.19","298,531,480.02"
可供出售金融资产,,,,,"723,290.50","715,955.00","698,560.80","472,932.00","512,362.40","554,450.40","551,890.40","504,582.60","570,027.55","556,436.40","489,909.00","498,734.10","515,747.20","471,101.40","469,106.25","535,662.40","663,464.90","784,179.00","200,990,481.60","200,680,443.20","217,613,094.80","216,852,606.70","217,412,264.27","217,720,000.00","207,789,081.35","207,789,081.35","207,789,081.35","207,789,081.35","205,750,000.00","205,750,000.00","205,750,000.00"
长期借款,,,,,,,,,,,,,,,"1,630,541.85","1,407,600.28","834,124.95","719,039.81","611,667.15","468,259.13","348,545.31","336,241.97","342,417.20","224,607.33",,,,,,,,,,,
持有至到期投资,,,,,,,,"36,000,000.00",,,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,"1,977,900.00","988,950.00","988,950.00","988,950.00","988,950.00",,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00",,"203,000,000.00","359,034,196.83","152,972,218.02","151,159,609.86","9,665,250.00","8,544,397.63","19,116,427.19","18,145,784.33","5,825,450.91","5,318,088.51","4,420,259.47","367,582,960.12","375,294,030.63","380,380,166.80","386,424,370.36"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,"89,903,801.62","88,743,488.64","106,768,334.40","122,893,140.75","121,200,521.47","133,719,800.82","162,690,771.83","160,355,947.47","158,021,123.12","175,858,180.37","173,067,889.03","170,277,597.69","167,487,306.34","164,714,199.99","161,941,093.64"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,700,490.61","188,700,490.61","188,700,490.61","188,700,490.61","215,989,520.65","215,989,520.65","254,959,610.47"
固定资产,"25,887,821.94","25,894,876.64","26,664,852.03","31,179,651.86","46,874,300.79","54,675,950.01","60,598,557.30","71,078,177.76","70,970,607.38","79,881,420.45","104,568,662.87","122,871,729.14","475,892,804.99","483,580,840.06","486,366,425.77","490,824,920.66","502,005,258.62","496,172,226.09","478,802,683.54","337,683,745.33","217,224,188.90","205,409,985.04","177,420,452.98","151,421,174.52","128,624,990.01","107,905,907.77","71,883,108.30","69,178,088.80","65,281,095.12","40,042,918.55","36,182,052.91","30,182,594.66","28,371,153.17","25,131,879.45","25,528,849.50"
递延所得税负债,"52,128.75","3,546.00",,,"137,971.49","136,572.21","295,181.86","132,210.59","131,448.52","131,432.31","132,178.16","132,599.73","5,529,672.05","5,344,378.78","5,120,375.28","5,944,584.32","12,977,433.98","18,306,111.95","21,349,609.83","17,703,080.09","11,572,985.91","10,619,895.54","10,018,299.72","9,776,349.36","9,017,614.90","8,498,094.95","7,724,805.36","7,331,494.53","8,031,337.31","7,412,462.57","6,713,772.17","3,934,172.87","2,829,343.26","2,528,472.29","2,462,421.29"
