科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
销售商品、提供劳务收到的现金,"26,825,933.39","66,329,920.84","163,323,445.55","622,576,687.18","382,446,630.41","699,592,315.94","1,083,545,712.64","1,318,384,851.96","100,241,950.39","125,997,039.82","223,644,227.74","461,205,333.74","212,688,241.14","375,376,722.96","651,262,984.76","978,941,065.90","126,790,814.62","297,331,170.53","4,293,285,892.13","5,791,290,292.61","1,397,256,091.11","2,509,123,308.11","3,035,699,497.05","5,015,193,049.67","1,275,691,185.18"
取得子公司及其他营业单位支付的现金净额,,,"112,860,000.00","112,860,000.00",,,,,,,,,"15,561,693.00","15,561,693.00","15,561,693.00","-23,985,031.69",,,,,,,,,
收到的税费返还,,,,,,,,,,,,"1,675,233.56",,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"2,191,726.49","5,733,874.24","242,000.00","331,200.00","625,200.00","669,270.00",,"30,000.00","40,000.00","40,000.00","-39,546,724.69","-39,546,724.69","-40,057,569.69","15,445,000.00","590,000.00","590,000.00","-41,332,372.62","8,688,646.78","39,710.03","144,139,710.03","144,382,185.33","61,955,255.01",
收到其他与经营活动有关的现金,"1,152,409.82","2,692,634.37","4,358,720.62","8,225,669.39","492,173.68","5,457,562.36","3,700,286.06","62,484,125.12","18,522,092.83","19,986,621.93","21,118,243.55","10,894,417.67","18,087,391.67","24,954,629.84","90,735,079.91","36,308,031.33","9,375,494.47","12,695,909.32","41,084,555.36","72,013,035.55","14,502,119.35","37,952,187.99","167,699,792.35","75,575,342.71","49,538,422.68"
投资活动现金流出小计,"1,238,550.60","59,406,816.23","593,293,556.75","645,565,157.74","8,404,962.85","18,310,797.03","23,766,954.52","23,637,655.22","6,055,113.29","11,122,512.68","12,360,646.62","14,797,066.93","-23,356,603.40","-20,663,602.51","-20,609,387.68","1,789,054.07","2,059,845.54","4,024,320.79","223,787,975.72","323,952,539.15","84,477,592.01","314,620,824.15","473,011,252.81","649,133,437.33","107,899,500.28"
经营活动现金流入小计,"27,978,343.21","69,022,555.21","167,682,166.17","630,802,356.57","382,938,804.09","705,049,878.30","1,087,245,998.70","1,380,868,977.08","118,764,043.22","145,983,661.75","244,762,471.29","473,774,984.97","230,775,632.81","400,331,352.80","741,998,064.67","1,015,249,097.23","136,166,309.09","310,027,079.85","4,334,370,447.49","5,863,303,328.16","1,411,758,210.46","2,547,075,496.10","3,203,399,289.40","5,090,768,392.38","1,325,229,607.86"
投资活动产生的现金流量净额,"-1,238,550.60","-59,406,816.23","-586,140,357.68","-608,346,178.57","-8,158,062.85","-18,047,987.03","-23,457,044.52","-23,322,235.22","-4,939,386.94","-9,979,636.25","-11,217,770.19","-13,654,190.50","23,356,603.40","20,663,602.51","20,609,387.68","-1,789,054.07","-2,059,845.54","-25,556,536.07","-132,333,860.36","-227,847,253.34","-60,098,842.17","-137,032,581.21","-84,932,125.07","-383,984,469.69","-42,383,866.94"
购买商品、接受劳务支付的现金,"6,108,540.52","9,067,465.92","105,648,230.48","460,143,022.20","322,219,983.24","624,683,809.09","829,240,845.63","967,048,103.15","8,557,653.88","15,321,707.60","210,482,988.30","371,145,001.02","72,214,406.84","359,421,380.16","526,062,211.28","746,156,579.49","151,907,644.30","278,745,735.74","2,029,459,368.91","2,904,062,810.68","667,438,736.21","1,184,039,647.46","1,699,455,563.19","2,591,375,123.97","485,833,362.33"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"5,844,840.29","11,878,801.19","17,799,550.18","30,257,262.03","15,458,532.18","24,930,680.49","34,169,669.63","47,196,480.01","9,489,051.27","20,902,892.90","30,326,553.51","41,951,807.45","14,813,916.62","25,757,941.14","35,987,932.70","49,146,159.52","14,163,016.63","25,028,261.58","171,028,736.91","321,268,068.91","54,587,361.94","128,562,292.98","203,753,642.91","319,205,458.31","36,339,187.03"
取得借款收到的现金,,,"550,000,000.00","450,000,000.00",,,,,"100,000,000.00","200,000,000.00","630,000,000.00","630,000,000.00",,"150,000,000.00","150,000,000.00","150,000,000.00",,,"340,000,000.00","500,000,000.00",,"200,000,000.00","430,000,000.00","2,383,550,000.00","50,000,000.00"
支付的各项税费,"13,660,650.17","24,926,983.64","30,703,474.61","41,434,673.17","20,708,167.04","37,887,842.19","43,189,074.99","54,611,329.54","24,230,252.09","32,631,592.75","42,181,745.38","58,898,094.97","21,096,289.23","30,972,191.36","42,776,820.63","57,209,483.27","19,020,219.55","23,239,668.51","709,051,654.85","898,151,647.64","173,517,351.09","416,492,366.29","615,724,403.37","874,368,159.01","236,684,085.56"
收到其他与筹资活动有关的现金,,,,"150,000,000.00",,,,,,,"6,000,000.00","14,387,166.67","50,000,000.00","50,000,000.00","50,000,000.00","110,908,705.20",,,"1,229,919.37",,"1,356,782.05","2,215,548.54","2,417,846.94",,"694,077.02"
支付其他与经营活动有关的现金,"4,327,374.25","8,920,423.92","13,126,593.04","19,074,451.15","4,981,383.25","12,022,112.52","14,520,635.33","22,825,437.53","3,547,807.41","7,651,328.59","12,793,797.65","25,484,078.23","13,908,096.14","22,229,536.09","103,283,932.22","56,125,095.12","8,669,946.77","15,923,188.10","114,322,411.73","186,315,655.70","49,768,302.09","95,617,793.82","233,545,308.39","341,273,807.88","66,296,598.22"
筹资活动现金流入小计,,,"550,000,000.00","600,000,000.00",,,,,"100,000,000.00","200,000,000.00","636,000,000.00","644,387,166.67","50,000,000.00","200,000,000.00","200,000,000.00","260,908,705.20",,,"341,229,919.37","500,000,000.00","1,356,782.05","202,215,548.54","432,417,846.94","2,383,550,000.00","50,694,077.02"
经营活动现金流出小计,"29,941,405.23","54,793,674.67","167,277,848.31","550,909,408.55","363,368,065.71","699,524,444.29","921,120,225.58","1,091,681,350.23","45,824,764.65","76,507,521.84","295,785,084.84","497,478,981.67","122,032,708.83","438,381,048.75","708,110,896.83","908,637,317.40","193,760,827.25","342,936,853.93","3,023,862,172.40","4,309,798,182.93","945,311,751.33","1,824,712,100.55","2,752,478,917.86","4,126,222,549.17","825,153,233.14"
偿还债务支付的现金,,,"100,000,000.00",,,,,"50,000,000.00","190,000,000.00","271,100,000.00","544,140,081.15","544,225,796.31","200,000,000.00","200,000,000.00","200,000,000.00","200,000,051.60",,,"696,395,978.43","1,219,800,378.79","114,838,402.97","478,859,522.09","641,722,730.20","2,710,201,948.89","179,757,981.00"
经营活动产生的现金流量净额,"-1,963,062.02","14,228,880.54","404,317.86","79,892,948.02","19,570,738.38","5,525,434.01","166,125,773.12","289,187,626.85","72,939,278.57","69,476,139.91","-51,022,613.55","-23,703,996.70","108,742,923.98","-38,049,695.95","33,887,167.84","106,611,779.83","-57,594,518.16","-32,909,774.08","1,310,508,275.09","1,553,505,145.23","466,446,459.13","722,363,395.55","450,920,371.54","964,545,843.21","500,076,374.72"
分配股利、利润或偿还利息支付的现金,,,"80,000,000.00","111,124,513.90",,"47,312.87","47,312.87","54,924,972.61","132,750.00","693,250.00","20,922,012.10","30,993,463.61","1,416,000.00","2,650,978.50","4,710,798.59","6,663,522.09","2,007,068.00","4,502,734.67","293,080,508.75","376,998,266.35","266,329,409.78","348,392,272.11","697,545,034.37","861,553,821.90","174,300,816.60"
收回投资收到的现金,,,"3,005,000.00","3,005,000.00",,,,,,,,,,,,,,,,,,,,"144,000,000.00","50,000,000.00"
支付其他与筹资活动有关的现金,,,,"130,000,000.00","5,000.00","205,000.00","305,602.00","1,770,005.75",110.92,110.92,"430,110.92","430,110.92","430,345.50","430,345.50","430,345.50","60,907,063.55",,,"4,847,294.89","5,668,465.98","1,675,985.67","2,412,533.18","4,041,507.20","6,337,827.88","1,308,254.79"
取得投资收益收到的现金,,,,,,,,,"1,044,000.00","1,044,000.00","1,044,000.00","1,044,000.00",,,,,,,"69,930,145.32","70,702,312.62","24,160,424.49","33,312,659.18","243,803,543.98","67,148,957.73","15,513,833.34"
筹资活动现金流出小计,,,"180,000,000.00","241,124,513.90","5,000.00","252,312.87","352,914.87","106,694,978.36","190,132,860.92","271,793,360.92","565,492,204.17","575,649,370.84","201,846,345.50","203,081,324.00","205,141,144.09","267,570,637.24","2,007,068.00","4,502,734.67","994,323,782.07","1,602,467,111.12","382,843,798.42","829,664,327.38","1,343,309,271.77","3,578,093,598.67","355,367,052.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"61,401.10","17,000.00","32,910.00","33,410.00","38,920.00","70,487.95","76,187.95","76,187.95","76,187.95",,,,,,,,,,,,9.91,
