科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"85,896,912.28","63,990,690.87","223,399,867.97","213,690,842.25","239,212,051.80","221,938,400.18","187,199,547.72","191,915,116.49","203,021,470.71","182,628,924.44","162,413,126.89","130,156,069.29","157,342,387.83","144,385,410.75","124,342,724.11","121,112,052.12","434,931,852.25","401,454,203.30","335,110,473.08","318,805,540.91","373,393,518.79","339,869,256.83","274,373,264.11","263,014,642.85","230,230,768.16","188,660,257.78","127,947,228.02","104,929,856.54","120,361,334.79","89,947,836.26","84,605,342.75","84,228,095.44","494,492,886.43","436,134,130.39","345,961,002.85","312,274,276.27","320,694,545.65","297,560,050.91","261,336,605.54","283,364,201.98","261,854,001.05","247,781,347.26","198,419,709.62","176,013,374.20","290,873,749.25","268,339,369.76"
短期借款,"30,000,000.00","30,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,"1,800,000.00","21,800,000.00","21,800,000.00",,"1,500,000.00","1,500,000.00","1,500,000.00","2,000,000.00","4,900,000.00","5,000,000.00","5,000,000.00","3,000,000.00","7,400,000.00","7,800,000.00","10,700,000.00","10,700,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,"100,000.00",,,,,,,,"60,000.00","60,000.00",,,,,"344,184.00","344,184.00",,"107,825.00",,"498,000.00","566,006.40",,,"50,000.00","83,000.00","83,000.00","61,848.20",,,,,,"2,000,000.00","2,300,000.00",,"800,000.00","170,000.00",
应付票据,"11,968,819.36",,"1,996,850.00","237,387.54","1,762,373.53",,"953,776.00","2,660,625.76","609,847.00","966,000.00","140,800.00","1,541,430.00","55,100.00","55,100.00",,,,,"9,060,245.00","12,465,396.00",,,"6,632,873.00","2,966,900.00","882,100.00","602,370.00",,,"3,739,289.00","1,815,028.00","552,000.00",,"4,873,574.80","1,729,187.00","764,610.00","7,637,283.00","2,344,220.00","1,483,200.00",,,,"410,000.00","2,367,324.80",,"6,770,125.00",
应收账款,"25,885,863.82","34,595,362.22","42,235,957.38","34,497,964.26","44,546,191.13","43,758,714.83","40,748,531.08","41,774,813.70","56,314,962.92","56,941,285.58","58,278,902.97","61,611,839.41","107,758,638.56","84,367,309.17","73,983,473.86","81,868,185.37","131,272,533.15","111,613,709.45","139,842,696.83","130,449,809.76","132,900,186.78","119,880,385.89","144,005,013.20","136,202,918.19","143,540,487.36","116,147,557.35","116,461,604.55","108,527,538.57","94,247,564.26","97,494,858.53","99,332,663.86","92,406,913.29","114,874,941.82","108,391,890.17","121,768,664.69","127,206,752.98","113,533,184.18","124,194,516.22","125,133,409.26","127,682,468.89","145,037,465.83","132,691,587.62","145,158,763.76","158,583,510.39","136,784,303.54","145,984,161.64"
应付账款,"7,108,467.69","9,038,865.35","15,705,428.78","10,284,478.69","5,459,016.99","9,248,347.53","4,334,499.72","5,456,409.40","21,361,732.01","22,608,075.21","18,489,979.63","19,543,637.90","31,059,824.35","31,156,703.10","27,694,709.10","36,608,804.03","44,337,707.43","44,106,831.07","68,727,460.50","67,148,191.01","49,308,240.83","48,748,223.44","50,977,448.67","46,717,696.55","47,170,789.96","51,647,609.40","46,144,698.66","66,485,288.21","69,742,543.00","77,817,408.60","87,588,857.22","80,028,719.99","91,914,612.63","85,693,789.71","67,200,039.74","73,652,296.12","83,278,259.08","65,184,623.60","72,544,086.14","70,511,067.77","57,671,081.13","50,737,731.60","43,171,459.06",,"65,031,885.65",
预付款项,"12,658,970.29","14,378,284.57","14,656,117.32","13,966,823.92","7,778,948.45","9,495,997.92","9,158,751.95","20,382,098.31","23,521,675.99","24,470,213.99","17,728,026.07","17,807,075.40","9,583,713.32","22,759,949.27","22,902,575.90","32,118,772.50","45,255,759.40","29,509,315.63","35,436,285.24","38,201,786.35","24,721,458.61","40,529,484.86","41,766,652.41","33,324,073.29","28,497,260.81","33,830,854.93","43,747,672.50","43,678,590.86","30,063,664.02","50,047,627.85","52,882,104.70","44,599,261.51","30,879,480.07","50,082,306.35","30,530,886.08","35,381,078.82","37,486,326.03","33,594,761.61","47,307,298.35","44,297,734.04","23,728,706.28","34,533,333.09","27,743,451.01","39,838,679.00","17,973,775.44","29,285,797.46"
预收款项,"29,309,538.22","21,524,027.28","27,068,668.20","34,423,833.23","34,157,764.46","31,798,988.38","30,272,626.60","39,487,754.67","26,676,626.50","28,613,124.10","32,422,038.55","33,424,553.10","29,114,855.27","37,967,706.61","37,841,434.61","39,225,856.89","36,542,616.81","41,978,236.46","40,070,102.99","29,153,200.81","74,297,519.25","80,307,575.92","90,506,113.35","60,736,762.04","35,910,012.54","30,491,398.42","38,103,687.79","34,886,217.41","38,488,521.54","49,869,322.42","57,855,229.08","86,634,404.26","107,736,716.81","80,197,665.58","39,456,153.52","39,505,221.07","34,801,569.59","36,111,169.03","28,889,803.45","30,637,821.82","20,356,716.79","20,261,993.37","13,315,615.68","13,910,485.35","15,453,707.66","34,011,923.99"
