科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"324,940,954.06","357,025,423.01","404,991,908.24","107,090,640.31","217,358,327.21","342,784,853.98","527,836,432.84","129,040,988.56","262,504,085.93","385,845,967.43","683,635,157.84","237,461,355.60","439,715,241.19","679,710,447.81","922,576,868.44","237,186,277.82","462,267,729.48","686,352,268.34","1,015,508,407.89","242,705,320.29","482,395,292.19","710,279,476.89","1,025,505,519.08","216,321,034.94"
二、营业利润,"70,203,858.97","67,228,777.87","79,140,534.07","22,261,911.87","41,931,339.85","64,380,752.75","87,400,356.51","20,055,479.65","36,647,396.87","45,412,222.32","126,458,628.47","45,837,272.86","89,328,202.05","124,073,766.56","167,738,213.15","37,417,975.80","69,250,333.17","102,877,353.11","148,759,888.44","34,856,577.89","60,656,020.40","88,645,255.87","138,400,678.36","35,273,468.10"
减:营业成本,"229,262,713.44","266,014,685.23","295,598,519.13","76,713,683.95","156,179,344.73","249,045,562.07","395,260,004.82","99,648,277.19","205,493,451.22","308,510,184.22","503,070,982.53","174,000,887.21","315,871,132.17","500,346,791.44","679,950,845.11","185,468,169.35","363,208,140.49","537,511,270.05","801,836,520.41","187,894,895.00","380,624,014.20","565,974,460.84","812,192,878.02","163,733,037.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,255,758.06","1,148,169.20","1,865,601.22",,"932,272.03","1,547,426.22","2,716,021.55","255,733.67","676,387.21","938,355.34","2,088,460.99","1,362,454.16","1,985,159.77","2,900,203.11","6,257,151.45","1,085,450.94","2,426,570.95","3,573,298.16","5,975,428.76","1,309,268.96","2,789,969.30","4,028,428.10","6,345,942.36","1,448,837.41"
营业外收入,"1,118,998.67","559,951.85","1,554,684.48",,"357,954.52","686,071.44","911,533.82","226,640.92","503,232.47","758,820.38","1,278,369.30","739,951.97","1,086,292.27","1,474,735.63","2,788,754.51","293,254.72","2,732,107.73","3,443,025.86","2,592,918.92","36,168.32","913,473.28","981,167.61","236,082.48","92,351.30"
销售费用,"1,801,375.24","2,251,287.18","2,880,037.10",,"1,435,491.65","2,327,074.25","3,425,147.73","1,263,167.27","2,413,983.96","3,676,388.38","6,771,755.70","2,479,054.88","4,838,642.52","7,702,324.98","10,870,658.92","2,907,599.69","5,398,611.34","8,487,730.86","12,048,507.75","3,592,283.63","6,985,774.20","10,990,795.45","14,992,307.42","3,673,420.90"
减:营业外支出,"109,189.16","43,367.34","14,966.35",,"24,499.04","24,499.04","30,894.04","20,000.00","20,000.00","35,479.52","686,198.62","44,381.30","46,589.30","78,155.30","105,018.72",17.35,"33,050.59","292,440.85","247,753.95","3,084.63","428,761.07","472,477.92","806,863.50","58,411.69"
管理费用,"19,101,606.18","17,296,203.26","22,723,470.13",,"14,679,265.12","22,668,174.90","36,168,991.16","8,015,907.49","17,519,625.24","27,267,411.27","49,862,033.35","13,926,780.33","28,534,432.83","46,584,884.08","60,068,417.34","11,171,190.38","23,806,649.82","38,135,597.42","51,509,988.20","14,973,025.55","30,300,041.16","33,613,227.59","41,642,416.97","9,490,446.88"
其中:非流动资产处置净损失,"59,182.32","43,367.34","14,966.35",,,"24,499.04","30,894.04",,,,"10,319.10","44,381.30","44,381.30","55,947.30","82,668.60",,"7,719.60","45,675.83",,,,,,
