科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,714,722,780.86","3,028,473,306.56","3,374,319,230.57","1,413,536,470.04","2,015,572,291.17","2,582,212,565.77","479,662,392.61","1,019,807,687.07","1,701,857,748.74","2,197,645,676.84","510,654,832.41","1,156,537,092.74","1,634,701,192.56","2,284,239,161.19","510,947,394.76","934,924,187.94","1,243,109,899.88","1,614,311,800.35","366,747,036.50","675,744,496.42","979,121,900.75","1,373,422,991.93","468,838,287.04","1,039,600,592.15","1,516,441,386.56","2,198,909,742.38","834,173,300.78","1,999,678,693.75","2,674,609,687.49","3,730,381,317.89","612,566,247.63"
二、营业利润,"72,201,692.64","106,236,439.16","117,223,243.24","64,400,597.14","90,335,698.66","113,129,794.66","21,511,661.48","32,850,954.97","49,989,904.59","58,623,113.36","4,905,617.31","18,396,322.81","28,943,635.62","34,821,239.87","-27,365,777.49","-96,533,479.72","-200,170,256.42","-496,089,227.84","-63,908,839.57","-63,933,027.97","-78,394,700.75","18,257,783.29","3,168,317.03","6,646,446.64","36,250,164.98","146,844,595.29","50,663,372.60","68,718,088.95","47,081,875.09","35,051,614.96","-40,644,436.12"
减:营业成本,"1,597,341,197.14","2,838,906,165.30","3,170,372,788.48","1,310,398,252.86","1,868,296,949.20","2,398,961,489.38","439,629,469.84","942,617,952.03","1,582,617,667.34","2,045,112,714.97","483,545,938.11","1,070,639,404.26","1,513,338,445.19","2,120,592,247.31","499,677,296.93","921,592,696.00","1,247,402,135.43","1,625,113,759.07","352,210,319.11","624,709,336.85","907,652,684.87","1,269,868,686.58","424,568,590.51","932,747,752.43","1,388,125,921.20","1,892,438,353.80","741,785,694.70","1,816,343,964.02","2,466,546,831.36","3,321,779,560.99","608,809,838.66"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"433,645.99","3,037,581.00","1,287,674.06","477,893.16","896,338.68","1,105,277.38","5,805.55","58,773.90","58,773.90","862,441.19","131,958.26","7,345,032.66","8,333,493.33","8,915,873.27","755,825.89","894,144.16","1,036,065.90","1,281,323.79","2,475,126.04","4,983,773.50","6,516,452.49","13,634,749.86","5,218,999.47","9,506,528.89","17,548,175.60","23,982,223.57","3,536,736.05","9,609,090.17","11,490,237.99","22,859,083.94","1,953,842.02"
营业外收入,"9,586,268.82","10,292,277.94","5,511,937.92","3,879,904.59","5,542,052.04","8,313,229.14","1,783,206.78","3,030,810.12","4,427,895.05","14,925,227.97","5,906,835.31","13,277,857.31","16,667,928.98","36,686,543.59","3,227,142.44","5,014,398.62","36,098,115.38","23,275,724.42","2,113,615.54","9,312,623.55","11,210,172.36","18,078,363.57","2,897,243.72","74,088,015.27","84,898,286.10","100,073,085.66","2,438,406.06","224,314,925.46","246,757,100.80","252,187,215.88","7,101,004.95"
销售费用,"7,685,555.52","9,694,110.86","10,606,879.89","4,592,924.78","6,714,610.65","8,879,337.64","2,036,005.91","3,963,851.63","6,508,975.61","8,609,673.96","1,856,861.78","3,960,034.01","6,124,973.31","9,097,010.70","2,056,122.66","4,053,270.28","6,446,751.72","9,144,803.67","3,020,150.01","5,670,469.62","8,143,385.54","13,593,213.26","3,322,703.89","6,338,746.51","9,881,085.20","13,338,805.64","2,304,185.79","5,306,094.97","8,974,948.26","17,013,188.14","5,134,389.70"
减:营业外支出,"817,236.51","784,633.98","1,031,133.40","5,230.00","8,069.36","833,704.14","70,188.65","101,357.89","101,357.89","118,387.57",1.00,"9,809.59","9,809.59","10,648.35",,,,"4,798,044.23",,,,"5,381.35",,"5,174.24","5,177.60","22,493.64","180,059.00","256,202.78","833,651.69","17,753,537.06","625,500.94"
管理费用,"16,180,929.79","21,745,305.14","24,978,935.15","11,957,676.94","19,197,832.56","29,131,310.85","7,089,031.33","14,779,760.51","21,890,288.77","29,116,236.62","7,095,096.08","16,220,773.22","24,803,425.48","32,608,043.79","7,507,257.24","15,970,184.57","34,289,946.23","61,708,957.83","21,952,634.29","43,588,020.07","67,106,443.98","87,821,320.20","20,703,874.93","47,378,684.94","80,734,087.23","120,679,433.77","32,465,878.10","74,638,955.27","105,980,826.84","138,271,192.50","24,567,283.71"
其中:非流动资产处置净损失,"156,819.48","74,099.35",533.40,,"2,839.36","2,839.36","49,068.65","50,237.89","50,237.89","67,267.57",,,,"10,647.35",,,,"4,797,776.14",,,,"5,381.35",,157.34,157.34,,,,,,
