科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"58,896,155.97","117,308,872.39","183,644,540.38","41,603,138.04","95,870,847.01","159,261,813.74","225,363,031.23","55,257,058.57","128,398,743.85","244,440,935.84","380,504,081.63","133,956,799.36","339,499,686.18","560,677,520.81","774,764,161.58","217,022,588.84","457,430,975.45","724,895,826.03","1,123,778,618.24","508,548,977.30","954,410,161.73","1,355,779,792.76","1,854,687,805.34","456,536,042.84","826,962,418.23","1,279,032,900.63","1,768,214,466.66","482,786,601.50","1,144,435,819.27","1,581,983,156.00","1,970,323,556.32","355,788,447.93"
二、营业利润,"15,278,239.14","46,024,117.48","62,664,032.65","12,683,685.29","36,286,592.95","56,871,288.11","91,341,159.93","15,562,595.87","48,253,218.18","99,673,752.67","159,443,242.10","47,581,044.85","123,035,476.92","218,895,084.29","346,660,855.20","92,948,929.62","197,210,025.75","315,562,427.42","511,737,525.46","239,063,581.20","445,574,826.03","596,962,060.64","539,258,030.54","198,360,627.04","335,671,114.81","485,358,594.21","253,173,308.74","161,525,053.40","457,965,013.89","614,796,087.79","-3,025,944,792.77","218,580,321.44"
减:营业成本,"32,784,562.59","47,436,211.68","86,250,767.63","17,379,813.62","37,389,664.65","69,243,405.49","105,074,571.90","33,249,139.78","69,481,560.72","115,599,519.16","173,374,712.48","64,063,086.90","153,433,676.92","229,154,658.45","296,313,294.61","80,946,349.77","170,160,835.67","273,809,822.97","433,409,147.04","200,490,131.28","370,641,017.97","524,492,736.61","813,325,299.36","172,410,577.57","319,988,370.38","506,778,773.94","725,450,080.92","205,745,183.47","432,120,844.86","602,453,498.82","763,082,404.85","130,765,288.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,673,826.45","3,632,457.33","5,824,467.22","1,322,262.44","3,270,475.40","5,188,933.40","7,785,942.75","1,720,438.91","4,048,165.35","7,472,361.96","11,927,538.31","4,195,765.51","7,285,828.56","8,066,126.76","9,173,860.13","724,363.81","1,785,254.33","2,649,744.97","4,681,310.82","1,142,163.42","2,359,206.32","3,737,681.92","9,744,329.60","983,734.37","1,883,377.93","2,487,793.79","5,763,341.76","1,070,360.83","5,878,859.36","27,020,800.40","8,970,898.34","1,046,318.35"
营业外收入,"555,445.90","605,380.00","1,497,650.12","190,000.00","1,190,000.00","3,274,650.00","4,134,355.88","4,084,176.46","4,668,352.92","6,252,529.38","14,138,690.80","1,930,998.02","4,450,116.40","14,325,799.08","22,288,276.32","2,203,644.38","9,522,522.09","15,417,197.86","24,740,990.15","2,927,477.51","9,285,767.44","14,889,298.86","34,470,416.33","2,405,496.72","621,855.95","5,643,151.66","8,422,736.38","299,808.99","351,051.73","2,958.27","138,596.51",0.06
销售费用,"1,911,466.01","2,629,121.64","3,860,735.22","1,303,259.47","2,097,025.27","3,085,668.55","4,287,174.88","1,513,471.12","3,045,494.60","6,730,238.37","8,287,250.11","3,428,546.25","8,718,125.45","17,395,328.06","26,170,387.53","8,825,364.79","16,318,884.33","23,366,646.35","28,978,952.27","9,002,959.94","14,589,808.28","19,705,398.69","27,561,497.74","6,812,187.89","14,540,253.27","19,963,547.07","26,376,035.38","7,925,591.92","14,159,144.74","20,801,089.85","31,398,252.49","6,794,356.08"
减:营业外支出,"2,203.10","55,545.51","4,030.00",112.50,112.50,"116,899.20","124,743.57","27,033.94","1,027,033.94","1,027,515.44","1,088,044.83","1,641.06","7,382.96","13,451.70","447,285.00",,"50,206.78","40,202.68","948,775.68","414,030.27","719,602.78","1,341,281.21","4,506,573.04","6,300.55","348,918.99","404,724.35","27,833,165.33","28,724.88","677,222.74","677,229.41","25,442,283.63","98,042.93"
管理费用,"6,092,041.67","19,561,568.76","26,840,849.81","9,495,827.12","17,783,368.21","26,224,930.37","33,178,122.73","8,089,984.09","13,302,670.44","30,600,987.56","49,231,668.51","20,099,270.32","56,449,055.74","99,212,562.57","140,974,313.05","38,724,672.57","75,292,046.81","115,338,766.82","184,376,221.17","58,962,306.96","121,844,225.97","198,294,603.58","342,592,969.71","79,922,291.00","188,041,404.13","309,650,245.50","498,476,782.54","111,574,231.61","261,814,953.12","88,367,112.17","140,006,309.74","24,855,978.73"
其中:非流动资产处置净损失,,"55,545.51",,,,112.50,"3,577.23","27,033.94","27,033.94","27,515.44","87,844.83","1,641.06","7,382.96","13,451.70","59,784.97",,,,"54,316.69","205,486.73","218,125.09","360,733.36","602,817.78",624.80,"254,439.75","308,289.43",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-40,610.55","-194,504.17","-1,819,033.95","-581,709.90","-1,067,011.06","-1,463,143.77","-14,844,887.55","-4,878,571.20","-10,108,721.71","-16,065,538.28","-23,867,529.52","-7,772,916.12","-12,996,029.32","-17,925,321.31","-23,151,999.67","-7,195,952.33","-9,353,970.78","-11,228,307.56","-12,254,296.15","-2,274,331.85","-5,575,304.42","3,991,370.19","10,267,165.76","13,676,895.67","32,063,174.70","48,543,685.21","58,259,234.47","18,373,852.18","17,935,845.29","21,108,450.19","15,545,806.92","-6,524,766.98"
