科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"5,561,282.85","16,969,662.95","37,275,030.53","36,718,252.58","90,427,987.82","322,200,020.40","247,536,543.81","214,435,285.67","192,126,794.16","179,370,743.19","141,315,203.09","120,422,676.69","108,741,178.36","104,533,151.69","105,916,262.87","97,193,963.85","73,812,406.10","95,455,596.17","93,564,729.49","45,386,863.80","47,839,491.46","84,101,842.94","84,134,190.42","317,716,663.03","464,302,330.40","334,807,971.94","284,739,189.24","308,989,238.53","216,178,281.88","257,036,664.19","216,178,281.88","275,409,525.41","287,683,925.65","275,341,276.70","237,160,161.23"
短期借款,"5,500,000.00","9,900,000.00","15,500,000.00","18,000,000.00","68,000,000.00","68,000,000.00","20,000,000.00","35,000,000.00","35,022,772.60","32,000,000.00","12,000,000.00","27,000,000.00","38,544,200.00","18,000,000.00","39,152,100.00","38,000,000.00","42,152,500.00","67,366,527.01","95,484,284.51","133,496,506.96","170,794,610.92","274,984,580.52","330,000,000.00","260,000,000.00","273,000,000.00","459,685,139.22","570,000,000.00","562,136,200.00","698,437,850.00","757,391,975.00","698,437,850.00","665,670,675.00","793,710,370.00","906,417,620.00","912,731,375.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,"11,212,328.37",,,,,,,,,,,,"44,750,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"350,000.00",,,"1,216,800.00","200,000.00","2,147,172.30","2,280,694.92","2,131,043.46","20,380,299.65","38,162,096.90","63,351,098.25","55,389,098.88","73,300,797.12","59,744,945.34","70,707,516.89","99,995,619.72","118,291,255.81","98,573,344.42","116,521,837.50","102,599,940.35","130,247,514.99","182,151,704.90","173,762,654.01","138,698,003.56","214,152,955.03","206,198,346.98","231,789,063.05","264,499,582.17","242,565,667.69","264,499,582.17","241,096,364.09","131,460,468.94","206,827,687.77","215,790,691.94"
应付票据,"5,004,278.05","6,450,000.00","16,200,000.00","6,200,000.00","22,849,711.07","39,200,988.27","40,097,665.20","20,546,388.00","25,274,540.00","30,673,005.60","26,338,465.60","40,683,727.21","46,851,907.21","62,586,294.04","56,114,608.86","54,242,831.89","102,363,838.10","131,621,113.88","118,877,091.71","96,943,478.86","100,138,063.09","94,350,319.51","131,383,119.98","123,676,739.69","121,299,549.08","138,022,343.96","166,567,527.71","190,454,586.69","164,852,090.20","126,623,178.09","169,000,515.79","123,432,800.42",,"143,785,667.72",
应收账款,"9,124,905.16","32,730,126.81","45,080,400.70","53,625,171.27","67,793,677.35","53,520,206.72","58,947,590.59","60,506,843.72","64,981,008.34","56,718,155.52","63,791,873.33","75,624,940.11","90,909,286.55","76,130,977.27","91,681,985.94","103,339,782.81","108,699,937.71","104,955,026.81","142,177,178.78","103,176,361.72","135,869,413.11","149,963,818.50","270,195,172.43","286,773,604.72","312,554,343.06","404,553,319.25","526,588,163.95","562,010,670.48","561,134,446.30","552,328,862.06","542,412,711.23","534,122,310.89","528,289,415.98","284,926,009.99","323,982,399.79"
应付账款,"29,060,142.70","53,204,760.74","62,237,623.34","59,610,174.97","77,046,367.11","62,832,929.80","67,120,262.08","67,786,344.03","70,654,923.39","58,631,417.82","89,238,928.88","90,984,132.35","100,725,536.67","117,363,851.71","127,181,289.19","130,846,223.54","149,539,383.72","200,113,276.02","185,538,176.48","173,273,782.41","190,838,445.48","227,896,181.40","297,861,049.76","213,281,072.83","302,414,777.33","401,719,703.66","370,479,804.53","317,481,004.99","375,912,808.18","354,274,077.31","361,065,183.97","368,904,249.54",,"342,526,996.44",
预付款项,"5,437,276.04","13,660,395.63","15,892,223.04","13,586,210.62","21,563,414.80","12,949,001.81","18,469,525.42","26,216,529.60","14,048,926.01","13,026,430.45","17,928,735.48","13,317,572.36","36,679,431.63","6,788,962.53","7,129,501.47","6,644,128.60","4,272,991.73","6,737,213.92","9,717,177.89","13,927,253.48","17,879,291.68","11,853,801.57","18,309,545.54","16,428,984.98","22,953,983.60","11,034,677.60","22,791,762.97","16,811,811.00","18,652,048.56","18,933,456.65","18,652,048.56","17,869,746.73","17,286,777.82","20,005,963.84","24,699,767.41"
预收款项,"145,980.22","327,613.91","42,088.52","377,441.61","2,034,867.36","66,146.56","30,300.00","79,212.13","424,766.21","175,982.20","428,885.27",,,"363,280.43",,"100,712.27","243,769.75","6,060,195.00","5,678,055.24","1,304,699.61","8,924,854.08","16,303,033.48","10,690,794.74","742,280.77","8,155,402.37","18,054,170.88","431,181.20","2,408,567.10","2,158,494.08","14,998,135.60","2,158,494.08","9,282,293.98","14,764,460.74","38,037,660.38","9,196,318.54"
其他应收款,"9,668,739.50","223,098.13","1,071,833.97","864,618.94","542,552.31","1,724,259.81","2,322,199.94","862,092.15","5,064,643.91","1,859,184.41","1,804,352.73","5,991,195.24","1,452,337.20","187,423.32","188,262.80","235,073.33","950,765.20","2,784,106.72","3,013,197.41","3,285,488.50","3,292,451.24","3,255,469.54","8,028,730.64","5,003,824.94","10,721,565.10","6,619,114.35","18,172,906.73","38,757,058.07","61,608,261.00","32,918,631.94","31,070,206.05","8,152,789.56","8,948,696.37","6,449,865.28","7,562,457.21"
应付职工薪酬,"1,122,393.01","1,928,515.36","3,065,882.09","1,869,923.22","1,836,880.88","4,203,777.27","2,496,304.71","2,368,876.25","2,513,258.83","4,172,453.97","3,867,856.93","5,164,848.96","6,909,263.05","8,911,994.69","6,401,216.70","6,167,418.29","7,402,096.07","5,900,607.74","5,328,193.46","5,805,401.34","6,477,100.67","8,449,502.69","11,996,826.97","17,744,076.13","18,364,861.86","33,295,337.69","29,935,407.76","28,982,611.62","31,454,339.45","33,586,818.69","31,454,339.45","30,687,154.18","29,293,706.06","35,868,384.74","33,688,188.24"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-75,553.66","-755,235.38","-1,640,068.85","3,845,026.68","3,137,933.87","1,326,550.11","500,917.37","683,798.09","-634,513.28","2,384,992.95","-429,079.26","-959,682.09","-2,233,147.53","2,007,410.92","921,850.44","4,207,364.26","708,696.04","6,938,636.95","6,163,795.62","3,522,923.58","5,376,230.67","10,257,424.06","10,434,172.94","25,520,455.31","31,002,512.19","33,338,947.61","36,588,699.50","12,654,955.94","9,031,994.18","20,475,187.83","9,031,994.18","10,182,970.02","8,700,397.34","6,450,458.93","9,167,081.56"
应收利息,,,,,,,"1,111,363.86","1,908,466.36","1,850,370.39","2,440,752.20","1,386,163.45","1,352,554.89","1,344,437.20","1,647,145.88","237,588.42","690,170.14","40,946.67",,,,,,,,,,,,,,,,,"480,910.96",
应付利息,"13,680.00","17,579.65","25,828.77","32,654.80",,"135,595.05","82,758.66","178,718.35","105,114.74","54,136.99","21,698.63","34,668.49","63,043.99","28,000.00","24,894.29","24,394.52","128,044.60","177,609.19","323,173.89","323,101.35","406,220.08","596,103.13","566,359.76","310,939.26","370,662.93","485,749.99","683,148.97","480,557.40","742,512.04","1,665,041.27","1,742,512.04","1,709,375.22",,"1,101,274.90","588,610.98"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,"7,527,000.70",,,"13,073.33",,,,,,,,,"13,468,259.94",,,
