科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"407,403.09","1,179,625.74","1,624,926.97","1,070,247.70","-67,967.87","-583,419.45","-241,415.03","1,248,517.35","-1,641,504.14","-51,678.43","-571,804.19","-268,377.55","97,098.14","719,204.97","33,329.69","259,484.77","-149,160.71","-225,457.30","-200,831.67","67,676.07","-1,592,129.24","-1,939,628.26","-3,135,641.40","-3,374,625.17","-2,815,853.58","-3,332,597.11","-9,350,428.30","-11,758,392.79","-1,287,477.42","-3,870,390.39","-6,302,919.64","-7,481,773.89","-1,245,794.64","-3,646,069.75","-7,011,098.21","-11,245,962.52","-759,692.24","-4,590,384.89","-5,512,616.32","-12,437,700.14","362,776.42","177,578.07","62,400.98","-1,939,582.36","1,117,824.07","-736,262.52","-2,804,322.42","-3,088,034.01","1,523,254.04"
三、利润总额,"17,889,109.50","36,278,258.39","51,473,545.67","69,170,447.17","20,010,304.77","41,106,507.60","62,730,206.42","84,213,827.93","22,073,531.45","49,090,357.08","74,478,308.52","122,250,413.13","28,048,568.98","58,449,092.97","91,474,460.33","143,131,578.36","35,218,599.03","73,242,880.29","116,368,386.93","173,875,992.77","44,811,048.16","95,183,217.22","143,539,999.34","212,220,948.25","51,280,287.00","90,226,791.37","140,424,238.04","206,063,469.79","39,814,650.05","76,232,726.46","119,969,781.94","179,111,987.09","42,913,127.21","93,366,969.96","146,555,624.47","212,780,244.82","48,129,482.08","104,931,160.70","174,761,911.40","243,156,120.05","50,426,104.06","101,286,352.89","165,455,242.68","246,305,177.13","51,549,980.72","110,594,361.48","179,946,037.29","266,062,865.80","60,001,239.66"
资产减值损失,"2,856,645.93","3,071,111.87","3,891,935.91","4,017,244.70","3,240,374.81","4,199,601.58","10,286,319.71","10,528,340.78","6,388,091.63","5,742,749.32","6,227,583.09","5,419,604.48","7,258,971.91","4,936,940.44","5,047,532.04","1,733,582.30","7,093,289.24","6,636,394.43","4,637,294.35","3,666,833.40","1,909,868.29","3,766,037.59","4,277,727.50","3,684,022.44","1,525,446.93","925,704.23","2,264,269.06","5,237,551.74","-840,192.11","520,726.82","2,079,312.29","2,294,774.35","3,654,292.53","3,885,985.47","4,830,216.71","15,254,293.70","-966,776.80","-467,018.50","1,783,300.90","19,150,460.10","-2,515,157.53","-1,333,552.89","978,697.74","4,817,032.67","336,779.03","2,169,814.27","5,681,013.28","13,932,699.16","2,780,932.21"
减:所得税,"5,330,776.43","9,769,144.72","13,753,744.81","12,843,770.90","4,766,830.84","9,811,141.44","14,892,787.75","13,852,716.98","3,485,168.11","8,859,153.43","12,924,354.88","19,454,239.62","4,197,190.68","8,526,151.48","13,481,909.38","21,054,773.62","5,332,056.57","10,840,782.47","17,483,482.70","26,083,459.02","6,721,657.22","15,139,785.36","22,436,327.99","31,960,391.48","7,775,404.99","13,512,583.82","21,025,424.55","30,372,122.99","5,875,182.13","10,864,289.43","17,399,102.16","25,628,468.14","6,209,655.51","13,545,988.37","20,806,896.80","30,500,525.01","7,327,076.80","15,801,054.91","26,013,389.28","35,630,783.94","7,563,496.17","16,170,525.87","26,404,822.35","35,020,826.95","7,990,559.02","17,049,422.70","26,924,963.76","35,478,748.35","8,569,974.86"
加:公允价值变动净收益,,,,,"-932,030.40","-1,647,284.00","-1,890,204.00","-617,746.00",,,,"617,746.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"325,826.74",,"-53,031.93","-53,030.45","-1,443,848.47","528,343.32","754,537.58","745,346.08","338,396.12","10,729.31","-55,739.98","641,107.64","659,756.16","-257,376.88","-577,501.96","-963,027.96","1,366,444.54",,,,,,"766,666.67","1,533,333.34","2,658,333.34","325,000.00","325,000.00","325,000.00","2,029,931.51","1,323,863.01","1,323,863.01","1,323,863.01","3,685,315.06",,,,,,,"2,413,972.60","5,053,150.69",,"3,901,369.87","3,901,369.87","11,248,031.67","32,301.29"
四、净利润,"12,558,333.07","26,509,113.67","37,719,800.86","56,326,676.27","15,243,473.93","31,295,366.16","47,837,418.67","70,361,110.95","18,588,363.34","40,231,203.65","61,553,953.64","102,796,173.51","23,851,378.30","49,922,941.49","77,992,550.95","122,076,804.74","29,886,542.46","62,402,097.82","98,884,904.23","147,792,533.75","38,089,390.94","80,043,431.86","121,103,671.35","180,260,556.77","43,504,882.01","76,714,207.55","119,398,813.49","175,691,346.80","33,939,467.92","65,368,437.03","102,570,679.78","153,483,518.95","36,703,471.70","79,820,981.59","125,748,727.67","182,279,719.81","40,802,405.28","89,130,105.79","148,748,522.12","207,525,336.11","42,862,607.89","85,115,827.02","139,050,420.33","211,284,350.18","43,559,421.70","93,544,938.78","153,021,073.53","230,584,117.45","51,431,264.80"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"12,050,802.19","25,287,885.51","35,915,583.46","53,811,371.65","14,765,845.21","30,317,846.67","46,178,914.55","68,050,165.65","18,091,667.05","39,078,803.56","60,005,084.16","100,690,892.49","23,526,326.40","49,356,209.91","77,383,265.13","121,235,153.99","29,775,692.35","62,145,481.65","98,860,904.28","147,844,170.70","38,082,176.33","81,122,947.75","121,968,031.08","178,770,833.38","43,692,282.29","76,970,166.23","119,616,745.96","176,269,220.53","34,086,528.18","66,112,817.31","103,829,365.43","154,491,070.54","36,302,131.39","78,835,354.99","123,440,606.69","178,539,016.85","39,592,396.75","86,956,642.12","145,031,102.65","202,710,560.33","41,948,750.56","83,307,371.47","135,643,642.62","205,483,203.04","42,886,271.79","91,377,855.40","149,184,345.86","225,324,381.72","50,995,792.72"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"507,530.88","1,221,228.16","1,804,217.40","2,515,304.62","477,628.72","977,519.49","1,658,504.12","2,310,945.30","496,696.29","1,152,400.09","1,548,869.48","2,105,281.02","325,051.90","566,731.58","609,285.82","841,650.75","110,850.11","256,616.17","23,999.95","-51,636.95","7,214.61","-1,079,515.89","-864,359.73","1,489,723.39","-187,400.28","-255,958.68","-217,932.47","-577,873.73","-147,060.26","-744,380.28","-1,258,685.65","-1,007,551.59","401,340.31","985,626.60","2,308,120.98","3,740,702.96","1,210,008.53","2,173,463.67","3,717,419.47","4,814,775.78","913,857.33","1,808,455.55","3,406,777.71","5,801,147.14","673,149.91","2,167,083.38","3,836,727.67","5,259,735.73","435,472.08"
