科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"5,406,196,264.33","5,758,556,911.85","6,672,999,372.28","3,785,257,507.19","5,612,409,753.27","7,467,408,559.52","2,329,545,849.38","3,737,937,938.02","5,451,856,036.13","7,896,765,669.53","2,384,316,580.27","4,096,732,787.49","6,038,138,329.47","8,463,509,985.26","2,350,494,443.74","4,157,583,676.59","5,889,184,544.47","8,314,620,149.45","2,264,629,427.48","4,266,796,655.05","5,871,288,988.87","8,243,545,817.20","2,292,306,846.46","3,867,911,986.51","5,552,417,276.21","7,524,871,026.67","2,328,697,926.53","3,964,207,970.77","5,562,082,958.35","7,485,799,624.58","2,274,546,218.29","3,785,302,050.01","5,355,254,024.16","6,997,708,228.01","2,080,865,249.08"
取得子公司及其他营业单位支付的现金净额,,,,,,"55,092,828.27",,,"250,000,000.00","243,724,610.56",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"485,167.92","619,200.35","619,200.00","209,800.00","988,080.63","158,400.00",,"265,677.86","347,212.86",,,,"85,948.76",,,,,,,,,,,,"5,730.46",,,,,,,,,,
支付其他与投资活动有关的现金,,"100,000,000.00","60,000,000.00","38,000,000.00","762,428,920.61","773,894,200.00","134,260,144.50","303,283,918.56","65,783,275.89","360,000,000.00","150,000,065.00","160,000,000.00","225,050,509.15","160,047,460.15","121,550,000.00","121,550,000.00","121,550,000.00",,"103,450,000.00","105,950,000.00","105,950,000.00","10,000,000.00",,,,,"3,109,707.72","3,109,707.72","3,109,707.72","3,109,707.72",,,,,
收到其他与经营活动有关的现金,"119,187,202.73","55,519,154.34","83,166,007.02","22,748,858.37","45,039,316.34","102,112,088.48","52,958,270.77","84,518,676.19","95,343,023.35","123,159,907.50","26,095,172.48","64,761,877.03","86,221,650.87","181,756,303.89","35,094,759.28","85,952,540.14","126,267,676.86","256,726,377.68","74,076,085.14","112,564,789.34","152,322,864.70","205,000,731.60","57,818,288.58","89,725,364.99","130,995,332.22","178,419,739.07","55,925,877.69","104,557,543.10","171,068,151.30","221,223,734.43","65,482,963.61","134,086,587.79","196,118,915.50","262,072,988.80","60,720,912.81"
投资活动现金流出小计,"227,098,182.31","483,024,468.94","221,962,132.45","127,533,280.63","1,302,200,957.93","1,680,635,787.79","1,512,355,058.05","2,823,359,712.91","3,608,996,128.14","1,111,556,035.47","299,595,140.91","812,486,339.68","1,199,712,561.57","790,068,956.81","237,518,146.73","279,060,113.84","672,439,951.00","632,207,267.30","221,001,722.38","261,338,166.52","425,525,769.82","438,667,785.70","164,773,535.44","297,869,536.40","416,557,249.32","450,126,679.54","135,026,609.81","133,407,633.38","198,973,414.91","301,423,690.69","208,582,675.40","255,143,371.68","311,495,032.55","623,041,565.45","932,246,190.22"
经营活动现金流入小计,"5,525,868,634.98","5,814,695,266.54","6,756,784,579.30","3,808,216,165.56","5,658,437,150.24","7,569,679,048.00","2,382,504,120.15","3,822,722,292.07","5,547,546,272.34","8,019,925,577.03","2,410,411,752.75","4,161,494,664.52","6,124,445,929.10","8,645,266,289.15","2,385,589,203.02","4,243,536,216.73","6,015,452,221.33","8,571,346,527.13","2,338,705,512.62","4,379,361,444.39","6,023,611,853.57","8,448,546,548.80","2,350,125,135.04","3,957,637,351.50","5,683,418,338.89","7,703,290,765.74","2,384,623,804.22","4,068,765,513.87","5,733,151,109.65","7,707,023,359.01","2,340,029,181.90","3,919,388,637.80","5,551,372,939.66","7,259,781,216.81","2,141,586,161.89"
投资活动产生的现金流量净额,"-178,189,687.88","-413,846,463.55","-72,277,262.42","-23,363,765.41","-1,184,209,924.82","-1,540,572,223.22","-237,208,908.94","-310,464,662.63","-752,888,469.84","-590,323,702.80","-267,611,427.74","-58,910,377.66","-161,587,011.87","-383,070,069.16","-98,317,213.43","-139,228,855.37","-186,925,306.17","-253,856,849.71","-201,673,305.47","-219,131,221.68","-386,146,883.70","-360,978,465.93","-139,217,871.00","59,966,207.01","-57,092,029.17","-89,848,170.95","-43,219,725.73","-2,802,876.16","-68,843,525.65","-170,029,272.33","-175,186,967.67","-218,022,093.87","-273,363,090.22","-572,114,511.67","-213,037,542.79"
购买商品、接受劳务支付的现金,"4,457,861,566.51","4,631,550,951.98","5,371,944,105.62","3,254,281,697.17","4,614,881,335.89","6,117,958,251.27","2,047,950,145.18","3,340,968,682.95","4,454,517,932.76","6,521,778,857.98","1,968,831,972.12","3,629,442,846.70","5,080,800,151.31","7,263,008,691.09","2,068,336,741.96","3,658,686,358.58","4,981,808,267.22","7,157,535,311.64","1,873,414,977.30","3,766,331,262.25","5,055,980,742.61","7,200,319,701.72","1,848,845,421.23","3,172,225,560.92","4,392,666,979.57","5,978,314,436.38","1,913,529,034.47","3,315,792,524.78","4,516,305,290.66","6,052,459,671.59","1,898,225,088.65","3,259,983,830.97","4,435,004,782.05","5,779,644,662.50","1,731,808,380.06"
吸收投资收到的现金,,,"1,000,000.00","2,136,210,594.70","2,136,210,594.70","2,141,100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"130,854,911.34","151,395,678.11","158,680,890.28","90,945,337.66","142,754,516.84","195,256,689.10","65,611,124.54","115,771,764.24","165,276,023.45","223,246,955.04","84,353,486.30","135,309,848.22","190,904,180.79","245,349,732.25","89,563,651.85","150,523,488.14","213,913,301.57","280,571,793.76","98,753,333.82","163,279,048.73","221,489,928.06","293,160,858.56","101,746,104.97","160,878,741.12","218,066,427.15","279,293,203.39","102,001,260.80","165,459,906.99","227,544,020.68","298,400,588.15","119,005,459.14","187,983,042.42","257,955,319.30","331,360,588.29","110,578,200.40"
取得借款收到的现金,"288,000,000.00","40,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","11,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","110,000,000.00","110,000,000.00",,"300,000,000.00","300,000,000.00","625,290,000.00","240,777,200.00","240,777,200.00","240,777,200.00","240,777,200.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,,"50,000,000.00","50,000,000.00","-182,852.82",,,,
