科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"17,413,983.68","33,281,247.18","70,546,182.77","99,100,755.47","145,470,565.91","523,717,546.64","477,647,750.02","439,384,208.74","381,548,180.46","358,389,925.46","329,417,094.05","359,405,870.04","350,163,728.24","368,586,656.31","449,954,105.56","653,722,022.57","600,423,505.37","647,442,748.76","592,789,953.79","589,746,733.11","684,668,453.54","646,674,465.76","692,860,736.43","533,606,095.26","563,420,480.73","578,195,430.71","771,178,803.89","403,948,568.35","412,843,704.48","390,748,943.25","407,603,668.06","377,303,452.03","378,610,457.27","440,236,441.23","311,677,222.25","355,774,985.98","367,274,456.12"
短期借款,"77,850,477.73","65,666,804.87","68,980,871.67","98,983,543.09","143,470,770.86","134,370,214.44","132,600,000.00","156,049,247.92","172,600,000.00","175,000,000.00","175,000,000.00","175,000,000.00","177,936,004.73","185,821,681.78","233,192,459.07","230,000,000.00","180,000,000.00","184,475,088.00","227,060,752.00","286,486,320.00","336,530,000.00","286,000,000.00","282,000,000.00","280,000,000.00","305,500,000.00","327,500,000.00","494,034,944.35","216,100,000.00","226,600,000.00","208,100,000.00","200,038,488.89","173,900,000.00","164,900,000.00","194,400,000.00","162,160,000.00","164,160,000.00","183,260,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,450,477.73","366,804.87","1,880,871.67","4,383,543.09","4,870,770.86","1,770,214.44","12,590,000.00","9,000,000.00",,,"247,463.56","47,463.56","2,936,004.73","12,472,379.25","11,636,044.56","2,125,000.00","2,000,000.00","250,000.00","5,184,314.25","2,882,945.47","1,501,714.80","1,312,648.00","9,771,208.82","35,512,598.58","12,142,375.92","9,981,890.41","11,567,642.76","10,838,971.11","9,100,400.88","13,583,591.46","14,170,521.31","13,785,463.52","2,792,625.32","16,842,043.51","32,794,290.76","38,848,827.52","4,830,195.37"
应付票据,"1,120,000.00",,,,,,,,"4,803,702.59","3,518,635.76","4,232,668.81","5,825,384.46","10,422,945.13","14,414,553.21","23,957,297.60","17,939,090.29","9,871,820.23","14,956,378.75","21,504,483.16","18,455,076.27","16,603,913.96","26,785,959.33","28,897,816.94","52,533,834.46","22,969,985.24","29,308,871.13","30,802,197.92","27,185,914.22","23,918,084.29","41,736,463.23","57,170,487.80","40,879,623.52","52,041,052.18","85,761,390.48","157,921,323.30","124,942,114.68","110,944,548.61"
应收账款,"73,248,302.93","64,464,827.65","70,455,542.98","64,779,079.79","64,658,969.99","70,798,377.63","57,453,085.72","68,899,342.13","72,412,391.28","88,705,449.83","86,138,825.04","88,236,507.92","100,014,211.68","85,189,712.69","98,250,448.79","109,382,308.01","106,545,178.82","76,994,799.21","108,966,403.15","108,198,236.55","122,831,017.64","147,701,626.61","120,292,794.99","119,428,608.22","116,702,393.83","106,726,958.97","131,306,549.87","130,344,523.23","120,546,112.67","144,238,808.05","163,120,213.38","157,768,432.55","182,748,971.76","234,390,437.28","267,520,095.45","235,400,506.73","218,869,691.20"
应付账款,"16,359,952.94","12,682,554.72","23,336,867.33","21,125,032.65","18,275,056.11","20,083,222.94","19,373,872.32","23,340,503.63","20,586,235.06","32,204,189.60","30,594,685.76","46,439,189.96","44,468,780.23","43,543,928.87","41,834,583.87","39,966,923.09","44,700,040.37","68,845,265.99","42,126,666.17","20,719,862.13","47,596,893.88","54,516,743.61","51,500,575.83","46,176,390.70","52,350,224.59","43,192,761.62","40,403,916.39","33,524,521.43","44,488,600.74","47,558,889.62","53,313,299.06","45,763,852.32","76,899,134.08","117,578,966.69","122,271,615.70","129,391,690.80","107,875,556.37"
预付款项,"19,707,655.44","10,743,927.25","16,098,096.98","37,541,248.11","35,841,354.90","63,001,911.67","88,282,991.85","77,911,094.58","90,331,915.06","83,319,671.09","76,308,214.51","87,851,440.46","70,013,412.99","70,300,411.01","26,085,588.27","34,334,054.68","31,036,137.27","25,700,623.59","55,295,038.37","93,606,105.22","79,373,794.77","98,802,815.40","39,775,835.35","61,922,193.01","59,903,039.95","49,721,511.68","20,035,671.70","18,552,635.28","35,061,773.89","25,669,890.69","20,958,087.49","20,835,725.32","32,533,984.36","40,497,669.56","68,938,906.38","70,986,232.85","43,099,541.57"
预收款项,"853,777.50","1,884,189.61","4,723,318.56","13,635,616.64","19,109,418.38","23,149,456.23","14,938,385.77","16,863,030.69","17,629,683.60","16,523,228.81","5,739,310.86","20,666,151.35","15,169,146.14","14,977,812.61","18,404,085.75","12,167,126.91","13,060,888.23","18,146,113.54","7,860,915.72","46,619,506.22","19,804,082.85","23,071,131.29","19,094,611.05","43,177,846.82","36,676,929.98","34,911,569.27","49,556,009.73","44,855,198.49","48,672,271.56","43,456,042.21","31,690,543.93","38,763,852.33","71,492,403.69","98,998,449.91","52,939,922.81","58,711,442.52","32,365,113.33"
