科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"49,089,012.20","54,838,473.48","151,437,659.03","183,759,338.08","191,808,580.61","1,995,055,409.21","1,052,729,319.13","1,019,631,242.84","1,196,282,164.36","787,393,029.29","665,896,565.89","277,417,676.68","385,522,071.46","741,635,719.53","434,705,752.78","665,195,664.35","510,287,044.76","317,522,931.61","597,836,119.12","926,317,050.17","927,445,877.93","612,976,599.33","814,500,833.36","547,069,237.85","469,013,021.64","739,119,695.81","773,460,297.91","774,881,435.33","3,266,057,703.42","1,695,938,666.80","1,642,837,573.48"
短期借款,"115,250,000.00","219,556,404.54","188,139,974.75","221,000,000.00","176,500,000.00","365,990,000.00","14,565,448.28","73,175,434.93","34,787,098.35",,"7,836,125.00","13,832,937.26","308,284,329.69","343,883,810.19","538,575,931.24","773,230,774.04","1,114,483,561.68","1,337,906,271.84","1,595,527,368.39","1,879,368,032.04","1,990,019,018.40","1,326,701,783.29","1,291,289,061.25","1,911,637,034.66","1,713,257,877.64","1,724,923,463.26","2,193,497,218.01","2,463,377,654.56","2,041,014,796.38","1,718,422,791.59","1,996,057,623.08"
交易性金融资产,,,,,,,,,,,,,,,,,,,"1,285,136.70","4,638,755.57","9,197,413.73","8,834,094.21","1,985,749.81","14,134,907.58","14,623,932.20","13,883,439.77","6,126,429.99","2,756,835.02","101,254,374.98",,"3,007,430.00"
交易性金融负债,,,,,,,,,,,,,,,,,,"49,725.00","379,728.41","997,089.56","2,950,028.04","9,346,507.05","158,323.31","4,918,935.55","1,332,696.68","2,320,104.44","2,086,731.34","2,346,084.20","15,222,127.28","13,617,793.44","8,763,875.52"
应收票据,"56,622,654.38","72,421,598.28","122,788,831.24","297,356,665.68","499,096,350.84","818,340,655.00","849,653,100.79","740,895,160.04","805,142,769.55","782,886,090.40","579,853,112.40","434,322,635.82","301,850,643.95","271,281,435.24","501,357,060.40","747,327,583.40","729,224,305.67","776,682,020.23","727,549,959.96","713,518,952.85","697,016,022.23","605,169,614.61","605,311,058.93","597,456,031.73","756,931,104.05","946,142,808.52","1,191,504,477.19","1,543,615,470.96","1,282,950,338.52","1,217,315,282.30","1,257,615,347.47"
应付票据,"3,980,000.00",,,"7,517,459.00",,,,,,,,,,,,"183,493,625.56","260,664,894.32","268,122,007.76","250,397,752.35","237,741,590.35","203,649,777.00","479,060,546.51","667,179,677.91","473,604,045.78","567,127,212.77","580,296,297.04","296,971,958.65","502,415,542.47","506,315,542.47","240,500,000.16","236,600,000.16"
应收账款,"50,518,771.58","68,283,740.47","101,144,229.21","156,920,290.01","132,717,889.42","119,890,719.56","130,117,901.99","163,776,334.02","149,741,300.75","153,089,948.10","106,041,423.83","163,482,238.37","173,783,019.00","177,520,674.70","154,002,137.27","172,673,276.04","186,610,202.34","190,958,784.69","107,804,027.22","230,598,047.20","221,550,229.56","200,581,040.49","138,157,651.84","214,544,682.43","232,490,897.53","313,835,623.27","437,600,338.85","413,425,304.23","379,505,580.26","360,834,448.31","304,455,061.01"
应付账款,"70,321,801.88","54,860,602.10","120,324,721.58","121,312,778.11","212,495,226.98","195,419,912.43","246,103,376.46","157,483,513.00","284,666,102.06","374,942,403.16","315,084,618.35","309,151,425.20","298,605,256.52","693,971,207.20","821,472,369.26","1,068,151,088.30","871,942,671.95","650,176,362.92","838,374,597.78","732,433,139.64","642,089,227.24","800,347,238.32","633,767,942.43","575,615,648.70","504,329,846.17","702,334,816.05","834,590,162.54","655,474,671.07","764,639,489.98","605,972,763.79","500,373,074.99"
预付款项,"10,166,626.68","20,852,971.28","57,576,831.90","34,194,384.73","42,300,949.69","47,562,571.74","89,289,250.49","98,633,374.13","171,517,112.91","15,952,752.99","19,217,877.51","55,526,754.55","45,733,544.95","34,519,298.20","101,319,573.50","124,876,905.37","174,081,311.80","52,340,193.83","33,935,448.50","87,020,535.80","116,406,796.97","48,564,707.17","96,949,900.18","41,035,753.51","96,664,760.33","76,857,225.71","79,461,358.28","100,661,848.28","138,001,357.21","104,574,601.56","195,425,823.71"
预收款项,"5,768,906.07","4,953,233.20","31,661,988.87","26,774,472.52","53,026,604.19","31,266,892.37","55,276,379.14","35,752,565.77","37,692,151.57","31,216,939.78","44,309,484.11","45,638,385.79","61,509,032.89","35,666,873.41","34,250,776.66","45,193,247.42","52,065,487.83","76,745,548.46","69,921,055.96","63,732,499.78","68,184,740.25","108,218,717.59","112,801,411.98","63,322,583.13","118,903,714.08","208,626,247.32","179,312,275.45","147,715,965.44","254,276,402.35","179,392,493.74","228,557,251.39"
其他应收款,"763,199.67","11,869,911.94","7,601,224.88","9,631,457.86","9,481,591.79","6,884,405.21","7,343,011.40","2,714,175.50","6,353,928.28","5,301,049.36","5,873,417.18","5,330,730.32","5,221,183.29","4,933,540.28","4,103,564.60","5,060,453.93","4,564,355.32","18,664,084.41","6,153,472.32","7,022,552.58","11,021,771.32","7,342,927.11","8,638,726.91","20,873,562.19","22,525,364.23","29,307,410.18","28,934,476.85","29,741,326.91","27,606,251.72","17,464,017.05","21,775,338.74"
应付职工薪酬,"1,455,192.25","1,776,905.14","2,260,822.83","13,103,037.33","13,766,682.10","3,663,394.65","6,477,878.62","9,683,645.25","13,133,169.32","16,330,331.83","8,686,533.51","15,898,810.85","28,807,000.64","28,663,277.41","12,299,605.79","15,846,768.50","19,950,375.38","26,320,604.72","13,634,362.53","16,546,468.67","21,919,898.04","31,658,963.19","19,234,757.75","21,740,797.73","30,893,456.77","38,929,795.43","28,081,235.53","32,534,805.93","36,491,127.08","42,909,618.56","18,376,511.43"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"11,936,148.92","4,361,820.63","13,244,466.93","53,417,838.42","59,339,466.42","38,294,922.47","22,678,470.25","30,870,284.67","41,003,961.24","28,452,959.94","20,747,424.58","25,764,366.36","50,487,699.26","49,132,018.79","51,098,902.54","34,950,362.39","13,701,993.73","12,275,386.52","6,297,045.34","6,160,860.18","4,393,879.17","11,317,800.96","8,699,298.40","5,898,062.82","5,526,059.82","26,580,130.66","31,217,453.90","45,886,597.75","57,440,640.99","97,509,117.13","106,255,152.87"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"358,327.83","255,093.90","547,447.53","766,677.66","765,993.58","1,352,253.45",,"60,298.64","60,298.64",,,"59,235.56","1,017,850.95","4,374,451.45","4,906,854.67","6,883,097.12","7,220,515.73","6,769,516.38","11,079,192.38","14,754,523.52","19,225,955.36","23,339,625.57","4,501,348.98","7,955,024.92","9,641,486.41","4,427,942.62","4,113,187.15","3,975,326.34","1,932,369.56","2,742,963.14","4,457,048.63"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,530,000.00","1,530,000.00"
应付股利,,"22,710,462.12",,,,,,,,,,,,,,,,,,,,,,,,,,"408,320.00","408,320.00","408,320.00","408,320.00"
存货,"50,054,638.47","133,162,321.89","170,230,790.26","287,770,397.22","236,827,596.69","315,112,020.33","465,727,846.87","409,713,254.48","178,292,329.04","236,190,636.49","251,105,824.41","250,352,706.11","397,696,791.68","425,091,910.35","544,963,288.25","675,095,842.63","796,884,079.41","687,002,275.35","679,667,203.76","559,624,974.09","465,998,203.76","485,327,032.40","357,513,204.20","571,120,474.08","541,173,511.38","458,266,512.58","757,304,166.67","513,538,111.46","729,661,744.85","761,853,125.14","847,863,812.66"
其他应付款,"37,966,235.08","40,761,903.59","783,450.27","3,634,197.79","1,039,465.78","8,096,701.09","2,221,680.40","6,071,453.33","6,759,580.38","10,713,610.67","26,017,494.56","37,228,479.65","28,564,484.35","18,287,033.59","13,527,578.79","11,329,222.16","11,633,268.73","11,160,009.48","8,992,032.59","8,886,012.86","9,846,835.35","12,689,701.88","15,783,135.74","15,373,446.03","145,752,171.31","16,170,707.93","15,811,323.44","20,960,415.97","19,403,431.10","19,615,828.61","14,317,530.38"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"60,000,000.00",,"25,000,000.00","25,000,000.00",,"50,000,000.00",,,,,,,,"137,200,000.00","137,200,000.00","405,464,934.51","358,600,000.00","441,900,000.00","259,300,000.00","496,700,000.00","496,700,000.00","563,000,000.00","563,000,000.00","563,000,000.00","507,751,117.90","598,018,941.40","583,030,714.86","323,044,328.24","42,716,703.44","7,826,089.08","3,944,751.50"
其他流动资产,"512,384.05","1,872,789.68","1,113,810.68","4,159,986.82","6,039,373.97","3,808,259.73","3,003,044.84","3,392,079.51","2,567,544.90","11,690,301.28","31,062,488.98","34,040,834.63","65,009,041.75","346,268,138.36","451,976,016.44","516,694,542.11","532,644,694.29","519,298,094.64","502,200,166.62","442,644,241.31","415,546,593.72","385,968,224.06","334,560,584.72","360,821,392.31","278,967,385.83","189,906,517.39","172,084,682.53","113,350,662.14","32,323,136.50","1,055,086,524.28","1,054,586,107.07"
其他流动负债,"1,348,684.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"217,727,287.03","363,301,807.02","611,893,377.20","973,792,520.40","1,118,272,333.01","3,306,654,040.78","2,597,863,475.51","2,438,755,620.52","2,509,897,149.79","1,992,503,807.91","1,659,050,710.20","1,220,473,576.48","1,374,816,296.08","2,001,250,716.66","2,192,427,393.24","2,906,924,267.83","2,934,295,993.59","2,562,468,384.76","2,656,431,534.20","2,971,385,109.57","2,864,182,909.22","2,361,174,495.79","2,364,027,966.36","2,367,056,041.68","2,412,389,977.19","2,767,319,233.23","3,446,476,228.27","3,491,970,994.33","5,957,360,487.46","5,214,596,665.44","5,329,096,494.14"
流动负债合计,"308,385,296.65","349,236,425.22","381,962,872.76","472,526,460.83","516,933,439.05","694,084,076.46","347,323,233.15","313,097,195.59","418,102,361.56","461,656,245.38","422,681,680.11","447,573,640.67","777,275,654.30","1,311,178,672.04","1,613,332,018.95","2,544,543,120.00","2,710,262,769.35","2,831,425,433.08","3,053,903,135.73","3,457,320,216.60","3,458,979,358.85","3,365,680,884.36","3,316,414,957.75","3,643,065,579.32","3,604,515,639.55","3,902,628,446.15","4,168,712,260.87","4,198,139,711.97","3,739,860,950.63","2,928,917,779.24","3,118,111,139.95"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,"98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00","98,000,000.00"
长期借款,,"25,000,000.00","163,000,000.00","349,500,000.00","349,500,000.00","329,500,000.00",,,,,,"47,300,000.00","534,098,988.72","1,302,298,988.72","1,372,998,988.72","1,393,698,988.72","1,393,698,988.72","1,165,698,988.72","1,156,698,988.72","836,998,988.72","776,998,988.72","568,998,988.72","568,998,988.72","313,998,988.72","422,974,549.06","113,207,419.37","185,694,504.86","228,177,483.04",,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,"96,191,794.86","96,243,063.65","96,271,158.73","95,997,734.87","96,462,716.50","190,964,889.09"
专项应付款,,,,,,,,,,,,,,,,,"24,060,000.00","4,589,891.00","4,589,891.00","4,649,891.00","4,649,891.00","5,109,891.00","4,649,891.00","60,000.00","60,000.00",,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"214,900,173.77","200,881,210.23","224,522,318.83","434,406,158.16","531,055,441.13","539,371,532.13","544,508,405.33","534,518,514.76","538,705,335.33","523,505,904.89","508,504,777.56","574,566,960.74","557,454,809.32","580,484,995.28","579,697,468.62","1,299,191,529.34","3,870,899,245.21","4,151,625,737.35","4,149,331,365.87","3,983,267,688.90","3,934,518,172.54","3,779,738,812.22","3,688,878,459.89","3,598,359,246.33","3,498,743,215.17","3,476,457,277.54","3,377,627,392.63","3,275,845,260.65","3,178,532,624.40","3,282,837,254.83","3,190,386,916.91"
