科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"176,015,369.71","187,330,429.66","88,492,356.03","112,961,220.62","199,181,849.79","13,356,548.30","68,323,190.12","113,856,342.34","210,551,366.65","31,138,717.03","83,280,482.13","124,654,640.16","234,189,864.59","32,275,267.15","78,111,763.41","135,166,808.14","245,927,356.66","17,431,664.30","136,265,931.56","200,603,594.07","305,251,649.37","48,774,680.94","174,742,296.07","236,371,503.88","355,885,884.11","47,895,373.25","137,032,998.50","222,249,884.06","411,679,432.46","67,281,441.12","192,127,839.05","252,260,117.95","362,523,096.80","48,183,647.79","172,864,156.70","232,760,416.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"45,881,351.76",,,,"5,145,920.00",,,,"5,091,262.12",,,,,,,
收到的税费返还,"601,072.57","379,637.79",,"416,755.42","416,755.42",,,,,,,,,,,"6,168,198.34","6,168,198.34",,,,,"61,659.19","318,284.10","318,284.10","61,659.19","12,600.00","11,149,573.40","11,175,692.68","11,181,532.70","367,888.36","584,443.06","1,293,762.60","1,567,071.59","1,203,497.66","2,269,097.19","3,240,412.20"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,850,775.15",,,
收到其他与经营活动有关的现金,"3,732,494.42","2,199,359.71","719,745.09","7,173,384.86","9,209,121.54","2,291,328.32","2,820,856.93","2,961,663.92","7,831,364.15","2,160,405.07","4,305,373.23","6,169,505.84","22,043,989.58","1,813,299.62","3,839,932.51","5,902,117.12","11,837,383.32","2,829,776.37","21,423,343.69","23,441,481.01","27,251,913.72","3,982,921.30","17,616,670.66","19,222,937.62","23,719,671.30","1,525,763.79","14,095,762.81","19,470,420.10","22,439,970.62","681,886.93","9,280,547.06","9,537,880.51","15,000,020.06","2,079,085.28","3,085,636.20","16,731,244.05"
投资活动现金流出小计,"6,530,566.70","16,349,986.36","10,085,427.64","11,868,941.64","21,066,995.90","1,408,539.35","2,314,883.85","5,432,425.77","11,336,936.03","17,306,471.93","19,148,693.15","41,497,308.61","56,719,774.10","23,029,644.04","29,322,851.67","62,429,525.63","54,413,612.29","5,929,213.64","12,869,618.76","14,696,171.51","65,520,302.34","3,778,446.00","12,353,191.91","18,977,370.96","24,748,411.83","2,049,071.53","8,584,050.56","12,414,992.83","38,633,474.17","3,271,687.69","5,268,632.46","7,565,683.54","20,966,121.60","2,082,483.72","12,450,459.94","14,994,818.94"
经营活动现金流入小计,"180,348,936.70","189,909,427.16","89,212,101.12","120,551,360.90","208,807,726.75","15,647,876.62","71,144,047.05","116,818,006.26","218,382,730.80","33,299,122.10","87,585,855.36","130,824,146.00","256,233,854.17","34,088,566.77","81,951,695.92","147,237,123.60","263,932,938.32","20,261,440.67","157,689,275.25","224,045,075.08","332,503,563.09","52,819,261.43","192,677,250.83","255,912,725.60","379,667,214.60","49,433,737.04","162,278,334.71","252,895,996.84","445,300,935.78","68,331,216.41","201,992,829.17","263,091,761.06","379,090,188.45","51,466,230.73","178,218,890.09","252,732,072.98"
投资活动产生的现金流量净额,"-6,530,566.70","-16,349,986.36","-10,085,427.64","-11,868,941.64","-21,005,155.90","-1,408,539.35","-2,314,883.85","-5,432,425.77","-11,221,936.03","-17,306,471.93","-19,148,693.15","-41,497,308.61","-56,603,774.10","-23,029,644.04","-29,322,851.67","-62,429,525.63","-54,235,285.49","-5,919,213.64","-12,829,618.76","-14,656,171.51","-65,480,302.34","-3,776,646.00","-12,309,891.91","-18,934,070.96","-24,681,311.83","-2,049,071.53","-8,584,050.56","-12,414,572.83","-38,171,424.17","-3,271,687.69","-5,268,632.46","47,193,908.63","38,783,290.81","-2,082,483.72","-12,450,459.94","-14,628,818.94"
购买商品、接受劳务支付的现金,"60,318,824.71","66,529,039.08","31,775,655.32","50,146,447.55","80,518,687.51","23,606,873.61","41,364,213.33","65,335,465.50","98,408,029.90","37,986,124.02","60,967,106.45","104,284,709.64","138,449,462.04","47,985,686.66","73,897,087.12","115,904,431.05","158,383,474.58","37,342,105.39","68,440,556.85","102,552,906.92","149,223,017.53","42,254,952.65","85,056,811.45","133,141,660.80","165,630,621.39","41,043,663.52","94,759,317.23","135,679,839.58","173,986,410.90","62,254,756.37","109,529,106.67","183,523,276.01","208,945,010.56","45,684,174.93","118,362,487.97","161,127,791.33"
吸收投资收到的现金,,,,,,"440,000,000.00","440,000,000.00","440,000,000.00","414,000,000.00",,"2,250,000.00","2,250,000.00","2,250,000.00",,,,"5,200,000.00",,,,,,"700,000.00","700,000.00","715,000.00",,,,,,,"14,000,000.00","14,000,000.00",,,
