科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"528,824,991.30","690,144,171.70","823,939,815.80","211,468,851.22","473,480,440.41","786,122,243.95","1,089,940,822.74","278,481,157.97","671,119,808.21","1,123,836,156.78","1,602,737,583.71","362,657,744.45","819,339,199.39","1,322,137,918.57","1,823,337,342.43","426,211,715.42","978,474,575.44","1,576,721,102.06","2,228,396,872.73","517,815,267.53","1,222,084,351.71","1,990,080,571.13","2,821,281,988.96","658,563,756.88","1,469,573,620.54","2,328,712,621.87","3,270,312,469.62","734,412,543.07","1,632,893,366.43","2,504,607,899.62","3,314,058,122.13","726,502,997.04","1,566,432,806.40","2,442,111,965.87","3,279,935,046.43"
二、营业利润,"59,033,767.65","50,891,452.79","94,780,779.41","27,165,734.43","59,120,918.94","102,147,467.99","128,459,096.46","33,246,803.99","75,805,691.77","125,744,391.25","166,647,740.24","40,093,724.75","92,797,180.14","150,581,163.69","217,957,074.02","53,201,833.73","129,419,316.48","212,598,749.33","319,407,448.35","66,404,833.49","175,677,143.80","306,963,133.97","445,117,696.16","96,267,734.38","243,829,996.66","401,659,141.29","584,059,449.12","115,916,012.65","299,743,494.02","449,629,949.00","507,039,396.97","149,765,808.16","251,193,903.23","335,576,803.48","392,922,738.36"
减:营业成本,"415,431,166.51","545,524,161.02","602,011,434.96","152,334,049.54","341,145,038.67","571,143,547.71","797,535,325.83","206,578,183.23","501,699,706.78","854,423,743.48","1,228,327,642.23","269,497,384.16","606,866,282.54","984,467,040.55","1,323,583,433.51","300,921,541.58","674,623,332.76","1,080,672,021.84","1,528,253,004.81","341,625,640.08","800,199,794.64","1,302,248,862.80","1,846,102,855.38","438,745,039.20","954,607,813.10","1,495,254,168.74","2,081,765,198.52","457,822,181.91","1,009,628,470.37","1,551,070,933.08","2,096,100,559.92","463,575,768.72","1,043,319,862.10","1,652,889,649.08","2,266,526,609.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,778,341.05","3,255,599.99","5,596,274.60","1,608,036.86","2,592,141.67","4,103,374.98","6,124,432.42","655,173.06","2,390,408.17","4,259,935.10","7,778,168.54","1,094,642.90","3,238,125.46","5,322,363.40","8,937,798.37","3,350,238.93","7,011,233.26","13,068,350.04","18,358,261.25","4,752,812.72","10,146,450.96","16,293,720.10","23,588,129.83","5,811,321.15","11,247,568.72","18,235,207.13","26,122,495.60","6,229,171.06","12,451,597.64","17,839,838.59","30,568,738.18","5,860,821.89","12,385,109.39","20,922,600.99","28,298,136.40"
营业外收入,"2,888,527.80","9,564,335.70","4,143,343.32","2,309,824.67","9,834,680.44","10,675,581.33","13,725,728.34","5,595,137.92","12,573,953.88","14,292,169.87","18,843,149.79","3,805,165.46","5,253,064.89","10,132,256.38","11,946,159.28","2,959,807.60","9,043,808.61","10,785,150.84","13,120,964.89","9,230,715.97","12,976,240.90","17,779,121.17","24,355,543.35","1,584,938.40","3,646,765.78","6,868,926.22","11,904,385.69","4,696,531.31","6,597,298.31","10,109,939.26","18,841,017.81","3,207,940.50","1,308,708.40","2,588,220.56","2,940,863.86"
销售费用,"23,519,289.44","34,150,242.79","55,434,300.55","14,560,652.55","38,028,214.68","63,139,354.97","87,985,621.22","20,390,944.62","48,639,122.72","73,502,188.99","106,985,698.34","30,405,944.54","64,390,683.00","97,130,132.69","155,996,570.33","37,594,798.66","88,571,757.43","142,987,667.29","194,171,014.01","63,590,905.71","131,359,957.71","208,934,509.40","287,708,317.54","74,195,435.57","160,599,597.26","248,174,581.27","351,284,369.27","97,187,628.41","191,410,899.31","289,625,454.81","431,415,585.64","94,032,837.23","196,802,908.76","311,197,672.86","433,035,272.27"
减:营业外支出,"1,463,794.46","1,651,566.19","1,060,842.58","926,165.17","2,264,020.52","2,468,698.30","2,995,684.04","3,761,008.18","4,531,594.54","5,993,603.34","6,775,339.17","3,885,265.88","4,453,258.02","5,543,658.98","7,133,666.73","4,598,910.24","5,982,218.72","6,751,439.90","8,258,469.40","5,507,588.50","6,007,715.48","7,472,783.26","8,773,085.62","5,342,121.76","6,117,828.20","6,449,264.65","8,420,533.56","6,064,430.68","6,706,281.24","7,737,740.86","9,971,887.44","7,266,010.41","7,978,430.07","8,764,016.07","9,615,005.37"
管理费用,"30,350,994.98","49,900,522.61","58,302,829.23","15,662,114.93","31,996,661.93","50,208,250.27","76,683,045.76","21,652,066.52","45,757,625.01","73,046,120.57","104,396,849.66","29,150,008.12","59,637,242.46","95,289,990.65","136,402,783.20","33,086,986.31","79,109,645.66","126,309,814.41","178,054,527.26","44,040,246.41","103,402,763.17","162,368,519.53","231,814,604.49","51,181,360.83","117,073,839.10","186,216,832.97","249,343,538.43","55,549,749.80","123,939,995.56","203,270,217.83","266,509,175.21","55,163,839.32","119,097,997.57","196,593,172.04","262,170,285.77"
其中:非流动资产处置净损失,"609,687.86","17,169.95","218,435.39",,,,"491,772.07",,"1,873.74","1,250,037.90","1,422,385.15",,"92,541.39","136,955.15","250,095.43",,"216,338.69","261,988.56","399,027.52",,"416,364.10",,"1,334,714.22",,"176,892.60",,"993,168.24",,"617,017.90",,"2,495,323.41",,"258,859.99",,
