科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"163,145,305.38","49,206,970.04","87,482,854.96","44,588,299.60","97,820,261.69","147,681,616.54","57,345,190.47","141,210,283.46","242,686,569.77","314,922,851.10","260,339,941.76","194,064,434.12","191,635,296.25","126,907,856.41","70,306,545.95","128,134,369.54","55,304,622.94","121,074,823.20","84,954,982.93","58,051,399.31","61,426,280.38","230,069,101.11","81,132,758.03","77,143,479.18","108,695,963.12","72,076,101.02","86,465,020.30","16,837,034.04","26,482,743.81","36,337,047.88","579,369,391.21","956,774,804.24","865,917,978.28","1,567,070,581.37","1,361,663,282.90","1,952,357,746.26","1,107,043,750.39","798,269,008.12","1,132,357,243.58","1,347,495,471.62","1,834,798,910.99","1,807,909,387.71","1,337,213,108.17"
短期借款,"1,063,800,000.00","1,063,800,000.00","1,063,800,000.00","1,013,800,000.00","1,064,800,000.00","1,070,000,000.00","1,050,000,000.00","1,100,000,000.00","1,100,000,000.00","1,150,000,000.00","1,200,000,000.00","1,098,800,000.00","1,150,000,000.00","1,150,000,000.00","1,100,000,000.00","1,100,000,000.00","1,048,800,000.00","1,186,922,521.84","1,216,298,500.00","1,239,708,100.00","1,195,448,700.00","1,262,507,670.34","1,292,615,601.49","1,287,305,167.62","1,347,219,849.71","1,379,714,798.75","1,394,408,681.18","1,349,018,533.30","1,204,765,436.90","822,066,880.00","831,718,358.87","486,718,593.82","430,000,000.00","665,900,000.00","677,362,802.00","687,523,544.00","723,515,456.00","902,978,987.40","911,645,015.92","751,733,318.65","845,928,681.13","769,425,771.33","619,425,771.33"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,352,361.66","29,019,472.43","30,304,259.83","104,829,560.02","157,947,444.29","110,297,983.54","109,816,360.39","129,787,410.81","124,977,523.75","135,827,101.91","50,915,532.20","136,370,912.99","142,914,581.07","136,265,630.52","145,547,393.56","101,070,525.91","73,572,500.50","104,215,891.72","86,572,231.22","109,695,762.42","71,029,782.85","48,592,195.31","88,674,786.90","70,343,487.75","51,612,842.21","46,081,862.07","34,963,105.55","31,794,705.58","29,374,824.20","51,126,561.52","169,420,692.00","227,210,000.00","207,913,100.13","524,310,729.24","413,547,337.48","1,104,375,351.28","1,193,557,915.92","1,110,365,649.99","1,177,094,661.22","899,786,047.61","640,475,101.19","824,284,170.87","1,085,505,876.22"
应付票据,,,,,,,,,,"6,611,926.00","13,868,360.00","500,000.00",,,,"1,400,000.00","1,400,000.00",,,"1,000,000.00",,,,,,,,,,,"1,514,656,907.72","901,884,978.70","842,973,332.44","1,025,509,229.91","1,673,882,732.18","2,258,250,858.55","1,943,349,691.83","1,730,217,114.95","1,750,714,072.95","1,418,867,162.18","1,704,985,760.96","1,727,707,244.61","2,026,441,736.69"
应收账款,"196,061,399.30","212,036,430.12","214,231,156.94","200,611,863.30","232,659,172.81","307,873,784.79","337,574,413.66","239,097,201.34","210,844,398.77","231,427,200.09","279,800,044.32","244,811,828.30","259,677,812.91","266,455,471.56","247,801,393.33","251,135,773.50","287,966,286.11","269,761,408.39","273,038,410.47","237,034,960.39","258,450,682.12","318,606,522.00","268,606,044.59","263,658,655.11","299,347,048.28","309,948,864.33","265,906,177.83","332,876,367.50","311,394,848.54","339,729,630.46","6,445,270,970.71","5,793,111,420.52","5,814,148,907.78","5,617,221,811.31","6,501,868,267.46","5,990,223,523.00","6,037,932,660.94","6,175,325,133.68","6,593,631,401.84","6,793,352,264.12","5,926,889,852.88","5,658,707,788.46","5,292,985,244.33"
应付账款,"169,309,078.37","160,207,962.20","149,196,114.71","166,196,978.37","164,782,052.99","212,998,705.81","174,604,360.29","171,135,939.23","142,505,001.57","112,413,185.79","121,449,626.83","154,809,853.86","203,284,645.89","160,164,505.90","156,279,972.57","124,931,588.99","148,576,798.40","138,025,149.54","157,279,978.55","142,813,473.40","166,659,319.29","150,911,202.87","184,077,469.02","219,135,978.26","281,946,747.57","197,904,626.92","195,123,327.43","162,620,629.75","171,176,567.91","192,215,243.94","2,612,322,217.65","4,798,523,228.87","5,184,113,946.32","5,421,345,682.54","5,574,324,698.06","5,347,176,928.38","4,883,261,283.98","5,545,163,424.96","5,888,254,493.22","5,767,402,028.55","5,285,106,830.19","5,101,497,175.52","4,719,224,949.34"
预付款项,"41,189,328.20","57,372,654.55","59,286,504.63","87,118,356.25","114,823,683.32","98,756,290.13","111,673,198.15","31,451,059.99","26,368,057.86","31,499,812.83","39,596,490.39","37,283,339.42","75,306,756.65","65,272,613.64","63,181,461.05","38,681,125.75","65,193,478.03","67,482,061.89","31,917,189.39","16,506,457.48","26,306,252.02","30,929,778.06","26,887,887.34","8,867,308.58","17,758,532.36","19,631,332.08","29,341,421.10","23,031,264.67","25,594,393.79","22,246,911.48","2,097,760,636.38","1,829,334,455.88","2,027,769,736.39","2,371,787,262.50","2,165,849,327.01","1,161,448,164.83","1,356,952,410.97","1,521,902,301.05","1,766,957,474.94","1,497,260,607.37","2,078,491,985.38","1,801,667,113.10","2,060,615,092.53"
预收款项,"52,487,166.78","44,763,016.32","90,870,831.17","50,034,980.67","49,811,357.91","67,152,541.43","43,627,840.36","52,610,850.63","64,849,914.77","61,833,565.36","36,150,090.06","36,621,971.42","42,389,050.66","41,630,194.72","42,647,551.92","35,297,892.06","44,443,547.77","48,155,000.97","47,139,390.08","41,341,669.29","41,412,050.11","36,391,359.13","32,265,348.47","28,176,213.69","33,237,608.14","27,838,286.33","29,219,085.79","28,234,386.16","32,444,837.76","28,453,222.08","4,472,683,781.83","1,734,806,678.28","1,552,232,971.06","2,283,971,087.62","2,031,256,814.02","1,909,208,985.89","1,844,315,863.29","1,393,930,342.92","1,617,038,901.64","1,012,578,490.99","915,376,208.75","1,129,500,244.38","1,284,721,373.98"
