科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"205,219,693.20","266,374,199.56","303,089,381.60","68,956,335.43","145,734,055.39","220,135,821.64","303,259,908.14","74,707,045.54","159,373,461.75","249,099,516.01","338,613,581.94","76,518,909.43","164,712,967.33","257,193,331.26","353,082,445.53","85,896,811.40","175,400,995.54","267,104,581.43","369,061,636.55","82,892,802.54","179,468,439.57","279,755,427.97","389,177,122.03","91,940,682.13","208,094,759.80","334,279,377.71","469,657,839.79","112,690,564.42","248,062,564.49"
二、营业利润,"27,522,084.51","34,692,190.58","40,084,206.63","6,374,946.07","15,857,173.31","22,574,124.56","29,992,118.15","9,044,753.50","18,952,055.86","26,662,566.50","30,298,589.55","8,497,143.39","17,814,842.01","23,159,176.27","26,999,370.61","8,002,519.87","14,705,167.24","25,373,297.49","30,375,558.28","10,417,481.52","19,443,436.54","25,108,692.79","30,802,744.09","9,680,539.58","19,864,496.05","31,157,260.72","43,279,560.55","15,356,386.55","34,796,518.92"
减:营业成本,"143,333,241.19","182,925,492.34","208,398,008.70","47,792,384.90","100,270,025.53","151,202,379.61","209,468,736.16","52,145,875.94","110,117,975.99","172,478,553.77","236,616,175.15","54,642,666.41","117,935,622.40","187,053,797.58","258,649,952.08","60,905,112.31","125,153,680.63","189,669,888.56","264,445,631.61","60,401,353.79","131,024,571.83","205,940,729.94","286,771,706.65","67,342,323.39","152,449,247.80","245,220,046.18","343,029,063.80","80,297,530.50","175,431,587.94"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"410,612.93","537,566.00","1,963,928.09","669,162.12","1,095,389.85","1,716,364.73","2,154,657.50","470,013.16","925,300.03","1,639,235.55","2,246,744.03","369,796.98","969,780.41","1,495,519.21","1,994,926.78","648,292.92","1,120,453.81","1,840,934.08","2,598,003.09","796,757.79","1,451,158.12","2,270,593.72","4,495,957.98","878,917.44","2,897,076.99","3,857,694.36","5,392,908.23","1,383,323.22","2,897,480.04"
营业外收入,"4,789,112.04","6,414,095.89","3,122,454.16","2,629,645.68","4,192,447.90","5,770,895.86","6,628,738.59","1,744,412.71","2,677,007.83","3,717,449.77","8,218,763.96","590,996.06","795,332.40","1,577,084.62","3,334,040.20","254,024.96","3,927,208.74","4,211,499.41","6,525,289.54","161,296.50","2,053,127.47","6,595,527.47","6,987,267.09","1,883,267.00","4,243,286.57","6,105,482.69","3,548,410.73","949,400.00","950,950.00"
销售费用,"11,680,739.67","14,718,058.01","14,984,272.45","4,355,951.96","7,749,525.70","13,176,789.46","18,109,359.31","4,576,767.67","9,217,771.70","14,778,498.87","22,901,698.55","3,560,605.99","7,928,947.38","12,335,059.88","18,965,311.25","4,277,856.30","8,481,004.81","12,925,787.10","20,787,325.59","4,531,207.77","10,688,261.75","18,252,679.49","28,894,586.69","5,717,217.63","13,121,435.45","21,745,810.67","37,556,236.24","6,612,987.78","17,009,465.18"
减:营业外支出,"289,315.37","343,954.81","539,741.90","157,869.25","88,480.48","308,390.82","545,047.38","141,038.09","241,125.09","427,009.58","589,153.97","97,277.10","334,435.50","440,052.70","527,880.18","106,320.41","242,491.89","362,278.93","445,668.56","103,828.09","193,222.46","273,855.83","339,219.99","11,235.62","134,638.59","315,194.55","551,905.35","32,285.00","4,071.14"
管理费用,"19,495,154.26","26,547,389.89","29,296,816.55","8,643,922.39","16,748,086.28","27,915,769.38","41,864,668.94","7,402,779.97","19,139,780.45","32,731,823.69","46,494,959.04","9,398,945.43","19,825,104.46","31,805,673.37","44,688,855.32","9,894,175.84","23,384,702.97","35,745,731.32","51,457,956.41","10,206,492.03","23,262,451.25","36,566,027.07","50,343,402.48","11,919,898.65","24,967,537.50","38,185,138.66","54,863,594.18","12,565,206.69","26,872,838.62"
其中:非流动资产处置净损失,,,,,,,"97,145.35",,,,"11,885.66",,"43,412.87","43,412.87","43,412.87",,"33,981.86",,"33,981.86",,"12,018.32",,"13,011.40",,"44,560.03",,,,
