科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"411,175,708.30","433,973,436.64","208,097,037.22","326,965,065.33","464,450,368.72","134,460,485.07","258,959,956.18","409,620,058.25","554,240,732.58","156,755,541.70","293,712,190.54","466,254,927.81","608,204,451.81","176,946,290.44","362,905,044.00","575,583,467.18","782,765,631.98","226,433,260.59","449,404,954.76","700,957,674.61","1,005,807,078.18","285,030,621.66","535,797,016.37","811,640,420.43","1,151,627,892.80","301,813,640.79","692,296,007.57","1,146,698,751.97","1,370,446,822.35","429,526,283.53","882,187,033.23","1,277,532,649.01","1,651,556,533.55","426,986,914.33","824,937,171.41","1,285,678,556.67","1,796,768,209.70","486,830,002.42","1,068,303,602.72","1,747,946,319.53","2,235,441,174.01","528,090,470.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"63,221,981.17",,,,,,"596,766,718.78","596,766,718.78","611,781,718.76",,"260,000,000.00","260,000,000.00","260,000,000.00",,"321,470,785.67","326,470,785.67","375,849,627.86",,"219,676,216.91","544,366,552.81","555,495,523.71","1,385,474.71"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"5,508.20",,,"389,285.03","676,270.87","1,198,653.08","1,198,653.08","1,590,510.48","2,984,925.77","472,098.10","472,098.10","472,098.10","472,098.10",,,"5,692.02","5,692.02",,,"1,817,213.55","1,845,266.64",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"3,276,000.00","936,000.00","1,404,000.00","47,389,000.00","47,389,000.00",,"1,710,000.00","1,710,000.00","1,710,000.00","1,013,027.80","1,660,399.80","2,161,713.40","2,166,663.40",,,,,,"257,809.25","299,301.25","935,993.11","4,153,230.00","6,153,230.00","6,567,570.00","1,788,954.25",
收到其他与经营活动有关的现金,"26,940,228.09","23,033,763.90","15,880,666.60","53,667,045.14","59,467,220.79","6,719,550.59","15,428,389.49","19,787,034.25","36,019,788.96","3,320,330.82","17,671,964.83","23,934,660.60","19,861,728.80","3,759,940.33","8,805,955.98","15,719,990.97","61,042,859.32","4,829,277.95","9,760,938.09","29,520,247.27","50,628,486.15","37,622,133.52","51,790,489.80","61,944,228.80","82,697,833.35","44,501,830.99","69,315,870.65","89,498,388.58","101,663,043.75","50,479,095.63","76,753,462.37","94,264,393.35","112,915,343.38","11,333,860.23","59,235,931.28","73,108,889.45","119,692,318.23","11,793,743.23","34,432,793.07","54,550,351.37","106,367,217.49","11,314,448.59"
投资活动现金流出小计,"46,963,366.40","38,053,530.00","7,721,445.00","20,522,822.10","25,834,034.39","10,238,788.23","33,110,170.23","44,401,679.56","67,018,662.63","14,512,527.00","131,124,326.95","168,754,862.29","185,408,398.18","13,068,791.82","22,574,137.62","45,498,796.18","80,695,884.81","25,486,340.66","430,638,720.83","640,719,715.76","1,160,518,105.51","63,812,734.60","234,622,755.37","661,252,263.35","936,843,758.37","197,376,160.82","850,960,232.28","1,149,456,725.57","1,315,717,459.23","48,834,789.09","454,932,108.29","847,767,060.73","1,630,746,736.10","323,178,702.21","821,744,742.89","1,408,128,959.38","1,919,173,663.51","222,334,329.54","532,460,086.70","1,009,539,315.81","1,081,849,719.82","29,071,635.93"
经营活动现金流入小计,"438,115,936.39","457,007,200.54","223,977,703.82","380,632,110.47","523,917,589.51","141,180,035.66","274,388,345.67","429,407,092.50","590,260,521.54","160,075,872.52","311,384,155.37","490,189,588.41","628,066,180.61","180,706,230.77","371,710,999.98","591,303,458.15","843,808,491.30","231,262,538.54","459,165,892.85","730,477,921.88","1,056,441,072.53","322,652,755.18","587,587,506.17","873,973,934.26","1,235,001,997.02","347,514,124.86","762,810,531.30","1,237,787,651.03","1,475,094,791.87","480,477,477.26","959,412,593.70","1,372,269,140.46","1,764,943,975.03","438,320,774.56","884,173,102.69","1,358,793,138.14","1,916,466,219.95","498,623,745.65","1,102,736,395.79","1,804,313,884.45","2,343,653,658.14","539,404,919.37"
投资活动产生的现金流量净额,"-45,253,910.40","-37,668,207.86","-7,603,039.00","-20,331,009.10","-25,265,888.15","-10,238,788.23","-33,102,878.23","-44,145,149.56","-66,746,132.63","-14,512,527.00","-131,124,326.95","-168,754,862.29","-185,404,348.18","-13,070,291.82","-22,381,607.62","-45,141,975.68","-80,285,989.31","-25,484,740.66","-430,467,120.83","-612,736,336.26","-607,343,775.33","-63,787,734.60","114,065,537.78","-152,795,890.76","-225,113,350.33","282,520,793.99","-162,532,031.75","-274,766,061.79","-201,473,878.34","60,181,792.18","-203,756,566.54","-555,600,435.16","-994,242,947.95","-134,648,468.36","-79,854,174.25","-275,869,375.54","93,522,743.69","-188,462,394.79","-99,183,236.11","-535,513,834.31","-450,778,180.10","-16,247,635.93"
购买商品、接受劳务支付的现金,"188,190,194.32","138,146,736.55","47,182,437.77","78,539,231.14","113,528,372.73","30,423,767.77","65,906,132.96","83,549,209.38","121,506,011.35","26,823,502.72","61,582,417.51","101,537,004.07","119,201,254.89","29,756,838.17","84,782,243.03","139,487,350.23","201,323,714.79","64,040,870.69","141,321,377.48","235,479,674.47","311,984,070.59","76,066,506.61","178,895,422.32","265,428,892.25","344,758,268.33","85,970,870.44","181,451,138.09","260,535,038.21","344,618,055.70","69,254,824.80","148,764,018.59","237,430,669.49","384,531,186.93","71,005,023.10","187,037,989.79","267,045,594.68","456,660,330.00","157,413,825.53","290,379,602.63","432,651,070.07","544,410,412.68","137,638,708.84"
吸收投资收到的现金,,,,,"1,059,000,000.00",,,,,,,,,,,,,,,,,,"93,805,680.00","93,805,680.00","101,972,280.00",,,,,,,"979,262,770.41","987,262,770.41","170,000.00",,,,,,,"9,375,000.00","107,255,180.00"
