科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"39,296,828.17","50,436,200.69","61,601,230.43","40,111,497.74","7,759,046.60","172,621,672.56","190,406,787.49","153,319,363.43","98,199,869.37","150,798,229.70","161,632,812.04","141,677,607.16","168,200,004.49","167,932,270.80","160,491,590.29"
短期借款,"32,000,000.00","34,000,000.00","32,000,000.00","42,000,000.00","42,000,000.00","27,000,000.00","27,000,000.00","27,000,000.00","18,000,000.00","27,000,000.00","27,000,000.00","56,500,000.00","122,000,000.00","118,000,000.00","145,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,"45,284.20",,,,,
应付票据,,,,,,,,,,,,,,,
应收账款,"311,796,093.26","327,737,460.88","314,904,662.65","287,377,288.67","289,953,813.72","291,214,820.70","297,225,665.40","345,659,079.11","354,549,197.93","422,199,282.03","437,060,283.23","507,399,701.99","519,314,614.02","684,863,490.68","643,755,195.39"
应付账款,"168,359,826.15","164,763,876.24","120,334,076.90","102,950,880.57","115,705,309.12","136,054,585.72","107,827,598.76","117,216,363.93","117,420,277.40","185,141,532.57","142,420,930.10","189,081,159.21",,"300,295,502.96",
预付款项,"1,379,073.18","1,963,714.39","2,582,476.45","5,321,174.54","26,029,113.63","4,759,449.08","40,462,705.70","9,508,076.22","24,474,958.81","10,381,727.20","15,128,168.47","16,740,999.92","26,758,675.88","15,933,518.78","29,663,602.03"
预收款项,"17,053,301.47","19,265,791.33","56,118,418.72","74,253,485.70","84,060,317.42","84,586,796.24","107,995,665.58","99,342,783.93","103,288,576.77","105,693,695.20","145,269,628.10","136,158,516.52","150,259,673.04","160,342,627.54","188,856,544.87"
其他应收款,"2,154,800.58","5,574,254.21","6,795,709.85","13,864,453.61","12,638,226.20","9,801,058.36","19,704,226.20","16,643,294.16","21,491,480.79","25,294,895.63","29,466,062.09","41,027,025.56","40,025,130.47","40,277,631.70","51,646,008.83"
应付职工薪酬,"3,278,602.27","2,823,289.33","2,891,958.53","527,037.95","2,458,428.38","2,886,648.42","2,075,334.76","1,153,846.77","1,227,727.09","735,117.99","2,955,143.70","1,751,559.38","970,035.53","1,337,171.50","4,362,845.52"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"17,445,784.80","21,616,783.66","18,956,232.01","5,979,385.08","4,504,205.07","8,858,640.75","956,382.34","4,577,429.43","2,213,453.37","11,770,222.88","5,035,361.93","3,513,236.91","2,795,722.68","17,284,573.17","7,288,728.70"
应收利息,,,,,,,,,,,,,,"378,000.00","378,000.00"
应付利息,"53,333.35","54,351.11","42,668.33","51,000.00","50,750.00","32,625.00","32,625.00","32,625.00","21,750.00","32,625.00","32,625.00","60,416.67","98,443.75","166,689.58","331,571.53"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"48,261,579.40","52,768,227.22","77,683,683.10","107,537,054.82","149,940,759.97","127,719,452.45","150,019,664.26","150,669,028.59","170,880,355.91","158,462,889.16","176,103,858.91","183,004,477.82","221,548,897.35","223,390,718.89","243,304,869.70"
其他应付款,"2,348,251.54","3,389,831.29","7,618,555.72","7,217,846.75","8,348,087.73","8,395,712.42","12,442,495.14","15,709,719.75","19,188,364.22","19,604,107.32","209,365,510.06","214,116,869.85","213,730,153.12","134,603,393.52","28,956,979.10"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,,,,,"91,986.27","100,000,000.00",,"1,737,098.70","3,286,398.36","54,371.31","1,153,907.99","589,064.62","1,836,685.48","223,069.35","1,867,724.15"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"402,888,374.59","438,479,857.39","463,567,762.48","454,211,469.38","486,412,946.39","706,116,453.15","697,819,049.05","677,535,940.21","672,882,261.17","767,236,679.23","820,545,092.73","890,438,877.07","977,684,007.69","1,132,620,700.20","1,130,728,990.39"
流动负债合计,"240,539,099.58","245,913,922.96","237,961,910.21","232,979,636.05","257,127,097.72","267,815,008.55","258,330,101.58","265,032,768.81","261,360,148.85","349,977,300.96","532,079,198.89","601,181,758.54","686,736,525.07","731,863,268.69","635,129,493.50"
可供出售金融资产,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00"
长期借款,,,,,,,,,,,,,,,"100,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"579,021.45","479,128.69"
专项应付款,,,,,,,,,,,,,,,
投资性房地产,"3,517,245.42","3,445,631.00","1,459,591.52","1,413,708.43","1,390,766.88","1,367,825.34","1,352,252.89","1,329,101.86","1,305,950.83","1,282,799.81","1,265,327.20","1,243,724.83","1,222,122.46","7,937,947.70","7,790,348.09"
预计负债,"589,700.00","621,017.90","686,000.00","674,769.00","695,264.00","978,264.00","987,931.00","1,024,660.72","1,044,660.72","1,065,203.83","1,085,203.83","1,110,203.83","1,130,203.83","1,190,203.83","1,210,203.83"
固定资产,"48,958,926.45","46,357,353.76","42,344,302.79","47,696,651.70","46,727,628.64","51,451,698.94","50,187,496.21","52,706,462.29","53,957,067.68","88,318,110.23","88,846,766.98","88,962,367.92","88,836,540.41","80,292,659.18","79,457,642.31"
递延所得税负债,"3,550,892.31","3,420,222.75","3,281,135.21","3,209,646.48","3,173,929.23","3,139,023.12","3,108,650.53","3,067,865.75","3,032,684.18","3,000,472.89","2,979,219.72","2,929,235.16","2,893,497.71","3,364,301.05","3,239,794.24"
在建工程,"4,846,246.73","4,846,246.73","5,268,127.16",,"1,820,000.00",,,"25,125,611.33","28,827,417.26",,"64,675.68","258,850.44","64,675.68",,
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"4,140,592.31","4,041,240.65","3,967,135.21","3,884,415.48","3,869,193.23","4,117,287.12","4,096,581.53","4,092,526.47","4,077,344.90","4,065,676.72","4,064,423.55","4,039,438.99","4,023,701.54","4,554,504.88","104,449,998.07"
固定资产清理,,,,,,,,,,,,,,,
