科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"236,486,938.64","317,447,645.25","296,275,739.83","102,080,837.49","154,988,974.00","268,741,401.65","371,077,912.84","108,408,514.53","211,376,149.96","333,278,685.64","502,211,415.86","104,250,096.99","204,636,039.58","341,773,909.59","475,084,525.46","121,466,913.30","255,304,050.24","432,080,928.41","603,856,685.49","188,039,326.25","360,376,982.44","552,666,191.09","791,023,311.11","240,862,139.83","474,879,529.03","787,644,734.47","1,039,124,843.40","260,233,719.70","538,129,254.59","897,197,409.10","1,271,037,762.97","390,522,987.36","738,045,834.85","1,193,801,408.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"140,000.00",,,,,,,,,,,,,,,"2,500,000.00","2,500,000.00","10,500,000.00",,,,"574,728.01",,,
收到的税费返还,"9,185,505.98","23,424,960.19","13,666,699.35","6,396,722.18","9,499,886.29","17,877,649.19","21,704,850.34","12,544,177.33","18,291,503.38","28,051,118.92","39,286,370.10","5,825,890.45","15,309,263.58","37,964,370.04","38,099,543.72","12,951,493.07","25,419,128.43","38,711,328.19","56,155,467.28","8,424,599.43","21,217,519.73","30,210,256.65","37,907,053.07","16,083,633.67","34,906,802.28","52,376,720.88","61,491,450.57","18,100,832.85","35,125,477.89","63,404,607.79","76,178,319.72","16,606,666.87","35,937,635.64","63,041,595.82"
支付其他与投资活动有关的现金,,,,,,"9,848,225.00",,,,,,,,,,,,,,,,,,,,,"2,550,814.51",,,,,,"2,415,724.59","2,415,724.59"
收到其他与经营活动有关的现金,"1,150,872.09","1,483,900.16","2,185,879.86","1,962,424.22","2,572,010.41","2,497,452.51","11,865,275.35","2,151,190.64","9,857,671.36","11,501,068.79","15,489,975.17","3,007,967.56","9,471,652.28","10,303,093.57","15,683,009.31","1,726,946.54","3,623,478.32","5,222,392.27","6,953,407.42","1,497,912.33","2,629,823.47","4,528,569.77","8,669,653.09","2,433,260.47","3,609,620.86","2,968,020.18","6,294,910.42","1,425,481.90","8,642,753.14","8,274,967.39","12,919,977.97","1,945,492.65","6,114,297.82","14,208,241.90"
投资活动现金流出小计,"12,911,226.43","27,222,482.29","9,245,168.99","9,334,170.77","14,782,069.99","35,300,630.79","72,747,078.35","23,881,247.51","54,628,801.47","78,651,559.01","132,346,016.95","15,430,994.60","38,299,845.35","56,716,918.29","68,925,646.00","2,782,870.80","13,898,679.37","38,811,342.38","70,650,145.39","14,052,376.08","26,223,470.25","81,789,139.02","149,590,388.39","108,333,246.00","219,492,903.83","451,982,969.58","637,912,902.13","353,699,971.04","501,875,536.85","639,786,712.97","750,078,165.37","10,034,552.56","42,297,112.75","74,549,414.30"
经营活动现金流入小计,"246,823,316.71","342,356,505.60","312,128,319.04","110,439,983.89","167,060,870.70","289,116,503.35","404,648,038.53","123,103,882.50","239,525,324.70","372,830,873.35","556,987,761.13","113,083,955.00","229,416,955.44","390,041,373.20","528,867,078.49","136,145,352.91","284,346,656.99","476,014,648.87","666,965,560.19","197,961,838.01","384,224,325.64","587,405,017.51","837,600,017.27","259,379,033.97","513,395,952.17","842,989,475.53","1,106,911,204.39","279,760,034.45","581,897,485.62","968,876,984.28","1,360,136,060.66","409,075,146.88","780,097,768.31","1,271,051,246.69"
投资活动产生的现金流量净额,"-12,898,226.43","-27,222,482.29","-9,089,668.99","-9,314,070.77","-14,759,969.99","-35,278,530.79","-72,724,978.35","-23,881,247.51","-54,378,801.47","-78,401,559.01","-131,632,016.95","-15,365,994.60","-38,234,845.35","-56,371,968.29","-68,569,166.00","-2,782,870.80","-13,898,679.37","-38,811,342.38","-70,650,145.39","8,978,623.92","7,129,354.41","-5,213,711.62","-45,685,117.15","-55,734,889.84","-27,996,076.25","-166,852,725.80","-150,848,145.03","-62,871,697.06","-39,341,969.72","-56,295,310.22","-35,595,392.76","70,612,558.55","38,363,368.36","8,111,066.81"
购买商品、接受劳务支付的现金,"183,898,562.75","213,557,751.89","223,646,427.26","73,040,319.84","172,016,044.83","283,376,840.25","353,183,078.49","94,045,446.92","194,448,334.26","267,699,640.82","428,429,513.88","105,375,074.48","194,538,602.26","296,447,459.46","364,477,558.50","88,437,354.40","201,341,995.32","318,851,665.96","462,848,011.37","146,260,272.97","271,053,829.24","418,133,122.47","568,903,745.07","171,320,783.28","358,980,476.00","556,459,755.31","748,344,403.28","190,423,405.93","386,149,574.66","667,254,959.49","912,560,911.83","253,678,351.22","533,375,373.79","868,751,567.41"
吸收投资收到的现金,,,"900,000.00","500,000.00","541,443,700.00","541,443,700.00","556,775,100.00","500,000.00","500,000.00","1,500,000.00","2,500,000.00",,,,,,"1,000,000.00","1,456,300.00","1,456,300.00",,,,"150,741,519.34",,,,,,"456,300.00","456,300.00","456,300.00","3,000,000.00","3,000,000.00","3,000,000.00"
支付给职工以及为职工支付的现金,"26,994,449.93","35,425,694.92","37,566,299.82","12,898,664.42","29,014,922.92","48,271,726.02","59,607,510.40","18,698,716.87","43,178,825.90","64,998,191.30","83,871,187.47","22,995,949.18","47,547,221.71","73,212,595.59","98,789,470.22","26,850,546.04","61,365,485.48","97,899,476.26","130,195,251.26","32,799,575.90","70,228,145.34","115,721,160.41","157,679,903.09","41,432,894.52","98,775,897.95","147,738,793.83","191,764,076.44","47,443,329.39","107,628,132.24","165,785,559.24","225,081,147.79","58,812,596.93","128,499,861.59","210,692,132.14"
取得借款收到的现金,"83,355,732.38","68,449,032.00","27,907,483.71","10,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","5,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00",,,,,,,"1,978,930.68","1,978,930.68",,,"5,000,000.00","5,000,000.00","100,000.00","5,100,000.00","5,100,000.00","25,931,889.70","100,000.00","2,771,070.33","9,911,810.15","22,027,351.00","23,409,458.52","30,043,286.80","34,581,935.38"
支付的各项税费,"3,738,073.84","4,656,141.83","6,375,250.63","1,309,263.72","4,187,010.51","4,840,157.30","9,131,674.19","2,754,635.48","5,772,276.23","9,086,467.73","10,929,149.88","1,930,237.18","5,728,449.81","8,636,106.05","11,598,984.21","2,767,416.12","7,499,397.97","11,626,576.55","14,599,375.51","5,214,572.48","14,817,541.10","23,173,580.10","23,301,282.46","6,098,779.18","13,809,964.91","21,029,444.56","27,974,826.56","11,993,283.55","24,965,294.03","36,645,519.19","47,703,872.29","13,647,726.68","32,618,450.37","47,732,465.16"
收到其他与筹资活动有关的现金,"48,054,071.57","18,212,099.51","29,792,725.08","5,899,316.59","14,362,134.70","17,125,216.00","33,623,453.18",,"20,745,330.39","22,921,476.80","32,192,666.65","6,712,959.29","10,933,979.80","16,007,688.84","10,245,863.58","3,155,828.00","3,882,658.65","3,882,658.65","5,886,754.65",,"4,153,704.46","9,581,501.47","13,435,911.65","7,406,187.62","13,888,646.25","49,961,238.71","52,265,486.08",,"48,086.40","29,465,968.35","39,065,196.55","891,475.64","4,509,767.36","6,089,767.42"
支付其他与经营活动有关的现金,"14,598,680.28","17,726,512.18","19,376,952.53","11,120,336.90","12,349,283.99","18,457,929.06","27,718,949.13","7,328,704.76","17,814,525.97","30,314,705.64","21,969,577.72","7,982,888.15","16,240,203.80","18,296,325.06","27,452,351.20","7,280,858.96","14,671,844.49","24,854,298.27","32,726,492.83","9,008,066.97","18,786,991.89","31,147,096.71","40,096,774.26","12,002,217.23","24,519,197.47","39,807,407.99","51,739,083.50","12,291,406.03","22,740,840.46","38,248,734.63","48,780,111.74","14,669,082.57","29,753,203.34","47,588,712.98"
筹资活动现金流入小计,"131,409,803.95","86,661,131.51","58,600,208.79","16,399,316.59","565,805,834.70","578,568,916.00","610,398,553.18","5,500,000.00","51,245,330.39","64,421,476.80","74,692,666.65","6,712,959.29","10,933,979.80","16,007,688.84","10,245,863.58","3,155,828.00","4,882,658.65","7,317,889.33","9,321,985.33",,"4,153,704.46","14,581,501.47","169,177,430.99","7,506,187.62","18,988,646.25","55,061,238.71","78,197,375.78","100,000.00","3,275,456.73","39,834,078.50","61,548,847.55","27,300,934.16","37,553,054.16","43,671,702.80"
经营活动现金流出小计,"229,229,766.80","271,366,100.82","286,964,930.24","98,368,584.88","217,567,262.25","354,946,652.63","449,641,212.21","122,827,504.03","261,213,962.36","372,099,005.49","545,199,428.95","138,284,148.99","264,054,477.58","396,592,486.16","502,318,364.13","125,336,175.52","284,878,723.26","453,232,017.04","640,369,130.97","193,282,488.32","374,886,507.57","588,174,959.69","789,981,704.88","230,854,674.21","496,085,536.33","765,035,401.69","1,019,822,389.78","262,151,424.90","541,483,841.39","907,934,772.55","1,234,126,043.65","340,807,757.40","724,246,889.09","1,174,764,877.69"
偿还债务支付的现金,"86,719,412.59","75,275,781.89","33,573,250.11","9,507,483.71","24,507,483.71","24,507,483.71","34,507,483.71",,,"40,000,000.00","40,000,000.00",,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","100,000.00","100,000.00","100,000.00","25,669,147.18","15,795,778.84","25,095,778.84","36,571,125.58"
经营活动产生的现金流量净额,"17,593,549.91","70,990,404.78","25,163,388.80","12,071,399.01","-50,506,391.55","-65,830,149.28","-44,993,173.68","276,378.47","-21,688,637.66","731,867.86","11,788,332.18","-25,200,193.99","-34,637,522.14","-6,551,112.96","26,548,714.36","10,809,177.39","-532,066.27","22,782,631.83","26,596,429.22","4,679,349.69","9,337,818.07","-769,942.18","47,618,312.39","28,524,359.76","17,310,415.84","77,954,073.84","87,088,814.61","17,608,609.55","40,413,644.23","60,942,211.73","126,010,017.01","68,267,389.48","55,850,879.22","96,286,369.00"
分配股利、利润或偿还利息支付的现金,"3,860,056.73","2,930,027.69","646,151.07","257,079.98","836,780.69","934,255.66","391,597.77","24,365.62","20,238,836.82","20,500,163.22","20,489,345.35","87,852.64","15,007,500.00","15,007,500.00","15,007,500.00",,"20,009,989.89","20,069,219.29","20,069,219.29",,"30,015,000.00","30,052,000.00","30,143,000.00","90,000.00","16,812,280.77","16,919,847.44","16,961,832.46","33,263,190.99","33,364,477.54","50,039,691.78","50,363,579.26","273,090.21","436,711.59","531,070.09"
收回投资收到的现金,,,,,,,,,"250,000.00","250,000.00","250,000.00",,,,,,,,,"23,000,000.00","33,000,000.00","76,000,000.00","100,000,000.00","52,000,000.00","182,000,000.00","272,101,471.00","462,101,471.00","280,000,000.00","450,000,000.00","570,000,000.00","700,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00"
支付其他与筹资活动有关的现金,"36,231,365.12","31,338,531.59","25,120,074.89","5,151,921.20","14,533,895.16","22,506,894.87","48,554,572.04",,"13,339,035.18","20,422,616.10","24,488,188.69","3,635,520.33","7,914,237.83","11,660,062.33","16,595,676.56","4,595,705.61","10,274,677.72","18,761,066.30","22,999,336.08","3,099,257.32","12,441,050.22","23,805,215.47","37,747,975.82","32,859,349.53","42,534,219.22","58,201,630.14","66,480,043.87","11,091,167.87","20,342,520.28","33,188,483.84","47,189,010.88","12,864,969.80","26,751,604.37","42,649,299.42"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,"321,824.66","454,427.40","3,784,271.24","598,356.16","2,596,827.58","3,628,772.78","5,282,286.10","2,322,273.98","3,770,767.13","4,728,602.75","5,719,972.61","647,111.11","647,111.11","647,111.11"
筹资活动现金流出小计,"126,810,834.44","109,544,341.17","59,339,476.07","14,916,484.89","39,878,159.56","47,948,634.24","83,453,653.52","24,365.62","33,577,872.00","80,922,779.32","84,977,534.04","3,723,372.97","22,921,737.83","26,667,562.33","31,603,176.56","4,595,705.61","30,284,667.61","38,830,285.59","43,068,555.37","3,099,257.32","42,456,050.22","53,857,215.47","67,890,975.82","32,949,349.53","59,346,499.99","85,121,477.58","93,441,876.33","44,454,358.86","53,806,997.82","83,328,175.62","123,221,737.32","28,933,838.85","52,284,094.80","79,751,495.09"
