科目,2010年度,2011年度,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"232,893,376.62","289,527,781.22","180,643,469.04","77,884,000.60","131,226,342.07","184,877,684.07","50,097,025.07","56,130,448.69","115,932,083.63","213,279,120.53","29,014,431.89","82,418,639.35","147,068,942.75","349,023,117.66","85,746,069.41","167,652,881.22","383,401,294.56","683,428,518.12","199,941,791.56","530,867,190.80","900,920,849.83","966,400,060.18","345,253,020.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"140,000.00","448,952,617.50",,"542,257,433.33","542,257,433.33","542,257,433.33",,"331,825.15","8,243,241.39","8,243,241.39",,
收到的税费返还,,,"1,942,878.04","1,163,960.93","1,257,794.96","3,344,151.14","1,514,306.71","2,935,999.77","4,045,397.76","6,916,051.37",,"467,653.50","467,653.50","824,396.63","201,363.45","1,335,704.06","824,396.63","473,498.31",,"181,353.52","454,251.34","441,910.63","246,836.48"
支付其他与投资活动有关的现金,,,,,"6,000,000.00","6,000,000.00",,"345,000.00","1,035,000.00","3,842,732.00",,,,"4,682,581.43","836,384,801.22","2,195,945.00","2,570,266.60","8,066,038.68","655,840,669.00","789,709.56","53,449,892.75","19,100,759.90",
收到其他与经营活动有关的现金,"5,882,238.57","4,335,009.98","6,652,082.60","2,359,068.79","2,590,271.39","7,530,027.33","1,157,832.51","2,257,952.10","8,893,625.63","8,003,832.04","1,182,084.06","3,507,278.46","22,866,959.77","15,019,625.11","23,357,142.99","16,200,167.21","16,739,359.19","12,818,014.08","6,675,883.36","4,076,460.23","20,127,912.38","64,330,540.25","6,733,002.75"
投资活动现金流出小计,"56,039,520.23","56,274,623.48","91,114,974.66","8,008,314.87","15,799,055.44","19,381,022.75","13,005,034.12","27,442,897.76","55,050,020.05","106,448,129.03","14,919,450.00","25,512,987.62","521,528,217.23","125,603,238.04","1,404,974,078.17","582,413,718.04","595,178,496.25","1,541,422,806.18","724,300,768.56","234,688,307.23","545,363,341.78","304,576,194.96","68,895,657.84"
经营活动现金流入小计,"238,775,615.19","293,862,791.20","189,238,429.68","81,407,030.32","135,074,408.42","195,751,862.54","52,769,164.29","61,324,400.56","128,871,107.02","228,199,003.94","30,196,515.95","86,393,571.31","170,403,556.02","364,867,139.40","109,304,575.85","185,188,752.49","400,965,050.38","696,720,030.51","206,617,674.92","535,125,004.55","921,503,013.55","1,031,172,511.06","352,232,859.95"
投资活动产生的现金流量净额,"-56,026,058.74","-52,021,546.73","-91,068,974.66","-7,997,318.87","-15,788,059.44","-19,370,026.75","255,454,965.88","-27,429,569.76","-49,035,692.05","-100,432,801.03","-14,919,450.00","-25,490,272.62","-521,505,502.23","-110,768,330.73","-1,393,822,615.65","-535,696,612.27","-544,518,253.81","-607,290,896.23","-724,300,768.56","-179,658,630.96","-485,981,432.47","-302,707,090.71","-68,206,067.81"
购买商品、接受劳务支付的现金,"161,434,610.50","160,225,985.76","137,215,723.79","80,072,537.23","124,146,848.65","120,749,213.86","36,685,550.83","98,874,429.93","213,960,297.01","189,534,064.01","23,270,107.00","60,290,348.08","119,348,536.14","232,760,956.04","112,204,769.66","160,040,312.46","298,937,559.55","327,828,677.63","97,899,706.04","221,703,067.35","564,977,226.39","563,107,207.42","250,406,342.10"
吸收投资收到的现金,,,,"500,000.00","500,000.00","500,000.00",,"268,460,000.00","268,460,000.00","268,460,000.00",,,"509,422,000.00","970,239,963.06","3,822,970.00","118,460,970.00","119,117,210.00","215,103,688.00",,"8,290,000.00","13,808,000.00","14,608,000.00",
支付给职工以及为职工支付的现金,"41,640,818.15","50,253,259.74","58,276,189.64","31,558,518.93","45,913,757.65","60,107,529.12","16,771,903.05","30,938,640.72","47,535,979.08","59,981,932.42","16,526,710.94","31,352,514.41","54,174,301.53","87,382,411.77","30,788,207.63","63,444,762.44","92,016,669.63","135,331,943.49","22,506,000.65","74,988,503.92","122,178,230.97","152,254,223.76","35,375,745.69"
取得借款收到的现金,"222,097,589.99","323,087,449.98","567,854,530.88","277,166,052.51","388,506,058.53","554,189,336.53","27,000,000.00","252,000,000.00","285,627,404.12","411,052,392.40","82,000,000.00","225,000,000.00","784,505,622.53","751,275,050.00","330,864,400.00","525,724,782.78","793,907,986.61","1,330,033,600.00","461,855,080.42","931,530,000.00","1,256,530,000.00","1,752,530,000.00","98,127,740.84"
支付的各项税费,"15,178,173.15","30,498,095.53","20,245,816.97","13,765,686.39","21,639,260.12","24,149,981.03","6,924,061.11","18,570,856.02","21,478,315.74","21,994,531.52","2,962,226.53","11,440,034.26","21,032,855.41","31,542,668.15","17,396,556.37","38,735,225.07","79,697,251.90","114,609,610.32","45,625,202.29","131,049,642.64","171,424,457.80","191,417,758.17","10,612,507.64"
收到其他与筹资活动有关的现金,"19,611,942.00","53,799,450.00","25,000,000.00","30,000,000.00","90,000,000.00","159,701,000.00",,"13,800,000.00","86,976,245.00","133,294,000.00","95,583,700.00","101,565,000.00","221,301,509.13","145,747,500.00","661,905,873.34","80,106,327.54","176,107,603.37","809,544,694.75","47,073,753.62","72,000,000.00","125,894,758.05","174,124,649.39","139,012,334.38"
支付其他与经营活动有关的现金,"16,543,732.96","16,872,068.32","25,468,871.27","10,825,346.80","18,683,113.20","23,584,489.98","12,697,906.80","10,464,907.91","21,705,614.15","25,157,398.60","4,976,770.88","21,926,424.15","40,741,339.65","41,027,397.40","27,330,464.54","53,029,007.00","91,778,290.56","83,596,826.26","38,979,606.05","55,137,614.26","77,434,054.70","95,047,816.36","69,662,337.38"
筹资活动现金流入小计,"241,709,531.99","426,886,899.98","592,854,530.88","307,666,052.51","479,006,058.53","714,390,336.53","27,000,000.00","534,260,000.00","641,063,649.12","812,806,392.40","177,583,700.00","326,565,000.00","1,515,229,131.66","1,867,262,513.06","1,195,793,243.34","923,492,080.32","1,288,332,799.98","2,553,881,982.75","508,928,834.04","1,011,820,000.00","1,396,232,758.05","1,941,262,649.39","237,140,075.22"
经营活动现金流出小计,"234,797,334.76","257,849,409.35","241,206,601.67","136,222,089.35","210,382,979.62","228,591,213.99","73,079,421.79","158,848,834.58","304,680,205.98","296,667,926.55","47,735,815.35","125,009,320.90","235,297,032.73","392,713,433.36","187,719,998.20","315,249,306.97","562,429,771.64","661,367,057.70","205,010,515.03","482,878,828.17","936,013,969.86","1,001,827,005.71","366,056,932.81"
偿还债务支付的现金,"134,788,999.99","238,411,486.00","386,663,504.97","242,508,235.12","313,157,524.05","475,785,153.65","238,052,982.00","300,683,278.00","401,683,278.00","577,503,278.00","44,081,744.16","189,081,744.16","313,081,744.16","355,481,744.16","242,397,100.00","667,915,347.50","1,074,256,471.50","986,035,888.17","150,198,896.69","619,227,378.59","1,129,783,070.07","1,195,714,602.68","63,099,477.09"
经营活动产生的现金流量净额,"3,978,280.43","36,013,381.85","-51,968,171.99","-54,815,059.03","-75,308,571.20","-32,839,351.45","-20,310,257.50","-97,524,434.02","-175,809,098.96","-68,468,922.61","-17,539,299.40","-38,615,749.59","-64,893,476.71","-27,846,293.96","-78,415,422.35","-130,060,554.48","-161,464,721.26","35,352,972.81","1,607,159.89","52,246,176.38","-14,510,956.31","29,345,505.35","-13,824,072.86"
分配股利、利润或偿还利息支付的现金,"15,800,365.21","21,699,045.86","34,319,922.92","20,252,632.82","32,010,953.60","41,725,846.18","8,172,702.99","15,353,286.22","39,048,363.22","52,681,770.01","9,757,255.53","20,125,630.41","55,679,432.73","82,148,411.23","20,353,323.67","22,970,884.83","85,793,579.45","136,290,595.02","32,762,715.35","58,094,876.53","112,766,891.00","162,756,582.48","35,893,531.80"
收回投资收到的现金,,,,,,,,,,,,,,,"647,740.00","44,800,000.00","48,650,000.00","923,584,066.61",,"53,822,960.00","58,144,000.00",,
支付其他与筹资活动有关的现金,"19,917,492.20","68,456,894.92","55,563,637.92","24,425,005.06","102,514,481.60","151,644,266.68","29,317,151.62","43,222,334.54","58,126,377.95","77,237,001.80","123,501,831.86","97,983,709.09","243,493,057.57","248,918,322.96","355,866,685.40","85,094,691.23","205,330,171.65","1,004,982,913.57","25,764,142.77","96,483,605.36","122,360,781.13","150,650,337.63","71,216,438.48"
取得投资收益收到的现金,"13,461.49","48,076.75","34,000.00",,,,,,,,,,,,"1,120,288.89","1,120,288.89","1,866,255.56","1,879,717.05",,,,,
筹资活动现金流出小计,"170,506,857.40","328,567,426.78","476,547,065.81","287,185,873.00","447,682,959.25","669,155,266.51","275,542,836.61","359,258,898.76","498,858,019.17","707,422,049.81","177,340,831.55","307,191,083.66","612,254,234.46","686,548,478.35","618,617,109.07","775,980,923.56","1,365,380,222.60","2,127,309,396.76","208,725,754.81","773,805,860.48","1,364,910,742.20","1,509,121,522.79","170,209,447.37"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"5,000.00","12,000.00","10,996.00","10,996.00","10,996.00",,"13,328.00","14,328.00","15,328.00",,"22,715.00","22,715.00","22,715.00","9,383,433.63","143,666.88","143,986.88",320.00,,"1,044,987.85","1,076,180.89","875,104.25","574,904.83"
筹资活动产生的现金流量净额,"71,202,674.59","98,319,473.20","116,307,465.07","20,480,179.51","31,323,099.28","45,235,070.02","-248,542,836.61","175,001,101.24","142,205,629.95","105,384,342.59","242,868.45","19,373,916.34","902,974,897.20","1,180,714,034.71","577,176,134.27","147,511,156.76","-77,047,422.62","426,572,585.99","300,203,079.23","238,014,139.52","31,322,015.85","432,141,126.60","66,930,627.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"51,575.55","-1,028,550.59","-141,047.30","-20,663.02","81,891.82","173,380.26",,"-130,666.03","-236,504.27","260,885.59","-44,879.73","125,254.21","1,192,025.30","831,251.97","-31,922.83","37,609.93","-477,750.86","1,810,294.49",-179.28,"-467,489.60","593,213.99","-3,919,579.99","-424,248.66"
收到其他与投资活动有关的现金,,"4,200,000.00",,,,,"268,460,000.00",,"6,000,000.00","6,000,000.00",,,,"14,812,192.31",,"653,150.00",,"8,667,806.29",,"161,728.42","161,728.42","994,000.00","114,685.20"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"13,461.49","4,253,076.75","46,000.00","10,996.00","10,996.00","10,996.00","268,460,000.00","13,328.00","6,014,328.00","6,015,328.00",,"22,715.00","22,715.00","14,834,907.31","11,151,462.52","46,717,105.77","50,660,242.44","934,131,909.95",,"55,029,676.27","59,381,909.31","1,869,104.25","689,590.03"
五、现金及现金等价物净增加额,"19,206,471.83","81,282,757.73","-26,870,728.88","-42,352,861.41","-59,691,639.54","-6,800,927.92","-13,398,128.23","49,916,431.43","-82,875,665.33","-63,256,495.46","-32,260,760.68","-44,606,851.66","317,767,943.56","1,042,930,661.99","-895,093,826.56","-518,208,400.06","-783,508,148.55","-143,555,042.94","-422,490,708.72","110,134,195.34","-468,577,158.94","154,859,961.25","-15,523,761.48"
购建固定资产、无形资产和其他长期资产支付的现金,"56,039,520.23","56,274,623.48","91,114,974.66","8,008,314.87","9,799,055.44","13,381,022.75","13,005,034.12","27,097,897.76","50,151,250.05","75,965,397.03","1,559,450.00","6,362,987.62","25,765,599.73","57,570,656.61","8,009,843.62","18,638,339.71","32,028,796.32","57,014,532.95","60,628,274.41","197,498,722.66","402,076,235.92","199,615,435.06","68,895,657.84"
期初现金及现金等价物余额,"64,317,264.14","83,523,735.97","164,806,493.70","137,935,764.82","137,935,764.82","137,935,764.82","137,134,836.90","131,134,836.90","131,134,836.90","131,134,836.90","67,878,341.44","67,878,341.44","84,152,685.06","67,878,341.44","1,438,416,197.40","1,110,809,003.43","1,110,809,003.43","1,110,809,003.43","967,253,960.49","967,253,960.49","967,253,960.49","967,253,960.49","1,122,113,921.74"
投资支付的现金,,,,,,,,,"3,863,770.00","26,640,000.00","13,360,000.00","19,010,000.00","46,810,000.00","63,350,000.00","18,322,000.00","19,322,000.00","18,322,000.00","1,476,342,234.55","7,500,000.00","28,156,633.62","81,593,971.72","85,860,000.00",
期末现金及现金等价物余额,"83,523,735.97","164,806,493.70","137,935,764.82","95,582,903.41","78,244,125.28","131,134,836.90","123,736,708.67","181,051,268.33","48,259,171.57","67,878,341.44","35,617,580.76","23,271,489.78","401,920,628.62","1,110,809,003.43","543,322,370.84","592,600,603.37","327,300,854.88","967,253,960.49","544,763,251.77","1,077,388,155.83","498,676,801.55","1,122,113,921.74","1,106,590,160.26"
