科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"530,792,069.65","759,619,381.05","735,576,920.71","126,343,418.89","287,735,992.54","427,101,067.42","601,302,109.65","165,158,444.80","315,933,698.20","471,420,801.19","658,343,808.68","163,640,304.77","378,834,646.41","593,195,717.15"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"52,022,857.67"
收到的税费返还,"22,533,189.15","38,259,882.44","32,343,047.91","3,427,260.55","12,575,001.31","22,882,476.16","28,222,349.82","2,208,011.10","13,541,606.47","13,548,911.88","26,559,965.25","3,598,899.71","18,910,849.56","31,552,891.37"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,605,125.10","23,153,102.10","30,648,919.01","6,564,707.28","17,098,271.62","25,224,740.64","39,287,828.26","9,808,914.69","16,835,126.62","26,045,479.17","40,837,960.36","14,926,161.24","29,186,646.70","41,575,051.24"
投资活动现金流出小计,"424,650,787.03","10,672,349.30","4,910,212.60","11,427,373.76","514,074,659.76","768,793,477.56","1,073,501,746.81","592,399,215.92","1,303,323,337.05","1,408,719,217.75","2,026,535,166.21","339,316,587.80","849,635,089.13","1,242,618,871.97"
经营活动现金流入小计,"571,930,383.90","821,032,365.59","798,568,887.63","136,335,386.72","317,409,265.47","475,208,284.22","668,812,287.73","177,175,370.59","346,310,431.29","511,015,192.24","725,741,734.29","182,165,365.72","426,932,142.67","666,323,659.76"
投资活动产生的现金流量净额,"-147,977,446.69","-10,197,518.10","-4,352,494.66","-11,413,473.76","-513,540,191.33","-664,831,339.44","-559,874,269.28","-244,883,913.73","-84,845,568.57","-88,952,539.27","-203,282,420.04","63,127,162.19","47,086,686.89","2,686,842.40"
购买商品、接受劳务支付的现金,"117,179,954.01","342,640,261.60","309,244,378.28","55,357,484.30","120,950,778.08","184,847,980.82","228,496,086.99","53,872,598.48","132,390,546.42","191,568,741.03","248,100,795.61","63,565,649.05","168,407,140.57","278,153,138.09"
吸收投资收到的现金,,,,,"526,670,000.00","526,670,000.00","526,670,000.00",,,,,,,
支付给职工以及为职工支付的现金,"74,891,450.48","86,576,603.33","95,229,459.06","33,309,232.37","55,622,309.03","78,373,992.17","98,790,359.41","32,350,233.48","53,920,469.19","74,853,781.55","97,073,871.26","33,419,585.94","56,400,594.87","82,125,464.10"
取得借款收到的现金,,,,,,,,,,,,,,
支付的各项税费,"96,929,326.84","121,560,677.93","104,465,347.40","16,784,808.38","52,840,854.99","73,717,110.34","89,486,658.26","21,816,876.33","51,663,171.92","75,637,767.83","103,843,133.17","30,192,939.66","75,099,226.86","121,741,867.71"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"27,302,852.37","36,675,121.70","34,508,301.08","6,939,756.79","20,143,044.53","29,722,334.11","37,478,320.53","5,884,078.63","15,394,191.54","23,250,644.84","33,305,069.99","8,851,225.99","20,516,381.87","34,418,877.26"
筹资活动现金流入小计,,,,,"526,670,000.00","526,670,000.00","526,670,000.00",,,,,,,
经营活动现金流出小计,"316,303,583.70","587,452,664.56","543,447,485.82","112,391,281.84","249,556,986.63","366,661,417.44","454,251,425.19","113,923,786.92","253,368,379.07","365,310,935.25","482,322,870.03","136,029,400.64","320,423,344.17","516,439,347.16"
偿还债务支付的现金,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"255,626,800.20","233,579,701.03","255,121,401.81","23,944,104.88","67,852,278.84","108,546,866.78","214,560,862.54","63,251,583.67","92,942,052.22","145,704,256.99","243,418,864.26","46,135,965.08","106,508,798.50","149,884,312.60"
分配股利、利润或偿还利息支付的现金,"188,750,000.00","85,884,614.21","144,000,000.00",,"151,980,000.00","151,980,000.00","151,980,000.00",,"178,800,000.00","178,800,000.00","178,800,000.00","201,150,000.00","201,150,000.00","201,150,000.00"
收回投资收到的现金,"275,000,000.00",,,,,"100,000,000.00","500,000,000.00","341,000,000.00","1,200,000,000.00","1,300,000,000.00","1,789,000,000.00","399,000,000.00","887,000,000.00","1,231,455,624.73"
支付其他与筹资活动有关的现金,,,,,"5,559,183.00","5,559,183.00","8,411,000.00",,,,,,,
取得投资收益收到的现金,"1,621,840.34","393,233.20","176,954.94",,"325,616.43","3,733,692.12","13,388,212.66","6,481,082.19","18,395,068.48","19,668,978.48","34,121,731.90","3,342,399.99","9,608,126.02","13,723,439.64"
