科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"122,721,142.00","140,417,516.50","154,080,066.68","53,236,936.93","71,388,063.59","203,910,716.55","530,402,589.74","396,899,750.58","428,350,866.17","278,806,493.36","507,759,919.19"
短期借款,"20,000,000.00","50,000,000.00","39,000,000.00","45,000,000.00","51,000,000.00","51,000,000.00",,,,"169,000,000.00","169,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"1,474,000.00","3,329,700.00","7,340,480.00","8,530,480.00","2,500,000.00","350,000.00","1,800,000.00","1,450,000.00","1,821,224.75","2,505,857.20","4,318,236.16"
应付票据,"9,523,726.97","32,161,840.70","49,907,733.54","14,479,147.50","29,539,840.40","29,452,771.72","17,898,416.23","33,405,497.20","17,579,313.90","55,772,576.90","48,763,642.53"
应收账款,"93,114,348.81","124,595,201.87","173,406,157.19","204,333,999.21","232,614,582.09","227,578,429.43","279,447,762.62","336,043,838.71","397,256,622.77","389,637,514.50","371,380,793.14"
应付账款,"20,902,486.09","27,037,010.04","48,741,157.03","52,722,154.27","72,791,354.53","77,447,479.23","102,729,113.33","86,531,343.68","98,535,946.85","85,491,293.35","155,986,552.83"
预付款项,"3,557,456.16","6,711,921.49","8,455,284.63","14,583,210.95","14,486,835.89","9,042,581.63","4,422,456.91","13,607,313.33","8,817,349.33","20,334,576.73","12,115,996.24"
预收款项,"16,568,102.77","27,283,635.83","28,337,070.86","33,931,933.79","27,825,219.53","36,513,756.03","10,797,797.66","3,643,563.90","6,997,638.05","31,998,337.73","50,540,224.73"
其他应收款,"10,437,106.64","9,109,624.16","14,096,485.94","20,928,813.50","28,582,311.19","38,797,652.25","36,100,057.56","44,416,419.27","46,026,429.71","46,610,579.60","40,866,791.36"
应付职工薪酬,"4,925,966.32","6,553,525.48","6,728,662.91","6,804,563.80",,"7,139,319.72","19,610,704.13","6,132,176.94","6,930,644.91","7,463,544.52","21,473,338.18"
应收关联公司款,,,,,,,,,,,
应交税费,"6,332,771.82","8,943,593.45","10,881,371.66","3,769,053.08","11,951,238.02","2,756,586.48","21,408,814.50","12,121,315.40","9,928,110.81","5,804,430.18","6,790,097.12"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,"204,208.34"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,"11,529,000.00",,
存货,"7,678,305.99","41,940,673.52","36,395,268.05","59,262,725.38","58,674,359.52","81,129,723.52","39,904,234.05","35,896,815.23","37,956,526.47","122,508,297.12","152,625,218.81"
其他应付款,"677,765.71","521,385.27","2,946,097.16","2,824,566.52","5,056,351.51","59,112,838.06","319,781,368.47","355,025,803.25","363,015,084.55","337,506,941.85","230,458,019.38"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"2,915,705.28","4,226,501.58","4,789,612.13","7,044,790.45","3,629,430.90","109,065,506.77","32,947,360.06","90,918,811.13","1,819,535.75","239,994,052.46","21,605,412.30"
其他流动负债,"83,333.33",,,,,,"83,333.27",,,,
流动资产合计,"241,898,064.88","330,331,139.12","398,563,354.62","367,920,956.42","411,875,583.18","669,874,610.15","925,024,460.94","919,232,948.25","922,048,554.95","1,100,397,370.97","1,110,672,367.20"
流动负债合计,"79,014,153.01","152,500,990.77","186,542,093.16","159,531,418.96","198,164,003.99","263,422,751.24","492,309,547.59","496,859,700.37","514,515,739.07","693,037,124.53","683,216,083.11"
可供出售金融资产,,,,,,,,,,,
长期借款,,,"4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00"
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,"4,198,732.23","4,187,375.78","4,202,814.66","4,237,951.62","4,385,130.38"
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"8,853,819.04","40,275,006.72","38,804,113.11","38,591,680.46","38,403,162.09","38,484,917.83","38,908,044.34","38,170,860.50","37,844,747.87","41,717,971.54","37,848,375.96"
递延所得税负债,,"189,907.44","207,669.87","207,058.43","218,583.69","286,948.97","305,348.08","311,190.30","328,193.21","371,068.38","261,262.90"
在建工程,"15,585,227.91","84,117.00","6,461,475.59","12,876,325.74","21,142,099.74","33,561,334.72","47,711,713.22","49,308,056.46","57,198,134.56","64,982,158.53","90,776,055.52"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,,"6,089,907.44","12,850,056.53","12,695,321.76","14,552,723.69","14,366,965.64","14,713,591.42","14,507,647.81","14,166,889.89","13,924,991.72","13,530,412.91"
固定资产清理,,,,,,,,,,,
负债合计,"79,014,153.01","158,590,898.21","199,392,149.69","172,226,740.72","212,716,727.68","277,789,716.88","507,023,139.01","511,367,348.18","528,682,628.96","706,962,116.25","696,746,496.02"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","92,000,000.00","96,075,000.00","96,075,000.00","96,075,000.00","211,365,000.00","202,400,000.00"
油气资产,,,,,,,,,,,
资本公积,"63,570,747.35","63,570,747.35","63,570,747.35","63,570,747.35","63,570,747.35","236,338,207.36","422,008,870.39","428,876,145.57","431,899,670.09","335,395,957.36","164,531,207.36"
无形资产,"9,221,247.23","8,746,755.02","9,244,883.86","9,030,384.73","8,815,885.60","8,601,386.47","8,386,887.34","8,172,388.24","7,957,889.14","7,743,390.04","9,461,957.96"
盈余公积,"6,234,692.60","8,103,789.71","10,212,524.95","10,212,524.95","10,212,524.95","10,212,524.95","13,341,579.35","13,341,579.35","13,341,579.35","13,341,579.35","15,599,110.38"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,"180,318,750.00","180,318,750.00","180,318,750.00","180,318,750.00",
商誉,,,,,,,,,,,
未分配利润,"58,588,788.04","79,838,987.90","122,178,744.40","120,875,566.06","132,008,247.50","141,227,229.73","175,977,127.17","168,465,526.59","169,097,267.76","155,783,075.42","180,564,989.45"
长期待摊费用,"92,956.91","34,267.67","164,044.47","168,611.15","148,377.83","128,144.51","107,911.19","87,677.87","67,444.55","94,348.12","332,560.65"
少数股东权益,"251,195.44","2,176,715.35","606,529.47","-175,903.03","-683,112.90","76,690.46","-559,727.74","152,622.86","60,473.96","1,658,896.03","3,342,915.12"
递延所得税资产,"1,008,260.47","1,809,852.99","3,940,813.59","5,310,091.96","4,990,681.54","5,597,991.71","9,383,962.20","19,483,472.48","18,259,587.27","18,460,244.49","9,857,019.24"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,"7,888,850.29","2,042,265.88","2,042,265.88","1,999,211.28","139,744.00",,"11,843,507.18","7,053,491.18",
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"34,761,511.56","50,949,999.40","66,504,180.91","68,019,359.92","75,542,472.68","88,372,986.52","108,836,994.52","119,409,831.33","137,374,125.23","144,289,555.52","152,661,099.71"
所有者权益(或股东权益)合计,"197,645,423.43","222,690,240.31","265,675,385.84","263,713,575.62","274,701,328.18","480,457,879.79","526,838,316.45","527,275,431.40","530,740,051.22","537,724,810.24","566,586,970.89"
资产总计,"276,659,576.44","381,281,138.52","465,067,535.53","435,940,316.34","487,418,055.86","758,247,596.67","1,033,861,455.46","1,038,642,779.58","1,059,422,680.18","1,244,686,926.49","1,263,333,466.91"
负债和所有者(或股东权益)合计,"276,659,576.44","381,281,138.52","465,067,535.53","435,940,316.34","487,418,055.86","758,247,596.67","1,033,861,455.46","1,038,642,779.58","1,059,422,680.18","1,244,686,926.49","1,263,333,466.91"
