科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"211,958,141.29","217,500,205.74","245,663,623.77","72,284,091.84","175,225,791.58","321,300,080.64","344,406,850.34","137,265,306.75","300,203,311.64","452,362,256.38","399,427,779.96","139,399,826.32","403,860,796.90","667,872,891.86","608,488,102.06","218,796,985.60","554,663,098.89","775,961,056.06","771,364,068.18","207,861,894.19","522,814,590.39","849,210,892.25","1,280,736,179.84","421,157,394.29","775,223,308.90","1,244,305,943.81","1,734,275,814.36","460,179,651.58","925,204,995.28","1,550,910,730.69","2,181,979,226.17","1,022,505,658.84","1,519,800,561.55","2,746,466,087.53","3,828,519,977.35"
取得子公司及其他营业单位支付的现金净额,,"6,460,640.40",,,,,,,,,,,,,,,,,,,,,,,,,"120,919,123.65",,,,"16,377,538.45",,"7,157,943.87","7,157,943.87",
收到的税费返还,"507,127.00","2,050,959.11","1,221,322.25","116,160.59","3,405,039.86","6,533,492.53","8,613,650.90",,,"1,110,545.95","1,110,545.95",,"980,379.98","4,593,064.21","9,594,454.55","10,615,017.39","13,124,830.04","13,679,129.59","15,205,917.81","1,654,193.18","1,654,193.18","2,063,933.32","3,913,899.59","7,111,490.49","22,664,525.42","38,675,069.82","56,686,486.07","2,821,802.12","6,088,084.98","19,996,060.56","25,981,077.43","80,714,093.67","123,898,901.54","148,519,314.19","155,174,278.80"
支付其他与投资活动有关的现金,"20,000,000.00",,,,,,,,,,,,,,,,,,"10,000,000.00","7,109,100.62","7,192,907.80","7,192,907.80","8,800,000.00","3,842,700.76","4,064,806.31","739,296,868.76","809,600,000.00","624,000,000.00","168,126,259.01","480,726,516.85","172,600,000.00","229,686,121.49","100,292,200.00","100,292,200.00","101,278,700.00"
收到其他与经营活动有关的现金,"1,730,000.00","6,019,227.96","4,514,892.40","207,000.00","3,433,000.00","3,624,600.00","7,980,621.22","250,940.00","654,140.00","6,803,170.56","31,704,844.81","17,698,300.00","34,388,338.83","45,123,763.83","44,604,021.76","29,072,264.91","32,561,019.61","40,452,642.51","58,686,942.53","11,693,502.38","31,337,754.61","98,593,430.96","48,002,701.29","46,762,535.94","100,270,377.02","118,216,804.81","42,417,111.93","34,619,293.68","125,678,826.85","11,541,838.42","62,957,260.89","18,033,311.28","85,527,762.95","115,618,084.79","91,389,064.30"
投资活动现金流出小计,"64,101,967.36","50,903,350.16","61,501,930.30","78,857,875.05","139,798,012.80","176,789,585.49","206,310,543.43","90,269,286.17","185,630,770.72","472,173,477.47","408,934,426.05","58,529,484.88","128,875,470.86","231,322,958.60","288,682,150.56","106,352,730.67","296,799,376.13","354,232,515.89","310,585,838.49","42,592,338.43","173,289,899.60","239,120,328.22","346,422,396.13","98,738,051.45","224,984,059.01","1,029,411,097.88","1,227,420,269.48","1,247,171,014.69","1,196,335,104.15","1,736,188,702.49","1,637,385,569.00","426,383,318.42","567,104,249.00","676,425,855.41","958,325,994.75"
经营活动现金流入小计,"214,195,268.29","225,570,392.81","251,399,838.42","72,607,252.43","182,063,831.44","331,458,173.17","361,001,122.46","137,516,246.75","300,857,451.64","460,275,972.89","432,243,170.72","157,098,126.32","439,229,515.71","717,589,719.90","662,686,578.37","258,484,267.90","600,348,948.54","830,092,828.16","845,256,928.52","221,209,589.75","555,806,538.18","949,868,256.53","1,332,652,780.72","475,031,420.72","898,158,211.34","1,401,197,818.44","1,833,379,412.36","497,620,747.38","1,056,971,907.11","1,582,448,629.67","2,270,917,564.49","1,121,253,063.79","1,729,227,226.04","3,010,603,486.51","4,075,083,320.45"
投资活动产生的现金流量净额,"-62,714,343.28","-29,155,539.87","-61,009,045.40","-78,780,532.75","-139,198,448.47","-174,799,478.07","-204,579,221.10","-89,857,710.31","-176,341,276.65","-462,180,658.70","-396,652,781.57","-57,625,541.61","-126,456,058.98","-227,716,218.00","-283,157,560.61","-105,600,343.37","-295,121,974.19","-351,812,764.33","-247,410,913.55","-38,119,361.06","-128,583,517.97","-193,105,270.39","-277,046,041.91","-69,348,232.71","-187,193,869.94","-121,058,114.89","-1,134,342,279.77","-260,958,165.08","-225,374,656.12","-410,039,719.14","-894,231,606.78","-67,525,131.88","-401,104,729.85","-503,013,311.61","-661,387,333.70"
购买商品、接受劳务支付的现金,"134,932,551.57","130,511,649.09","133,258,914.00","46,722,882.11","120,299,709.67","225,681,080.87","209,079,607.02","80,251,265.17","150,792,240.36","230,290,535.76","173,695,137.41","89,480,652.93","247,913,640.59","390,484,958.84","228,066,555.96","108,625,350.12","359,302,926.48","465,558,857.71","441,900,808.60","156,327,308.34","372,791,287.75","587,715,513.92","800,040,122.44","220,543,932.51","381,377,742.31","562,686,363.12","775,340,354.04","182,613,023.96","365,319,037.16","657,449,698.27","913,104,761.34","424,942,805.37","738,440,169.42","1,186,509,491.18","1,801,200,900.02"
吸收投资收到的现金,"40,600,000.00","11,200,000.00",,,"756,000,000.00","756,000,000.00","723,760,000.00",,,,,,,,,,,,,,,,"3,000,000.00","1,181,697,682.64","1,181,697,682.64","1,182,401,873.85","1,232,171,679.72",,,"-50,433,710.49",,,"7,500,000.00","7,500,000.00","12,490,000.00"
支付给职工以及为职工支付的现金,"13,705,770.39","19,310,217.51","20,302,173.96","6,224,791.61","16,911,241.73","26,512,880.07","41,047,908.76","11,744,895.72","35,137,318.30","37,351,417.29","58,951,963.54","19,403,918.07","41,649,847.00","62,181,420.26","97,496,791.54","29,676,319.88","54,775,698.56","91,290,496.76","146,984,489.61","57,148,234.94","122,406,358.86","180,591,500.00","297,820,381.39","91,610,734.38","199,303,575.55","317,373,365.00","443,172,357.93","103,782,526.37","252,980,731.85","422,204,215.31","720,303,892.16","323,574,999.84","644,683,495.01","851,909,973.42","1,216,185,618.43"
