科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,591,749,170.18","2,345,892,822.13","888,908,509.79","1,393,993,181.24","1,915,711,068.92","440,366,968.56","1,032,104,351.08","1,628,670,496.73","2,241,238,696.97","522,739,645.25","1,207,938,693.07","1,848,934,427.53","2,467,814,472.14","509,263,125.20","1,171,795,825.02","1,775,709,464.16","2,317,303,216.57","422,972,313.36","993,137,490.28","1,553,903,083.65","2,116,053,524.69","362,056,453.36","786,583,486.48","1,232,104,275.06","1,732,840,621.40","314,004,768.31","1,190,564,710.03","2,222,167,680.26","4,883,102,441.33","2,094,058,715.41","3,424,879,663.89","4,044,684,217.17","4,985,812,076.68","321,206,314.17","2,238,114,982.26","2,707,959,074.51","6,601,520,545.77"
二、营业利润,"178,630,019.26","200,236,808.10","78,759,110.97","122,167,605.65","174,271,149.40","44,914,410.50","88,396,152.54","137,788,196.06","196,184,259.36","45,406,516.31","98,085,391.81","134,480,584.27","138,087,347.22","5,702,979.37","2,723,913.80","4,757,990.27","-96,233,030.82","-12,654,997.48","-19,393,636.48","-24,024,943.20","7,387,772.49","-46,404,740.30","-175,924,453.15","-214,596,422.47","-534,534,607.32","-34,193,377.92","-113,006,015.39","-27,615,749.67","409,370,080.50","439,755,290.15","641,079,716.21","766,954,810.30","865,981,102.84","-86,422,838.27","502,371,456.49","493,056,927.34","1,375,852,995.22"
减:营业成本,"1,159,009,480.47","1,785,273,051.57","665,519,732.43","1,052,206,507.92","1,429,305,641.71","335,311,074.56","787,316,398.53","1,241,519,015.73","1,686,878,705.45","410,274,186.66","939,637,642.60","1,438,780,074.45","1,938,842,099.87","399,980,667.67","936,974,458.71","1,416,430,180.33","1,865,985,911.33","342,902,593.21","807,896,799.83","1,268,896,988.75","1,718,708,934.02","316,052,514.66","684,524,796.59","1,075,091,052.98","1,673,441,100.48","269,147,720.64","979,045,734.53","1,800,587,526.84","3,681,532,298.10","1,347,198,118.63","2,137,963,852.64","2,533,220,108.49","3,074,231,852.78","255,060,452.00","1,130,847,709.24","1,467,755,551.23","3,691,346,499.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"30,194,719.79","35,373,893.27","15,668,802.58","24,902,344.44","36,968,200.42","8,391,733.37","19,161,310.95","30,970,416.53","44,478,148.89","11,175,109.00","24,979,040.26","39,796,959.43","53,317,731.82","13,654,670.28","28,531,721.47","42,113,891.51","53,582,883.77","7,400,673.11","15,128,781.90","21,691,824.95","29,072,029.31","4,431,531.85","8,455,345.11","10,981,940.09","14,326,180.81","2,279,486.07","62,035,618.16","126,322,560.13","359,077,671.42","190,501,650.96","418,561,612.14","432,769,461.52","549,995,961.14","4,515,854.24","325,043,326.26","342,664,577.12","901,098,324.07"
营业外收入,"12,336,879.43","15,116,883.21","3,336,198.22","4,837,452.16","8,844,069.15","2,015,451.38","6,713,918.31","10,346,237.30","14,811,256.78","2,223,267.71","6,194,427.49","8,819,708.36","17,803,063.94","2,483,469.36","5,478,078.33","8,865,115.12","17,339,524.52","3,049,414.18","5,598,765.15","16,388,674.08","55,036,303.77","1,291,747.95","5,389,311.53","10,419,479.40","16,520,788.02","1,550,497.81","7,845,820.16","11,153,073.23","15,338,972.59","2,852,451.89","8,231,970.62","10,757,859.77","20,326,120.56","10,367,018.65","14,203,978.43","14,876,531.87","23,955,779.79"
销售费用,"89,205,781.31","105,701,608.39","50,621,379.78","80,885,406.64","110,522,411.42","26,419,383.98","70,771,282.82","111,256,861.20","159,187,168.65","28,670,704.41","67,411,818.61","109,944,161.22","162,482,460.01","35,154,431.26","77,240,809.98","116,145,719.96","157,592,475.45","28,357,274.83","55,035,705.45","86,970,756.61","115,481,762.95","30,869,832.47","58,576,737.28","99,506,564.40","114,769,423.13","26,022,934.13","87,782,158.88","147,555,981.89","214,494,096.84","44,241,473.91","98,061,939.17","139,257,280.48","199,388,111.54","41,633,615.88","94,074,985.30","137,403,620.89","216,854,983.94"
减:营业外支出,"6,722,049.16","3,548,433.98","1,089,318.38","2,564,719.58","4,295,803.37","1,036,120.57","2,591,812.09","4,733,626.26","5,511,797.34","444,375.66","1,327,009.53","1,705,184.74","3,164,475.71","834,556.56","1,687,692.85","2,260,269.67","5,062,990.84","2,489,165.76","5,681,141.02","9,031,873.16","5,864,691.35","1,380,740.27","3,174,257.26","9,629,566.53","11,397,251.51","753,396.69","1,204,300.55","3,272,331.24","16,215,338.51","1,424,571.23","7,000,113.72","9,127,361.45","30,493,049.67","1,605,358.20","2,156,661.91","1,690,854.53","11,015,966.68"
管理费用,"92,120,898.95","127,692,776.99","50,728,181.58","80,732,349.93","120,170,306.20","28,378,116.35","56,868,332.81","98,217,382.65","137,751,120.36","28,364,154.36","60,005,792.18","102,862,597.17","150,711,259.76","40,827,550.03","82,673,252.75","134,990,452.97","187,358,530.56","39,568,462.11","80,656,669.04","128,129,438.11","176,300,807.87","39,507,127.26","94,773,046.88","130,349,499.82","206,489,117.64","37,389,561.72","123,479,720.44","187,087,465.41","277,408,402.24","73,417,894.54","126,205,296.82","196,591,266.14","256,668,862.08","90,646,773.43","152,480,048.93","220,307,899.46","321,740,710.59"
其中:非流动资产处置净损失,"236,401.85","230,045.40","542,508.27","1,097,948.41","1,706,241.84",,"1,531,352.75","2,423,414.72","1,911,590.73",,"180,175.94",,"317,488.68",,"255,508.78",,"1,789,419.43",,"275,363.92",,"1,087,079.07",,"524,955.12",,"4,400,987.16",,"285,554.05","1,766,297.06","11,092,330.33","9,905.49","251,727.61","2,117,226.77","17,803,704.14","449,248.13","588,957.86","1,063,160.57",
