科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"405,019,994.29","516,652,774.96","477,702,866.38","153,722,520.08","310,491,517.82","470,520,240.98","621,540,628.28","178,408,731.48","396,783,050.64","662,915,557.48","933,651,622.86","285,438,347.50","636,702,242.37","983,908,346.11","1,333,379,950.88","318,141,041.20","651,211,091.93","984,815,929.86","1,335,188,019.69","356,765,082.20","777,405,223.79","1,150,734,969.66","1,535,087,448.13","367,395,176.01","755,535,364.84","1,130,860,459.42","1,508,984,686.94","325,697,228.46","636,318,837.10","971,310,494.74","1,288,770,719.80","402,521,260.12","780,775,719.93","1,158,378,877.06","1,575,945,309.43"
二、营业利润,"33,738,388.57","68,268,658.52","80,227,911.90","16,364,154.54","28,465,874.30","41,813,903.86","40,309,742.76","3,181,008.48","12,090,343.72","23,667,371.67","26,299,704.02","13,586,686.43","34,357,893.19","58,538,149.27","62,414,858.82","12,535,325.82","28,998,858.54","36,788,769.42","32,369,678.92","5,073,640.46","13,860,718.90","33,096,449.72","65,172,131.21","51,690,179.73","107,134,510.62","182,964,347.27","223,983,470.39","53,626,685.60","121,403,698.13","179,584,769.94","216,948,736.75","71,380,079.04","133,526,479.17","203,973,980.71","257,671,741.32"
减:营业成本,"346,222,810.34","413,031,411.67","369,190,619.10","128,263,029.31","261,395,034.23","398,285,004.71","531,484,921.21","163,983,951.51","357,726,203.61","593,706,837.61","838,403,670.36","252,054,612.57","550,167,977.66","839,893,311.68","1,138,212,267.63","268,838,829.96","547,970,114.37","840,192,479.66","1,146,310,842.75","310,803,771.51","678,120,210.90","980,093,591.13","1,295,288,466.87","281,510,742.76","569,861,783.96","836,571,693.62","1,117,516,769.87","231,270,874.40","447,186,230.84","690,064,876.20","938,770,728.19","277,400,584.74","543,645,850.92","800,930,958.00","1,081,133,377.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,"4,729.34","9,267.07","13,987.28","20,856.75","177,085.64","253,571.49","1,007,586.64","1,764,647.65","1,873,271.74","591,244.88","1,214,809.39","3,066,197.26","3,627,610.78","1,514,190.10","3,479,898.44","4,840,446.52","6,389,475.87","227,564.50","1,444,049.55","3,369,477.69","4,857,341.24","1,607,692.72","3,549,630.23","5,378,034.71","6,157,274.76","1,561,167.64","5,997,312.93","8,296,083.06","16,806,454.58","4,677,384.36","10,728,961.49","15,533,768.14","19,803,898.96"
营业外收入,"44,101.64","11,202.91","509,597.14","19,851.96","92,064.41","674,959.48","7,078,356.49","188,384.43","898,562.81","8,260,695.52","8,950,408.46","233,090.88","973,514.45","1,235,516.43","2,662,988.37","711,083.60","6,668,238.26","9,359,364.25","28,286,819.39","2,394,682.08","4,589,235.62","5,227,869.86","7,983,231.86","895,677.00","1,341,557.80","2,254,833.46","3,341,250.31","510,255.40","1,534,205.63","8,175,660.94","3,455,758.27","935,308.56","3,275,134.60","4,124,612.59","3,732,191.51"
销售费用,"5,515,756.04","11,048,283.53","10,449,780.36","3,005,716.00","6,617,155.27","10,194,669.03","14,842,131.49","4,657,128.58","9,816,268.66","14,980,105.97","23,142,328.84","9,655,100.13","20,448,099.70","30,479,046.03","44,669,770.11","10,957,170.47","24,955,450.77","36,513,178.63","53,328,211.79","11,230,211.17","25,922,871.65","41,676,019.94","56,402,759.22","12,807,163.37","27,115,841.99","39,623,462.81","53,284,949.73","11,813,906.97","24,874,021.71","34,944,464.66","50,477,626.25","17,922,096.00","34,491,440.69","47,081,413.61","61,147,704.56"
减:营业外支出,"39,661.80","187,024.08","96,302.62","34,000.00","38,524.59","252,133.87","281,768.86",,"46,000.00","55,104.75","1,122,639.74","6,971.00","6,971.00","78,560.96","278,549.04","56,621.96","85,962.16","87,278.48","616,870.38","1,248.06","58,756.53","73,650.21","232,792.02","8,756.73","55,062.16","807,821.59","2,790,362.88","47,273.15","66,773.15","204,924.15","333,153.82","5,634,404.26","6,436,838.80","6,612,011.17","7,780,139.98"
管理费用,"8,202,098.43","12,959,806.79","12,116,535.94","4,078,373.35","10,396,679.08","16,127,679.48","29,502,716.73","6,150,474.11","14,633,904.52","22,494,961.73","34,294,843.04","9,088,222.13","30,681,582.46","48,580,240.42","71,796,643.88","16,098,963.89","31,848,191.48","47,809,618.95","72,716,572.98","20,546,252.90","41,924,578.29","74,310,239.09","90,433,262.34","23,420,235.05","50,264,887.47","73,404,252.09","113,071,903.72","31,758,723.06","59,601,508.96","84,390,588.25","101,436,910.20","28,021,314.41","48,956,784.84","74,093,900.35","131,019,819.20"
其中:非流动资产处置净损失,,"55,682.10",,,,,"6,919.00",,,,"48,461.67",,,,"30,852.43","-38,115.51","-38,115.91","-38,115.91",939.40,,"51,697.54","51,845.16","30,245.93",,,,"30,245.93","16,729.55","16,729.55","16,729.55","83,626.88","5,634,367.96","5,829,689.65","5,958,366.52",
