科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"4,452,740,467.47","4,707,405,353.61","4,217,338,693.54","4,161,237,009.50","5,522,176,254.68","1,370,213,088.81","3,746,130,401.55","6,440,276,918.44","8,535,730,715.54","3,069,476,045.53","5,948,098,826.80","8,962,111,747.32","11,546,491,163.20","2,853,889,679.88","5,641,066,937.69","8,316,405,743.34","10,385,409,176.16","2,218,022,796.25","4,416,655,258.20","7,601,092,485.53","9,766,119,909.44","2,366,975,993.74","5,848,881,030.56","8,334,692,462.37","10,183,509,743.89","2,114,210,511.18","5,001,810,603.51","7,651,844,016.54","10,773,096,021.76","3,224,621,748.76","7,473,278,256.94","11,328,089,588.29","16,231,741,056.37"
取得子公司及其他营业单位支付的现金净额,,,"3,640,818.89",,,,,"16,738,761.22","16,575,761.22",,"51,839,410.96","51,839,410.96","77,050,871.08","7,573,700.00","6,440,753.48","6,768,138.17","1,251,874.23",,,,,,,,,,,,,,"25,463,808.89","25,463,808.89","24,907,210.62"
收到的税费返还,"3,208,081.48","1,273,891.15","1,467,617.89","3,469,465.73","5,426,231.10","1,781,341.85","2,959,528.21","3,407,777.50","4,466,430.08","1,848,733.98","4,197,114.14","5,394,350.53","7,155,665.51","877,298.84","3,283,041.64","5,460,323.21","6,653,983.29","1,429,573.24","2,316,693.23","4,679,547.33","4,803,891.99","4,628,851.34","6,418,045.40","9,302,188.39","11,450,185.57","1,052,295.67","2,852,884.01","3,726,694.61","6,572,822.00","1,251,502.75","1,647,965.88","3,800,529.24","5,508,922.30"
支付其他与投资活动有关的现金,,"3,050,522.69",,,,,,,,,,,"6,230,763.00",,,,,,"281,200.00","415,600.00",,,,,,,,"192,400.00","566,282.62","51,000.00",,,"6,496,684.80"
收到其他与经营活动有关的现金,"42,468,986.54","37,122,410.83","193,007,509.50","50,273,099.89","248,756,732.77","62,417,450.34","86,564,923.24","243,122,549.17","163,062,305.62","7,578,821.09","58,903,059.87","490,213,155.95","210,005,865.14","146,153,011.36","346,873,826.75","610,032,363.99","455,259,500.94","5,220,940.87","48,843,055.04","20,155,837.40","43,986,902.74","7,846,818.55","37,073,956.07","106,289,548.67","75,052,352.79","39,460,999.14","139,835,175.95","209,106,699.87","61,585,588.95","66,019,884.76","133,327,703.74","48,613,787.75","64,252,239.57"
投资活动现金流出小计,"53,568,603.43","48,487,611.16","113,196,635.41","52,932,790.79","60,452,589.76","5,456,099.03","12,256,882.15","44,756,025.43","98,131,236.95","19,046,551.30","204,480,118.34","443,658,464.68","818,730,923.86","37,973,029.22","368,904,571.60","553,404,715.51","564,743,895.76","45,068,000.71","459,991,908.86","486,762,568.35","653,388,011.73","124,811,332.40","142,023,214.59","153,005,802.93","310,401,593.70","8,030,918.41","60,305,272.49","283,721,437.38","540,578,042.63","35,556,530.32","130,604,751.05","306,095,338.22","422,575,127.05"
经营活动现金流入小计,"4,498,417,535.49","4,745,801,655.59","4,411,813,820.93","4,214,979,575.12","5,776,359,218.55","1,434,411,881.00","3,835,654,853.00","6,686,807,245.11","8,703,259,451.24","3,078,903,600.60","6,011,199,000.81","9,457,719,253.80","11,763,652,693.85","3,000,919,990.08","5,991,223,806.08","8,931,898,430.54","10,847,322,660.39","2,224,673,310.36","4,467,815,006.47","7,625,927,870.26","9,814,910,704.17","2,379,451,663.63","5,892,373,032.03","8,450,284,199.43","10,270,012,282.25","2,154,723,805.99","5,144,498,663.47","7,864,677,411.02","10,841,254,432.71","3,291,893,136.27","7,608,253,926.56","11,380,503,905.28","16,301,502,218.24"
投资活动产生的现金流量净额,"-33,951,020.19","-34,047,718.04","-97,055,517.19","-45,429,587.78","-43,341,765.95","-3,427,149.03","-12,086,562.15","-40,532,510.96","-87,834,449.87","-18,900,451.30","-194,378,359.66","-423,132,190.32","-769,897,029.99","15,106,549.20","-64,740,299.21","-208,930,338.82","-362,652,459.48","-8,553,077.64","-347,563,403.41","-340,467,556.37","-445,682,302.67","38,782,107.12","182,984,366.47","291,088,066.47","387,348,221.65","39,864,901.64","95,420,653.25","-96,309,816.46","-133,443,736.25","30,201,162.16","280,220,333.47","198,068,445.98","120,101,336.70"
购买商品、接受劳务支付的现金,"4,674,224,559.60","4,235,286,732.88","3,686,144,753.59","3,961,633,943.17","5,867,671,523.19","1,742,241,854.06","4,302,058,699.93","7,486,246,015.87","9,905,013,121.90","2,952,942,159.84","5,556,617,416.79","8,149,992,958.99","10,274,710,721.80","3,329,610,690.46","6,065,322,218.17","8,199,743,271.20","9,796,647,741.64","2,473,161,641.10","4,310,345,954.78","7,057,702,578.77","9,028,072,374.44","2,245,623,327.85","4,731,833,754.25","7,241,830,785.61","9,022,708,174.36","1,985,756,670.87","4,904,583,479.66","7,579,044,481.36","10,543,241,239.15","3,224,848,834.24","7,426,216,634.69","11,031,680,037.23","15,191,957,229.03"
吸收投资收到的现金,,"50,800,000.00","89,940,000.00","500,000.00","1,188,000.00","1,302,266,439.05","1,306,178,839.05","1,323,288,839.05","1,325,641,439.05","2,230,000.00","8,230,000.00","13,890,000.00","41,540,464.00",,,"6,952,480.00","18,164,680.00","3,000,000.00","18,440,000.00","19,018,000.00","23,498,000.00","6,400,000.00","6,400,000.00","12,625,000.00","13,065,000.00","1,225,000.00","1,946,440.50","7,446,440.50","10,310,440.50",,"18,600,000.00","21,015,950.00","11,300,000.00"
支付给职工以及为职工支付的现金,"25,419,836.55","65,839,133.67","56,769,165.82","43,844,653.07","61,841,114.29","11,576,110.78","37,401,030.20","55,486,349.61","77,456,622.57","18,102,743.01","33,678,935.34","52,173,335.03","77,068,321.85","22,559,159.11","41,322,231.47","65,809,406.23","91,152,468.55","27,422,927.46","51,026,810.98","89,416,245.06","122,039,410.96","44,458,573.14","78,254,231.09","130,524,088.68","176,138,446.79","55,750,358.74","89,762,341.81","130,673,821.32","169,989,278.77","51,353,030.56","87,534,780.15","145,079,780.25","193,177,664.16"
取得借款收到的现金,"879,486,334.88","1,555,663,669.36","1,126,208,982.77","1,533,089,375.21","2,204,890,255.92","464,657,087.69","1,112,083,882.09","1,992,215,929.21","2,608,821,942.08","914,628,573.26","1,411,389,356.62","2,293,952,858.66","3,199,976,939.16","828,915,287.03","1,218,676,314.07","1,632,938,409.94","2,519,426,966.13","869,641,661.25","1,823,915,030.39","2,446,148,272.33","3,351,316,574.81","915,446,808.74","1,471,607,780.57","1,776,192,907.86","2,258,232,881.54","458,500,000.00","964,500,000.00","1,504,321,036.00","2,431,694,592.00","856,190,000.00","991,194,000.00","1,373,354,854.00","1,826,014,043.96"
