科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"209,238,483.21","254,634,188.54","441,158,224.30","114,761,985.61","208,075,097.58","398,678,111.41","69,641,801.26","259,200,175.91","536,987,065.52","917,516,328.39","229,132,701.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,"15,946,755.10",,
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"62,476,219.36","79,939,365.53","140,580,628.80","23,229,810.91","37,330,559.12","38,973,878.61","12,164,449.97","20,988,194.93","90,860,286.59","99,486,324.74","5,666,232.95"
投资活动现金流出小计,"144,391,831.77","89,351,253.55","127,673,245.13","86,222,419.52","174,961,850.06","178,432,346.85","42,205,926.77","83,335,185.80","210,355,577.52","262,837,686.03","71,578,482.31"
经营活动现金流入小计,"271,714,702.57","334,573,554.07","581,738,853.10","137,991,796.52","245,405,656.70","437,651,990.02","81,806,251.23","280,188,370.84","643,794,107.21","1,017,002,653.13","234,798,934.28"
投资活动产生的现金流量净额,"-142,956,412.80","-84,338,577.73","-124,957,486.78","-65,858,934.03","-174,498,499.28","-177,665,711.62","-40,205,645.42","-55,867,137.50","-209,622,367.09","-260,928,367.34","-70,399,315.73"
购买商品、接受劳务支付的现金,"77,420,953.57","56,782,174.96","64,009,385.13","39,696,202.03","66,769,516.18","98,087,864.75","32,856,585.85","76,670,583.65","108,740,178.84","152,975,462.99","37,088,217.04"
吸收投资收到的现金,,"180,000,000.00",,,,,"119,180,000.00","119,180,000.00","259,443,860.00","259,443,860.00","41,660,120.00"
支付给职工以及为职工支付的现金,"66,151,998.47","71,980,579.84","75,783,251.28","44,925,673.52","64,182,234.76","83,997,688.59","27,440,365.12","54,486,803.16","80,482,280.49","108,782,407.92","41,453,821.88"
取得借款收到的现金,"102,151,577.50","137,434,474.18","81,281,760.00","161,180,445.50","204,103,999.90","204,103,999.90",,"52,651,128.76","65,065,500.83","65,065,500.83","365,521,955.28"
支付的各项税费,"19,157,029.06","17,233,613.31","27,916,040.54","20,787,607.47","32,317,313.94","40,398,142.39","8,404,901.61","37,069,404.33","56,062,580.78","67,246,639.83","20,794,343.13"
收到其他与筹资活动有关的现金,,"95,462.06","350,137.94",,,"1,584,091.43","902,672.16",,"4,857,965.00","9,433,932.40","3,372,000.00"
支付其他与经营活动有关的现金,"82,600,060.63","76,518,116.18","136,175,502.83","38,607,860.53","71,490,474.94","136,844,741.48","61,454,298.55","161,318,987.86","366,859,974.03","534,013,583.24","135,469,440.02"
