科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"330,943,251.85","327,590,125.16","277,209,477.99","210,712,863.25","819,476,406.09","608,548,803.61","668,708,788.37","592,639,299.83","573,700,207.40","383,556,402.64","541,842,603.31","439,970,677.54","369,625,539.86","328,809,026.82","536,374,990.89","405,023,556.49","355,845,786.73","380,741,891.19","598,934,729.80","391,554,800.53","444,926,121.11","468,857,552.32","586,581,239.91","555,611,307.20","408,612,821.96","1,504,364,874.11","825,154,695.75"
短期借款,"76,941,442.96","15,062,821.49","2,000,000.00",,,,"4,082,090.43",,,,,,,,,,"70,000,000.00","130,000,000.00","90,000,000.00","120,000,000.00","322,000,000.00","379,649,600.00","325,363,200.00","360,451,220.00","280,000,000.00","390,186,425.26","289,576,975.44"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"150,000.00","150,000.00","150,000.00",,"500,000.00",,,,"178,050.10",,,,,,,,,,"1,065,391.16",,"7,000,000.00","400,000.00","1,839,986.65","4,400,000.00","1,795,500.00"
应付票据,"31,524,236.12",,"5,371,376.80","23,228,082.42","30,777,791.28","60,022,760.90","34,496,432.95","9,375,327.75","32,050,678.46","1,489,572.80",,,"7,800,000.00","2,329,450.00",,,,,,,,,"23,000,000.00","22,600,000.00",,,
应收账款,"121,732,001.19","77,705,751.15","63,859,142.90","165,197,600.61","154,228,595.53","237,227,771.45","78,344,906.45","221,687,817.69","229,195,441.19","279,788,352.33","115,445,258.51","250,576,301.23","251,692,167.46","294,909,510.90","125,841,485.79","287,821,532.36","307,272,433.74","350,440,141.22","129,595,685.09","270,095,849.52","294,947,233.52","353,937,946.76","113,571,013.87","235,825,856.78","274,932,188.27","309,488,516.56","85,392,834.81"
应付账款,"85,022,688.80","77,898,169.61","100,431,699.54","148,538,166.45","151,073,903.20","148,860,685.50","114,004,709.01","149,450,859.92","136,080,298.95","165,675,697.73","129,647,915.37","129,416,954.53","156,341,565.23","142,089,706.75","131,298,788.12","117,293,457.37","143,437,485.21","148,094,423.93","133,970,022.41","129,945,507.36","153,103,720.64","174,941,772.16","144,088,443.86","172,541,813.33","174,231,111.59","168,279,014.62","161,911,078.04"
预付款项,"15,185,820.32","22,741,678.66","20,170,159.46","36,164,336.48","21,028,373.25","33,231,927.25","12,261,315.89","19,536,187.80","23,870,732.01","21,038,174.85","10,548,529.41","20,093,048.55","23,139,777.73","38,372,667.94","12,976,593.50","30,501,077.65","74,495,367.58","66,745,505.62","9,106,783.99","30,860,661.05","38,010,203.17","49,644,400.76","30,190,736.12","31,743,269.47","35,875,447.87","30,270,517.96","19,485,877.03"
预收款项,"7,066,681.53","14,404,327.57","9,803,270.65","5,819,338.15","6,615,772.16","12,854,171.76","4,026,197.56","3,972,344.90","4,010,174.49","7,676,613.83","4,730,027.73","9,794,666.88","6,068,195.70","7,257,622.22","6,937,542.96","7,710,853.65","9,190,273.31","8,820,645.32","4,604,507.81","5,846,496.83","7,498,730.38","8,865,925.82","11,503,688.82","17,975,026.11","13,466,900.96","10,206,975.99","22,633,998.16"
