科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"81,504,541.27","91,447,080.46","90,838,236.33","285,655,317.41","221,143,656.25","110,194,969.39","154,870,276.24","124,856,368.82","143,177,190.94","123,977,756.58","172,093,091.66","178,355,350.85","208,972,924.14","133,049,841.57","143,097,411.43","170,439,035.00"
短期借款,"106,280,000.00","98,445,723.79","95,000,000.00","145,000,000.00","48,000,000.00","25,000,000.00","23,000,000.00","88,000,000.00","85,000,000.00","76,000,000.00","76,000,000.00","164,282,300.00","212,480,250.00","171,538,850.00","159,565,550.00","176,805,250.00"
交易性金融资产,,,,,,,,,,,,,,,"165,550.00",
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"19,337,393.36","26,195,212.84","23,006,148.79","13,190,864.32","26,044,243.04","20,970,591.44","20,256,513.44","15,422,137.88","18,159,198.52","8,404,085.33","17,820,182.88","12,419,452.08","23,231,476.52","10,692,924.58","16,077,625.65","21,229,667.74"
应付票据,"59,348,802.58","69,954,998.55","68,815,105.44","64,451,434.28","103,363,407.98","98,831,850.70","86,208,804.00","64,034,164.00","84,616,800.00","91,450,000.00","111,340,000.00","120,400,000.00","95,200,000.00",,"64,100,494.01",
应收账款,"94,314,467.66","110,915,829.80","109,761,750.57","117,295,127.64","131,092,517.86","120,498,245.57","104,064,732.44","109,946,074.26","114,868,615.34","112,699,143.64","122,460,709.24","137,705,505.56","139,957,295.57","126,475,122.43","113,908,165.57","131,759,821.75"
应付账款,"50,739,814.72","44,204,096.55","41,555,576.27","40,238,047.53","50,270,287.17","32,895,736.40","38,730,030.31","34,710,055.63","30,896,214.10","30,149,603.63","32,334,372.37","23,967,953.94","35,101,872.41",,"22,485,595.73",
预付款项,"19,175,893.34","17,099,467.39","18,808,657.95","20,627,991.00","24,094,006.36","23,452,322.92","20,819,517.67","21,230,470.03","22,774,243.99","25,503,553.36","32,290,808.54","54,912,728.73","51,486,817.91","26,884,529.35","35,029,326.18","28,309,710.00"
预收款项,"12,500,497.86","3,514,420.16","15,154,949.64","1,024,620.75","1,387,170.20","2,152,498.69","11,304,313.90","11,909,494.64","7,630,409.23","1,182,768.81","2,561,990.14","1,994,096.99","1,227,354.23","3,906,490.22","1,846,026.31","3,762,249.15"
其他应收款,"672,145.81","922,614.54","1,393,735.23","1,703,456.54","2,709,956.83","1,824,948.64","1,208,065.79","6,174,903.00","1,572,774.68","1,788,667.27","2,023,985.45","3,114,312.30","2,472,393.70","2,558,460.12","1,190,523.13","1,490,240.70"
应付职工薪酬,"6,879,549.97","8,043,325.17","8,440,211.56","5,971,361.41","6,941,328.54","6,695,935.06","8,440,924.58","5,052,873.00","5,835,577.36","5,367,528.03","8,085,878.72","4,028,658.46","5,331,946.61","5,972,563.17","8,369,282.88","4,922,860.45"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"16,695,258.94","17,801,537.77","11,516,443.15","9,539,297.84","11,943,950.00","6,252,631.24","6,746,972.77","1,920,537.37","5,417,060.17","1,268,220.26","8,653,840.09","3,880,309.93","8,619,464.83","5,419,241.76","3,005,914.72","8,043,216.92"
应收利息,"351,759.95","540,291.18","315,221.40","192,631.56","158,413.01","129,133.16","188,852.98","165,456.16","136,654.70","98,742.58","187,221.48","266,321.35","261,438.87","120,380.91","51,526.73","101,453.14"
应付利息,,"76,168.76","64,523.00",,,,"22,404.45","22,404.45",,,,,"24,864.58","24,864.58","25,693.40","34,046.84"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"1,366,199.99","1,366,200.00",,
存货,"157,138,720.62","163,263,806.93","156,476,135.36","177,629,961.91","170,565,770.36","185,969,570.70","164,375,666.93","204,166,484.15","196,347,107.31","197,269,697.88","162,288,722.85","188,394,678.60","184,151,458.69","226,846,759.11","236,317,539.46","224,226,892.82"
其他应付款,"421,561.21","628,040.39","733,266.87","438,459.25","2,210,295.89","2,875,333.37","724,353.63","689,597.98","540,261.98","623,759.75","905,617.53","568,841.08","1,857,431.59","2,848,714.98","601,738.87","597,546.74"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"3,000,000.00","9,000,000.00","12,500,000.00","11,000,000.00","23,000,000.00",,,,,"26,232,520.00","26,232,520.00","15,000,000.00","15,000,000.00",,,
其他流动资产,"64,898.03",,,"8,330.50",,,"973,950.24","2,254,055.02","174,328.94","187,118.38","1,425,497.06","3,854,971.18","3,858,740.98","1,764,434.67","2,701,979.82","5,163,236.37"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"372,559,820.04","410,384,303.14","400,599,885.63","616,303,680.89","575,808,563.71","463,039,781.82","466,757,575.73","484,215,949.32","497,210,114.42","469,928,765.02","510,590,219.16","579,023,320.65","614,392,546.38","528,272,071.83","548,488,121.24","582,618,604.38"
流动负债合计,"255,865,485.28","251,668,311.14","253,780,075.93","277,663,221.05","247,116,439.78","174,703,985.46","175,177,803.64","206,339,127.07","219,936,322.84","232,274,400.48","266,114,218.85","334,122,160.40","376,209,384.24","286,290,369.46","259,974,602.52","284,594,592.51"
可供出售金融资产,,,,,,,,,,,,,,,,
长期借款,"23,415,000.00","65,732,520.00","53,232,520.00","53,232,520.00","41,232,520.00","26,232,520.00","26,232,520.00","26,232,520.00","26,232,520.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,"30,774,619.34",,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,
固定资产,"209,290,002.71","202,281,734.98","237,423,528.01","234,402,371.91","235,954,038.11","232,659,255.78","359,106,122.51","355,928,929.76","353,017,066.74","363,548,080.47","413,090,193.78","410,168,339.57","405,053,343.96","379,592,023.88","385,876,726.15","380,542,432.74"
递延所得税负债,"880,408.19","108,926.48","101,423.56","105,154.96","107,855.45","108,650.45","106,018.20","108,632.28","106,672.07","104,099.30","75,504.55","77,694.85","76,154.90","76,154.90","81,057.51","59,151.31"
在建工程,"24,193,863.02","74,556,806.45","92,396,743.49","99,874,485.32","106,584,834.74","122,649,821.79","6,038,764.49","26,868,285.70","31,240,230.19","41,262,320.81","2,252,465.09","2,252,465.09","2,793,005.63","3,916,076.15",,"289,417.26"
其他非流动负债,,,,"5,086,135.00",,,,"5,519.63",,,,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"27,961,408.19","71,764,746.48","60,412,243.56","58,423,809.96","43,910,687.95","27,811,795.45","31,878,871.54","30,843,255.25","33,667,025.41","6,033,182.64","7,020,003.63","6,880,735.60","6,737,737.32","6,596,278.99","6,869,023.66","6,705,659.13"
固定资产清理,,,,,,,,,,,,,,,,
