科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"288,903,995.13","508,722,542.20","617,015,061.17","549,900,398.58","724,779,343.99","1,115,781,176.36","1,318,949,101.55","1,304,675,168.48","1,142,432,518.30","1,078,754,919.90","1,295,238,238.45"
短期借款,"70,000,000.00","140,000,000.00","187,738,000.00","188,328,000.00","188,437,500.00","188,720,000.00","128,267,000.00","448,430,250.00","419,374,000.00","419,558,250.00","419,505,750.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"62,108,300.00","46,590,000.00","49,055,583.41","81,789,874.52","66,173,447.75","98,623,403.26","56,437,841.57","79,151,181.11","117,771,706.42","72,337,200.23","91,031,814.56"
应付票据,,"26,289,193.45",,,"4,124,249.51","4,201,104.71","1,660,141.91",,,,
应收账款,"701,041,355.88","774,161,742.99","1,001,265,233.68","975,408,022.76","962,695,777.14","905,204,548.02","1,507,190,803.58","1,443,596,841.04","1,364,397,547.11","1,339,491,312.49","1,642,652,470.40"
应付账款,"558,677,329.14","685,737,954.52","904,785,979.25","788,620,743.32","850,529,688.05","801,244,255.26","1,456,598,236.89","1,171,868,388.68","1,051,450,674.11","970,352,966.42","1,451,946,376.16"
预付款项,"26,880,757.05","3,809,466.99","5,413,915.00","6,821,047.61","5,645,347.67","10,889,375.24","6,551,228.54","6,129,939.52","10,654,096.67","223,788,482.42","5,824,620.88"
预收款项,"119,739.51","32,162.00","14,659.00","327,895.00","374,850.00","273,105.60","65,331.03","180,672.48","4,551,321.08","2,952,039.43","1,045,720.65"
其他应收款,"74,170,119.19","56,214,374.57","62,413,955.46","62,255,404.06","65,532,716.91","64,717,591.68","69,411,013.57","97,439,622.69","94,899,116.58","81,120,208.85","218,057,042.54"
应付职工薪酬,"11,178,773.62","27,407,218.28","21,872,227.97","18,417,691.55","13,219,006.79","13,052,736.09","15,427,728.00","11,667,733.62","4,623,453.38","4,080,510.47","18,392,626.89"
应收关联公司款,,,,,,,,,,,
