科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"12,854,297.68","5,124,910.36","26,868,909.21","27,795,711.88","290,567,455.55","267,776,403.56","261,684,751.92","246,369,616.36","24,050,181.89","31,208,270.19","20,634,527.86","225,742,384.24","212,471,056.05","189,986,537.63","182,264,867.90","166,004,037.45","162,733,872.14","154,387,073.53","147,353,659.98","134,334,920.99","140,488,658.06","145,488,234.16","143,808,685.05","122,481,857.86","119,381,094.50","103,534,055.38","282,573,233.16","868,060,911.36","802,037,638.84","757,654,562.15","816,138,345.13","312,936,126.32","230,728,162.62","244,767,450.13","664,387,683.88","545,788,699.41","470,214,053.75","73,514,946.41","661,070,022.10"
短期借款,,"9,992,000.00","18,840,000.00","18,840,000.00",,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","23,000,000.00","19,500,000.00","16,500,000.00","12,900,000.00","16,400,000.00","20,900,000.00","1,191,900,000.00","670,900,000.00","1,663,739,022.50","1,643,039,022.50","3,276,039,022.50","3,792,209,022.50","3,893,420,000.00","3,427,870,000.00","3,802,420,000.00","4,744,200,000.00","4,010,690,000.00","3,570,190,000.00","3,827,743,825.83"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,151.38","150,029,298.59","17,445.41","2,017,536.61","17,577.14",,,"2,000,000.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"14,000,000.00","3,600,000.00","18,540,000.00","11,000,000.00","2,000,000.00","11,000,000.00","9,000,000.00","9,900,000.00","8,600,000.00","8,226,100.00","9,319,940.00","5,320,000.00","10,080,000.00","12,322,000.00","10,230,000.00","8,371,729.30","4,275,800.00","1,589,350.00","2,100,000.00","5,936,188.28","720,000.00","2,500,000.00","8,867,837.50","2,475,540.00","540,000.00",,"500,000.00","12,910,000.00","7,131,345.18","3,581,345.18","2,730,000.00","57,813,000.00","36,638,129.94","4,820,000.00","330,000.00","12,282,014.50","2,400,000.00","2,480,000.00"
应付票据,"9,700,000.00","2,000,000.00",,"8,600,000.00","10,600,000.00","3,000,000.00","3,000,000.00","9,000,000.00","18,000,000.00","14,280,000.00","8,129,500.00","12,149,500.00","12,430,000.00","7,140,000.00","7,303,200.00","10,363,200.00","11,245,000.00","16,138,000.00","12,505,000.00","4,032,000.00","9,474,000.00","10,055,451.82","7,279,700.00","5,172,400.00","10,939,438.00","10,770,070.00","16,626,945.00","815,038,680.00","822,871,974.00","816,077,215.00","805,268,618.00","1,162,058.00","7,381,253.00","5,996,091.00","4,594,329.00","2,182,091.00",,"4,228,093.16","5,361,593.16"
应收账款,"13,598,643.60","32,028,183.55","55,622,013.70","63,610,013.37","52,031,070.21","60,307,177.21","45,428,293.21","92,717,203.02","74,834,629.20","72,356,462.45","69,524,854.28","105,206,642.16","103,669,180.80","101,415,530.41","106,376,822.70","106,828,636.97","92,998,975.78","91,253,546.08","78,303,958.26","67,613,247.47","44,670,854.45","59,507,923.50","55,963,257.61","61,996,669.79","113,302,096.33","116,145,768.70","106,987,665.83","98,683,967.37","172,830,140.24","169,401,764.15","160,001,499.36","154,225,767.22","114,124,075.47","107,997,252.33","114,694,674.92","114,858,871.39","28,042,541.07","23,592,577.76","24,098,851.64"
应付账款,"3,255,014.18","6,553,147.03","18,324,688.04","15,791,078.34","8,761,414.85","6,802,617.89","5,349,692.34","17,282,081.71","5,435,707.15","9,603,503.73","15,096,269.72","24,812,272.07","21,500,722.25","18,488,710.84","34,204,408.15","20,641,842.93","14,874,665.31","10,449,669.28","8,585,390.16","10,677,735.13","15,077,305.73","21,206,667.81","37,181,097.31","28,239,354.67","69,168,196.31","65,701,933.60","35,782,446.45","36,268,774.14","48,843,645.96","42,084,576.70","37,263,447.13","44,707,221.67","63,711,948.11","75,315,168.87","51,895,970.75","50,768,819.83","8,192,233.56","4,242,772.06","7,148,456.34"
预付款项,"6,257,170.84","952,590.29","153,151.93","209,474.01","4,843,881.30","7,673,881.69","9,628,023.01","1,274,640.84","375,851.81","7,558,541.52","6,437,321.60","2,700,833.38","10,227,941.18","13,267,886.08","23,452,144.65","29,599,533.54","32,500,014.38","8,462,692.37","12,301,833.89","24,253,577.33","15,153,904.16","16,294,155.73","20,829,452.89","16,003,712.56","12,050,039.44","16,902,902.07","22,048,739.70","11,701,545.79","4,256,428.80","1,600,741.88","20,534,293.85","21,186,811.48","3,507,669.55","21,094,503.66","9,098,962.42","10,670,929.14","4,615,615.97","11,297,297.04","74,026,130.28"
预收款项,"10,449,750.00","5,015,140.00",,"5,467,907.00","2,338,800.00","2,338,800.00","2,338,800.00","2,338,800.00","200,000.00","51,156.00","2,778,749.93","149,550.00","167,246.00","1,140,792.00","1,014,706.00","757,058.00","549,893.00","410,789.21","743,231.31","1,366,220.31","265,311.00","2,688,579.88","473,054.47","460,945.27","1,786,324.79","1,117,592.27","1,306,422.47","1,493,922.47","808,171.03","485,181.03","846,989.10","3,495,671.03","12,109,213.25","32,244,040.69","20,057,960.69","63,930,215.18","21,581,955.21","14,951,019.23","6,932,595.28"
其他应收款,"348,360.02","388,716.92","495,336.77","2,679,912.43","361,783.40","1,173,151.20","755,431.22","545,834.25","704,509.03","882,408.36","819,475.45","1,633,708.28","1,823,969.87","2,009,678.57","1,915,324.15","1,716,369.11","1,582,772.73","2,061,286.31","1,490,719.54","1,635,304.38","1,543,140.74","1,401,171.05","2,950,568.31","3,938,633.83","7,932,445.27","8,548,216.52","105,481,042.33","15,222,194.60","5,881,869.66","6,309,326.53","6,878,538.52","16,403,233.64","7,794,258.19","9,862,728.07","9,890,260.41","15,407,830.63","8,664,352.41","29,032,448.62","11,954,689.36"
