科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"46,606,570.78","44,033,063.15","57,639,031.03","868,920,224.03","779,050,242.84","673,535,828.39","645,685,826.93","730,984,604.95","884,867,899.15","771,141,096.06","597,733,359.85","595,979,173.17","640,548,128.36","555,787,513.05","486,147,202.89","482,378,385.49","628,307,122.06","644,884,965.25","1,275,108,472.25","1,009,317,907.94","1,289,116,132.09","1,136,658,778.04","890,624,183.36","1,177,256,925.68","913,887,253.04","740,268,769.30","653,847,091.02","746,387,370.72","411,105,835.25","1,571,945,218.18","1,133,086,479.00","834,591,254.76","788,265,537.52","629,871,302.86","1,051,705,371.11","710,057,501.05","669,286,335.57","1,689,073,475.59","805,726,701.67"
短期借款,"120,000,000.00","135,000,000.00","80,000,000.00","35,000,000.00","20,000,000.00",,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,"20,000,000.00","91,066,160.00","90,096,400.00","92,772,560.00","516,696,814.23","451,446,678.09","451,568,842.19","447,872,333.46","283,301,742.60","284,328,477.47","433,080,535.74","828,813,137.84","651,838,155.18","504,085,008.66","482,223,569.20","649,783,480.00","1,056,047,196.00","1,164,805,804.05","1,297,494,668.78","1,047,544,403.32","1,282,335,439.57","1,452,380,947.12","1,717,511,160.30"
交易性金融资产,,,,,,,,,,,"40,085,150.68","3,001,561.64",,,,,"105,047,674.66","85,934,929.80","30,095,694.44","226,904,086.62","88,150.00","16,625,926.71","34,541,003.42","165,000.00","205,550.00","162,050.00","160,450.00",,"10,133,042.06","4,566,483.00","8,803,313.94",,"5,332,000.00","5,312,400.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161,650.00",,,,"889,600.00",,,,,,,
应收票据,,,,,,,,,,,,,"500,000.00","4,870,000.00","2,080,000.00","1,800,000.00","800,000.00","950,000.00","750,000.00",,,"755,800.00","200,000.00",,,,,"209,500.00","809,427.84","50,000.00",,,"3,366,820.72","55,701.68","8,723,043.19","522,264.40","391,215.00","367,140.00","573,788.00"
应付票据,"4,060,182.50","5,721,935.24","40,666,599.21","33,502,716.47",,,,,,,,,,,,"542,064.38","6,992,355.80","12,074,299.20","6,759,979.20","498,600.00","1,361,100.00","3,502,500.00","3,879,000.00","5,046,987.00","5,405,966.40","3,610,904.40","2,000,520.00","979,200.00","2,088,540.00","1,775,340.00","975,650.00","8,558,896.13","11,052,593.73","6,852,378.40","3,383,030.80",,"1,859,000.00","1,859,000.00",
应收账款,"89,241,965.23","76,500,081.68","114,803,443.22","135,947,500.89","146,026,761.97","154,688,839.16","162,586,513.80","137,781,513.64","112,031,541.55","123,039,085.65","121,706,867.69","123,956,029.44","147,321,679.51","234,137,270.98","218,955,576.38","257,412,409.27","197,188,115.95","192,011,875.90","165,712,865.02","226,678,638.02","324,242,727.48","271,851,513.91","352,093,276.55","405,681,733.68","343,486,849.14","476,583,517.50","617,081,177.75","751,772,906.31","733,358,541.48","823,573,639.91","927,126,255.86","884,486,361.29","644,516,934.16","619,982,068.11","635,744,017.22","658,040,051.19","746,188,215.77","720,956,369.89","740,482,382.64"
应付账款,"21,275,465.07","30,707,089.39","49,025,611.44","30,995,326.71","20,745,481.83","33,066,404.53","21,678,313.50","37,812,401.69","132,228,437.83","72,445,047.56","70,471,007.90","85,823,898.66","101,275,912.48","102,147,252.21","96,719,695.16","138,934,932.92","200,142,662.46","126,735,886.62","129,044,582.77","166,019,526.75","216,885,506.41","174,803,980.00","239,885,248.26","274,079,699.24","244,964,204.43","191,011,655.51","186,414,546.13","315,672,634.81","183,938,823.06","262,215,559.18","412,506,681.24","465,410,865.22","491,298,388.65","386,987,838.42","442,421,815.40","408,377,608.75","419,494,431.52","384,473,688.75","405,751,223.48"
预付款项,"22,834,453.30","41,029,982.45","20,248,170.66","28,830,830.83","36,290,107.99","46,342,223.38","57,865,347.32","75,519,796.00","62,796,591.83","89,142,796.99","79,479,503.17","88,771,400.49","61,852,752.38","80,170,249.15","98,272,625.18","103,558,886.08","139,139,579.62","132,874,846.06","148,458,418.97","140,408,584.15","99,363,498.28","174,638,489.99","183,554,373.09","209,067,782.63","264,972,845.52","318,978,528.38","388,487,088.01","439,261,677.40","323,560,785.25","332,440,050.91","373,676,122.03","455,407,705.64","399,292,006.52","432,686,943.57","438,554,873.43","495,575,412.62","337,901,278.94","348,171,674.12","395,155,249.17"
预收款项,"8,384,583.79","4,233,280.75","7,079,283.48","5,558,792.00","6,982,087.69","11,412,610.50","6,430,092.66","22,918,676.78","31,602,940.61","30,026,040.71","24,629,474.64","18,882,071.38","15,869,473.52","11,466,460.02","12,064,987.29","16,572,641.81","37,615,168.40","38,000,408.02","42,434,260.44","43,186,164.92","34,545,942.88","33,852,413.45","37,299,392.06","48,989,461.89","38,664,643.09","50,221,683.41","57,839,414.92","76,957,454.10","51,273,850.53","79,446,624.73","108,896,289.87","104,938,333.88","80,838,280.23","83,586,972.43","79,088,265.27","101,383,991.37","67,221,307.84","63,259,225.29","70,280,883.71"
