科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"58,885.80","119,660.60","128,676.80","145,784.00","67,092.00","76,692.00","95,784.00","168,784.00","22,877.95","30,592.00","83,776.15","190,684.00","25,858.20","313,748.00","440,458.19","230,184.00","66,410.22","143,865.00","215,797.50","287,730.00","71,932.50","143,865.00","215,797.50","290,730.00","71,932.50","143,865.00","215,797.50","287,730.00","76,642.50","3,600.00"
二、营业利润,"-3,776,514.00","-7,580,313.57","-11,378,587.90","-15,303,588.93","-3,758,726.47","-7,633,696.31","-12,455,292.60","-17,597,305.04","-4,411,775.39","-8,866,846.97","-13,217,180.42","-17,612,408.32","-4,317,202.68","-8,600,182.42","-13,012,526.78","-13,579,233.02","-3,450,791.82","-6,974,539.31","-10,490,992.24","-2,677,515.11","-3,323,216.24","-6,730,599.85","-10,085,017.54","-4,212,521.56","-3,341,912.42","-6,696,404.93","-10,049,037.28","-12,941,544.74","-3,383,308.95","-11,953,412.64"
减:营业成本,,,,"8,091.00",529.80,"1,062.60","2,122.20","55,867.50",,"4,361.85",,"39,552.95",,"17,413.01",,"14,305.21",,"9,514.56","13,614.75","26,277.94","5,558.25","9,586.50","13,614.75","17,643.00","4,028.25","8,056.50","12,084.75","16,113.00","5,558.25","216,493.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,,,"9,969.93","9,969.93",,,,"581,672.68",,"3,000.00","3,000.00","43,000.00",,,,,,,,,,,,,,,,,,
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:营业外支出,"5,320.00","89,841.70","98,569.50","103,025.30","3,727.80","7,455.60","11,283.40","47,382.63","3,734.91","7,462.71","12,437.83","16,165.63","11,893.93","15,621.73","160,019.33","161,261.93","15,600.00","29,800.00","34,000.00","38,200.00","4,200.00","8,400.00","12,600.00","16,800.00","4,200.00","8,400.00","12,600.00","16,800.00","4,200.00","177,431,543.52"
管理费用,"360,142.45","748,968.41","1,076,576.07","1,251,669.05","343,794.47","749,987.63","1,421,201.37","1,326,600.15","266,553.62","556,877.21","796,655.84","1,091,137.82","174,960.06","560,315.77","948,682.51","715,213.40","247,227.46","568,720.18","882,940.94","1,351,513.85","255,276.04","596,218.94","883,982.16","1,109,704.98","275,402.55","563,234.74","849,457.35","1,110,250.65","320,043.63","1,109,080.39"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
