科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"709,579,459.91","682,653,654.27","1,018,686,376.50","668,978,243.05","988,520,118.97","1,259,831,716.17","258,507,799.80","517,891,775.63","772,038,342.72","1,038,240,544.91","268,533,062.56","532,916,893.34","830,697,145.77","1,091,217,702.51","303,044,123.41","695,103,691.84","1,047,510,832.02","1,437,011,891.15","288,377,501.54","662,904,856.76","1,024,891,503.05","1,406,669,828.96","368,906,110.63","778,140,560.85","1,203,269,026.19","1,673,892,770.34","432,977,099.60","838,500,139.33","1,276,966,591.07","1,734,079,596.12","393,051,540.73"
二、营业利润,"61,011,347.77","77,671,730.80","177,291,296.23","148,316,958.76","206,534,514.75","241,444,991.20","39,862,608.08","68,026,836.35","94,405,144.85","118,652,952.03","22,529,571.13","40,348,340.62","62,648,398.84","66,533,123.61","33,749,213.40","72,238,888.99","107,725,447.67","181,165,329.42","24,611,648.26","48,998,259.25","61,393,789.08","45,612,683.11","17,357,263.32","33,699,352.63","53,482,204.97","60,669,169.91","51,049,511.68","65,133,444.35","84,489,188.52","118,630,641.24","6,929,684.41"
减:营业成本,"561,569,800.46","499,758,746.20","715,707,208.84","449,209,872.53","677,861,959.46","887,231,368.29","189,322,827.95","396,756,391.99","592,640,913.16","804,676,222.10","208,910,804.33","417,852,802.59","658,026,356.05","868,953,943.68","231,024,192.91","521,947,547.97","775,827,575.81","1,068,045,959.78","204,847,319.71","494,210,287.33","779,314,381.30","1,088,743,612.74","282,726,467.10","616,260,095.53","947,504,443.59","1,325,167,842.03","329,985,334.79","651,136,010.25","1,008,968,048.35","1,380,946,284.25","330,321,500.34"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,367,703.35","3,477,262.68","5,136,195.55","4,351,038.78","5,772,346.69","8,377,254.87","1,303,975.47","2,616,367.87","3,433,705.17","4,825,108.32","50,895.58","130,686.95","287,592.64","364,728.72","763,725.36","1,577,739.38","2,362,060.31","3,835,867.67","536,159.56","3,098,379.76","4,941,502.42","7,063,040.92","2,312,005.38","4,181,497.55","6,400,888.12","17,476,246.26","1,459,456.65","9,777,691.28","13,440,552.67","20,990,528.01","2,013,392.05"
营业外收入,"5,264,819.09","11,184,255.31","9,149,316.51","9,390,719.79","10,183,144.06","16,920,720.14","17,728,210.53","28,240,126.67","29,924,605.35","40,762,952.54","7,503,877.11","8,024,800.02","8,569,386.53","14,324,809.54","4,435,572.76","10,095,616.19","11,291,957.06","12,903,399.15","4,206,882.10","6,750,538.32","14,914,934.89","31,164,131.93","6,171,164.51","12,693,627.87","17,718,724.87","34,791,990.87","7,630,005.85","14,464,925.61","19,520,612.41","7,887,171.62","439,544.88"
销售费用,"27,149,135.16","31,137,244.31","39,213,673.29","20,714,318.68","33,495,623.72","45,873,354.60","10,817,477.79","20,594,552.60","31,584,000.30","44,891,172.61","11,232,988.91","23,590,854.90","33,705,369.31","46,980,054.32","8,010,721.29","25,193,104.40","42,003,473.82","50,336,486.17","14,551,583.01","27,612,879.05","42,783,856.04","63,292,202.47","15,074,777.29","28,688,383.71","50,345,568.53","75,303,593.67","20,431,809.22","38,297,974.09","60,773,030.83","82,317,603.18","19,598,366.18"
减:营业外支出,"2,347,127.60","38,872.06","711,020.36","25,564.57","42,577.85","65,273.86","36,824.49","152,051.08","269,801.90","1,529,970.35","7,500.00","612,161.13","853,495.29","1,028,508.76","301,631.79","375,043.09","378,972.64","453,057.60","1,381,028.54","1,505,586.87","1,583,297.58","1,845,706.92","240,857.92","2,070,684.34","3,022,620.45","26,283,822.68","750,838.24","1,309,240.75","1,730,902.44","5,414,742.10","35,022.69"
管理费用,"34,994,526.15","48,477,379.45","61,606,673.02","35,568,503.90","57,055,502.02","77,624,175.98","20,550,145.79","39,069,901.20","63,669,311.42","83,935,490.51","25,200,187.63","50,590,138.48","74,972,226.22","107,581,236.78","28,086,769.66","68,980,939.45","111,059,130.95","122,939,688.98","37,820,573.87","76,207,211.44","114,294,622.21","154,288,311.00","43,989,426.66","82,007,510.90","127,695,908.50","166,140,274.18","54,762,933.47","97,805,375.62","131,053,794.84","167,925,437.70","39,699,104.88"
其中:非流动资产处置净损失,"136,960.07","26,872.06","557,909.86",,,"32,786.62","12,824.49","26,151.20","39,291.79","671,211.58","39,291.79","198,225.88","357,278.77","434,493.62","282,111.79","282,111.79","282,111.79","293,582.24","1,356,263.08","1,364,670.92","1,364,670.92","1,528,766.86","105,979.13","1,450,660.34","2,342,976.05","11,522,203.80","418,481.63","517,467.93","517,467.93",,
