科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"381,395,505.52","817,173,922.83","1,610,688,841.94","403,497,844.47","711,539,714.16","972,650,052.73","1,267,117,852.83","275,963,503.81","769,125,937.37","1,010,794,220.26","1,029,855,877.13","266,542,623.55","550,333,760.14","857,143,435.18","1,233,743,688.54","264,149,597.32","570,162,446.19","821,518,660.82","1,089,395,772.60","270,192,481.94","563,322,014.10","831,795,703.90","1,118,723,178.85","267,367,219.65","608,735,940.36","904,973,500.29","1,326,422,594.56","392,391,136.78","753,097,249.62","1,021,265,858.26","1,479,050,982.98","266,539,610.47","545,134,452.60","806,533,635.61","1,140,777,330.51","278,447,124.93","646,283,420.84","883,109,730.96","1,216,709,997.37","290,197,158.90","648,933,739.15","944,285,852.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"3,691,379.67",,,,,,,,,,,,,,"10,000,000.00","15,600,000.00",,,,,,,,,,,,
收到的税费返还,"1,490,908.79","1,490,908.79","1,490,908.79",,"1,767,641.83","1,767,641.83","1,767,641.83","1,816,570.68","1,816,570.68","1,816,570.68","1,869,631.34",,,,"1,223,017.19","11,971,215.05","25,561,460.98","39,362,778.25","45,332,129.78","8,751,811.56","15,469,031.11","22,929,361.29","26,616,846.25","1,799,875.60","1,799,875.60","1,799,875.60","1,802,725.40","1,710,922.61","1,710,922.61","1,881,072.60","2,686,288.35","889,616.65","5,958,085.25","7,483,713.02","8,283,863.17","4,621,711.23","4,621,711.23","6,721,616.47","6,721,616.47",,"3,199,405.48","7,005,496.47"
支付其他与投资活动有关的现金,,,,,,,"17,000,000.00",,"11,000,000.00","11,000,000.00","11,000,000.00",,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"289,133.50","1,430,290.06","5,017,193.17","142,926.00","1,863,040.33","5,439,183.14","6,798,611.43","2,140,052.45","6,608,360.94","24,879,015.26","25,923,209.43","1,978,072.02","3,962,629.36","6,013,000.75","19,318,448.55","1,899,928.63","21,048,585.97","11,637,413.71","16,357,841.07","-2,075,208.27","6,719,932.66","31,354,148.98","30,282,228.76","6,300,877.42","10,134,570.74","21,297,112.75","35,062,207.87","493,891.62","10,252,589.06","16,202,106.06","36,700,503.60","4,929,173.75","14,733,994.13","33,455,632.89","45,705,190.26","20,093,378.27","31,451,186.14","48,563,117.68","41,336,385.67","4,544,459.86","14,029,202.90","23,231,122.24"
投资活动现金流出小计,"30,334,450.15","46,065,348.12","63,949,339.76","20,340,425.34","64,826,000.25","94,757,179.38","162,948,302.28","28,665,127.64","46,276,663.21","60,742,589.11","44,140,084.41","32,468,697.44","50,690,818.77","105,753,110.89","162,153,932.29","39,871,771.74","105,382,776.17","180,840,601.92","220,793,873.28","26,260,446.50","30,622,092.20","34,797,452.90","41,126,156.82","10,425,565.10","21,232,090.84","30,308,147.95","26,053,009.88","99,229,720.52","110,577,777.41","106,151,646.77","535,190,805.21","114,235,795.16","57,192,457.23","68,623,881.77","637,722,256.52","187,950,800.51","4,937,311.87","565,799,533.06","827,374,151.39","215,740,142.26","102,745,188.48","488,751,290.98"
经营活动现金流入小计,"383,175,547.81","820,095,121.68","1,617,196,943.90","403,640,770.47","715,170,396.32","979,856,877.70","1,275,684,106.09","279,920,126.94","777,550,868.99","1,037,489,806.20","1,057,648,717.90","268,520,695.57","554,296,389.50","863,156,435.93","1,254,285,154.28","278,020,741.00","616,772,493.14","872,518,852.78","1,151,085,743.45","276,869,085.23","585,510,977.87","886,079,214.17","1,175,622,253.86","275,467,972.67","620,670,386.70","928,070,488.64","1,363,287,527.83","394,595,951.01","765,060,761.29","1,039,349,036.92","1,518,437,774.93","272,358,400.87","565,826,531.98","847,472,981.52","1,194,766,383.94","303,162,214.43","682,356,318.21","938,394,465.11","1,264,767,999.51","294,741,618.76","666,162,347.53","974,522,471.22"
投资活动产生的现金流量净额,"-30,321,876.55","-46,052,774.52","-63,636,926.12","-20,100,159.18","-63,175,219.09","-92,667,097.97","-160,160,730.32","-27,878,063.90","-44,237,888.93","-57,132,163.79","-29,374,905.14","-22,369,947.44","-40,415,968.77","-95,395,960.89","-151,849,782.29","-39,792,088.74","-105,205,588.17","-180,663,413.92","-220,052,884.28","-25,957,113.17","-10,610,885.72","-13,064,676.19","-18,648,600.44","-10,002,479.10","-10,532,338.18","-19,279,929.12","-14,496,613.56","-98,929,720.52","-109,951,234.94","-105,179,698.53","-260,240,656.50","-51,377,679.16","84,748,251.40","111,898,367.16","-47,199,088.20","42,328,295.38","46,430,377.46","15,937,243.77","-19,641,742.73","44,551,471.53","-50,482,066.28","-110,871,205.05"
购买商品、接受劳务支付的现金,"312,828,359.34","498,613,897.24","895,333,184.04","291,999,740.56","380,700,972.36","554,405,422.86","714,754,777.34","112,648,478.24","456,206,018.49","618,076,283.75","614,425,098.77","184,534,309.49","398,905,595.58","629,726,179.07","921,000,521.57","254,547,365.79","515,014,258.55","750,669,352.60","967,728,584.31","188,112,545.37","367,834,559.06","635,528,960.13","930,382,595.24","254,059,279.77","473,594,513.96","738,077,440.13","1,025,820,842.32","238,552,893.33","483,441,396.79","722,164,793.83","940,623,769.45","198,812,444.23","430,525,519.97","655,845,072.55","819,569,584.27","209,668,413.45","363,030,635.97","521,070,058.94","688,464,849.43","190,522,482.34","396,503,866.58","600,091,532.85"
吸收投资收到的现金,,,,,"563,161,600.00","563,161,600.00","563,161,600.00",,,,,,,,"4,664,660.00",,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","900,000.00","900,000.00","900,000.00","15,400,000.00",,,,,,,,,,,
