科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"445,134,202.59","731,865,349.27","678,212,432.70","229,154,282.69","439,895,214.87","646,169,706.59","914,182,784.28","258,112,730.99","524,947,963.55","770,044,002.13","1,049,017,729.66","248,326,413.49","529,260,620.77","742,393,121.58","1,009,769,856.38","220,416,334.40","478,011,973.24","643,467,325.25","894,688,388.70","225,209,266.71","507,516,899.49","735,707,392.70","1,060,273,647.92","257,359,641.67","456,061,026.47","610,385,082.91","2,023,403,965.84","877,223,987.46","1,838,208,474.12","2,659,782,084.82","3,723,904,604.97","826,850,105.05","1,731,126,231.79","3,291,548,166.21","5,368,005,750.79"
二、营业利润,"40,202,599.54","54,556,178.39","44,841,516.17","10,940,904.09","30,475,848.51","37,721,901.83","54,990,736.95","25,873,750.72","47,339,321.97","57,534,867.48","72,669,401.64","21,893,445.97","48,879,874.49","53,203,114.42","59,654,793.47","5,225,579.24","21,738,774.66","9,816,818.04","6,650,043.82","-4,478,305.56","442,967.61","-7,230,344.97","24,852,634.82","5,831,685.53","871,553.22","-22,771,765.56","689,856,731.30","271,825,495.27","562,967,001.18","804,637,793.39","1,118,638,005.46","193,922,460.49","517,398,799.78","730,462,588.29","1,083,872,889.66"
减:营业成本,"371,883,796.20","602,515,189.39","569,467,039.81","195,205,728.40","366,542,554.19","549,024,438.43","767,442,887.19","207,388,813.82","428,638,636.71","636,463,249.95","866,263,277.20","201,141,358.06","428,191,139.40","609,999,100.37","828,094,301.15","179,017,547.68","381,265,594.87","521,845,369.32","732,450,329.95","189,758,524.09","425,756,632.85","624,927,296.27","873,752,728.06","206,219,639.79","362,698,503.05","487,220,921.71","780,097,621.66","363,452,717.77","813,041,389.44","1,222,574,744.01","1,683,522,764.18","397,347,090.99","898,289,404.05","2,066,479,380.81","3,499,530,154.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,697,039.01","2,981,493.43","1,943,116.95","769,001.87","1,395,252.32","2,004,066.62","3,716,912.18","479,585.26","1,576,325.46","2,415,360.02","3,640,395.84","724,156.71","2,238,639.68","2,702,178.33","4,140,429.70","376,239.73","1,061,705.88","1,398,580.43","1,946,328.89","116,005.22","240,275.27","434,444.60","1,922,247.97","895,380.83","1,627,530.74","2,317,386.78","25,906,362.08","10,322,609.19","19,835,275.84","31,629,456.01","49,637,407.43","8,522,060.26","19,394,151.97","31,280,080.33","55,984,119.54"
营业外收入,"2,387,482.87","3,144,261.71","11,694,697.64","1,363,180.00","2,643,734.00","2,801,953.00","5,429,296.95","1,132,500.00","1,332,122.79","1,451,627.51","13,078,901.56","1,253,750.00","5,912,268.84","14,701,515.60","18,656,231.09","2,629,585.47","6,669,050.65","12,658,621.89","23,752,463.65","1,563,411.99","3,286,122.00","4,033,750.20","10,317,117.58","1,010,101.22","13,058,045.65","15,412,683.28","3,281,251.96","979,314.56","17,295,402.73","19,466,076.28","50,403,551.72","7,460,197.90","7,406,081.67","8,018,434.71","15,006,224.89"
销售费用,"11,836,618.03","16,018,478.21","15,395,148.39","4,503,765.73","8,264,683.34","12,897,071.07","19,711,973.20","5,228,149.10","9,876,135.91","14,323,323.58","20,760,935.03","4,141,114.34","8,756,651.98","12,914,784.81","24,323,418.19","5,767,727.95","12,059,926.02","16,726,513.20","26,739,083.67","8,369,414.28","16,133,086.57","23,552,031.58","32,999,538.92","7,096,009.89","15,314,513.23","20,226,000.46","348,904,941.40","137,617,332.26","223,849,012.62","291,715,437.91","479,443,565.24","113,564,517.13","224,716,562.77","294,386,305.93","393,047,333.78"
减:营业外支出,"252,667.84","927,062.56","615,487.71","33,408.00","254,347.59","254,647.59","851,746.82","22,235.54","675,144.33","644,291.07","365,705.51","137,238.92","147,577.66","3,204,287.30","4,546,907.30","104,912.88","107,312.88","445,902.09","703,556.24","30,000.00","134,374.21","241,502.38","412,496.29","16,830.72","19,689.26","33,489.79","5,883,561.06","429,973.10","987,871.66","1,375,002.45","34,781,546.72","707,357.84","1,997,249.18","12,133,407.11","27,274,743.90"
管理费用,"17,453,338.63","34,865,269.34","35,744,577.57","11,519,382.17","23,973,225.78","37,065,307.20","61,124,757.93","17,140,454.99","37,382,723.33","59,057,920.09","83,657,836.41","18,445,782.59","39,016,520.59","61,405,197.49","87,679,520.03","27,129,497.99","54,512,761.21","82,153,657.93","109,303,845.14","26,635,693.06","51,004,615.18","76,063,981.57","101,181,325.65","25,440,314.51","52,551,601.36","80,754,679.56","124,510,712.35","77,915,105.02","160,711,042.36","236,979,000.34","299,786,295.23","77,724,613.19","159,299,844.68","248,749,923.87","351,025,336.84"
其中:非流动资产处置净损失,"244,667.84","410,957.56","318,054.28",,,,"66,291.23",,,,,,"137,038.92",,"872,882.64",,"94,762.88",,"244,154.38",,,,"101,790.10",,,,"698,082.36",,"257,535.12","257,535.12","27,514,859.06",,"1,010,413.62",,
