科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"157,839,169.35","133,500,290.10","204,791,322.45","174,260,217.85","1,062,516,045.88","783,148,254.74","669,314,113.83","495,588,204.30","776,796,271.14","523,708,858.42","547,310,558.96","533,063,437.96","1,129,081,513.58","1,469,049,152.74","2,156,573,103.79","1,796,624,355.82","2,188,057,382.88","2,689,137,452.54","2,471,632,445.34","2,263,149,112.24","2,451,976,335.80","2,803,829,419.55","2,115,886,692.60","2,942,670,389.81","3,307,012,695.83","2,573,637,285.29","2,442,587,239.46","2,453,208,912.90","3,637,951,601.01","3,154,127,345.46","3,028,833,960.87","3,667,079,966.52","3,074,818,020.39","3,936,517,731.58","2,848,647,045.60","3,286,188,151.75","7,710,435,900.37","4,404,126,904.90"
短期借款,"395,870,000.00","398,503,341.55","478,384,327.10","697,584,511.00","196,280,774.02","252,228,203.34","398,169,513.91","382,008,282.34","451,800,000.00","536,300,000.00","712,100,000.00","847,700,000.00","1,770,799,840.13","2,569,295,606.67","1,694,478,544.96","1,949,188,019.33","3,770,962,512.76","4,558,630,736.50","4,078,268,885.58","3,983,313,196.71","4,130,788,886.70","4,406,008,585.36","4,009,500,000.00","3,651,000,000.00","2,963,937,855.32","2,580,882,035.84","2,765,125,092.64","3,477,017,382.63","3,687,385,072.81","3,620,949,142.93","4,943,013,445.15","6,028,673,436.07","5,646,618,025.92","6,382,412,884.31","6,242,720,580.13","6,611,700,085.47","6,627,893,466.59","5,562,119,921.38"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,319,262.00","2,500,865.70","188,420.22","105,522.86",,"492,000.00","3,828,626.85","515,079.44","231,000.00","170,580.56"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"816,550.00","319,000.00","163,903.66","32,403.66","1,331,516.21","681,665.14",,"504,000.00",,
应收票据,"8,730,031.02","28,816,922.70","4,761,952.48","9,175,900.57","18,718,481.23","57,450,738.94","47,804,498.34","98,540,763.55","55,165,886.34","75,575,629.12","104,932,990.02","198,389,596.42","256,707,954.02","249,822,270.45","193,817,527.99","512,399,167.37","109,789,936.59","123,259,053.25","82,246,308.63","184,201,044.76","144,630,756.92","24,733,679.28","240,485,647.94","162,031,145.12","1,455,850,258.42","909,193,179.65","140,498,995.24","248,309,659.19","1,558,718,574.60","260,635,047.74","1,308,872,031.67","1,244,206,890.67","1,719,647,356.60","641,635,096.70","694,794,118.30","282,423,901.56","551,973,129.04","324,139,726.45"
应付票据,"109,800,000.00","102,500,000.00","256,200,000.00","229,000,000.00","93,200,000.00","42,760,000.00","38,200,000.00","97,896,000.00","196,496,000.00","209,700,000.00","364,318,989.14","790,443,914.99","679,943,686.01","1,277,353,992.73","2,417,813,965.73","2,605,145,873.55","501,273,277.22","849,293,205.25","1,243,310,167.84","1,526,609,337.95","1,333,508,416.01","1,082,516,864.45","1,446,018,992.21","2,126,228,560.34","1,643,024,254.39","1,313,621,762.90","1,423,844,871.87","1,425,016,262.66","2,157,821,956.81","2,010,044,386.02","1,945,045,537.06","2,280,584,897.40","1,696,166,658.44","1,780,165,879.36","2,005,439,124.58","2,450,594,580.65","2,686,253,619.65","2,264,944,408.53"
应收账款,"374,592,483.25","448,768,080.98","569,308,794.18","629,996,172.20","654,478,915.32","719,087,456.50","874,712,557.89","989,861,702.39","1,009,592,760.30","1,109,317,661.82","1,351,417,698.81","1,556,291,841.88","1,909,746,288.43","2,482,874,236.41","2,278,924,514.69","2,619,097,872.64","3,153,362,445.14","3,605,120,230.26","3,834,039,815.49","3,399,255,175.28","4,761,864,963.22","4,858,645,645.34","5,641,261,964.06","5,562,279,588.32","4,657,269,167.11","4,658,769,787.31","5,220,035,283.89","5,226,659,983.01","7,024,620,509.25","7,852,323,656.59","7,763,125,418.68","7,823,306,979.31","6,011,960,305.04","6,005,015,003.31","8,121,337,938.61","8,294,903,803.09","9,535,753,085.01","9,105,380,470.58"
应付账款,"94,052,060.48","83,771,525.37","88,357,447.57","145,853,714.02","145,381,517.41","175,595,479.92","177,267,863.62","195,970,667.43","222,410,892.33","201,829,270.60","261,470,413.64","306,803,755.04","686,177,622.82","823,811,053.49","763,656,122.34","1,097,963,642.80","1,971,827,248.08","1,733,553,447.07","1,629,769,211.78","1,627,714,651.13","2,865,804,019.10","2,897,451,112.17","2,554,315,350.85","2,077,986,043.81","1,866,389,033.61","1,583,650,631.79","2,102,169,188.18","2,161,573,995.49","3,166,443,546.15","2,843,448,259.43","3,787,380,897.12","4,018,936,436.28","3,957,447,354.13","2,929,996,362.06","4,342,698,387.10","4,063,989,664.00","3,709,851,887.95","3,732,683,193.09"
预付款项,"23,133,396.18","19,379,356.85","29,295,598.73","86,494,244.67","41,631,292.16","67,530,523.09","62,414,635.50","81,955,393.00","41,450,051.97","132,490,240.95","149,549,244.84","203,281,851.01","315,768,453.58","485,006,641.88","615,124,780.34","247,459,802.84","169,375,045.41","168,379,420.86","236,293,566.07","357,683,145.45","401,506,130.92","327,633,932.61","476,271,798.29","453,171,213.53","187,152,190.26","230,695,332.71","454,999,593.79","581,150,091.33","324,143,500.72","359,734,533.12","619,361,709.74","992,495,885.15","1,350,371,334.61","1,424,403,347.32","2,246,517,730.73","2,002,894,412.23","1,546,542,749.54","1,551,072,585.68"
预收款项,"1,269,676.67","1,225,358.67","2,431,789.55","2,996,746.13","4,892,961.44","10,113,847.83","10,449,170.09","17,645,082.07","8,817,926.75","4,325,790.33","7,442,228.41","42,717,713.82","12,445,236.68","24,230,363.26","249,919,348.02","16,274,446.42","34,005,079.47","73,792,668.02","217,806,510.83","284,992,959.74","429,074,203.78","399,966,110.14","166,464,642.07","327,066,838.24","145,068,135.55","98,918,215.54","137,994,511.92","140,050,558.95","97,118,611.18","110,171,178.04","182,279,538.10","345,071,852.07","394,696,036.35","461,833,324.90","459,225,012.40","354,625,748.43","437,668,352.00","198,347,054.12"
