科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"32,929,032.63","40,501,051.43","20,365,092.20","37,437,163.25","24,053,753.22","512,643,058.07","60,149,725.65","56,908,937.34","114,589,234.42","137,456,357.97","276,812,119.38","213,381,638.41"
短期借款,,"17,600,000.00",,"77,000,000.00","115,000,000.00","180,000,000.00","150,010,000.00","154,375,060.00","126,755,850.00","127,103,560.00","232,228,600.00","179,500,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,"1,714,790.00","2,595,865.00","1,305,499.00","112,015.00",,,,"166,100.00",,,"820,000.00"
应收票据,"24,038,273.95","15,262,846.72","18,902,643.41","6,329,867.81","18,108,882.03","20,184,032.58","45,800,215.30","69,897,135.38","76,243,892.10","40,870,949.45","43,698,715.86","27,916,201.54"
应付票据,,"2,511,000.00",,,,,,,,,"28,181,526.58","45,737,145.70"
应收账款,"63,631,402.48","80,871,784.21","94,308,534.98","104,096,170.04","96,700,111.59","165,218,378.79","127,343,978.78","142,644,126.85","120,814,152.83","176,949,295.29","162,379,504.45","183,289,746.22"
应付账款,"60,082,439.48","78,525,091.41","102,774,056.89","102,451,170.18","103,127,313.37","146,666,438.01","110,182,647.77","115,662,140.40","142,037,254.69","201,753,911.90","173,954,667.87","156,759,776.58"
预付款项,"1,300,250.09","1,502,274.44","2,478,307.60","2,078,678.41","1,920,667.00","2,758,910.72","5,583,935.86","3,209,921.23","3,821,803.58","1,444,646.99","62,546.63","4,525,660.12"
预收款项,"2,981,723.46","2,105,925.90","2,934,722.47","4,628,335.76","4,298,540.34","4,179,575.49","6,628,522.96","16,174,363.64","14,336,284.19","9,519,607.80","9,047,913.01","6,609,542.15"
其他应收款,"5,932,033.02","3,319,488.49","1,490,234.25","2,338,807.82","8,286,222.31","7,316,926.38","9,796,457.02","6,652,384.81","7,676,113.95","8,805,901.08","9,108,689.06","6,051,276.18"
应付职工薪酬,"16,931,745.17","16,880,602.11","20,917,933.53","12,263,511.24","11,842,110.36","12,542,528.86","13,987,536.29","12,176,766.86","10,471,657.84","20,080,569.99","18,295,642.95","18,899,385.27"
应收关联公司款,,,,,,,,,,,,
应交税费,"569,876.39","1,345,720.46","849,274.31","1,904,696.02","4,986,246.79","4,594,277.04","1,986,903.73","5,818,702.10","5,839,310.87","7,994,028.33","6,448,795.51","5,724,822.52"
应收利息,,,,,,,,,,,,
应付利息,,"122,127.47","320,202.22","471,174.62","844,487.01","758,775.29",,,,"369,478.15","326,699.42","245,417.61"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"96,644.27"
存货,"38,785,834.20","42,025,673.99","53,846,750.76","56,811,207.13","70,774,438.02","85,271,223.84","110,460,599.42","108,185,506.04","125,466,841.50","155,563,699.47","136,322,975.72","149,364,311.14"
其他应付款,"31,582,100.49","19,449,464.11","133,524,412.71","146,363,172.82","142,316,502.55","112,473,328.96","109,103,846.22","74,765,456.80","132,559,371.83","169,369,287.88","167,112,196.58","116,522,488.53"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"289,086.08",,"42,364,656.08","24,343,600.00","54,320,900.00","76,538,832.52",,,,,,
其他流动资产,"2,001,970.43","1,531,442.97","4,390,826.73","10,363,841.36","20,315,177.78","10,096,752.22","12,732,972.02","7,563,737.15","7,249,137.14","8,764,630.06","6,953,655.76","8,338,264.79"
其他流动负债,,,,,,,,,,,,
流动资产合计,"168,618,796.80","185,014,562.25","195,782,389.93","219,455,735.82","240,159,251.95","803,489,282.60","371,867,884.05","395,061,748.80","455,861,175.52","529,855,480.31","635,338,206.86","592,867,098.40"
流动负债合计,"112,436,971.07","140,254,721.46","306,281,123.21","370,731,159.64","436,848,115.42","537,753,756.17","391,899,456.97","378,972,489.80","432,165,829.42","536,190,444.05","635,596,041.92","530,915,222.63"
可供出售金融资产,,,,,,,,,,,,
长期借款,"240,211.82","68,699,710.03","141,475,141.54","253,825,756.77","266,448,456.77","252,590,403.15",,,,,,"20,300,000.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,
投资性房地产,,,,"78,002,976.45","77,585,749.92","77,008,660.79","193,842,923.23","189,602,131.22","188,142,368.06","288,853,503.12","294,140,967.05","284,192,689.43"
预计负债,,,"7,134,853.96","7,134,063.23","7,131,900.89","1,786,682.84","1,786,682.84","1,786,682.84","1,786,682.84","5,069,771.39","5,069,771.39","6,646,612.89"
固定资产,"24,112,732.39","29,307,380.79","26,223,090.49","506,151,530.34","567,754,047.34","670,653,864.96","566,006,349.95","573,134,830.83","569,192,051.16","518,294,707.50","503,908,314.96","504,322,798.60"
递延所得税负债,,"953,266.41","248,022.83","553,387.64","812,777.67","1,001,188.30","1,001,188.30","787,592.73","787,592.73","1,060,113.23","1,060,113.23","1,060,113.23"
在建工程,"118,590,309.65","219,610,412.57","555,883,118.73","147,044,284.96","155,919,342.65","51,517,919.96","80,123,983.93","44,326,411.98","49,562,215.43","43,085,223.96","64,631,693.79","52,255,180.28"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"381,211.82","69,652,976.44","150,658,018.33","261,513,207.64","274,393,135.33","255,378,274.29","2,787,871.14","2,574,275.57","2,574,275.57","11,124,479.44","11,124,179.44","33,001,320.94"
固定资产清理,,,,,,,,,,,,
