科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"27,992,014.90","53,610,677.47","104,914,313.06","114,677,302.15","491,372,491.30","465,616,116.63","428,801,304.76","400,296,303.08","323,182,318.63","382,235,254.78","320,256,964.72","354,193,591.69","318,797,562.68","359,949,575.52","168,251,188.15","215,460,936.86","41,865,956.76","100,095,806.97","119,955,516.82","118,669,266.45","281,823,653.34","405,695,371.85","409,525,917.90","213,933,283.71","123,206,204.63","425,458,495.46"
短期借款,,"2,120,000.00",,,,,,,,,,,,,,,,,,,"50,000,000.00","10,141,730.00","117,983.10","112,738.08","105,913.34","95,777.52"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,760,211.00","5,864,676.10","1,400,000.00","200,000.00","4,700,000.00","4,100,000.00","8,370,000.00","15,950,000.00","7,815,000.00","5,203,720.00","1,270,000.00","13,124,160.10","8,732,407.04","13,164,000.00","2,609,570.96","14,448,177.57","18,737,574.90","25,868,286.60","7,596,062.13","10,215,778.80","4,120,759.10","60,288,542.64","80,541,945.90","89,662,817.18","59,170,298.61","102,813,086.98"
应付票据,,"18,853,000.00","32,017,800.00","58,200,800.00","40,535,481.00","59,550,581.75","55,608,471.10","65,624,420.35","58,890,212.80","55,868,267.77","58,827,027.97","61,151,958.00","62,843,985.00","54,999,385.46","52,425,564.79","70,302,313.27","69,171,888.81","40,727,344.87","36,436,590.00","66,673,591.23","58,603,141.63","50,608,398.24","73,408,552.00","85,338,800.94","86,246,020.83","143,499,706.24"
应收账款,"46,267,763.90","44,611,290.66","45,067,013.06","94,373,041.07","137,119,556.39","116,035,233.31","150,085,665.26","186,101,997.46","227,589,448.82","200,643,639.76","226,839,622.12","253,942,538.53","294,851,532.04","267,814,345.29","267,920,616.85","339,263,244.46","341,574,884.70","267,110,605.39","299,875,219.47","348,860,084.23","363,028,376.57","476,302,030.67","473,651,907.44","470,340,484.49","499,588,551.95","576,563,537.14"
应付账款,"33,852,263.38","53,337,456.65","70,489,778.86","73,673,147.82","81,579,843.49","93,397,684.03","72,395,286.81","92,000,300.41","128,015,030.37","121,322,186.88","105,200,273.62","115,325,550.94","127,748,723.36","125,321,400.43","91,574,799.92","112,845,462.01","139,541,883.68","155,884,159.72","126,710,429.46","107,379,099.71","148,480,828.40","202,404,916.33","159,976,926.49","247,491,035.36","305,593,239.91","380,472,907.00"
预付款项,"5,309,057.43","413,771.05","1,803,784.74","2,968,444.29","1,210,867.34","5,274,181.21","8,730,751.33","11,940,309.66","6,358,365.44","4,876,725.10","7,975,670.81","8,529,796.02","27,850,780.66","5,317,487.56","11,644,494.98","28,726,082.40","28,018,263.34","4,655,252.51","20,129,973.83","15,033,709.43","5,631,544.54","18,158,531.03","27,719,026.77","23,961,162.98","31,891,696.72","19,584,772.47"
预收款项,"631,627.63","2,470,088.50","2,535,141.55","12,917,713.90","2,478,276.00","4,155,015.78","2,076,144.30","1,291,914.50","544,126.49","7,286,819.12","6,619,214.95","5,563,704.18","6,236,980.33","6,830,462.37","5,331,329.41","8,061,378.33","5,890,464.31","8,374,725.06","7,549,466.94","7,474,958.65","7,819,507.42","24,098,265.83","22,496,617.05","28,009,671.32","49,048,790.91","70,354,572.90"
