科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"695,309,990.11","1,234,667,558.41","1,539,316,920.30","738,630,354.19","1,097,840,378.58","1,407,250,314.45","353,799,745.10","813,621,858.63","1,176,976,543.72","1,570,158,558.99","338,325,855.94","689,602,559.03","1,059,075,390.47","1,428,709,345.10","352,169,318.95","721,006,526.10","1,033,549,823.90","1,360,709,045.70","359,125,930.13","765,188,100.07","1,126,229,141.42","1,564,897,745.37","430,350,785.41","887,347,082.91","1,398,665,414.60"
二、营业利润,"88,087,458.56","112,596,141.93","130,199,821.25","71,200,743.30","93,247,199.25","110,543,561.50","22,190,489.37","58,542,577.26","74,356,228.95","85,066,489.37","24,608,431.03","46,970,836.54","57,335,703.57","60,150,189.38","-18,361,584.63","-30,282,354.55","-69,525,510.99","-200,399,787.57","-9,232,727.35","979,751.92","-11,345,513.91","-19,653,646.09","10,189,152.68","9,296,709.09","-13,635,682.36"
减:营业成本,"554,984,519.11","1,015,451,905.87","1,281,644,968.29","607,293,244.83","913,669,911.48","1,168,451,240.64","300,917,878.25","691,330,137.69","1,012,495,591.68","1,356,083,739.48","287,887,827.63","583,398,509.55","902,304,169.26","1,225,880,009.63","332,121,441.46","676,095,060.54","989,575,870.80","1,366,927,353.53","349,736,598.59","725,120,674.14","1,057,535,944.33","1,443,620,758.71","377,840,323.70","783,201,763.87","1,261,734,991.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,873,320.33","2,804,514.56","5,154,647.20","3,383,192.02","5,324,327.15","7,172,783.11","754,700.78","1,214,522.90","1,577,877.59","1,971,059.61","338,325.86","344,801.29","529,537.71","714,402.04","176,074.85","361,563.37","518,465.44","681,856.22","2,587.88","4,983.99","7,074.19","4,817,170.93","1,177,456.04","2,315,868.83","3,947,919.13"
营业外收入,"889,582.52","980,739.24","12,268,511.46","8,557,913.74","10,164,588.46","7,564,366.07","777,494.69","1,041,528.01","1,597,594.90","3,676,258.38","549,113.46","829,113.16","4,106,500.19","7,116,565.96","1,575,055.80","4,646,914.66","14,335,558.37","15,960,391.25","1,807,711.66","4,350,265.79","25,531,779.06","37,611,146.18","12,210,732.14","19,532,172.39","21,252,175.68"
销售费用,"7,805,218.08","20,410,585.85","21,903,369.28","11,834,248.27","17,842,823.65","26,210,350.86","7,562,866.14","14,258,488.59","24,435,162.40","33,975,970.01","7,710,437.01","17,392,216.76","25,926,152.04","34,992,466.72","14,050,994.65","19,510,292.08","30,179,633.52","40,888,762.06","9,557,767.42","19,344,493.22","29,129,328.84","40,471,081.76","10,317,588.35","21,595,866.74","31,733,330.63"
减:营业外支出,"80,720.00","5,814,598.81","203,908.62","169,770.67","211,320.67","310,183.74","278,000.00","294,712.00","294,712.00","392,124.34",,,417.00,"168,595.64","48,726.29","5,521,709.96","6,099,004.84","9,915,618.85","569,832.59","3,002,664.37","3,851,591.98","4,145,173.05","348,292.45","1,305,952.14","1,630,501.02"
管理费用,"32,771,861.35","71,887,914.77","75,933,238.89","33,323,097.85","54,548,842.02","85,107,097.32","25,885,248.71","49,400,038.79","66,727,634.23","90,039,783.27","18,195,569.86","44,986,487.20","75,096,542.93","93,991,217.94","21,671,260.47","40,847,583.51","61,565,947.48","85,354,492.91","20,080,114.68","46,582,851.34","69,731,382.30","91,710,755.18","23,784,420.76","53,333,952.73","84,310,985.40"
其中:非流动资产处置净损失,,"5,169,941.04",,,,,,,,"-1,338.26",,,,"19,939.64",,"413,183.01",,"724,082.35",,"2,468,089.40",,"61,480.07",,"131,080.53",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"7,608,262.46","9,879,075.33","14,986,230.80","10,732,120.15","10,603,504.94","8,273,891.15","-3,511,438.15","-5,259,415.43","-6,751,459.96","-5,085,559.14","-414,735.45","312,482.72","1,686,059.99","3,830,272.97","1,793,215.31","8,418,587.34","14,998,373.32","17,534,357.39","6,462,550.88","12,183,802.36","19,020,004.27","26,032,696.92","8,859,983.65","16,196,661.08","27,686,906.93"
三、利润总额,"88,896,321.08","107,762,282.36","142,264,424.09","79,588,886.37","103,200,467.04","117,797,743.83","22,689,984.06","59,289,393.27","75,659,111.85","88,350,623.41","25,157,544.49","47,799,949.70","61,441,786.76","67,098,159.70","-16,835,255.12","-31,157,149.85","-61,288,957.46","-194,355,015.17","-7,994,848.28","2,327,353.34","10,334,673.17","13,812,327.04","22,051,592.37","27,522,929.34","5,985,992.30"
