科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,865,628.13","3,789,519.78","7,110,236.90","8,474,781.55","2,213,841.01","4,795,011.59","7,687,793.02","10,890,798.60","2,413,130.80","4,866,631.49","6,812,222.96","8,314,660.09","4,436,580.52","8,995,455.12","12,931,100.40","19,953,289.79","4,153,126.53","9,932,102.55","15,837,805.02","21,136,542.31","5,968,762.91","11,491,197.39","17,456,808.80","22,828,818.34","3,976,212.89","7,016,922.01","10,929,565.36","14,846,792.82","3,013,747.33","7,808,396.31","12,335,744.19","16,576,187.61","4,971,218.19","10,118,693.08","15,505,371.54","20,136,681.04","4,841,951.14","9,685,135.02","14,500,670.90","19,029,223.79","4,869,448.45","9,302,711.54","12,031,611.93","17,495,306.22","4,409,632.46","11,337,559.95"
三、利润总额,"17,749,907.85","12,553,847.62","3,611,201.60","17,900,404.66","-6,457,867.87","4,121,312.41","5,747,669.10","16,065,411.95","-6,791,012.15","-3,423,053.17","8,683,609.28","23,236,746.00","-11,041,951.71","1,332,348.88","17,005,901.98","27,295,750.65","3,934,224.16","3,321,792.75","4,610,260.81","21,740,623.34","-9,334,738.39","-7,771,270.54","-5,530,534.43","40,611,517.27","-12,156,393.11","11,622,743.63","14,363,322.75","21,602,065.49","-5,688,295.23","392,414.43","20,602,543.94","23,923,370.89","-3,008,101.23","16,934,551.54","41,453,678.70","42,937,225.60","1,312,316.28","15,266,442.98","19,689,293.77","21,749,310.77","12,996,838.41","25,173,248.92","47,073,550.04","42,243,537.39","-8,485,700.79","-945,943.90"
资产减值损失,,,,"-2,038,305.86",,"-20,000.00","-29,424.70","-723,292.27","-11,348.00","2,113,394.43","2,111,219.43","1,069,984.45",,,"289,169.52","8,080,084.07",,,,"9,536,374.45",,,,"8,012,209.30",,"7,739,109.76","7,739,109.76","5,581,550.57",,"4,123,289.64","4,123,289.64","9,543,739.46",,"3,967,797.37","3,967,797.37","7,403,739.24",,"3,895,030.12","3,895,030.12","6,095,322.73",,"1,513,927.17","1,513,927.17","806,807.44",,"382,488.36"
减:所得税,"7,330.04","324,633.18","572,561.40","3,126,887.88","128,229.18","978,128.21","1,425,087.31","-5,547,835.03","36,000.00","-1,440,719.80","-247,650.40","-1,196,216.43","317,162.93","4,341,813.39","7,026,168.13","14,242,995.63","1,845,057.78","2,596,159.30","4,588,599.30","12,640,418.68","87,260.00","2,621,221.66","5,206,450.16","35,480,418.18",,"5,840,697.60","6,323,603.92","9,779,535.49",,"1,068,339.83","6,040,026.74","8,857,002.15","362,593.50","6,142,660.79","13,291,192.40","16,303,285.06","1,250,639.91","5,641,572.73","6,412,912.48","5,920,769.34","4,008,532.42","8,205,170.50","13,476,976.66","13,554,738.88","590,449.80","2,654,532.00"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"4,940,537.72",,"1,315,014.00","1,315,014.00","1,315,014.00",,,,,,,,,,,"367,232.86","528,712.31",,,"96,164.38","504,863.01","606,808.12","951,068.48","1,709,006.29","2,029,061.10","16,175.36","176,065.76","176,065.76","176,065.76",,,,,,,,,,,"66,904.11","317,041.10","24,595.89","141,102.74"
四、净利润,"17,742,577.81","12,229,214.44","3,038,640.20","14,773,516.78","-6,586,097.05","3,143,184.20","4,322,581.79","21,613,246.98","-6,827,012.15","-1,982,333.37","8,931,259.68","24,432,962.43","-11,359,114.64","-3,009,464.51","9,979,733.85","13,052,755.02","2,089,166.38","725,633.45","21,661.51","9,100,204.66","-9,421,998.39","-10,392,492.20","-10,736,984.59","5,131,099.09","-12,156,393.11","5,782,046.03","8,039,718.83","11,822,530.00","-5,688,295.23","-675,925.40","14,562,517.20","15,066,368.74","-3,370,694.73","10,791,890.75","28,162,486.30","26,633,940.54","61,676.37","9,624,870.25","13,276,381.29","15,828,541.43","8,988,305.99","16,968,078.42","33,596,573.38","28,688,798.51","-9,076,150.59","-3,600,475.90"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"19,186,364.87","15,229,679.06","7,933,405.64","20,166,029.88","-6,312,518.60","3,132,762.53","4,274,559.63","21,315,123.44","-6,578,707.70","-1,553,037.94","9,410,636.30","24,605,352.07","-11,234,878.89","-2,982,458.49","10,050,313.42","13,148,293.07","2,141,528.79","888,562.30","278,389.80","9,275,793.43","-8,976,426.82","-9,482,689.94","-11,209,829.04","5,171,345.76","-10,767,749.73","9,520,761.37","13,259,540.54","15,031,454.08","-2,832,786.10","3,009,683.62","16,052,107.26","17,246,760.35","-1,812,443.03","10,788,396.19","27,243,411.90","26,730,737.51","-420,889.19","7,759,603.52","8,267,795.68","9,952,192.98","10,531,536.54","19,179,947.00","33,849,157.72","30,500,775.53","-4,863,626.81","864,476.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-1,443,787.06","-3,000,464.62","-4,894,765.44","-5,392,513.10","-273,578.45","10,421.67","48,022.16","298,123.54","-248,304.45","-429,295.43","-479,376.62","-172,389.64","-124,235.75","-27,006.02","-70,579.57","-95,538.05","-52,362.41","-162,928.85","-256,728.29","-175,588.77","-445,571.57","-909,802.26","472,844.45","-40,246.67","-1,388,643.38","-3,738,715.34","-5,219,821.71","-3,208,924.08","-2,855,509.13","-3,685,609.02","-1,489,590.06","-2,180,391.61","-1,558,251.70","3,494.56","919,074.40","-96,796.97","482,565.56","1,865,266.73","5,008,585.61","5,876,348.45","-1,543,230.55","-2,211,868.58","-252,584.34","-1,811,977.02","-4,212,523.78","-4,464,952.26"
