科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"399,578,039.73","383,563,852.99","461,654,760.72","168,285,078.43","331,710,356.81","576,505,727.22","804,372,312.45","234,157,222.00","533,996,677.08","868,548,624.36","1,245,431,841.77","433,212,029.30","940,797,169.52","1,409,106,225.07","2,052,232,952.00","563,530,732.33","1,060,843,368.23","1,546,463,075.41","2,003,680,481.16","399,559,556.13","745,263,906.09","899,586,276.07","1,303,394,137.58","132,522,158.38","362,360,954.51","572,253,915.61","886,500,947.23","320,242,355.39","808,239,514.06","1,178,700,493.35","1,745,566,577.25"
二、营业利润,"28,816,740.40","40,393,077.29","50,759,095.48","19,940,109.79","40,758,582.42","67,873,621.05","81,285,459.17","25,001,991.32","55,522,554.80","90,539,249.81","126,649,137.02","56,809,972.66","116,816,443.86","190,108,119.60","259,350,384.15","78,987,388.60","128,264,370.35","198,807,234.66","242,326,312.06","31,818,631.11","57,246,931.34","16,880,900.37","-10,730,643.34","-44,792,689.79","-91,884,935.19","-130,310,792.69","-351,036,907.89","10,270,979.09","29,453,913.19","36,078,808.62","66,326,495.54"
减:营业成本,"312,677,954.47","279,256,193.33","323,248,644.57","116,613,644.04","231,136,336.14","397,822,497.11","559,128,810.28","159,823,205.73","361,209,384.32","585,132,038.54","826,804,834.82","271,568,839.96","570,357,248.52","863,750,827.17","1,302,072,761.90","367,815,061.50","692,227,017.20","989,363,728.49","1,288,023,120.70","277,107,937.68","500,990,313.68","616,339,000.12","912,354,129.26","115,788,915.83","286,782,389.84","444,004,627.68","674,855,817.69","229,157,405.66","583,503,241.79","843,428,630.70","1,232,461,098.96"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"685,075.31","1,807,463.50","1,569,144.07","920,253.00","1,037,611.89","1,359,744.49","1,388,087.65","305,417.26","1,337,038.33","2,337,462.83","5,503,690.44","4,052,433.29","6,036,058.23","6,228,975.47","10,180,821.58","2,585,796.53","6,386,717.18","10,438,503.68","11,325,924.14","4,922,091.85","7,672,268.73","8,592,154.65","9,205,447.10","1,586,236.89","2,619,357.44","4,358,312.77","11,862,626.96","-3,138,934.14","5,289,917.11","11,883,904.42","17,189,256.55"
营业外收入,"962,549.56","2,775,804.81","4,457,159.71","692,015.80","1,528,295.11","5,240,562.23","7,475,017.10","1,975,559.12","4,795,845.84","5,692,446.35","7,867,048.31","1,116,178.24","4,598,242.67","8,090,821.43","14,036,790.68","2,703,731.79","9,791,483.13","14,626,685.64","26,333,469.00","3,058,638.47","6,783,726.13","13,742,674.93","20,438,996.21","9,358,155.79","12,515,560.07","22,361,167.45","21,871,755.10","2,536,658.12","1,253,798.36","1,311,930.71","10,077,153.71"
销售费用,"13,222,604.06","15,767,614.94","15,412,096.89","6,146,554.74","12,016,826.29","20,828,920.71","33,407,279.75","9,403,124.57","21,887,870.67","31,915,535.48","50,633,336.49","19,234,649.63","46,882,911.43","65,006,039.32","79,453,043.14","21,688,536.78","43,076,908.78","68,399,871.48","95,023,163.96","19,009,314.34","41,558,695.26","60,076,345.62","86,954,925.24","5,808,625.28","24,649,555.40","47,846,754.67","98,998,722.15","17,351,773.18","48,621,060.12","77,880,716.11","102,084,262.79"
减:营业外支出,"418,350.00","352,145.75","263,816.66","129,754.47","385,198.60","485,556.70","845,845.43","59,681.29","486,574.65","517,351.69","1,105,019.10","15,425.62","47,657.55","233,037.55","642,997.45","193,932.96","372,643.66","702,523.07","3,976,445.24","171,921.54","786,582.36","1,415,819.19","1,049,955.90","1,125,448.90","1,462,602.22","1,698,714.28","3,981,691.59","-318,919.69","-202,989.74","26,218.73","3,918,074.53"
管理费用,"36,049,627.79","42,584,193.23","59,551,838.30","17,866,277.78","36,900,613.81","71,855,282.76","109,870,015.73","35,067,730.80","78,840,013.11","135,566,690.29","191,093,217.14","69,226,915.81","170,297,251.43","239,794,214.02","313,174,004.58","75,510,304.17","150,156,857.62","212,523,045.07","271,057,903.14","50,163,987.55","90,988,205.30","141,899,870.53","220,166,873.23","33,092,927.48","88,489,953.49","132,877,982.48","193,807,475.16","47,873,845.59","84,296,903.41","128,423,932.30","208,177,384.08"
其中:非流动资产处置净损失,,,,,,,"287,450.91",,,,"59,911.31",,,,"1,744.67","6,132.96","25,179.81","155,819.67","504,273.71",,"191,936.25","193,061.25","233,992.78","35,766.11","13,779.37","19,022.09","470,852.29",,"1,956.58",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
