科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"10,707,347,522.26","11,674,317,271.55","12,649,854,067.04","10,044,047,534.04","13,178,915,148.68","3,816,872,295.26","6,778,256,576.74","10,372,411,560.72","13,735,106,444.91","4,060,939,763.25","7,645,588,452.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,"11,258.62",,
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"67,041,694.73","77,906,381.82","70,683,432.99","48,306,724.19","76,325,649.48","13,826,155.52","38,870,914.67","65,347,069.52","105,299,312.98","21,023,849.66","100,117,156.30"
投资活动现金流出小计,"415,292,158.42","377,288,850.62","235,386,922.65","180,426,584.97","289,582,056.30","33,790,804.59","599,444,207.29","920,148,419.04","1,434,251,864.93","1,012,706,320.20","1,868,308,883.31"
经营活动现金流入小计,"10,799,138,649.61","11,757,064,263.24","12,720,537,500.03","10,092,354,258.23","13,255,240,798.16","3,830,698,450.78","6,817,127,491.41","10,437,758,630.24","13,840,417,016.51","4,081,963,612.91","7,745,705,608.46"
投资活动产生的现金流量净额,"-414,100,328.05","-267,006,402.33","-231,466,182.13","-180,167,219.92","-289,008,725.82","-32,942,037.48","-207,191,868.05","-335,500,331.01","-511,145,235.14","-651,458,991.11","-563,939,472.41"
购买商品、接受劳务支付的现金,"8,573,650,849.97","9,235,411,905.64","10,111,830,436.23","7,626,690,583.92","10,333,901,644.40","2,858,410,842.55","5,250,941,287.88","8,100,656,507.65","10,813,012,652.52","3,091,045,119.99","6,227,913,417.48"
吸收投资收到的现金,,"50,000,000.00",,,"1,169,600,000.00",,,,"2,400,000.00",,
支付给职工以及为职工支付的现金,"735,043,455.46","847,208,535.31","916,398,179.15","709,547,385.06","946,372,070.45","241,110,201.46","494,869,094.87","743,139,129.32","1,004,169,464.81","279,717,432.77","594,697,568.67"
取得借款收到的现金,"30,160,000.00","18,200,000.00",,,,,,,,,
支付的各项税费,"335,976,283.76","394,078,903.20","432,497,240.29","284,533,628.12","369,677,123.41","109,360,079.97","212,671,820.98","273,047,799.06","350,642,425.34","82,050,524.80","229,102,568.92"
收到其他与筹资活动有关的现金,,,,,,,,,,"95,830,000.00",
支付其他与经营活动有关的现金,"720,856,597.95","805,310,237.21","835,292,720.32","617,628,595.81","844,813,692.13","210,722,058.93","399,099,257.49","613,049,257.77","891,557,989.29","271,008,578.78","453,389,751.46"
筹资活动现金流入小计,"30,160,000.00","68,200,000.00",,,"1,169,600,000.00",,,,"2,400,000.00","95,830,000.00",
经营活动现金流出小计,"10,388,576,156.23","11,305,857,420.59","12,296,018,575.99","9,238,400,192.91","12,494,764,530.39","3,419,603,182.91","6,357,581,461.22","9,729,892,693.80","13,059,382,531.96","3,723,821,656.34","7,505,103,306.53"
偿还债务支付的现金,"30,180,000.00",,,,,,,,,,"119,800,000.00"
经营活动产生的现金流量净额,"410,562,493.38","451,206,842.65","424,518,924.04","853,954,065.32","760,476,267.77","411,095,267.87","459,546,030.19","707,865,936.44","781,034,484.55","358,141,956.57","240,602,301.93"
分配股利、利润或偿还利息支付的现金,"50,555,000.00","116,578,741.23","172,800,000.00","70,200,000.00","70,200,000.00",,"158,776,573.95","162,000,000.00","162,000,000.00","1,063,237.70","194,149,404.79"
收回投资收到的现金,"824,865.90",,,,,"535,068.49","390,000,000.00","580,000,000.00","910,000,001.00","358,900,000.00","1,298,200,000.00"
支付其他与筹资活动有关的现金,,"3,841,509.44","2,351,259.31","2,633,636.72","7,376,664.32",,,,"7,349,056.59",,
