科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"423,556,303.30","654,555,559.56","1,514,685,292.71","558,156,335.30","1,010,153,009.05","1,681,811,801.14","1,736,434,613.22","400,677,421.62","1,148,799,962.86","1,820,179,360.06","2,290,286,857.89","466,774,947.42","1,089,684,930.06","1,861,742,697.26","2,576,005,776.32","571,820,870.03","1,243,357,032.36","1,916,422,545.05","2,336,845,535.07","540,195,151.29","979,982,959.71","1,514,936,406.44","2,152,576,241.15","589,199,812.40","1,181,845,107.81","1,857,721,641.67","2,334,081,763.67","497,894,442.14","1,395,066,284.16","2,139,274,638.00","2,466,846,378.27","819,259,599.96","2,093,061,583.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"77,216,664.99",,,,,,,,,,
收到的税费返还,"1,665,273.47","3,565,911.25","15,264,442.65","2,242,343.19","2,242,343.19","13,902,717.26","18,723,645.49","454,293.80","3,497,838.28","5,533,656.64","8,146,307.72","2,081,669.40","9,284,630.09","19,051,584.83","18,264,690.73","1,111,252.28","6,395,447.85","9,847,747.30","11,674,763.92","3,038,174.91","10,319,295.05","17,858,573.31","21,961,761.59","4,621,500.15","4,361,297.57","11,003,254.21","17,258,908.84","9,532,958.19","23,913,522.99","37,449,587.42","49,240,203.53","14,212,968.39","33,543,220.46"
支付其他与投资活动有关的现金,,,,,,,"1,300,300,000.00","750,000,000.00","750,000,000.00","300,000,000.00",,,,,,,,,"705,479,999.95","13,500,000.03",,,,,,,,,"1,200,000,000.00",,"3,570,007,809.50",,
收到其他与经营活动有关的现金,"14,034,837.10","31,503,623.76","50,913,567.65","10,961,306.43","66,189,886.23","67,150,506.33","106,159,180.92","21,933,798.83","207,991,429.90","37,895,324.25","83,298,951.75","11,924,385.95","15,774,127.13","16,548,787.05","32,924,551.69","14,554,275.52","17,221,983.94","21,873,960.33","30,458,716.88","497,435.11","28,982,036.38","34,730,476.48","56,954,923.57","4,138,310.74","11,467,749.79","11,537,099.33","90,655,599.91","68,408,972.76","30,651,071.60","72,921,787.68","55,666,063.60","26,003,952.29","42,439,445.27"
投资活动现金流出小计,"164,483,157.79","125,649,666.16","558,713,425.98","113,929,485.20","419,266,435.14","1,104,136,900.83","2,524,066,048.04","1,128,506,342.17","1,319,483,614.61","1,098,362,043.86","895,874,378.30","60,014,459.43","206,350,870.21","237,842,717.39","165,682,590.26","53,393,436.94","129,595,234.96","279,856,207.46","1,245,328,627.21","158,066,260.59","166,129,769.48","466,441,373.32","621,753,800.12","197,852,146.67","229,074,509.10","207,738,945.78","260,629,755.79","263,447,717.42","2,220,176,298.40","2,332,608,957.07","4,761,121,920.26","338,000,130.92","487,343,859.27"
经营活动现金流入小计,"439,256,413.87","689,625,094.57","1,580,863,303.01","571,359,984.92","1,078,585,238.47","1,762,865,024.73","1,861,317,439.63","423,065,514.25","1,360,289,231.04","1,863,608,340.95","2,381,732,117.36","480,781,002.77","1,114,743,687.28","1,897,343,069.14","2,627,195,018.74","587,486,397.83","1,266,974,464.15","1,948,144,252.68","2,378,979,015.87","543,730,761.31","1,019,284,291.14","1,567,525,456.23","2,231,492,926.31","597,959,623.29","1,197,674,155.17","1,880,261,995.21","2,441,996,272.42","575,836,373.09","1,449,630,878.75","2,249,646,013.10","2,571,752,645.40","859,476,520.64","2,169,044,248.79"
投资活动产生的现金流量净额,"-164,483,157.79","-125,599,666.16","-558,413,425.98","-113,929,485.20","-419,266,435.14","-1,104,136,900.83","-2,517,117,412.45","172,717,822.83","2,889,580.90","233,221,562.61","161,792,380.53","-34,181,567.76","-164,727,014.55","-82,809,046.66","1,303,903.53","14,541.65","-63,311,060.80","-188,227,848.44","-1,229,628,665.14","-153,899,657.42","58,125,567.18","-155,739,986.92","229,485,166.22","-195,197,051.95","-225,510,266.68","-204,148,040.86","-257,369,773.59","-262,708,731.12","-2,213,987,599.60","-2,329,969,580.69","-2,665,652,967.17","-338,000,130.92","-46,438,331.15"
购买商品、接受劳务支付的现金,"264,191,331.41","462,178,306.27","927,453,270.29","401,096,656.90","758,556,308.77","1,313,692,109.22","1,597,918,526.38","385,635,960.48","1,138,666,434.60","1,535,136,652.07","2,027,753,181.51","394,359,129.58","858,823,059.04","1,624,011,271.12","2,454,609,266.38","506,695,354.66","991,005,957.20","1,790,189,173.69","2,176,386,137.36","550,994,591.44","904,807,728.83","1,435,822,754.23","2,031,252,687.37","615,770,439.21","980,455,398.18","1,585,904,468.09","2,041,772,856.69","671,052,034.32","1,228,911,165.40","1,895,873,238.60","2,283,906,972.38","815,445,262.16","1,836,884,068.90"
吸收投资收到的现金,"28,000,000.00",,"30,000,000.00",,"2,706,609,658.00","2,706,609,658.00","2,706,609,658.00",,,,,,,,,,,"1,367,939,377.08","1,367,939,377.08",,,,,,,,,"1,969,306,649.81","1,969,306,649.81","1,969,306,649.81","1,969,306,649.81",,
