科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"946,601,261.59","902,807,429.59","996,141,627.00","516,486,475.63","667,186,032.86","888,114,629.95","181,687,124.02","402,053,669.32","760,181,444.09","1,116,570,220.65","153,875,182.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"75,000,000.00","127,500,000.00",
收到的税费返还,"53,491,564.23","56,286,427.84","35,393,595.73","17,184,502.35","52,157,139.45","65,763,016.11","19,732,599.90","41,351,320.67","63,004,032.00","83,759,222.30","22,837,649.60"
支付其他与投资活动有关的现金,,,,,,,,,"227,148.20","206,000,000.00",
收到其他与经营活动有关的现金,"56,665,633.68","36,562,830.97","32,968,509.07","21,750,798.52","28,919,270.56","40,160,646.57","4,255,425.42","7,831,743.60","14,514,698.98","55,420,412.02","13,107,411.63"
投资活动现金流出小计,"26,761,500.55","43,389,646.19","11,743,723.48","20,692,240.74","34,783,439.20","40,654,698.63","7,363,374.68","14,629,907.54","104,491,069.70","363,950,919.26","4,038,228.73"
经营活动现金流入小计,"1,056,758,459.50","995,656,688.40","1,064,503,731.80","555,421,776.50","748,262,442.87","994,038,292.63","205,675,149.34","451,236,733.59","837,700,175.07","1,255,749,854.97","189,820,243.37"
投资活动产生的现金流量净额,"-8,461,500.55","-23,830,173.19","8,268,016.00","-20,692,240.74","-34,179,244.79","-39,850,979.84","-7,363,374.68","-14,349,907.54","-103,569,456.89","-221,778,201.98","-3,838,228.73"
购买商品、接受劳务支付的现金,"751,151,527.52","687,879,040.54","699,572,492.35","433,136,332.79","581,063,436.06","732,062,002.61","203,858,478.05","406,876,235.03","727,953,598.35","972,093,063.07","125,743,643.73"
吸收投资收到的现金,,,,,,,"231,758,000.00","231,758,000.00","231,758,000.00","220,126,450.50",
支付给职工以及为职工支付的现金,"124,580,849.57","97,277,276.59","118,502,451.81","73,251,998.12","102,016,657.67","134,362,482.52","41,330,800.89","73,315,398.29","129,891,769.74","176,928,609.16","44,628,449.84"
取得借款收到的现金,"110,494,544.54","130,000,000.00","88,651,231.92",,"59,982,500.00","99,917,150.00","9,978,900.00","39,978,900.00","93,782,094.50","139,909,169.00","34,585,200.00"
支付的各项税费,"22,150,346.08","35,825,882.68","23,621,078.16","14,865,469.60","20,106,724.37","25,698,861.29","7,242,232.59","7,606,122.25","34,189,536.57","28,062,368.99","17,020,350.79"
收到其他与筹资活动有关的现金,"500,000.00",,,,,,,"57,405.14","57,405.14","42,422,441.45",
支付其他与经营活动有关的现金,"121,278,195.52","115,324,599.87","111,232,806.55","61,496,668.81","106,638,663.90","129,758,256.53","14,233,388.99","38,274,862.47","55,115,369.38","143,745,956.42","48,498,520.47"
筹资活动现金流入小计,"110,994,544.54","130,000,000.00","88,651,231.92",,"59,982,500.00","99,917,150.00","241,736,900.00","271,794,305.14","325,597,499.64","402,458,060.95","34,585,200.00"
经营活动现金流出小计,"1,019,160,918.69","936,306,799.68","952,928,828.87","582,750,469.32","809,825,482.00","1,021,881,602.95","266,664,900.52","526,072,618.04","947,150,274.04","1,320,829,997.64","235,890,964.83"
偿还债务支付的现金,"51,494,544.54","137,000,000.00","129,651,231.92","11,000,000.00","81,000,000.00","111,000,000.00","9,982,500.00","29,917,150.00","44,896,050.00","117,487,701.00","16,424,856.35"
经营活动产生的现金流量净额,"37,597,540.81","59,349,888.72","111,574,902.93","-27,328,692.82","-61,563,039.13","-27,843,310.32","-60,989,751.18","-74,835,884.45","-109,450,098.97","-65,080,142.67","-46,070,721.46"
分配股利、利润或偿还利息支付的现金,"7,173,960.78","7,303,155.51","7,561,623.08","2,254,241.01","2,919,922.95","3,465,978.60","738,930.32","1,514,846.80","16,127,373.24","17,335,816.92","1,411,136.30"
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,"26,700,000.00",,,,,,"12,055,188.62","11,976,360.78","11,976,360.78","5,000,000.00",
取得投资收益收到的现金,,,,,,,,,"641,612.81","1,065,491.34",
