科目,2007年1-3月
一、营业收入,"4,811,510,484.46"
二、营业利润,"381,605,779.08"
减:营业成本,"3,894,148,643.49"
加:补贴收入,
营业税金及附加,"20,149,883.84"
营业外收入,"6,732,235.89"
销售费用,"248,890,246.58"
减:营业外支出,"2,570,114.77"
管理费用,"214,491,067.74"
其中:非流动资产处置净损失,"561,646.88"
堪探费用,
加:影响利润总额的其他科目,
财务费用,"42,381,549.87"
三、利润总额,"385,767,900.20"
资产减值损失,"9,952,929.61"
减:所得税,"72,030,801.59"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"109,615.75"
四、净利润,"313,737,098.61"
其中:对联营企业和合营企业的投资权益,"109,615.75"
归属于母公司所有者的净利润,"130,818,015.43"
影响营业利润的其他科目,
少数股东损益,"182,919,083.18"
