科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,512,378,105.73","5,631,833,728.87","7,421,014,036.93",,"4,341,005,612.60","6,792,976,465.76","8,733,276,616.46","2,367,824,414.58","4,521,489,657.34","6,909,585,972.54","8,960,562,837.09","2,520,530,873.95","4,945,386,130.85","7,248,517,984.66","8,797,523,317.74","2,485,497,125.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"925,164.47","1,310,613.44","12,597,827.87",,"574,683.20","7,559,373.14","6,371,668.79","1,317,010.40","3,658,123.80","7,605,094.07","11,263,752.32","1,294,683.03","3,991,618.04","12,827,966.47","20,947,601.31","2,251,959.85"
支付其他与投资活动有关的现金,,"3,019,917.46",,,"10,000,000.00","10,000,000.00","10,000,000.00","40,000,000.00","40,000,000.00","48,164,885.16","43,973,367.21",,,"1,430,830.50","41,222,315.00",
收到其他与经营活动有关的现金,"313,930,512.33","973,728,547.79","1,184,214,467.62",,"203,680,259.16","225,830,730.71","813,545,469.46","738,782,153.46","420,626,420.45","2,075,184,089.52","774,394,348.11","935,461,865.60","663,377,879.72","1,192,721,936.11","767,115,367.99","1,297,383,249.65"
投资活动现金流出小计,"669,546,645.62","508,244,384.29","884,928,265.01",,"279,911,802.75","373,560,459.12","629,597,323.56","151,099,346.60","369,462,756.57","3,084,576,291.54","3,416,220,593.06","2,578,356,271.41","3,223,617,686.11","4,889,658,743.42","5,553,424,055.13","1,599,314,567.56"
经营活动现金流入小计,"4,827,233,782.53","6,606,872,890.10","8,617,826,332.42",,"4,545,260,554.96","7,026,366,569.61","9,553,193,754.71","3,107,923,578.44","4,945,774,201.59","8,992,375,156.13","9,746,220,937.52","3,457,287,422.58","5,612,755,628.61","8,454,067,887.24","9,585,586,287.04","3,785,132,335.43"
投资活动产生的现金流量净额,"-562,179,903.72","-131,411,276.64","-785,844,066.14",,"-28,709,282.50","-119,066,993.54","-341,617,312.87","-141,920,458.24","-302,782,956.79","-2,816,231,247.27","-561,138,139.20","-2,570,007,216.02","-611,597,443.89","-1,994,098,405.79","-366,728,771.62","-1,384,074,700.29"
购买商品、接受劳务支付的现金,"2,607,731,052.66","4,244,293,482.47","5,142,624,689.71",,"3,149,221,518.46","4,405,687,251.63","5,963,821,809.94","1,264,202,321.38","2,704,781,962.50","4,360,341,661.32","6,359,689,271.15","1,491,850,415.82","3,209,474,308.13","4,964,669,174.40","6,723,891,389.29","1,639,911,713.66"
吸收投资收到的现金,"153,755,000.00","42,615,800.00","17,671,000.00",,"3,260,000.00","4,107,815,400.00","4,110,975,400.00","1,920,000.00","19,295,000.00","67,180,000.00","96,380,454.55","16,660,000.00","16,910,000.00","22,790,000.00","22,790,000.00","7,780,000.00"
