科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,104,703,479.38","1,696,525,472.44","894,807,217.36","1,518,259,393.34","2,215,969,727.35","382,401,576.71","912,866,852.89","1,385,036,407.54","2,107,662,120.23","202,278,637.80","738,881,843.36","1,555,216,825.77","2,506,093,469.15","393,359,147.06","1,041,063,167.68","2,293,974,529.47","3,256,653,767.24","573,001,101.83","1,657,432,222.93","3,543,841,213.96","4,494,639,899.25","628,865,919.85","1,488,339,508.02","3,153,173,799.02","5,211,384,864.89","729,595,623.86","1,752,667,617.12","3,375,037,042.69","4,419,765,071.40","875,567,457.10","1,971,746,058.69","4,274,571,342.18","5,514,054,654.62","1,193,552,483.62","3,146,513,934.72","5,361,432,375.44","8,123,286,119.48","1,564,736,268.75"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-5,279,485.69",,,,"-16,502,825.92",,,"5,593,739.57","3,437,228.49",,,,,,,,,,,,,,,,,,,,"5,830,830.79",
收到的税费返还,"147,038.22","359,189.78","124,741.21","124,741.21","513,101.76",,,"474,517.22","718,039.85","59,230.76","59,230.76","67,169.22","445,581.62",,,,,,,,,,"2,740,083.50","4,793,810.48","5,036,426.54","393,114.18","2,970,116.83","4,643,367.77","2,596,604.05","157,000.97","157,000.97","276,602.68","1,404,005.85","390,521.62","208,765.17","215,354.67","4,048,619.43","260,784.64"
支付其他与投资活动有关的现金,,"19,699.56",99.00,99.00,"1,864.19","3,626.18","9,098.68","9,098.68","523,124,633.86","26,804,934.37","207,977,554.93","218,060,251.36","283,260,265.95","73,500,000.00","123,330,877.83","173,528,979.29","163,719,773.36",,"192,499,796.97","320,253,006.42","694,706,677.59","9,385,912.69","74,477,671.76","353,307,840.66","506,568,964.14","26,597,292.48","289,472,048.02","451,948,965.22","285,103,553.33","26,251,123.93","168,359,801.22","269,263,221.16","90,484,622.33",,"53,616,076.89","78,785,062.22","522,044,756.24","14,148,044.69"
收到其他与经营活动有关的现金,"10,676,486.68","27,996,779.04","41,846,160.69","45,546,877.96","49,131,977.04","28,666,715.37","21,757,593.69","45,981,497.97","72,579,491.29","180,072,865.62","341,813,471.65","144,604,194.13","124,770,789.46","101,804,824.34","256,322,127.31","320,349,483.23","270,822,982.71","137,166,259.60","186,903,106.92","622,513,501.13","336,999,540.27","116,153,082.28","247,027,573.26","325,582,568.01","654,357,135.02","47,564,759.63","110,906,601.95","239,632,351.11","454,044,781.54","220,332,195.09","85,634,793.21","199,575,294.64","688,505,863.20","117,429,361.80","132,041,043.12","242,185,872.13","741,945,235.50","216,034,265.41"
投资活动现金流出小计,"67,002,804.14","51,730,873.67","27,979,262.15","32,889,113.22","140,227,946.77","134,788,291.83","502,912,181.83","609,313,399.09","708,874,742.32","49,381,892.41","287,126,387.62","365,617,480.61","613,574,198.64","113,948,974.16","247,232,669.61","419,641,828.50","347,847,693.43","30,277,093.86","699,446,182.87","1,161,726,885.70","1,243,973,669.64","60,923,110.68","185,796,292.99","463,652,905.43","731,807,954.45","53,825,191.56","349,896,265.78","517,547,384.04","774,795,313.73","63,417,258.91","563,882,529.22","909,694,374.43","999,200,689.14","383,011,418.34","872,500,897.20","1,663,444,614.40","2,051,411,680.18","148,021,748.72"
经营活动现金流入小计,"1,115,527,004.28","1,724,881,441.26","936,778,119.26","1,563,931,012.51","2,265,614,806.15","411,068,292.08","934,624,446.58","1,431,492,422.73","2,180,959,651.37","382,410,734.18","1,080,754,545.77","1,699,888,189.12","2,631,309,840.23","495,163,971.40","1,297,385,294.99","2,614,324,012.70","3,527,476,749.95","710,167,361.43","1,844,335,329.85","4,166,354,715.09","4,831,639,439.52","745,019,002.13","1,738,107,164.78","3,483,550,177.51","5,870,778,426.45","777,553,497.67","1,866,544,335.90","3,635,052,092.14","4,879,673,446.66","1,099,697,173.16","2,064,087,969.74","4,484,939,860.37","6,207,730,656.67","1,312,140,589.42","3,284,353,573.55","5,613,532,316.28","8,871,772,935.08","1,782,117,651.79"
投资活动产生的现金流量净额,"-59,999,452.58","-48,711,622.02","-27,974,762.15","-32,805,277.45","-140,140,125.00","-134,616,873.12","-502,410,211.98","-607,888,240.09","-668,696,884.04","-49,211,654.99","-261,670,666.53","-337,786,838.72","-541,355,779.81","-100,373,775.38","-112,730,382.58","-283,603,086.89","-242,033,715.73","-13,393,819.48","-455,053,923.94","-741,560,383.13","-758,876,293.95","-1,712,922.81","112,982,820.39","-149,832,001.43","-543,393,200.20","61,808,027.77","-112,030,216.53","-242,154,285.57","-397,376,101.43","227,570,558.16","-239,090,919.44","-397,317,621.80","-388,950,626.20","-277,232,102.20","-738,154,032.39","-1,494,422,166.25","-1,595,555,942.13","-68,325,391.47"
购买商品、接受劳务支付的现金,"907,610,236.05","1,454,866,079.10","817,513,546.50","1,396,690,373.77","1,904,825,768.51","352,966,140.96","815,249,842.32","1,212,450,796.45","1,854,910,748.28","219,164,002.15","696,509,920.00","1,443,118,335.84","2,247,263,951.77","417,237,223.79","1,077,447,406.68","2,095,410,647.50","3,610,522,292.95","612,869,982.72","1,610,225,190.38","3,318,600,677.86","3,917,725,347.42","684,127,508.63","1,517,607,127.92","2,812,197,006.22","4,541,450,015.94","892,256,206.15","1,667,137,974.65","2,803,682,440.70","4,133,086,115.03","986,192,818.13","2,023,300,903.15","3,854,462,670.81","4,980,344,198.76","1,219,999,639.28","2,772,362,738.46","4,791,236,862.89","7,116,616,291.91","1,680,220,271.45"
吸收投资收到的现金,,,,,"376,345,750.00",,"2,000,000.00","4,000,000.00","21,200,000.00",,"19,000,000.00","418,999,996.00","413,655,142.11",,,,"59,614,210.00",,,"24,500,000.00","45,500,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00","2,450,000.00","2,450,000.00","24,500,000.00","1,166,666,000.00",,,,"4,595,514.00","572,575,000.00","595,150,000.00","804,990,000.00","403,165,889.42","213,000,000.00"
