科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"376,956,502.10","505,419,453.96","540,484,350.15","1,741,993,120.25","1,451,523,542.25","1,226,277,987.93","1,192,591,484.89","1,187,509,455.40","1,177,248,810.08","592,096,557.07","781,151,606.05","726,087,798.75","584,985,778.42","716,224,134.66","856,496,132.53","1,018,719,583.09","756,612,741.26","1,153,319,116.70","931,660,056.74","662,994,254.12","675,095,310.84","753,260,667.50","648,727,120.63","666,929,166.99","578,212,846.08","582,887,227.14","402,420,664.20"
短期借款,"1,076,842,221.19","1,316,681,418.41","1,602,808,714.81","1,529,783,943.70","1,533,161,349.41","1,381,302,670.77","1,474,319,681.61","1,481,450,392.42","1,497,880,787.65","1,475,263,683.36","1,484,008,172.12","1,353,624,164.79","1,324,486,568.35","1,481,597,035.61","1,437,188,773.71","1,342,462,062.11","1,377,937,701.47","1,268,486,256.45","1,123,612,913.97","1,266,332,592.65","1,350,591,249.57","1,490,286,409.57","1,312,339,673.30","1,340,530,288.42","1,378,081,388.84","1,627,857,052.93","1,755,628,014.87"
交易性金融资产,"-248,079.38","-988,776.60",,,,"39,304.38","78,430.09",,"88,380.46",,"739,956.70","290,520.30","24,636,373.03","86,373,216.35","107,709,956.35","78,772,296.66","65,519,765.61","84,388,554.71","90,037,036.14","86,929,001.18","99,541,702.39","123,331,512.53","156,295,145.44","172,724,865.92","182,801,286.58","174,628,665.05","137,287,970.20"
交易性金融负债,,,"32,017.11","338,594.49","-130,487.89",,"39,204.51","627,961.61","610,278.94","529,164.50","543,059.73",,,"1,436,531.48","804,956.44","628,178.46","-3,232,784.17",,,,"163,945.80","2,382,556.34","481,807.60",,,,
应收票据,"34,887,628.28","46,125,332.17","101,682,578.94","21,075,708.20","56,441,867.44","48,072,830.60","87,872,416.63","91,569,808.37","76,748,981.97","52,945,438.12","24,321,148.90","47,480,209.15","15,729,991.52","27,905,875.16","42,821,041.43","26,745,819.30","31,641,194.10","47,250,490.93","72,364,249.68","31,437,876.28","36,408,696.32","68,352,763.63","56,212,128.57","49,834,473.50","56,584,835.86","50,149,815.54","57,586,755.69"
应付票据,"3,725,362.56",,,,,,,,,,,,,,,,,,,,,,,,,"27,149,131.85","14,561,202.26"
应收账款,"247,786,870.75","308,624,072.72","409,449,100.83","465,094,561.43","454,294,967.46","388,650,512.76","509,847,814.24","487,083,674.11","469,795,963.89","449,427,600.56","457,484,573.74","481,635,623.66","442,441,120.33","459,394,149.95","460,384,315.07","449,054,018.53","425,861,118.15","342,930,715.77","303,785,725.12","342,530,448.21","619,522,912.82","640,129,415.80","608,817,582.16","660,228,175.25","734,726,467.43","699,345,961.97","773,960,818.70"
应付账款,"42,180,415.43","55,387,236.44","92,070,395.11","117,176,557.96","90,186,980.75","113,880,857.19","78,847,561.97","88,596,540.72","102,675,125.13","64,949,328.94","55,795,315.19","113,722,781.32","77,706,721.03","80,105,544.48","64,577,221.53","76,003,339.80","51,050,439.02","71,465,113.62","92,629,427.29","91,695,780.14","113,450,074.44","130,144,672.71","141,212,083.39","104,809,618.50","105,014,582.45","157,746,148.15","118,970,874.76"
预付款项,"37,227,387.25","27,480,330.46","28,453,289.94","40,364,091.14","40,998,094.73","25,233,964.06","58,376,211.00","42,294,762.32","78,492,864.70","60,138,782.57","44,690,271.31","73,316,845.70","46,737,103.63","35,896,963.87","32,313,097.10","51,545,476.53","48,663,994.90","25,324,764.22","47,130,810.72","480,642,297.61","68,652,215.16","34,301,782.60","64,615,369.83","37,179,712.12","48,689,336.82","27,736,906.28","53,598,104.80"
预收款项,"3,480,498.11","4,468,170.81","5,637,950.28","3,806,979.81","6,130,642.21","4,913,727.65","1,944,635.58","2,861,943.65","3,281,044.11","6,112,377.91","2,448,640.96","3,114,094.69","2,265,687.51","1,476,840.32","2,036,881.55","1,320,847.88","1,652,325.24","4,138,124.66","3,995,181.70","1,751,695.10","3,573,257.94","4,226,315.26","5,592,883.35","6,425,741.32","1,661,644.41","1,977,783.50","7,866,043.71"
