科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"341,588,509.50","448,592,083.90","278,980,459.98","405,969,947.26","568,560,803.10","212,951,476.93","399,957,581.66","591,155,999.42","829,962,971.53","323,861,227.22","636,758,179.36","968,141,456.35","1,318,632,644.22","452,611,463.12","828,212,770.26","1,182,170,709.47","1,534,299,572.70","541,027,006.63","1,135,392,388.90","1,627,867,243.64","2,074,042,336.81","700,299,616.61","1,216,926,804.61","1,813,907,645.29","2,470,381,490.64","749,140,365.81","1,394,592,414.17","2,052,105,113.67","2,690,714,738.47","753,204,952.49","1,382,284,679.51","2,068,162,762.22","2,738,684,372.24","835,571,722.04","1,568,698,473.00","2,289,931,850.25","3,086,183,668.10","842,155,890.34","1,626,755,395.34","2,417,659,487.09","3,248,025,039.30","956,749,644.90"
二、营业利润,"46,360,317.43","56,551,773.35","45,530,183.85","69,711,387.43","96,109,520.81","35,508,232.07","63,712,226.57","93,859,327.37","119,010,260.16","50,552,132.41","89,463,097.31","147,366,723.79","181,652,201.82","57,974,148.01","96,307,081.66","122,079,110.50","151,876,020.18","71,287,125.24","126,201,713.42","169,619,537.59","211,911,504.02","89,653,939.08","152,541,280.21","215,675,039.84","271,591,578.56","80,676,855.28","157,359,170.57","220,025,850.10","249,719,475.59","93,630,018.52","167,430,459.37","231,353,979.81","266,685,032.33","110,820,007.37","192,455,388.61","269,671,353.05","332,804,592.80","110,924,350.30","197,416,235.93","267,929,975.90","103,815,545.73","108,116,778.62"
减:营业成本,"242,647,505.48","289,521,218.95","168,716,526.31","247,775,621.91","351,098,718.53","135,217,816.59","256,333,404.82","380,216,992.91","535,798,384.87","211,864,572.81","409,697,627.23","617,220,344.80","849,206,861.35","307,972,439.30","560,014,191.79","796,056,029.54","1,025,509,832.08","375,879,118.35","803,215,070.74","1,154,006,522.52","1,459,906,956.07","500,219,619.80","828,911,840.11","1,202,405,195.88","1,639,275,337.57","488,838,168.98","887,917,698.52","1,292,732,202.78","1,697,459,806.39","465,243,099.35","836,451,227.19","1,257,175,285.37","1,701,220,363.36","506,383,674.62","958,675,498.70","1,401,570,943.24","1,932,500,651.29","507,941,476.37","983,457,873.87","1,476,205,199.22","1,970,391,967.60","586,143,063.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"192,093.27","943,087.43","528,453.11","722,649.88","937,649.91","297,318.71","589,464.03","967,950.40","1,582,628.93","1,615,845.20","3,364,209.03","5,453,234.00","7,906,622.92","2,032,874.26","3,800,615.99","6,161,487.68","8,742,610.52","3,549,198.69","7,969,657.17","12,612,984.11","17,092,091.37","6,542,248.35","11,472,872.86","17,174,627.97","23,757,639.03","7,070,095.11","13,068,606.72","21,804,201.68","30,004,526.69","7,503,299.53","14,844,689.71","22,953,595.23","33,083,424.07","10,666,281.33","21,219,090.14","32,658,892.39","44,964,776.23","12,591,387.74","26,226,043.72","38,808,215.19","52,569,639.77","17,779,596.93"
营业外收入,"513,229.40","1,082,400.00","221,551.66","541,551.66","1,241,551.66","2,502,700.00","2,502,700.00","3,219,225.21","3,394,674.62","1,000,000.00","1,752,550.00","1,752,550.00","2,426,678.71",,"825,811.60","1,625,811.60","2,646,330.57","1,419,640.00","1,570,466.71","1,608,918.36","1,612,861.26","980,000.00","2,234,111.01","3,077,903.89","3,413,574.12","17,711,969.45","17,713,733.13","20,174,247.73","62,067,345.85","6,358,065.86","9,147,240.33","9,231,701.94","15,744,960.93","239,552.58","2,473,541.66","10,522,532.44","3,752,906.61","922,950.20","1,104,465.08","1,829,420.00","2,179,173.36","122,348.29"
销售费用,"35,311,101.13","77,554,666.05","52,110,817.15","72,445,563.55","98,578,122.53","35,031,452.78","71,135,981.74","105,248,891.41","151,214,224.14","53,409,974.29","117,645,923.11","172,911,135.87","242,295,754.70","71,340,493.95","141,183,336.19","215,733,259.86","293,944,842.07","86,263,427.34","180,732,912.24","278,336,284.01","371,820,515.69","111,950,105.39","219,855,906.12","354,714,382.41","488,040,051.80","145,788,251.42","286,982,441.44","427,536,464.32","590,203,567.55","160,298,499.75","305,824,826.50","464,540,337.50","620,912,091.53","170,376,140.12","330,777,406.48","498,584,483.34","673,129,903.41","183,203,599.30","370,578,643.14","550,904,058.35","749,044,944.62","198,236,634.64"
减:营业外支出,"149,170.54","229,592.25",,"1,398.50","5,400.00","24,924.00","24,924.00","325,494.10","326,956.35","20,000.00","20,000.00","20,300.00","127,588.16","7,046.60","115,830.71","115,830.71","117,516.70",532.42,"1,032.42","1,727.89","156,598.85",573.67,"1,262.88","20,223.33","51,368.46","68,524.98","218,968.19","341,179.84","420,222.54","19,139.80","93,067.50","121,034.54","322,057.71","356,872.54","362,031.91","888,348.30","1,692,670.72","19,837.80","62,434.42","121,238.50","713,799.56","112,696.77"
管理费用,"15,042,205.77","17,927,644.36","10,155,786.68","13,643,421.38","17,958,229.88","7,078,390.58","13,349,639.81","19,045,637.54","32,849,202.87","8,021,377.68","18,630,362.75","26,723,501.38","38,387,187.66","9,172,919.50","19,573,689.21","29,352,463.32","37,106,329.17","9,234,725.67","18,834,397.38","27,684,079.84","35,038,902.00","9,542,067.92","18,678,494.50","32,605,521.53","49,415,283.76","17,494,109.04","32,452,791.82","49,850,601.83","67,784,918.95","18,418,248.07","38,939,864.22","62,736,711.21","77,407,728.60","28,673,746.61","53,881,388.96","79,160,047.97","107,413,317.18","30,696,642.71","55,514,116.32","71,176,068.74","101,525,221.45","24,392,317.37"
其中:非流动资产处置净损失,"14,693.13",,,,,,,,,,,,"107,288.16",,,,"112,848.73",,,,"96,685.74",,572.06,572.06,"8,823.09","9,244.00","11,918.21","12,013.47","15,325.21","12,013.47","68,895.78","80,804.90","254,673.13","1,454.00","155,365.65","167,942.73",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
