科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"23,860,825.83","38,587,908.52","43,647,534.25","7,911,826.96","38,155,239.85","246,246,919.30","228,480,779.24","197,574,641.92","252,785,598.94","171,774,596.62","161,436,664.51","140,759,919.35","212,457,911.26","186,472,248.26","202,429,240.28","162,543,171.88","268,055,185.28","114,663,318.84","73,934,296.02","788,158,970.76","415,870,441.60"
短期借款,,"18,000,000.00","9,000,000.00","13,000,000.00","17,100,000.00",,,,,,,,"20,000,000.00","47,800,000.00","87,800,000.00","87,800,000.00","146,800,000.00","139,000,000.00","147,319,197.44","191,065,450.00","196,121,850.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,"3,760,000.00","8,400,000.00","150,000.00","22,028,617.15","400,000.00",,"3,400,000.00","2,921,819.39","721,819.39",,"1,100,000.00","5,926,760.00","7,430,000.00","6,989,461.74","7,629,943.59","13,571,990.58","21,062,014.97","26,638,629.47","11,163,703.43","31,754,364.78"
应付票据,,,,,,,"2,070,000.00",,,,,,,,,,,,,,
应收账款,"45,568,348.32","54,521,661.05","79,362,426.14","105,191,895.36","118,430,280.90","111,244,675.36","127,907,224.60","128,952,139.40","156,641,020.94","151,921,085.83","187,726,967.71","200,549,763.66","296,935,465.60","288,904,426.42","316,862,169.96","355,122,845.04","464,311,530.80","477,144,574.71","544,410,778.91","599,004,834.93","776,966,404.83"
应付账款,"11,152,970.00","4,961,515.79","2,005,274.60","3,843,262.44","4,466,372.00","5,548,114.10","2,457,885.60","2,831,965.40","2,059,187.30","1,136,359.10","10,118,986.79","11,220,352.59","14,276,712.19","19,995,639.29","22,467,023.04","28,250,337.75","22,368,301.13","19,336,616.35","42,284,417.22","53,310,147.76","74,342,672.20"
预付款项,"2,034,000.00","4,334,000.00","2,709,000.00","3,009,000.00","3,209,000.00","2,934,000.00","1,920,397.12","565,686.00","629,019.00","2,424,781.00","186,181.00",,"220,000.00","3,346,489.00","2,867,263.00","4,184,335.00","343,788.50","3,286,842.00","7,789,459.06","4,208,320.74","3,993,310.27"
预收款项,"14,000.00",,,,,,,,,"156,100.00","114,000.00","234,100.00","1,427,572.21","1,638,848.21","2,328,270.43","1,618,870.43","4,222,400.00","2,170,791.37","3,242,394.21","4,485,915.64","8,467,082.07"
其他应收款,"1,351,724.49","1,804,976.03","2,878,659.89","6,355,140.18","5,494,476.33","6,107,108.95","11,096,623.23","12,879,310.64","10,926,790.41","14,991,160.54","16,933,730.21","23,908,877.46","17,765,696.21","26,134,242.67","21,388,109.12","25,552,532.95","49,758,712.84","106,417,826.57","79,063,127.39","25,463,061.34","18,270,342.16"
应付职工薪酬,"2,077,514.38","2,755,732.18","3,414,704.47","4,437,905.17","4,923,431.16","4,901,866.72","5,600,657.73","5,909,330.40","6,459,121.00","7,439,647.11","8,646,640.45","9,141,237.99","9,617,186.01","10,856,213.48","11,032,911.74","10,817,500.05","15,980,969.31","12,229,494.49","12,620,348.27","14,581,254.20","16,934,848.74"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,808,112.39","7,538,569.60","11,007,144.42","6,222,199.94","12,744,217.17","6,432,616.35","7,346,232.77","5,870,950.03","14,212,372.54","8,706,126.41","11,708,081.86","14,143,310.13","30,606,069.61","19,591,369.50","22,010,144.53","23,647,939.18","37,867,021.28","28,166,437.84","34,826,726.01","33,814,759.59","65,083,061.07"
应收利息,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,
存货,"138,680.12","12,189,979.89","22,722,431.12","49,488,806.46","40,397,534.14","75,528,616.80","81,299,397.12","98,641,447.94","69,183,955.26","116,166,631.70","117,798,590.12","131,811,240.99","65,678,943.43","115,142,676.42","147,010,424.51","160,478,961.14","57,759,654.74","89,298,370.82","114,103,008.10","152,305,169.35","89,233,303.22"
其他应付款,"6,273,064.65","266,572.78","932,936.97","844,476.37","1,337,767.27","5,692,884.24","1,736,084.10","435,169.55","1,110,195.59","1,695,161.32","2,926,323.88","4,236,330.34","6,162,493.00","3,763,997.37","5,189,042.12","1,852,584.58","29,092,870.86","38,904,693.00","122,453,277.39","104,151,926.86","102,109,010.65"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,
其他流动资产,"380,740.23","306,866.57","563,267.82","2,332,955.69","1,657,364.05","1,458,243.23","1,413,090.63","1,495,878.84","957,461.65","1,838,440.54","3,236,791.61","3,603,755.99","4,392,142.95","5,227,483.31","4,793,510.32","8,050,663.19","1,866,937.18","1,519,324.03","1,725,810.16","1,881,792.89","432,516,990.70"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"73,334,318.99","115,505,392.06","160,283,319.22","174,439,624.65","229,372,512.42","443,919,563.64","452,117,511.94","443,509,104.74","494,045,665.59","459,838,515.62","487,318,925.16","501,733,557.45","603,376,919.45","632,657,566.08","702,340,178.93","723,562,452.79","855,667,799.92","813,392,271.94","847,665,109.11","1,582,185,853.44","1,768,605,157.56"
流动负债合计,"27,325,661.42","35,522,390.35","28,360,060.46","30,347,843.92","42,571,787.60","24,575,481.41","21,210,860.20","17,047,415.38","25,840,876.43","19,133,393.94","33,514,032.98","38,975,331.05","82,090,033.02","103,646,067.85","150,827,391.86","153,987,231.99","256,331,562.58","239,808,033.05","362,746,360.54","401,409,454.05","463,058,524.73"
可供出售金融资产,,,,,,,,,,,"18,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00",,,,"54,400,000.00","54,400,000.00"
长期借款,"17,000,000.00","15,000,000.00","13,000,000.00","12,000,000.00","11,000,000.00","10,500,000.00","10,000,000.00","9,500,000.00","9,000,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,"72,467,660.82",,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,"48,601,366.01",,"71,006,973.76","82,068,446.59","83,367,461.24"
专项应付款,,,,,,,,,,,,,,"1,000,000.00","1,000,000.00","994,574.20","1,305,774.20","1,105,774.20",,,"519,926.57"
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"54,448,023.73","54,228,007.70","53,978,298.37","54,288,793.81","57,142,318.23","58,267,026.70","58,686,392.07","61,953,390.69","61,158,072.72","64,452,082.52","75,906,073.10","78,443,684.73","78,035,520.22","76,005,100.37","77,534,877.28","77,144,607.96","75,726,148.78","74,718,638.49","72,741,143.43","72,158,523.93","69,758,742.27"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,
在建工程,,,,,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"17,000,000.00","15,000,000.00","13,000,000.00","12,000,000.00","11,000,000.00","10,500,000.00","10,000,000.00","9,500,000.00","9,000,000.00",,,,,"1,000,000.00","1,000,000.00","994,574.20","1,305,774.20","1,105,774.20","1,000,579.57","573,394.57","519,926.57"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"44,325,661.42","50,522,390.35","41,360,060.46","42,347,843.92","53,571,787.60","35,075,481.41","31,210,860.20","26,547,415.38","34,840,876.43","19,133,393.94","33,514,032.98","38,975,331.05","82,090,033.02","104,646,067.85","151,827,391.86","154,981,806.19","257,637,336.78","240,913,807.25","363,746,940.11","401,982,848.62","463,578,451.30"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"42,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00","48,320,000.00","48,320,000.00","86,976,000.00","86,976,000.00","86,976,000.00","175,759,000.00","175,759,000.00","175,759,000.00","175,759,000.00","175,939,000.00","175,905,000.00","175,905,000.00","175,905,000.00","175,905,000.00","197,328,423.00","197,328,423.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"17,490,453.44","17,490,453.44","17,490,453.44","17,490,453.44","17,490,453.44","242,970,953.44","242,970,953.44","226,058,953.44","226,058,953.44","226,058,953.44","168,193,723.44","168,193,723.44","170,546,923.44","170,546,923.44","173,669,923.44","173,115,157.34","177,697,883.44","177,697,883.44","69,383,507.16","783,768,007.24","789,102,887.17"
无形资产,"5,569,619.72","4,741,108.38","3,920,588.42","3,514,442.64","3,104,102.68","2,902,020.20","2,693,107.72","2,486,995.24","2,283,842.76","2,079,454.78","1,874,389.05","1,668,125.82","1,461,862.59","1,255,599.36","1,062,049.30","855,465.58","1,174,285.25","1,007,849.51","1,486,140.23","1,526,170.58","13,375,626.24"
盈余公积,"2,721,800.99","6,412,337.10","11,565,685.11","11,565,685.11","17,211,960.47","17,211,960.47","17,211,960.47","17,211,960.47","23,308,702.26","23,308,702.26","23,308,702.26","23,308,702.26","30,809,550.96","30,809,550.96","30,809,550.96","30,809,550.96","42,563,519.20","42,563,519.20","42,563,519.20","42,563,519.20","61,264,797.17"
开发支出,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,"24,302,154.00","24,302,154.00","24,302,154.00","13,536,783.00","13,706,455.50"
商誉,"247,292.84","247,292.84","247,292.84","247,292.84","247,292.84","247,292.84","247,292.84","247,292.84","247,292.84","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38","18,002,603.38"
未分配利润,"27,416,504.68","59,006,203.96","106,858,969.00","120,296,725.26","160,708,260.85","162,873,744.25","175,405,248.39","152,777,172.15","188,024,338.51","190,078,243.79","198,933,155.08","207,109,258.06","252,492,472.57","255,466,671.50","273,458,582.94","288,071,198.36","357,381,156.68","354,111,053.48","391,784,786.57","406,377,307.96","517,724,041.61"
长期待摊费用,,,,,,,,,,,,,,,,,"6,196,864.06","5,904,334.36","5,298,909.43","5,366,115.21","3,281,496.22"
少数股东权益,,,,,,,,,,"352,471.35","3,296,989.20","6,576,221.42","11,015,804.25","12,529,534.04","15,265,787.84","18,712,945.01","21,813,788.82","21,931,552.72","1,447,529.07","1,552,798.81","1,516,732.16"
递延所得税资产,"355,165.25","709,583.87","845,669.16","1,210,553.79","1,116,236.19","1,116,236.19","1,374,717.93","1,374,717.93","1,473,996.73","1,535,108.48","1,903,612.27","2,075,265.85","3,836,878.60","3,836,878.60","4,030,528.15","4,030,528.15","3,327,463.52","3,327,303.59","4,328,248.77","4,328,408.70","6,017,732.23"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"60,620,101.54","59,925,992.79","58,991,848.79","59,261,083.08","61,609,949.94","62,532,575.93","63,001,510.56","66,062,396.70","65,163,205.05","86,069,249.16","115,686,677.80","118,189,679.78","119,336,864.79","117,100,181.71","118,630,058.11","118,033,205.07","153,028,731.00","175,428,390.15","172,864,019.00","237,850,268.39","248,203,661.58"
所有者权益(或股东权益)合计,"89,628,759.11","124,908,994.50","177,915,107.55","191,352,863.81","237,410,674.76","471,376,658.16","483,908,162.30","483,024,086.06","524,367,994.21","526,774,370.84","569,491,569.98","580,947,906.18","640,623,751.22","645,111,679.94","669,142,845.18","686,613,851.67","751,059,194.14","747,906,854.84","656,782,188.00","1,418,053,273.21","1,553,230,367.84"
资产总计,"133,954,420.53","175,431,384.85","219,275,168.01","233,700,707.73","290,982,462.36","506,452,139.57","515,119,022.50","509,571,501.44","559,208,870.64","545,907,764.78","603,005,602.96","619,923,237.23","722,713,784.24","749,757,747.79","820,970,237.04","841,595,657.86","1,008,696,530.92","988,820,662.09","1,020,529,128.11","1,820,036,121.83","2,016,808,819.14"
负债和所有者(或股东权益)合计,"133,954,420.53","175,431,384.85","219,275,168.01","233,700,707.73","290,982,462.36","506,452,139.57","515,119,022.50","509,571,501.44","559,208,870.64","545,907,764.78","603,005,602.96","619,923,237.23","722,713,784.24","749,757,747.79","820,970,237.04","841,595,657.86","1,008,696,530.92","988,820,662.09","1,020,529,128.11","1,820,036,121.83","2,016,808,819.14"
