科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"250,008,584.32","295,036,982.00","376,811,277.18","164,855,630.96","281,835,306.46","409,249,072.46","109,459,692.00","256,777,319.85","436,529,702.71"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"9,456,614.18","10,103,967.03","12,107,997.13","7,207,006.63","11,962,028.75","14,133,931.30",,"7,200,527.99","13,264,365.64"
支付其他与投资活动有关的现金,,,"9,140,672.42",,,,,,
收到其他与经营活动有关的现金,"5,747,708.72","8,626,412.78","12,350,756.15","2,743,124.41","4,595,333.46","6,632,779.61","6,176,228.60","11,257,331.88","13,339,429.03"
投资活动现金流出小计,"3,177,924.32","6,127,007.68","11,860,190.38","372,020.00","1,133,062.00","1,932,188.47","396,782.00","421,099,955.05","721,294,091.16"
经营活动现金流入小计,"265,212,907.22","313,767,361.81","401,270,030.46","174,805,762.00","298,392,668.67","430,015,783.37","115,635,920.60","275,235,179.72","463,133,497.38"
投资活动产生的现金流量净额,"-3,117,172.34","-6,112,097.35","-11,860,190.38","-372,020.00","-1,133,062.00","-1,932,188.47","-396,782.00","-300,228,025.84","-297,459,282.95"
购买商品、接受劳务支付的现金,"113,520,178.32","155,390,476.81","177,744,330.47","88,063,072.40","112,919,726.08","162,024,564.95","53,060,681.79","138,836,643.12","205,153,255.73"
吸收投资收到的现金,,,,,,"215,327,990.00",,"16,708,240.00","16,708,240.00"
支付给职工以及为职工支付的现金,"38,537,174.45","41,990,679.07","51,652,276.05","26,806,010.76","42,268,448.93","57,758,779.71","18,654,974.75","35,716,067.67","52,967,405.59"
取得借款收到的现金,,,,,,,,,
支付的各项税费,"27,525,927.55","33,222,635.76","32,317,244.82","19,752,808.01","31,388,524.08","42,516,091.10","8,027,803.63","18,809,844.31","33,301,822.07"
收到其他与筹资活动有关的现金,"321,982.50",,,"7,953,662.98","1,029,349.38","39,476.80","148,422.69","337,319.97","534,314.93"
支付其他与经营活动有关的现金,"38,006,512.22","42,952,585.26","35,943,308.93","20,953,101.70","31,087,180.10","44,760,694.10","15,959,212.12","28,827,354.20","46,537,910.78"
筹资活动现金流入小计,"321,982.50",,,"7,953,662.98","1,029,349.38","215,367,466.80","148,422.69","17,045,559.97","17,242,554.93"
经营活动现金流出小计,"217,589,792.54","273,556,376.90","297,657,160.27","155,574,992.87","217,663,879.19","307,060,129.86","95,702,672.29","222,189,909.30","337,960,394.17"
偿还债务支付的现金,"7,275,000.00",,,,,,,,
经营活动产生的现金流量净额,"47,623,114.68","40,210,984.91","103,612,870.19","19,230,769.13","80,728,789.48","122,955,653.51","19,933,248.31","53,045,270.42","125,173,103.21"
分配股利、利润或偿还利息支付的现金,"195,747.65",,,,,,,"33,335,000.00","33,335,000.00"
收回投资收到的现金,,,,,,,,"120,000,000.00","420,000,000.00"
支付其他与筹资活动有关的现金,,"2,300,455.83","8,393,302.28",,,"15,558,391.36","2,682,946.90","902,794.24","4,674,473.10"
取得投资收益收到的现金,,,,,,,,"871,929.21","3,834,808.21"
筹资活动现金流出小计,"7,470,747.65","2,300,455.83","8,393,302.28",,,"15,558,391.36","2,682,946.90","34,237,794.24","38,009,473.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"60,751.98","14,910.33",,,,,,,
筹资活动产生的现金流量净额,"-7,148,765.15","-2,300,455.83","-8,393,302.28","7,953,662.98","1,029,349.38","199,809,075.44","-2,534,524.21","-17,192,234.27","-20,766,918.17"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"60,751.98","14,910.33",,,,,,"120,871,929.21","423,834,808.21"
五、现金及现金等价物净增加额,"37,357,177.19","31,798,431.73","83,359,377.53","26,812,412.11","80,625,076.86","320,832,540.48","17,001,942.10","-264,374,989.69","-193,053,097.91"
购建固定资产、无形资产和其他长期资产支付的现金,"3,177,924.32","6,127,007.68","2,719,517.96","372,020.00","1,133,062.00","1,932,188.47","396,782.00","1,099,955.05","1,294,091.16"
期初现金及现金等价物余额,"47,616,819.95","84,973,997.14","116,772,428.87","200,131,806.40","200,131,806.40","200,131,806.40","520,964,346.88","520,964,346.88","520,964,346.88"
投资支付的现金,,,,,,,,"420,000,000.00","720,000,000.00"
期末现金及现金等价物余额,"84,973,997.14","116,772,428.87","200,131,806.40","226,944,218.51","280,756,883.26","520,964,346.88","537,966,288.98","256,589,357.19","327,911,248.97"
