科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,961,868,549.81","3,350,618,443.28","2,414,382,425.91","1,210,369,717.10","1,986,878,264.06","3,103,164,915.79","904,168,618.91","2,082,301,935.53","2,653,934,509.83","4,033,789,137.63","857,496,692.36","1,532,611,990.05","2,402,117,661.62","3,193,067,462.67","816,739,759.23","1,675,411,615.91","2,630,151,713.96","3,651,378,802.79","972,327,448.89","1,947,350,218.05","2,709,053,458.27","3,240,841,473.65","506,345,380.57","909,756,018.01","1,676,068,833.59","2,086,050,062.62","568,706,559.57","1,182,810,839.52","1,679,806,404.84","1,767,841,111.81","421,618,144.43","1,020,272,624.51","1,829,557,631.21","3,007,555,861.29","902,777,247.11","1,846,737,961.80","2,673,324,523.15","4,867,508,940.81","1,159,096,990.04"
取得子公司及其他营业单位支付的现金净额,"69,928,535.00","27,883,337.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,897,821.59","100,291,290.51","20,298,712.19","17,788,488.41","22,331,268.77","22,331,268.77","7,337,441.87","18,158,008.51","32,337,237.84","32,317,584.17","11,705,272.35","28,512,187.50","65,848,423.20","75,290,778.33","57,181,822.38","68,088,627.14","101,109,941.91","131,842,406.73","25,050,469.43","37,271,063.95","65,606,148.83","96,389,123.73","28,677,852.91","42,558,859.40","91,136,731.22","116,355,849.56","11,971,325.91","28,105,269.42","55,249,821.75","66,431,463.89","16,807,320.86","40,362,725.63","58,318,397.74","90,568,154.36","24,292,043.45","65,849,591.62","97,712,861.02","136,056,525.87","47,150,293.05"
支付其他与投资活动有关的现金,"56,621,465.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,950,830.32","16,612,065.77","40,535,230.58","16,218,594.91","181,495,171.47","17,302,359.72","6,219,122.84","12,130,020.58","29,161,249.42","30,872,061.64","16,080,846.68","17,999,418.49","26,168,850.87","40,990,683.13","1,672,231.45","10,072,902.83","21,520,260.40","43,318,935.23","4,763,619.75","9,316,014.22","26,972,298.26","31,525,561.75","12,018,617.18","13,291,023.10","18,316,518.99","23,987,929.22","1,302,756.08","2,971,237.88","9,104,933.55","18,749,656.52","6,179,238.06","10,935,190.29","16,231,299.96","24,481,536.34","7,885,225.62","19,361,590.36","55,263,978.87","44,873,843.46","10,843,256.14"
投资活动现金流出小计,"429,934,387.14","695,318,085.91","131,147,620.43","78,752,170.36","141,456,920.36","207,899,310.70","21,508,574.80","31,287,538.90","145,232,359.59","167,047,669.85","44,707,940.12","135,361,398.19","243,622,444.24","437,264,189.05","135,645,550.05","156,944,447.33","169,056,812.48","326,762,459.35","53,066,000.29","126,523,535.95","356,536,652.34","548,748,108.90","238,827,076.60","336,142,780.61","472,118,853.73","1,070,331,708.57","117,792,164.38","153,780,229.37","330,229,073.40","358,449,288.07","43,139,972.37","120,254,318.76","170,026,885.41","432,937,609.44","94,123,792.46","130,151,089.12","132,650,528.66","502,982,768.72","291,588,691.93"
经营活动现金流入小计,"1,975,717,201.72","3,467,521,799.56","2,475,216,368.68","1,244,376,800.42","2,190,704,704.30","3,142,798,544.28","917,725,183.62","2,112,589,964.62","2,715,432,997.09","4,096,978,783.44","885,282,811.39","1,579,123,596.04","2,494,134,935.69","3,309,348,924.13","875,593,813.06","1,753,573,145.88","2,752,781,916.27","3,826,540,144.75","1,002,141,538.07","1,993,937,296.22","2,801,631,905.36","3,368,756,159.13","547,041,850.66","965,605,900.51","1,785,522,083.80","2,226,393,841.40","581,980,641.56","1,213,887,346.82","1,744,161,160.14","1,853,022,232.22","444,604,703.35","1,071,570,540.43","1,904,107,328.91","3,122,605,551.99","934,954,516.18","1,931,949,143.78","2,826,301,363.04","5,048,439,310.14","1,217,090,539.23"
投资活动产生的现金流量净额,"-236,494,332.02","-667,596,194.89","263,202,940.23","-62,924,163.55","-141,381,917.36","-170,166,028.21","218,392,720.29","262,177,017.91","161,110,449.68","161,843,699.69","-43,527,436.12","-134,180,894.19","-242,333,978.24","-431,404,935.69","-135,645,550.05","-156,907,447.33","-144,293,267.21","-236,653,132.00","-53,066,000.29","-126,447,535.95","-355,979,206.44","-534,125,555.90","-226,383,627.95","-311,145,426.54","-432,112,660.20","-593,526,238.84","-21,707,828.38","81,424,588.02","328,158,551.28","514,635,405.64","65,206,775.84","62,442,465.39","195,241,484.85","23,905,188.88","-20,213,497.58","68,128,736.28","88,669,462.33","-294,892,128.55","-177,423,541.79"
购买商品、接受劳务支付的现金,"1,487,732,448.78","2,427,684,943.93","2,406,829,028.65","1,111,099,521.75","1,781,851,346.85","2,566,371,049.59","1,189,866,302.63","2,344,021,196.20","2,863,735,738.57","4,076,009,645.15","840,968,942.45","1,319,340,378.13","2,019,572,885.89","2,718,677,282.29","631,352,871.20","1,396,652,056.58","2,267,939,902.62","3,137,718,429.92","764,635,432.87","1,441,238,280.77","1,909,548,504.07","1,925,511,218.73","494,417,058.99","697,373,323.49","1,326,369,139.10","1,384,161,298.25","441,113,060.99","934,313,975.28","1,478,866,955.00","1,297,858,545.59","363,556,698.67","898,138,495.96","1,446,896,448.06","2,105,760,542.85","787,382,180.84","1,383,865,722.31","1,968,449,390.59","3,448,292,311.79","954,723,948.61"
吸收投资收到的现金,,,,,"1,104,410,600.00","1,104,410,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,261,270.15","39,280,842.94","39,290,842.94","39,290,842.94","23,301,727.53",
支付给职工以及为职工支付的现金,"54,685,018.96","84,542,518.19","87,347,208.15","43,325,597.42","63,569,011.09","89,529,298.26","26,882,874.09","51,020,220.08","76,948,651.77","104,080,203.69","32,092,378.16","58,874,118.84","90,485,890.04","127,925,908.95","36,609,081.77","72,758,185.45","116,331,287.30","169,660,883.03","46,307,426.36","85,255,532.72","124,618,897.45","168,788,795.70","51,741,196.10","81,968,251.67","127,031,538.71","178,498,088.09","47,679,011.62","76,373,349.24","105,371,309.96","164,566,363.30","48,091,339.46","85,587,381.34","125,034,071.31","197,539,696.56","108,223,249.00","206,862,089.14","278,768,532.87","444,893,088.13","143,850,319.21"
取得借款收到的现金,"281,833,600.00","657,694,270.74","744,500,000.00","315,000,000.00","455,000,000.00","525,000,000.00","10,000,000.00","130,000,000.00","180,000,000.00","388,000,000.00","100,000,000.00","220,000,000.00","260,000,000.00","278,876,588.00","51,731,840.76","51,731,840.76","51,731,840.76","91,815,870.50",,,"20,000,000.00","20,000,000.00",,"2,603,622.54","2,603,622.54","2,603,622.54",,,,,,,,,,"104,000,000.00","80,000,000.00","188,000,000.00","81,000,000.00"
支付的各项税费,"126,958,765.63","81,176,873.56","110,992,762.84","32,670,649.46","70,377,522.26","94,790,247.53","25,753,822.81","57,312,672.56","86,301,301.91","136,415,379.43","35,314,687.29","52,432,617.86","76,649,393.48","121,455,631.55","24,059,475.69","43,763,335.62","62,898,367.05","115,428,925.78","31,900,383.68","71,567,176.31","128,228,642.39","176,631,081.07","30,835,522.37","80,229,411.08","120,232,547.46","154,806,787.53","39,833,936.76","59,874,646.49","75,598,326.70","102,373,805.74","13,426,787.16","31,089,785.70","62,667,368.90","70,635,760.00","31,991,492.56","81,454,092.91","113,767,043.24","196,408,989.95","94,602,092.91"
收到其他与筹资活动有关的现金,,"18,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,000,000.00",,,,"35,000,000.00",
支付其他与经营活动有关的现金,"51,625,966.77","87,719,293.44","90,517,664.50","36,657,866.61","117,436,622.03","107,895,980.97","6,778,709.48","62,173,982.54","104,739,042.08","139,971,023.49","45,935,833.04","81,594,974.51","139,582,183.19","178,854,691.39","71,275,076.54","73,419,398.67","149,331,686.53","184,306,642.81","32,661,831.60","51,130,499.94","110,123,993.14","179,478,248.35","23,936,902.85","55,536,921.40","102,319,824.71","132,020,838.17","15,525,707.13","71,110,863.48","90,663,926.46","137,544,100.26","38,061,102.90","65,534,871.93","208,671,658.97","174,550,360.05","39,784,759.95","108,677,720.04","181,388,983.43","272,511,946.96","165,376,623.61"
筹资活动现金流入小计,"281,833,600.00","675,694,270.74","744,500,000.00","315,000,000.00","1,559,410,600.00","1,629,410,600.00","10,000,000.00","130,000,000.00","180,000,000.00","388,000,000.00","100,000,000.00","220,000,000.00","260,000,000.00","278,876,588.00","51,731,840.76","51,731,840.76","51,731,840.76","91,815,870.50",,,"20,000,000.00","20,000,000.00",,"2,603,622.54","2,603,622.54","2,603,622.54",,,,,,,,"78,261,270.15","39,280,842.94","143,290,842.94","119,290,842.94","246,301,727.53","81,000,000.00"
