科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"106,459,546.57","265,340,240.85","205,017,283.00",,"218,801,119.49","85,608,330.23","584,069,129.17","590,039,548.90","374,153,118.23","432,105,681.95","315,853,417.17","309,286,090.62","371,484,780.26","378,547,722.80","427,229,295.72","269,369,984.71","84,196,916.14"
短期借款,"30,000,000.00","10,000,000.00","10,000,000.00",,"40,000,000.00","40,000,000.00","110,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,"10,448,436.00","56,863,769.00","102,449,268.00","102,449,268.00","92,500,832.00","54,653,696.00"
交易性金融资产,,,,,,,,,"150,495,416.67","150,387,500.00",,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"500,000.00",,,,,"500,000.00","500,000.00",,,"1,100,000.00","1,000,000.00"
应付票据,,,,,,,,,,,,"13,724,523.45","323,777.58","323,777.58","723,043.43","472,560.53",
应收账款,"144,203,858.94","224,303,711.05","348,642,437.59",,"249,179,268.62","239,893,457.96","384,679,303.96","310,044,496.94","320,206,121.60","274,457,367.62","282,067,739.66","305,295,944.95","244,522,476.96","280,315,169.06","429,493,697.79","367,988,113.64","283,455,938.63"
应付账款,"49,219,578.37","152,567,370.94","123,196,368.26",,"106,947,979.74","100,526,457.03","184,759,512.13","122,695,725.66","145,175,616.42","215,626,209.58","277,144,239.89","254,199,639.83","244,930,159.63","265,612,416.06","316,654,146.09","232,956,431.70","211,675,412.62"
预付款项,"22,749,269.70","14,224,891.52","13,750,089.99",,"14,103,191.23","52,694,520.44","5,299,866.03","14,818,032.45","10,482,450.49","31,784,233.04","13,930,679.99","24,677,324.83","11,124,441.33","39,556,783.74","13,262,311.00","26,456,787.52","19,905,100.22"
预收款项,"33,696,772.27","49,825,273.42","189,829,598.48",,"149,344,649.07","161,213,570.79","171,826,451.12","204,441,993.70","224,585,342.66","286,048,711.57","271,820,686.53","260,646,106.98","231,676,926.13","252,416,900.67","302,241,964.05","324,714,241.84","235,485,216.94"
其他应收款,"4,636,164.35","4,646,689.23","46,956,202.51",,"71,538,974.51","118,482,351.80","69,126,690.41","48,784,824.48","62,602,661.50","58,059,987.47","61,303,977.76","167,622,441.88","64,141,597.19","44,483,640.34","84,467,522.95","158,084,479.34","196,199,118.53"
应付职工薪酬,"209,434.33","238,016.64","207,800.62",,"2,384,402.41","2,208,784.36","585,012.46","2,036,294.85","2,126,242.68","2,340,843.96","3,379,745.63","2,242,655.46","2,553,879.77","3,595,541.48","4,935,275.26","2,499,583.85","3,884,776.21"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"18,278,499.38","37,263,796.89","33,672,494.59",,"22,945,579.82","23,371,115.62","35,592,453.19","30,302,769.40","14,574,628.11","15,648,484.36","12,707,196.72","15,533,688.59","4,407,287.20","1,965,040.45","10,764,330.62","6,744,658.11","2,462,132.07"
应收利息,,,,,,,,,,,,,,,,,
应付利息,"188,390.27","222,243.75","189,775.00",,"188,443.13","182,475.00","266,641.67","195,840.00","195,840.00","195,840.00",,,"69,410.86","87,575.88","109,502.09","96,876.89","42,191.68"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,
存货,"183,855,632.08","188,240,661.97","230,748,813.85",,"262,685,703.42","315,570,737.39","348,677,977.94","395,776,652.17","488,808,553.51","613,812,598.46","744,669,122.19","707,213,660.56","809,358,672.04","860,222,994.59","733,795,784.36","790,436,088.37","781,713,981.49"
其他应付款,"2,531,183.96","785,111.88","898,032.33",,"358,245.92","501,392.79","6,161,955.93","5,265,855.37","3,909,619.28","1,696,451.49","5,885,815.72","6,873,502.29","5,838,442.87","8,785,487.81","10,771,487.35","10,183,652.34","99,041,834.59"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,"13,500,715.53",,"14,870,584.65","15,038,440.23","10,309,121.67","10,482,676.54",,,,,,,,,
一年内到期的非流动负债,,"70,000,000.00","45,000,000.00",,"15,000,000.00",,"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,,,,,,
其他流动资产,"1,713,818.00","2,701,866.34","3,492,281.97",,"4,655,985.20","4,561,639.91","27,656.65","16,271.41","7,900.00","7,900.00","101,436,087.06","1,160,473.76","133,183.61","1,912,376.42","5,429,508.32","5,178,513.87","6,988,719.10"
其他流动负债,,,,,,,,,,,"23,256,969.58","19,627,994.96","22,982,230.60","34,203,119.49","37,203,425.16","37,563,900.26","36,909,945.57"
流动资产合计,"463,618,289.64","699,458,060.96","862,107,824.44","847,740,400.00","835,834,827.12","831,849,477.96","1,402,689,745.83","1,369,962,502.89","1,406,756,222.00","1,560,615,268.54","1,519,261,023.83","1,515,755,936.60","1,501,265,151.39","1,605,038,686.95","1,693,678,120.14","1,618,613,967.45","1,373,459,774.11"
流动负债合计,"134,123,858.58","320,901,813.52","402,994,069.28","383,025,400.00","337,169,300.09","328,003,795.59","569,192,026.50","504,938,478.98","530,567,289.15","661,556,540.96","594,194,654.07","583,296,547.56","569,645,883.64","669,439,127.42","785,852,442.05","707,732,737.52","644,155,205.68"
可供出售金融资产,,,,,,,"400,000.00","400,000.00","400,000.00","1,400,000.00","1,400,000.00","1,400,000.00","1,400,000.00","1,400,000.00","2,000,000.00","2,000,000.00","2,000,000.00"
长期借款,"60,000,000.00","35,000,000.00","60,000,000.00",,"60,000,000.00","60,000,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,"34,417,033.45",,"23,316,241.96","23,708,772.73","24,107,911.78","6,069,323.46",,,,,,,"79,402,155.02","79,402,155.02","79,402,155.02"
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"8,000,000.00",,,"181,854,639.89"
