科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"18,692,047,740.63","8,514,451,693.46","12,186,224,157.27","11,240,041,072.36","26,526,190,729.59","20,687,727,904.86","10,949,246,797.81","6,851,604,374.54","7,582,069,261.28","6,383,508,193.50","5,649,254,577.29","5,558,276,152.91","8,280,382,554.78","9,546,304,533.56","9,254,560,744.30","9,200,675,786.05","13,625,537,722.08","8,377,200,645.72","11,761,801,075.02","14,379,464,105.74","25,073,095,484.60","18,660,531,086.56","20,060,519,958.79","8,840,469,097.21","10,224,593,887.67","14,279,797,850.96","14,582,428,229.84","12,881,234,298.49","10,733,163,935.41","18,505,691,157.43","18,237,290,130.54","12,103,757,440.88","14,150,306,246.37","14,549,607,198.69","12,795,346,194.47","7,816,943,116.11","13,328,836,494.41","13,525,255,671.74","9,640,901,831.64","10,476,743,677.34","17,256,404,775.01","18,884,953,871.42","16,613,053,171.76"
短期借款,"19,002,721,098.60","22,042,207,519.68","19,160,105,576.69","20,481,128,544.17","27,355,106,346.25","27,713,914,666.55","32,962,856,274.93","24,104,126,921.47","21,460,421,833.51","20,518,415,402.16","21,562,116,172.49","24,274,429,785.95","25,864,910,540.29","25,941,020,282.34","24,075,892,699.73","23,611,246,423.82","27,936,700,127.95","27,043,018,916.71","33,787,682,743.28","38,876,457,632.91","46,690,164,577.41","31,568,373,527.99","34,165,073,502.66","28,964,525,209.64","35,454,743,339.81","37,609,031,981.59","35,909,234,942.03","34,470,625,308.28","37,433,799,686.87","40,930,964,507.06","34,033,833,030.46","31,480,011,723.61","31,050,879,960.19","32,923,059,482.41","42,782,953,895.00","27,111,031,934.70","32,713,704,355.53","33,610,254,181.49","26,962,118,906.40","27,753,834,453.31","56,751,267,184.71","67,910,455,069.09","64,883,379,951.43"
交易性金融资产,"2,418,377,906.90","3,114,697,690.65","3,361,149,680.56","1,637,805,977.77","1,486,519,529.21","697,856,261.84","2,045,349,179.17","1,141,165,158.85","492,854,939.07","388,617,478.99","267,683,982.94","546,377,068.35","193,405,057.27","253,163,895.61","567,507,321.15","297,133,851.72","461,821,751.15","94,939,765.24","109,291,058.66","352,804,683.86","1,468,159,751.77","166,645,151.69","194,143,840.95","89,577,809.31","342,559,382.59","188,981,895.06","217,805,005.24","28,738,843.94","181,788,035.88","306,881,148.71","434,315,373.79","180,636,573.51","17,626,548.10","1,726,663,411.35","26,314,342.69","872,874,998.19","489,182,295.38","1,658,109,189.61","303,513,105.72","1,122,863,784.67","662,222,436.28","153,523,893.13","1,284,850,435.29"
交易性金融负债,"58,931,717.65","183,473,258.42","188,237,604.12","174,951,938.47","8,953,308.00","5,314,608.00","8,796,001.50","11,500,444.73","11,500,444.73","13,542,410.59","8,301,006.75","6,285,024.95","46,696,064.37","4,418,497.96","14,005,601.15","3,480,773.10","3,318,402.06","1,380,418.63","1,920,667.22",,,,"3,048,175.94","20,789,685.96","6,347,099.40",,,,"2,781,396.36","31,691,511.37","30,478,107.37",,"85,230,724.94","11,798,880.42","44,711,977.02","3,608,651.05","215,411,212.27","57,873,954.55","14,822,447.04","35,161,856.12","9,838,002.26","18,966,805.98","208,957,856.69"
应收票据,"5,067,508,127.87","4,595,059,119.45","4,717,022,873.05","5,656,985,157.79","5,568,798,536.58","4,749,605,806.14","5,474,081,083.98","4,501,112,144.38","4,441,468,005.66","4,537,058,756.54","5,030,091,326.78","6,674,251,784.05","8,140,183,144.56","8,136,224,419.34","8,959,353,454.41","7,879,784,804.93","7,752,505,480.68","8,673,302,602.00","11,316,814,915.56","12,860,113,254.16","12,145,862,309.10","9,902,210,103.80","11,298,525,951.41","12,411,303,185.31","10,534,769,664.00","9,368,198,240.60","10,538,124,165.66","12,147,274,807.14","14,004,687,742.82","11,922,564,984.67","9,908,904,529.75","9,222,110,761.77","8,846,140,454.07","9,243,290,837.71","7,798,137,517.60","8,192,598,702.78","8,910,268,139.01","7,778,141,418.40","7,920,191,411.58","10,217,286,812.49","20,340,682,229.93","21,934,743,007.31","23,156,629,907.88"
应付票据,"3,765,428,640.75","6,468,341,961.34","7,695,695,576.04","3,341,058,247.89","1,705,570,104.23","2,377,348,482.33","2,143,723,032.74","4,251,242,725.68","6,323,431,584.39","6,245,700,533.85","6,983,861,744.97","4,855,355,992.37","2,901,920,510.51","2,375,641,024.27","1,707,935,100.06","2,221,942,799.91","2,430,888,366.81","2,111,463,193.01","2,462,078,895.85","2,677,585,618.61","1,299,119,214.04","3,492,410,202.30","3,394,326,856.26","3,255,540,509.18","3,486,392,235.91","3,238,957,937.21","2,589,445,236.10","2,429,960,640.68","2,083,567,651.61","3,055,785,093.84","4,065,866,602.49","5,416,879,164.85","4,185,069,812.66","4,136,141,222.30","4,716,807,365.31","4,433,892,369.95","3,792,606,040.92","4,862,676,183.69","5,983,507,301.30","7,767,973,320.89","14,860,858,375.54","13,305,569,035.62","10,867,999,247.02"
应收账款,"6,141,216,412.98","6,547,955,022.38","7,268,035,566.17","6,311,642,149.53","7,168,544,982.08","6,751,123,711.39","6,546,167,950.98","5,269,190,881.79","5,936,980,483.22","5,831,724,937.66","7,582,452,065.84","5,566,287,279.15","6,313,114,594.18","7,250,256,515.72","6,688,375,339.03","6,728,952,000.41","8,001,897,100.63","8,199,815,360.26","7,974,563,391.69","6,983,893,119.47","7,670,276,911.17","8,574,289,254.09","10,630,369,305.43","8,542,193,127.62","11,130,256,752.66","10,784,514,111.93","11,466,500,103.20","11,274,903,876.09","12,146,874,985.82","10,998,073,957.58","10,238,319,978.63","10,049,072,037.10","10,102,194,868.47","10,403,289,107.32","9,057,811,847.25","9,158,063,277.11","8,181,798,289.07","9,106,820,532.55","10,837,739,535.89","10,414,655,663.00","16,806,303,853.27","14,882,903,324.03","16,716,707,322.59"
应付账款,"14,417,960,677.46","30,061,845,087.14","14,263,460,694.23","17,175,498,091.38","19,425,605,104.76","29,605,311,469.52","20,216,354,834.49","18,621,675,643.72","17,890,514,391.14","19,845,833,489.71","21,337,032,373.37","18,582,613,440.64","20,384,655,043.28","20,950,936,057.94","21,307,266,880.33","19,164,134,658.37","21,843,499,868.51","23,543,586,093.37","23,883,448,145.91","19,270,699,108.70","20,318,834,880.65","19,742,613,581.78","20,993,487,739.45","18,655,403,230.17","21,749,065,058.69","21,623,320,092.72","20,911,171,715.22","18,175,471,239.50","18,858,264,761.33","20,067,753,323.04","19,801,443,051.39","19,910,369,631.42","18,495,962,411.71","18,520,962,606.47","21,555,624,718.90","21,385,905,275.51","22,269,540,044.81","23,798,446,650.75","25,559,461,302.79","26,210,638,849.60","35,096,464,612.93","29,645,634,897.20","31,157,331,834.00"
预付款项,"6,479,827,518.79","5,166,358,737.68","5,256,622,018.61","6,003,758,547.07","9,608,872,465.07","7,693,629,629.92","6,759,077,302.29","4,600,807,313.48","4,138,291,781.93","5,032,365,176.26","5,200,298,144.34","4,099,365,175.79","4,219,607,765.42","4,834,255,308.15","5,295,232,448.96","5,464,166,424.66","6,217,687,043.03","5,319,119,682.95","5,597,175,068.62","5,298,265,694.46","4,441,878,005.08","5,232,447,290.19","5,306,784,311.45","3,716,337,443.68","4,320,070,408.11","4,736,150,906.89","4,469,929,241.79","3,063,667,270.70","3,787,581,295.56","3,665,369,023.23","3,639,618,957.23","2,923,618,311.69","3,175,972,296.25","3,485,261,098.16","4,424,360,758.09","4,159,608,819.61","4,149,065,317.49","4,820,917,280.64","6,871,090,581.55","7,800,289,356.60","9,527,559,595.69","12,560,434,601.63","8,803,272,256.72"
预收款项,"9,086,645,320.40","7,426,872,437.20","9,416,013,499.42","9,337,924,203.53","12,383,690,102.86","11,777,996,413.41","9,537,376,735.53","9,219,197,161.95","7,979,780,414.26","8,196,183,906.78","9,263,072,610.05","11,045,412,382.55","11,380,721,289.09","10,649,043,720.38","11,574,744,775.32","11,795,800,061.97","11,796,401,950.98","11,626,012,391.56","12,119,630,383.25","10,789,724,318.08","10,261,263,881.51","9,770,539,142.45","10,534,530,212.87","11,194,900,927.62","10,696,016,632.38","10,179,794,206.11","11,490,623,173.64","11,971,576,846.67","11,617,442,117.78","11,772,683,916.39","11,566,439,529.87","11,522,938,150.20","11,492,208,161.17","11,352,442,858.34","11,741,683,710.09","12,467,881,559.99","13,138,639,875.01","14,243,355,002.77","17,140,853,902.77","21,745,253,002.56","23,671,572,734.36","22,389,758,639.27","22,058,157,435.47"
