科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"518,589,587.71","329,116,369.92","453,478,593.81","694,819,963.67","131,955,177.69","392,882,069.25","657,678,742.50","923,297,257.21","247,391,018.96","740,076,551.67","1,293,059,689.35","2,146,718,748.04","396,306,939.92","1,034,571,904.21","1,742,968,680.96","2,793,952,130.92","462,364,379.83","1,371,642,388.16","2,252,012,460.00","3,254,918,775.26","560,097,893.01","1,862,681,918.71","3,064,858,794.27","4,241,665,873.99","939,403,019.69","2,442,787,754.17","3,766,930,113.71","5,300,794,481.19","1,203,356,320.66","2,519,913,742.65","3,613,824,559.15","5,694,704,779.13","1,547,067,028.97","3,154,049,454.66","4,727,386,825.33","7,763,858,987.25","1,970,365,543.83","4,664,245,947.87","7,043,215,461.96","11,544,484,793.52","2,475,632,416.72","5,554,645,074.48","9,603,386,531.72","12,989,825,766.26","3,791,930,000.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"25,700,733.20",,,,,,,,,,,,,,,,,,,"6,677,075.00","6,870,741.25",,,,,,"421,673.98","421,673.98",,,,"309,439.51","22,902,360.56",
收到的税费返还,,,"55,502.38","32,600.00",,"469,813.86","546,734.86","607,243.86","152,740.00","403,248.00","2,563,988.03","1,013,866.00",,,"469,416.88",,,,"325,122.82",,,,,"1,608,584.27",,,,"94,109.02",,"8,424,100.00","8,424,100.00","11,855,318.94",,,,"17,466,891.40","7,113,985.70",,,"21,348,215.09","17,858,275.00","27,355,611.39","29,124,811.39","59,212,835.24",
支付其他与投资活动有关的现金,,,,,,,,"3,400,000.00",,,,,,,,"15,899,240.00",,,,,,,,,,,,"665,330.04",,"2,033,569.06","2,124,007.59","6,022,494.80",,"1,971,939.38","1,971,939.38","6,859,566.11",,,,"157,392,000.00",,,,,
收到其他与经营活动有关的现金,"11,058,730.02","49,438,813.86","152,788,734.64","49,623,319.87","55,002,871.00","37,816,355.20","41,559,867.24","47,777,533.92","15,287,383.19","19,757,876.73","32,109,530.07","34,073,473.06","86,990,783.37","73,960,117.54","98,809,212.85","88,594,776.35","62,131,247.20","47,445,774.07","132,144,599.17","132,806,322.86","76,376,248.68","65,259,713.12","82,764,741.05","151,085,479.51","116,636,491.37","38,196,498.29","49,507,150.64","156,240,494.95","145,109,108.41","102,511,820.74","53,944,112.94","233,221,721.19","203,041,540.74","68,867,857.22","89,507,301.93","302,053,207.15","266,853,940.12","89,665,316.17","114,414,725.68","253,577,107.76","368,706,098.23","97,500,799.50","126,168,221.93","679,891,930.03","88,485,415.72"
投资活动现金流出小计,"39,223,667.84","51,339,878.58","57,285,317.14","73,286,594.90","14,673,615.39","37,965,722.90","54,385,841.44","86,099,387.67","13,228,350.25","26,541,174.13","43,292,275.45","140,776,437.04","92,465,468.62","129,256,270.91","151,780,039.71","204,781,669.51","83,677,631.06","130,880,421.28","179,052,235.29","294,046,079.20","37,932,510.11","125,661,964.37","181,869,319.72","366,020,177.09","67,793,082.79","181,668,371.55","343,674,758.49","535,955,092.59","99,451,891.50","278,477,917.65","448,655,880.14","640,713,142.68","75,604,615.54","239,815,218.52","449,514,754.62","736,971,016.39","248,856,476.12","593,765,435.38","989,251,699.52","1,458,616,466.41","327,732,147.96","667,931,657.41","1,288,511,772.43","1,771,975,732.75","724,188,187.53"
经营活动现金流入小计,"529,648,317.73","378,555,183.78","606,322,830.83","744,475,883.54","186,958,048.69","431,168,238.31","699,785,344.60","971,682,034.99","262,831,142.15","760,237,676.40","1,327,733,207.45","2,181,806,087.10","483,297,723.29","1,108,532,021.75","1,842,247,310.69","2,882,546,907.27","524,495,627.03","1,419,088,162.23","2,384,482,181.99","3,387,725,098.12","636,474,141.69","1,927,941,631.83","3,147,623,535.32","4,394,359,937.77","1,056,039,511.06","2,480,984,252.46","3,816,437,264.35","5,457,129,085.16","1,348,465,429.07","2,630,849,663.39","3,676,192,772.09","5,939,781,819.26","1,750,108,569.71","3,222,917,311.88","4,816,894,127.26","8,083,379,085.80","2,244,333,469.65","4,753,911,264.04","7,157,630,187.64","11,819,410,116.37","2,862,196,789.95","5,679,501,485.37","9,758,679,565.04","13,728,930,531.53","3,880,415,416.14"
投资活动产生的现金流量净额,"-5,047,828.61","-51,264,741.75","-57,107,993.67","-72,072,298.85","-14,578,615.39","-37,313,669.19","-53,179,611.58","-84,517,086.43","-13,228,350.25","-26,045,644.26","-42,626,615.86","-135,503,540.12","-92,369,468.62","-126,004,725.24","-148,528,494.05","-183,392,111.87","-83,622,631.06","-128,168,446.64","-177,385,015.54","-288,826,847.83","-34,835,510.11","-119,487,994.44","-174,271,623.67","-342,890,205.65","-62,817,879.23","-152,934,173.52","-312,837,210.40","-495,419,642.43","-99,436,561.50","-250,753,506.01","-415,053,534.94","-594,904,184.88","-60,121,238.44","-230,655,157.87","-434,949,776.43","-489,296,832.79","-75,155,457.63","-415,521,445.29","-807,532,813.11","-1,206,461,024.01","-321,604,311.46","-652,563,036.61","-1,259,682,007.92","-1,585,027,534.78","-717,210,241.07"
购买商品、接受劳务支付的现金,"349,184,739.14","293,786,907.07","399,026,857.72","634,313,729.94","89,560,437.02","255,597,514.30","399,837,027.08","742,176,400.93","276,627,645.94","765,264,893.18","1,220,198,661.62","1,815,341,473.26","473,476,721.00","1,032,914,328.25","1,511,804,042.81","2,369,376,822.53","524,457,237.82","1,028,052,976.79","1,663,675,435.11","2,228,733,481.67","566,902,673.20","1,345,059,398.48","2,253,528,532.62","3,041,864,303.79","806,270,046.58","1,831,632,019.33","2,561,890,398.48","3,715,051,495.09","940,331,312.96","1,717,386,220.07","2,286,013,277.02","3,664,453,291.76","1,002,175,707.81","2,240,906,035.66","3,289,763,260.88","5,166,537,771.96","1,630,684,806.38","4,083,480,777.83","5,380,601,456.69","8,827,337,948.57","2,077,482,983.64","3,619,937,008.17","6,010,833,602.20","8,580,185,858.03","3,580,474,765.56"
吸收投资收到的现金,"4,770,000.00","3,860,000.00","232,616,000.00","232,616,000.00",,,,,,,,"455,800,000.00",,,,,,,,,,,"111,438,280.00","111,438,280.00",,,"1,260,733,213.92","1,260,163,380.07",,,,,,"193,001,000.00","713,159,240.00","711,050,607.90",,,"146,636,740.00","200,123,418.55",,,,"1,050,000.00",
